"subject","course_code","course_name","description","credits"
"ECT - Education: Career/Technical","ECT 5386","Preparation and Development for Teaching","The development of selected instructional materials, use of new educational media, performance evaluation instruments, and counseling techniques. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6197","Enhancing Career and Technical Education Curriculum","Enhancing career & technical education curriculum including broadening mission, goals & outcomes, integration with academics, work-based learning, contextual learning, appropriate technology & certifying student mastery. Open to majors & non-majors. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6661","Trends and Issues in Career and Technical Education","Historical influences and current trends and issues in career and technical education. Emphasis on forces significantly shaping the course of CTE and its relationship with workforce development and academic education. Open to majors and non-majors. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6766","Emerging Workplace Competencies","An interactive exploration of emerging workplace competencies through research, analysis, and work-based experiences for the purpose of professional development and program improvement. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6767","Improving Career and Technical Education Programs","The purpose of the course is to facilitate the development of essential understandings on the nature and use of action research strategies as a means to support improvement strategies involving data collection and analysis, and reporting skills. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6926","Staff Development","Implementation of new procedures addressed to discrete developmental needs of the staff as identified by an educational agency. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-5"
"ECT - Education: Career/Technical","ECT 6930","Seminar","Focuses on special topics, interaction with visiting scholars, recent research and major initiatives within the profession. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 6948","Practicum: Industrial-Technical Education","A problem-centered field study in the local community, school, government, office, social agency, business, or industry. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3-6"
"ECT - Education: Career/Technical","ECT 7791","Research Seminar in Vocational, Technical, and Adult Education","Examination and critical evaluation of research in a particular specialization area of Vocational, Technical, or Adult Education. Preparation of an individual research prospectus. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECT - Education: Career/Technical","ECT 7910","Directed Research in Vocational Education","This course permits a doctoral student to conduct advanced research and to pursue specific areas of interest with a faculty member as supervisor. A contract is required with the faculty member. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-19"
"ECT - Education: Career/Technical","ECT 7980","Dissertation","Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","2-30"
"ECW - Education: Career/Workforce","ECW 5315","Program Management: Diversified Cooperative Training","Organization, coordination, and budgeting of adult, cooperative, and special programs. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 6205","Administration of Local Programs: Vocational","Organization, personnel selection and assignment, and establishment of policies and procedures for local vocational programs within federal, state and local requirements. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 6206","Supervision of Local Programs: Vocational Education","A study of the factors involved in the supervision of instruction including plans for teacher education, improvement of instruction, coordination of activities, and personnel relations. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 6695","School Community Relations","Maintaining positive relations between career and technical education programs and stakeholders, enhancing CTE image, interacting positively with customers, positive relations with businesses and marketing the program. Open to majors and non-majors. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 6696","Equity and Access in the New Economy","Examine workplace/workforce education regarding equity and access issues of gender, race, class and age through reflective practice, research, dialogue, field experience, product development with implications for education, training, personal and systems change. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 7066","Foundations and Philosophy of Vocational, Technical and Adult Education","Historical development and contemporary philosophies, cultural bases and practices of Vocational, Technical, and Adult Education. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 7105","Vocational and Adult Education Program Planning and Implementation","Knowledge and skills necessary to participate in the initial determination, planning, organization, and implementation of new or expanded adult, vocational and technical education institutions or programs. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 7167","Career Development in Career and Workforce Education Change","This course provides an overview of major theories of career development, examines related research in career and workforce education context, and addresses the implications for integration in the curriculum and service supports in different settings. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 7168","Instructional Development for Vocational, Technical, and Adult Education","The systematic approach to vocational, technical, and adult education curriculum improvement and instructional development. Students will apply an instructional systems approach to the development of practical solutions to critical teaching and learning problems. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ECW - Education: Career/Workforce","ECW 7195","Comparative Study of Career Workforce Education Systems","This online course provides an overview of global perspectives and models for career and workforce education with an emphasis on comparative analyses of national, state, and international systems. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6061","Principles of Educational Administration","Educational administration as a profession. Consideration of organization, control, and support of the educational system. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6106","Administrative Analysis and Change","Change and change strategies in formal and informal organizations are foci. Students will develop change strategies and will apply them to selected situations. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6192","Educational Leadership","Administration course that addresses change, influences, and planning systems. Also examines personnel functions for administrators. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6194","Educational Leadership II: Building Capacity","Three major themes to improve schools within a clear/compelling moral purpose: 1) communities of differences; 2) teacher development through professional community building; and 3) learners and learning through capacity building at the school level. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6213","Culturally Relevant Leadership","This course prepares culturally responsive leaders to attend to diverse needs of all students. It is organized with the understanding that school leaders are moral stewards and public intellectuals who reflect notions of instructional accountability. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6232","School Law","Basic essentials of School Law. A review of court decisions affecting American education with emphasis on Florida State statutes. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6242","School Finance","Financial support of education by local, state, federal sources, with emphasis on Florida; introduction to educational budgeting. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6262","Planning Educational Facilities","Problems in the planning, construction, and use of educational facilities. Visitation and/or evaluation of selected schools. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6274","Technology and Data Analysis for School Leaders","Course focuses on current research principles, methods and practices in eduction and learning technologies. Content will focus on the role of research in methods of constructing hypothesis, developing research designs, selecting procedures for observation. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6503","The Principalship","Organization and administration of the school. Emphasis on the competencies necessary for leadership and management by the principal as the administrator and instructional leader. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6910","Directed Research","Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-19"
"EDA - Educational Administration","EDA 6931","Case Studies in School Administration","Helps prospective administrators understand administrative problems, propose feasible solutions, and evaluate courses of action. Develops skill in decision making. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 6945","Administration Practicum","Field experiences in school systems for identifying and analyzing educational problems and their solutions. Application of concepts developed in the student’s program. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3-8"
"EDA - Educational Administration","EDA 7069","Ethics and Educational Leadership","The purpose of this course is to read about, examine, discuss, and critique competing theories of ethics and educational leadership. Students will construct critical cases & statements of responsibility in terms of ethics applied to leadership. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7193","Organizational Leadership and Systems Theory","The course examines K 12 educational systems through the theoretical frameworks of organizational learning and change applying problem-based approaches that emphasize socio-political and local , state, and federal influences. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7195","Policy Development","Contemporary research on diffusion of innovations, political power in policy decision making. Role of establishing educational policies. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7196","Leadership in Education: Theory and Inquiry","The course provides students with exposure to major leadership theories and contemporary inquiry in Leadership as applicable to various educational contexts. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7197","Current Readings and Discourse in Educational Leadership","The purpose of this course is to identify the discourses that have shaped and are shaping the dialogue, scholarship, and practice of public education and to contextualize leadership as a social practice that holds unique values and ideologies. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7206","Appreciative Inquiry and Organizing in Public Education","This course introduces Appreciative Inquiry and Appreciative Organizing in Public Education as a strength-based, problem solving and continuous improvement approach to inform and build school and district leadership capacity. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7215","Educational Politics and the Engagement of Communities","Students explore political frameworks and communication strategies in order to effectively engage multiple communities within and outside schools. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7233","Legal Dimensions of School Administration","Historical perspective in law and education with in-depth reviews of case law showing the evolution of courts as educational policy makers. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7238","Special Education Law and Policy Issues","This course is focused on the framework of special education law and its application in school systems. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7280","Curriculum Theory","The purpose of this course is to prepare critical and culturally responsive curriculum leaders to engage curriculum theory in the work of curriculum policy, development, and inquiry. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7281","Policy Analysis and Implementation Strategies for Educational Leaders","This course has students apply systematic frameworks for policy analysis and implementation - utilizing multiple analytical and implementation concepts - to improve educational system, district, school, and student performance. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7287","Educational Politics and Policy: Theory and Issues","This course seeks to habituate students’ conceptualization of schooling as political and to develop students’ understanding of how educational politics and policies permeate educational systems. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7348","Critical Race Studies: Research, Policy, and Praxis","This course focuses on critical race studies including their development, treatment of race, racism, and racial in/justice, and their contributions to education policy, theory, and leadership praxis. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"EDA - Educational Administration","EDA 7980","Dissertation","Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","2-30"
"EDE - Education: Elementary","EDE 6076","Teacher Leadership for Student Learning","Prepares teachers as facilitators as they explore leadership roles in the K-12 contexts, including exemplary practitioner, curriculum decision-maker, researcher, advocate, and facilitator or job-embedded professional development. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6225","Problems in Curriculum and Instruction: Elementary","For teachers, supervisors, and administrators. Curricular and instructional problems of the elementary school. Common problems or problems of special interest to the participants. Normally, for certification requirements only. Prerequisite(s):EDG 4620, Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","1-3"
"EDE - Education: Elementary","EDE 6303","Instructional Planning for Maximizing Elementary Student Learning","The purpose of this course is to explore approaches to instructional planning that maximize student learning by using student data to meet the diverse needs of elementary learners. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6326","Instructional Planning for Diverse Learners","Introduction to the theories and practices that support children’s learning. Includes accessing resources that support teaching, developing lessons, designing appropriate assessments, and the elements that influence instructional decision-making. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6328","Development & Management of Diverse Learners","The course is designed to deepen candidates understanding of child growth/development in the classroom contexts of learning and behavior management for diverse and exceptional populations. Candidates will participate in a field experience for 12 hrs/wk. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6346","Teaching and Learning with Technology in Elementary Classrooms","The purpose of this course is to support teachers in developing their own knowledge, comfort, and practice with technology as learners and support them in designing meaningful instructional experiences for K-12 students. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6365","Culturally Responsive Pedagogy for Elementary Student Learning","This course provides the opportunity for the learner to develop the knowledge, skills, process, and understanding of the techniques and methods needed to develop as a culturally responsive teacher. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6366","Professional Development for Student Learning","",""
"EDE - Education: Elementary","EDE 6458","Reflecting on Instructional Decision Making","Develops the students’ abilities to reflect upon teaching practice and evaluate instructional decisions on K-6 student learning. The first hour is taken with the practicum. The second hour is to be taken in conjunction with final internship. Prerequisite(s):None Corequisite(s):, Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","1-3"
"EDE - Education: Elementary","EDE 6486","Teacher Research for Student Learning","Familiarizes practicing teachers with the application of research methodologies to strengthen teaching & learning in elementary schools. This course cultivates the literacy skills the educators need for professional accountability for student learning. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6506","Managing and Differentiating the Instructional Environment in Elementary Schools","Examines the legal issues affecting classroom/school management, school safety and professional ethics. Explores research and knowledge of best practices and a variety of teaching and management strategies for a diverse elementary classroom setting. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 6556","Coaching for Student Learning","",""
"EDE - Education: Elementary","EDE 6906","Independent Study: Elementary/Early Childhood Education","Independent study in which students must have a contract. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","1-6"
"EDE - Education: Elementary","EDE 6946","Practicum Field Experience","This intensive practicum experience is designed to complement foundational MAT course work and is completed during the second block of the MAT program. This course is restricted to majors and is not repeatable. S/U only.. Prerequisite(s):, , and 9 additional credits in program courses Corequisite(s):Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 7481","Teacher Education Seminar","This course prepares doctoral students to integrate, assimilate, and evaluate major research and research issues confronting the field of teacher education. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","3"
"EDE - Education: Elementary","EDE 7910","Directed Research in Elementary Education","Independent student-faculty research course. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","1-19"
"EDE - Education: Elementary","EDE 7980","Dissertation","Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Curriculum, Instruction, and Learning","2-30"
"EDF - Education: Foundations and Policy Studies","EDF 6120","Child Development","This course provides an overview of educational, emotional, hereditary, intellectual, social, and physical factors influencing child growth and development. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6133","Child & Adolescent Development and Learning","This course examines child and adolescent growth and development with specific emphasis on investigative methods and application to instruction organization/management of learning environments. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6142","Cognitive and Affective Bases of Behavior","This course focuses on cognitive and affective/emotional processes and their influences on behavior, the implications of cognition and affect/emotion interaction in applied psychology. It examines such topics as attention, memory, executive functioning, motivation, emotional regulation, and positive affect. Contextual factors associated with cognition, emotion, and behavior are also examined. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6165","Group Processes for Educational Personnel","Application of group process research to the needs of professional educators and training officers. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","1-3"
"EDF - Education: Foundations and Policy Studies","EDF 6166","Consulting Skills for Staff Development","Knowledge and skill training for consulting with organizational clients to solve educational problems and design learning environments or programs. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","1-3"
"EDF - Education: Foundations and Policy Studies","EDF 6211","Psychological Foundations of Education","Selected topics in psychology of human development and learning, related to schools and educational settings. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6213","Biological Bases for Learning Behavior","Human biological development and its influence upon learning and behavior. Prerequisite(s):One course in Educational Psychology. Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6215","Learning Principles Applied to Instruction","Learning principles and their application to classroom instruction. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6217","Behavior Theory and Classroom Learning","Theory and practical applications of behavior modification; introduction to experimental methods for behavior modification; operant methods in behavior and development; analysis and field work. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6284","Problems in Instructional Design for Computers","This course focuses on the systematic design of instructional courseware, including analysis, media selection, and evaluation. Topics include instructional strategies, screen design, response analysis, feedback and interactivity. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6288","Instructional Design I","Instructional design models/theories and their systematic application to instructional goals. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6354","Human Development and Personality Theories","A study of psycho-social and cognitive development throughout a person’s life span with an analysis of the major personality theories. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6407","Statistical Analysis for Educational Research I","Theory and application of statistical procedures to problems in education: (1) descriptive statistics, (2) Probability-sampling distributions, (3) Inferential statistics-interval estimation, tests of significance (z, t, F-one way ANOVA). Coordinated use of computer included. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","4"
"EDF - Education: Foundations and Policy Studies","EDF 6432","Foundations of Measurement","Basic measurement concepts, role of measurement in education, construction of teacher-made tests and other classroom assessments, interpretation of standardized tests, and fundamental descriptive statistics for use in test interpretation. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6461","Foundations of Applied Evaluation","Fundamentals of evaluation approaches and practices; tools & techniques used in evaluation; standards of quality for professional practice; evaluation ethics; appropriate evaluation uses; and impact of evaluation on decision making. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6481","Foundations of Educational Research","Analysis of major types of educational research designs, including experimental, correlational, ex post facto and case studies. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6492","Applied Educational Program Evaluation","Design, development, implementation, interpretation, and communication of both formative and summative educational program evaluation studies. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6517","Historical Foundations of American Education","History of the origins and development of American education, events, and movements that have shaped school policies and practices, and their relationship to contemporary developments. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6531","History of Childhood","History of modern childhood, including diversity of childhood experiences and social construction of age categories. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6552","The Role of Education in a Democracy","This course will focus on the common conceptions of democracy, equality, freedom, liberty, and equity and what these conceptions imply for educational aims and practice. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6606","Socio-Economic Foundations of American Education","Socio-economic factors as they relate to the work of professional educators and the role of public education in American society. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6697","Learning and Linguistic Diversity in a Transnational Context","This course will explore the relationships between immigration, identity, and language. The course will take a transnational approach, which presumes that people, language, and culture are subject to dynamic change within the globalized world. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6705","Gender and the Educational Process","Course is designed to enable public school personnel, teachers, counselors, administrators, and other professionals to identify those aspects of public education that perpetuate sex role stereotyping. Emphasis will be placed on how the law and formal and informal affirmative action activities can be employed to correct sexism in schools. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6809","Introduction to Comparative and International Education","This course provides an examination of the major issues surrounding comparative and international perspectives in education. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6863","Contemporary Issues and Trends in International Education","This course focuses on current IB research, trends, issues, as well as international, national, and state/provincial legislation concerning schools and the potential impact on IB schools. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6864","International Perspectives and Practices in Gifted and Talented Education","This course focuses on historical and current conceptions of giftedness and talent development. Historical and current practices in the education of gifted and talented learners will also be examined. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6883","Sociopolitical Foundations of Multicultural Education","Lecture/discussion course, open to both majors and non-majors; address both fundamental concepts and timely issues in multicultural education and working with culturally diverse students. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 6906","Independent Study: Educational Foundations","Independent study in which students must have a contract with an instructor. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","1-6"
"EDF - Education: Foundations and Policy Studies","EDF 6938","Selected Topics","Exploration and demonstration of knowledge in an area of special interest to the student and/or in an area for which the student needs to demonstrate a higher level of competence. Designed to fit the needs of each student. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","1-4"
"EDF - Education: Foundations and Policy Studies","EDF 6944","Field Experience","Demonstrate skills in the practice of the student’s specialty. Objectives will be defined by the needs of the individual student. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","1-4"
"EDF - Education: Foundations and Policy Studies","EDF 6971","Thesis: Masters/Educational Specialist","Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","2-19"
"EDF - Education: Foundations and Policy Studies","EDF 7118","Lifespan Development","Multidisciplinary overview of contemporary lifespan development theory and research, focusing on physical, cognitive, social, emotional, and psychological factors influencing the developing individual, and issues facing educational research and practice. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
"EDF - Education: Foundations and Policy Studies","EDF 7145","Cognitive Issues in Instruction","Selected cognitive models of intelligence, memory, problem solving, thinking, and motivation applied to instructional strategies. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Educational and Psychological Studies","3"
