course_code,course_name,credits,description
CIS 4300,Software Quality,3.0,"DESCRIPTION The course covers methods and tools to manage software quality assurance at various levels of an information system, including at the module, subsystem, and system levels. The principles of software development and management are presented with special emphasis on the processes and activities of quality assurance. State of the art tools and techniques including development process modeling, manual and computer- assisted reviews, and estimating the value of new processes. In addition, the role of standards, policies, and procedures are discussed. The course will prepare students to methodically develop software quality-assurance programs. This course provides practical knowledge of a variety of quality assurance techniques, and an understanding of some of the tradeoffs between techniques."
CIS 4320,Advances in Networking,3.0,"CIS 3320  Must meet RCB upper division course requirements and 45 semester hours  This course builds upon the skills and knowledge developed in CIS 3320. Emphasis is placed on the high speed computer and telecommunications networks. The course includes both wire line and wireless technologies for designing, implementing, managing, and using broadband networks. Major topics include communications media, switching, and networking requirements of broadband networks, design of broadband networks, regulatory and management issues, and application of broadband networks. 880"
CIS 4350,Technology for Entrepreneurs,3.0,PREREQUISITES Must meet RCB Area-F prerequisites (or
BUSA 3090,"and ENI 3101 for non-BBA majors) DESCRIPTION Advances in information and communication technology and the proliferation of business support services available online (âin the cloudâ), are reshaping the entrepreneurial landscape. Technology is enabling entrepreneurs to reach new customers, manage their operations, and offer products and services that previously required long lead-times and significant start-up capital. These digital tools are increasing entrepreneursâ ability to experiment, quickly test new ideas, and adapt their business to changing market forces. Entrepreneurs must be able to leverage these digital tools in a way that can make their businesses stand out from other firms, all of which have access to these same tools. This class teaches how to use these technologies to effectively start and manage a business.",,
CIS 4389,Directed Readings in Information Systems,1.0,PREREQUISITES Consent of instructor REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours.This course may include a Signature Experience component DESCRIPTION
CIS 4394,AI for Decision Making,3.0,"PREREQUISITES CIS 4290 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION Artificial Intelligence (AI) is inspired by human intelligence, made powerful by data generated by humans and artifacts, and is most useful when it positively affects the human experience. This course provides an introduction to harnessing the power of AI so that it is beneficial to decision makers in organizations. It will cover a number of topics including agency and initiative, AI and ethics, bias and transparency, confidence and errors, human augmentation and amplification, trust and explainability, mixed-initiative systems, and programming by example.These topics will be explored via projects in dialog and speech- controlled systems, speech recognition, computer vision, data science, recommender systems, text summarization, learning science, UI personalization and visualization."
CIS 4620,Management of Information Services,3.0,"None  Must meet RCB upper division course requirements and 45 semester hours  This course addresses the many management issues unique to the information services function within organizations. Coverage includes information systems planning, managing the information system infrastructure, justifying the information technology investments, the costing of services and networks, evaluating information system performance, alternative information system delivery modes, managing distributed and end user computing project and operations management, systems security, and the management of information system professionals.. 881"
CIS 4680,Intro to Security,3.0,"PREREQUISITES CIS 2010, CIS 3260 (with B- or better) and instructor consent REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course is designed to develop knowledge and skills for security of information and information systems within organizations. It focuses on concepts and methods associated with security across several systems platforms, including internal and Internet facing networks. The course overviews critical infrastructure concepts as well as techniques for assessing risk associated with accidental and intentional breaches of security. It introduces the associated issues of ethical uses of information and privacy considerations."
CIS 4688,Protecting Business Systems and Networks,3.0,"PREREQUISITES CIS 2010 and CIS 3260 (With B- or better) REQUIREMENTS Must meet RCB upper division course requirements and 45 DESCRIPTION This course focuses on three specific aspects of data communication, storage and processing systems: 1) the technological underpinnings of data transmission over computer networks; 2) the known approaches to compromise and/or damage the networks; and 3) skills and methods necessary to prevent, detect and recover from network-based attacks. This course presents both theory and practice of network attack and defense, and discusses contemporary tools, techniques and methodologies of attackers and defenders alike."
CIS 4690,Information and Information Systems Security Risk Management,3.0,"None COREQUISITES CIS 4688  Must meet RCB upper division course requirements and 45 semester hours  Crosslisting: NEX 4104 This course develops knowledge and skills in risk based information security management geared toward preventive management and assurance of security of information and information systems in technology- enabled environments. It focuses on risk assessments, risk mitigation strategies, risk profiling and sensitivity, quantitative and qualitative models of calculating risk exposures, security controls and services, threat and vulnerability management, financing the cost of security risks, and return on investment for information security initiatives. The course presents several risk assessment models with an ultimate goal of identifying and realizing the unique and acceptable level of information risk for an organization. 882"
CIS 4700,Computer Information Systems,3.0,"PREREQUISITES CIS 3001 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course focuses on advanced IT project management concepts, with particular emphasis on managing vendors, contracts, and IT project risk. The special management challenges associated with outsourced and off- shored projects are examined, along with the specific skills required to successfully manage these types of projects. Coverage will include contract law and the different contract options available, as well as the portfolio of control mechanisms that can be employed to help manage such projects. Concepts and techniques for controlling software projects and dealing with schedule and other project risks will be introduced, including Monte Carlo analysis, Earned Value Analysis, and a variety of risk assessment tools and risk mitigation approaches."
CIS 4730,Unstructured Data Management,3.0,"PREREQUISITES CIS 3730 DESCRIPTION CSPs: 1, 2, 3, 4, 5, 6, 7, 8. This course addresses the unstructured data management skills needed for modern data analysis including those salient to big data and real-time data environments. The focus is on unstructured data and its environment. Unstructured data includes web data (blogs, text), user generated content, social media, location-aware data, and digital media among others. Topics covered include data extraction methods and data capture, cleaning, representation, storage, queries, manipulation, and visualization."
CIS 4850,Cloud Computing & Application Development,3.0,"PREREQUISITES Varies depending on topic REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course introduces students to the design, architecture and development of cloud based computer applications. Students will learn various cloud computing platforms, services and technologies for developing applications. Students will analyze business problems, formulate cloud based solutions to the problems, implement the solutions as cloud based applications, and integrate the applications into the organizationâs enterprise systems. In addition, students will practice the management of the development life- cycle of cloud based applications."
CIS 4920,Data Programming,3.0,"CIS 2010,CIS 3260 (With B- or better) or permission of instructor  Must meet RCB upper division course requirements and 45 semester hours  This course builds upon the studentâs foundation of programming principles through the introduction of a programming language such as Python. It covers (1) Basics of Python and Object oriented programming,(2) Advanced concepts in Python, object oriented programming and GUI development, and (3) the use of Python libraries for data analysis. 883"
CIS 4930,Big Data Analytics,3.0,"PREREQUISITES CIS 4730 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION The âBig Dataâ revolution is underway. Technology advancements now allow companies to capture and store large amount of data (or facts) in databases and data warehouses. The management and exploitation of big data is among the top priorities of organizations. IT professionals often are unable to integrate all the data that flows through the organization and find the information needed to make critical decisions. The course uses state of the art software for the organization, analysis, and visualization of organizational data to provide the right data at the right time to improve business performance."
CIS 4970,Field Study in Computer Information Systems,3.0,"REQUIREMENTS Must meet RCB upper division course requirements, 45 semester hours, 12 hours upper division CIS courses, and departmental approval DESCRIPTION This course is designed to provide the senior level student an opportunity to assist with the planning and implementation of computing technologies in an approved on campus site. Students may perform information systems trainer/ consultant and/or end user support duties. Students will meet periodically with a mentoring instructor to discuss problems and issues relevant to the area of implementing computer information systems. Compensation may or may not be granted for the internship/practicum. This course is one of two alternatives for students pursuing a BBA degree in CIS. This course may include a Signature Experience component."
CIS 4980,System Development Projects,3.0,": CIS 3001, CIS 3260 (with B- or better), CIS 3300 and CIS 3730, GSU GPA 2.5, and 15 semester hours of CIS 3000/4000-level courses. : Must meet RCB upper division course requirements and 45 semester hours. This course satisfies critical thinking through writing requirements. This course provides the student with an opportunity to apply the knowledge and skills acquired in the core courses to larger and more complex problems and to gain experience in working as part of a team. This course is available only to BBA CIS majors at Georgia State University. It may require students to meet with clients during normal business hours. This course is one of two alternatives for students pursuing a BBA degree in Computer Information Systems.This course may include a Signature Experience component. 884"
CSC 1010,Computers and Applications,3.0,"PREREQUISITES high school Algebra II DESCRIPTION This course is intended for non- computer science majors. It provides an overview of selected major areas of current computing technology, organization and use. Topics surveyed include the history of computing, data representation and storage, hardware and software organization, communications, networking, and Internet technologies, and ethical and social issues."
CSC 1301,Principles of Computer Science I,4.0,"DESCRIPTION Prerequisite or co-requisite: MATH 1112 or MATH 1113 with a C or higher, or appropriate math placement score. Only for majors in Computer Science, Mathematics, Physics or Engineering, or minor in Computer Science. An introduction to the discipline of computer science. Computer programming is the primary focus of the course, with secondary focus on a breadth of computer science topics. These topics include algorithmic foundations, hardware concepts, virtual machine concepts, software systems, applications, and social issues."
CSC 1302,Principles of Computer Science II,4.0,"PREREQUISITES CSC 1301 with a ""C"" or higher DESCRIPTION Fundamental principles of computer programming. Expressions, procedures, variable types, data, input/output. Emphasis on structure and clarity as well as correctness."
CSC 2301,Introduction to Python Programming,3.0,"DESCRIPTION This class introduces students to computer programming, with particular focus on Python programming. No prior programming experience is required. The class emphasizes design principles (e.g., pseudocode, stepwise refinement, object-oriented design as well as the syntax and semantics of an appropriate language. This class is for non-majors interested in obtaining some fundamental computer programming skills."
CSC 2302,Python Programming for Data Science,3.0,"CSC 1301 or CSC 2301 with a C or higher, or permission of instructor  This course is the second of a two-course sequence that introduces advanced computer programming, with a focus on Python programming. Topics include: Object-Oriented Programming, Recursion, Graphical User Interface (GUI) development, database development, and Internet and distributed computing. Heavy focus on data science applications and problems. 885"
CSC 2320,Fundamentals of Website Development,3.0,"PREREQUISITES familiarity with basic programming language concepts DESCRIPTION This course provides a foundation for developing dynamic websites and web applications. The first part covers the front-end aspects of web development: creating, designing, and publishing content using HTML, CSS, and JavaScript. The second covers the back- end aspects: using programming languages to generate, manipulate, and manage content (CGI, cookies, server- side scripting), and accessing a database using SQL for common website tasks (forms, user registration). While this course covers web development concepts that are applicable to most popular platforms, it is significantly hands-on. A major component is a final project involving implementing a dynamic website."
CSC 2510,Theoretical Foundations of Computer Science,3.0,"PREREQUISITES CSC 1301 and (MATH 1112 or MATH 1113 or MATH 2211) with grade C or higher DESCRIPTION This course covers the basic theoretical foundations required to study various sub-disciplines in computer science. Topics include: propositional and predicate logic with applications to logic programming, database querying, and program verification; induction and its application in proving correctness and termination of programs; recurrence relations, combinatorics, and graph theory with applications to analysis of algorithms; sets, relations, and functions and their applications in databases, functional programming, and automata."
CSC 2720,Data Structures,3.0,"PREREQUISITES CSC 1302, MATH 2211, and CSC 2510 or MATH 2420 with grades of ""C"" or higher DESCRIPTION Basic concepts and analysis of data representation and associated algorithms, including linerarly-linked lists, multi- linked structures, trees, searching, and sorting."
CSC 2920,Ethical and Social Issues in Computing,3.0,"CSC 1301 and CSC 1302 with a C or higher or permission of the department  This course is dedicated to the study of social, ethical, and legal effects of computing on society and its users. Ethical concepts, professional codes of ethics, and the influence of computing on individuals, organizations, and the global economy will be addressed. Students will utilize critical thinking and problem solving skills to analyze and debate case studies on topics some of which include privacy; intellectual property; computer crimes; system failures and implications; and, the impact of technology on society. 886"
CSC 3210,Computer Organization and Programming,4.0,"PREREQUISITES CSC 1302, and CSC 2510 or MATH 2420 with A C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course introduces the principles of computer architecture and assembly and machine language. Topics include principles of computer architecture, binary and hexadecimal arithmetic, signed and unsigned arithmetic, memory organization, addressing modes, procedure calls, the stack frame, floating point unit and instruction encoding, as well as writing assembly language programs. The course also covers the basics of CISC vs. RISC architecture and parallel architecture models and programming."
CSC 3320,System-Level Programming,3.0,"PREREQUISITES CSC 1302, and CSC 2510 or MATH 2420 with grades of ""C"" or higher.Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course DESCRIPTION An introduction to programming at the level of the operating system. Topics include editors, system calls, programming tools, files, processes, interprocess communication, and shells."
CSC 4110,Introduction to Embedded Systems Laboratory,4.0,PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. (Same as PHYS 4110.) Four lecture hours per week. Topics taken from: review of basic logic functions; automatic systems; microprocessor- based systems and applications; embedded system software survey; microprocessor-based applications; digital communications; and embedded systems programming.
CSC 4120,Introduction to Robotics,4.0,"PREREQUISITES CSC 3210 with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. The course focuses on programming robots. We will use robotic kits for the hardware, and program them using state-of-the-art languages, such as NQC."
CSC 4210,Computer Architecture,4.0,"CSC 3210 with grade of C or higher  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Logic design, combinatorial and sequential circuits, input-output devices, memory, processors, controllers, parallel architectures, bit-slicing, reduced instruction sets. 887"
CSC 4220,Computer Networks,4.0,PREREQUISITES CSC 3320 and either MATH 3020 or
MATH 3030,with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to computer networks; details of layered network protocols with emphasis on functionality and analysis. Principles of relevant state-of-the-art network standards.,,
CSC 4221,Wireless Networks & Mobile Computing,4.0,"PREREQUISITES CSC 2720 and CSC 3320 with grades of ""C"" or higher.Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course DESCRIPTION Introduction to wireless communication networks and mobile computing. Topics include: wireless communications technology; communication protocols in wireless networks; representative network types such as cellular wireless networks, wireless LANs, wireless ad hoc networks and wireless sensor networks, and mobile communication systems."
CSC 4222,Cyber Security,4.0,"PREREQUISITES CSC 2720 and CSC 3320 with grades of ""C"" or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course provides an initial overview on the topic of Information Security. It covers the basics of encryption and decryption, program security including viruses and other malicious code, application security, security in operating systems, security in networks and distributed systems, different methods of administering security, and legal and ethical issues in computer security."
CSC 4223,Privacy,4.0,PREREQUISITES CSC 2720 and either MATH 3020 or
MATH 3030,"with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course will study privacy in a few settings where rigorous definitions and enforcement mechanisms are being developed. This includes statistical disclosure limitation, semantics and logical specification of privacy policies that constrain information flow and use, principled audit and accountability mechanisms for enforcing privacy policies, anonymous communication protocols, and other settings such as in social networks, location privacy and Web privacy.",,
CSC 4224,Ethical Hacking,4.0,"CSC 2720 (Data Structures) and CSC 3320 (System Level Programming)  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to the methods and techniques used by computer hackers for malicious activity and by penetration testers for defensive measures. Understanding of the techniques used by intruders will lead to the design of countermeasures for secure computer systems. Students will implement hands- on experiments to learn identification of vulnerabilities in servers, websites, wireless networks, and cryptologic systems. 888"
CSC 4225,Internetwork Programming,4.0,"PREREQUISITES CSC 4220 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course provides students with an understanding of the Internet and details regarding the protocols used in the Internet. The students will also learn key components of network programming using the most widely-used application program interface, sockets. Topics to be covered include: Internet Protocol (IP), Transport Layer Protocol-Transmission Control Protocol (TCP), Transport Layer Protocol-User Datagram Protocol (UDP), and Unix/Linux Network Programming."
CSC 4226,Introduction to Software Security,4.0,"PREREQUISITES CSC 2720 Data Structure and CSC 3320 System-Level Programming with grades of C or better DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course is a study of the foundation of software security. Students will learn the characteristics of secure software, the role of security in the development lifecycle, designing secure software, best security programming practices, security for web applications, static analysis techniques, and software security testing."
CSC 4250,Malware Analysis and Defense,4.0,"PREREQUISITES CSC 3210 Computer Organization and Programming, CSC 2720 Data Structure DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course will introduce students to the fundamentals of malware analysis and defense techniques. Using hands-on- experience students will attain an understanding of identifying the functionalities and behaviors of malicious software. Students will use a disassembler to decompose, execute, and trace each line of a program. They will also learn how to patch the executable file and modify its behavior for a more secure outcome. Students will also have the chance to examine the effects of different types of malicious software that run either natively on a Windows or a Linux platforms. Students will learn how to defend a system by tracing back the infection and identifying the vulnerability used to exploit and implant the malicious software within the system."
CSC 4251,Computer Forensics,4.0,"CSC 2720 (Data Structures) and CSC 3320 (System Level Programming)  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course teaches how to obtain and analyze digital information for possible use as evidence in civil, criminal or administrative cases. The course covers the recovery and analysis of digital evidence, addressing legal and technical issues. Topics include applications of hardware and software to computer forensics, computer forensics law, volume and file system analysis, computer forensics investigations, and computer forensics in the laboratory. 889"
CSC 4260,Digital Image Processing,4.0,"PREREQUISITES CSC 2720 with grade of ""C"" or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Fundamentals of image processing, including image digitization, description, enhancement, segmentation, image transforms, filtering, restoration, coding, and retrieval. Concepts are illustrated by laboratory sessions in which these techniques are applied to practical situations, including examples from industrial and biomedical image processing."
CSC 4270,Digital Signal Processing,4.0,"PREREQUISITES CSC 4210 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course covers the nature of information, signals, transforms, and applications. Topics include analog to digital and digital to analog conversion, data storage (such as the audio format MP3), data transforms, and filters. Applications include noise reduction, signal analysis, volume control (e.g., audio signals), and compression. We will be using computer programs to handle mathematical modeling and calculations."
CSC 4310,Parallel and Distributed Computing,4.0,"PREREQUISITES CSC 3210 and CSC 3320 with grades of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to various parallel and distributed computing paradigms, algorithms, architectures, programming environments, and tools. Hands-on programming on both shared-memory and message-passing parallel architectures."
CSC 4320,Operating Systems,4.0,"PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to operating systems concepts. Topics may include multiprogramming, resources allocation and management, and their implementation."
CSC 4330,Programming Language Concepts,4.0,"CSC 2720, CSC 3210, and CSC 3320 with a C or higher  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Fundamental programming language concepts, including syntax versus semantics, binding time, scopes, and storage management. 890"
CSC 4340,Compilers,4.0,"PREREQUISITES CSC 2720 and CSC 3210 with grades of ""C"" or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Survey of topics related to compiler design, including parsing, table processing, code generation, and optimization."
CSC 4350,Software Engineering – CTW,4.0,"PREREQUISITES CSC 4520 with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course focuses on techniques used in large scale scientific or technical software development, including requirements analysis, specification, systems design, implementation, testing, validation, verification, and maintenance. Serves as the Critical Thinking Through Writing (CTW) course, as well as the capstone experience, required of all Computer Science majors."
CSC 4360,Mobile Application Development,4.0,"PREREQUISITES CSC 2720 with a grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Crosslisted with CSC 6360. This course will cover the technologies, tools, frameworks and languages that are most commonly used in developing mobile applications for multiple mobile platforms. Topics include mobile application design, user interfaces, mobile application demographic and platform delivery, mobile networking, hosting infrastructure, and mobile security."
CSC 4370,Web Programming,4.0,"PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. The course introduces the student to programming techniques required to develop Web applications. Topics include: HTML forms, JavaScript, Servlets and Java Server Pages, PHP and MySQL, Web access to Oracle databases, and XML."
CSC 4380,Windowing Systems Programming,4.0,"PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Development of application software within windowed environments. Concepts of programming including graphical user interfaces, event-driven architectures, and object- oriented language programming with an application programming interface."
CSC 4510,Automata,4.0,"CSC 2720 with a C or higher  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Theory of computing devices and the languages they recognize. Deterministic and non- deterministic finite automata, context- free grammars, pushdown automata, Turing machines and undecidability. 891"
CSC 4520,Design and Analysis of Algorithms,4.0,PREREQUISITES CSC 2720 and either MATH 3020 or
MATH 3030,"with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Techniques for designing efficient algorithms; analysis of algorithms; lower bound arguments; algorithms for sorting, selection, graphs, and string matching.",,
CSC 4610,Numerical Analysis I,3.0,PREREQUISITES MATH 2215 with grade of C or higher and the ability to program in a high-level language DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. (Same as MATH 4610.) Nature of error; iteration; techniques for nonlinear systems; zeros of functions; interpolation; numerical differentiation; Newton-Cotes formulae for definite integrals; computer implementation of algorithms.
CSC 4620,Numerical Analysis II,3.0,"PREREQUISITES Either MATH 3030 or both MATH 2641 and MATH 2215 with grades of C or higher, and the ability to program in a high level language DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. (Same as MATH 4620.) Gaussian Elimination for linear systems; least squares; Taylor, predictor-corrector and Runge- Kutta methods for solving ordinary differential equations; boundary value problems; partial differential equations."
CSC 4630,Matlab,4.0,"PREREQUISITES MATH 3030 with a grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course is designed to give science majors experience with the Matlab programming language. Matlab is used for scientific applications involving images, sound, and other signals. No previous programming experience is needed."
CSC 4650,Introduction to Bioinformatics,4.0,"CSC 2720, BIOL 1103K, [or BIOL 1103 and BIOL 1103L] and CHEM 1211K [or CHEM 1211 and CHEM 1211L] with grades of ""C"" or higher.Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course  The explosion in biological knowledge due to various genome projects and other high-throughput techniques has created entirely new fields and industries, and a need for trained computational biologists who are familiar with Biology, Statistics, and Computer Science. This course will introduce principles underlying current techniques in the analysis of different kinds of biological data. Topics include: sequence alignment, database searching, microarrays, structure analysis, and phylogenetic tree algorithms. 892"
CSC 4710,Database Systems,4.0,"PREREQUISITES CS 2720 with grade of ""C"" or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. An introduction to the fundamental concepts and principles that underlie the relational model of data. Topics include formal query languages; SQL; query optimization; relational database design theory; physical database design, integrity, security, and concurrency control."
CSC 4720,Human-Computer Interaction,4.0,"PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Techniques and methodologies for development of user interfaces in software systems; topics include interaction styles, interaction devices, user documentation, and interface assessment."
CSC 4730,Data Visualization,4.0,"PREREQUISITES CSC 3320 with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Data visualization or displaying data in visual forms and is closely related to data analytics. In this class, students will study the theories of data visualization, design principles, and data visualization techniques. Students will learn the various tools for creating interactive data visualizations, such as charts, maps, graphs and specialized data visualizations. (Same as CMIS 4200.)."
CSC 4740,Data Mining,4.0,"PREREQUISITES CSC 2720 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to basic data mining techniques (such as association rules mining, cluster analysis, and classification methods) and their applications (such as Web data mining, biomedical data mining and security)."
CSC 4750,Semantic Web,4.0,"PREREQUISITES CSC 2720 with a grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Crosslisted with CSC 6750. In-depth overview of the Semantic Web and how it can be applied. Major topics include core technical components and language constructs for the Semantic Web, linked data concepts/projects and RDF triple stores, and real world semantic Web applications."
CSC 4760,Big Data Programming,4.0,"CSC 2720 with grade of C or higher  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Crosslisted with CSC 6760. This course will cover the technologies, tools, frameworks and languages that are most commonly used in Big Data Programming. Focus will be on algorithms for analyzing and mining massive datasets, graphs and social network data. Topics include the storage, management, processing and analysis of massive datasets, as well as Big Data governance, security, and privacy issues. 893"
CSC 4780,Fundamentals of Data Science,4.0,"PREREQUISITES CSC 2720 with a C or better DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Introduction to the fundamental concepts of predictive data science for tabular data with qualitative and quantitative scales. Topics include: data exploration, pre-processing and visualization; analytics base table (ABT) generation; basic supervised learning algorithms (i.e. information-based learning, similarity-based learning, and error-based learning), and comparative evaluation of these algorithms."
CSC 4810,Artificial Intelligence,4.0,"PREREQUISITES CSC 2720 with a C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. An overview of techniques and methodologies in the field of artificial intelligence. Topics may include search strategies, problem solving, natural language processing, logic and deduction, memory models, learning, expert systems, knowledge representation, and robotics."
CSC 4820,Interactive Computer Graphics,4.0,"PREREQUISITES CSC 3320 with grade of ""C"" or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course will introduce students to 3D computer graphics and game programming. Students will learn how to develop 3D games and interactive computer graphics applications (such as virtual reality) using game engines. The topics include rendering, lighting, camera, sound, character control, animation, and physics. (Same as CMIS 3150.)."
CSC 4821,Fundamentals of Game Design,4.0,"PREREQUISITES CSC 3320 with grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Covers major aspects of game design such as challenges, gameplay, actions, core mechanics, worlds, characters, game balancing, user interfaces, and game genres."
CSC 4840,Advanced Computer Graphics Programming,4.0,"PREREQUISITES CSC 3320 with a grade of C or higher DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Students will learn advanced 3D graphics and game programming. The topics will include rendering, lighting, camera, animation, user interaction, physics simulation, game AI, and GPU. (Same as CMIS 4120.)."
CSC 4841,Computer Animation,4.0,"CSC 3320 with a grade of C or higher  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. The basics of three-dimensional computer animation including 3D modeling, lighting, texture mapping, key framing, character animation, rigid and soft body dynamics, particles, cloth, hair, fluid, etc. 894"
CSC 4850,Machine Learning,4.000,"PREREQUISITES CSC 4520 with a grade of C or better DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course is intended to provide a general introduction to machine learning. This course will cover the fundamental concepts and principles of supervised learning, unsupervised learning, semi- supervised learning and reinforcement learning. Students will understand the basic knowledge of machine learning, be familiar with classic machine learning algorithms, and gain experience of designing and implementing methods in"
CSC 4870,Honors Thesis I,1.0,PREREQUISITES Good standing with the Honors College and consent of instructor DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Readings or research preparatory to honors thesis or project. Signature Experience course.
CSC 4880,Honors Thesis II,1.0,PREREQUISITES Good standing with the Honors College and consent of instructor.Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course DESCRIPTION Writing or production of honors thesis or project. Signature Experience course.
CSC 4940,Computer Science Internship,for a maximum total of 4 credit hours to,DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. This course will require students to document and present the project they worked on during their internship. Students are able to register for the course at most 2 times count towards their degree (excluding Area G). This course may include a Signature Experience component.
CSC 4980,Topics in Computer Science,4.0,PREREQUISITES Consent of Instructor DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Selected topics in Computer Science will be covered. Topics include the latest advances in computing.
CSC 4982,Undergraduate Research in Computer Science,4.0,PREREQUISITES at least 12 upper-division hours in computer science DESCRIPTION Authorization required. Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Independent investigation of topics of common interest to student and instructor. This course may include a Signature Experience component.
CSC 4995,Directed Readings B.I.S.-CTW,3.0,Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Directed Readings designed for Bachelor of Interdisciplinary Studies students. This course may satisfy the junior and/or senior-level Critical Thinking Through Writing requirements. 895
CSC 4998,Selected Topics,than six credit hours may be applied,PREREQUISITES consent of instructor DESCRIPTION Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. No more toward the major. May be repeated if topics are different.
CSC 4999,Directed Readings,1.0,GPA of 3.0 or higher and consent of instructor  Students must meet the Computer Science Major Eligibility Requirement in order to enroll in this course. Directed study with a faculty member. 896
COOP 2000,Cooperative Education 1,3.0,"PREREQUISITES Completion of Pre Co-Op courses and professional development requirements as specified by major; meet minimum grade point average for Pre Co-Op courses as specified by major; by permission only DESCRIPTION Cooperative educational experience in full-time working environment relevant to academic major under supervision of cooperate, industrial, or governmental or non-governmental professionals with oversight by major."
