"course_title","code","subject","description"
"Ethics and Politics of Justice","CRM/LAW C163","CRM/LAW - Criminology, Law and Society","Theoretical perspective on how ethics and politics relate to criminal justice through an introduction to moral philosophy; consideration of specific theories of punishment and justice; and consideration of practical and empirical illustrations of the intersection of ethics, politics, and justice.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Social Control of Delinquency","CRM/LAW C164","CRM/LAW - Criminology, Law and Society","Assumes familiarity with theories of delinquency, the juvenile justice system, and elements of juvenile law. Explores socio-historical origins and evolution of juvenile justice, current research and policy on delinquency prevention and treatment, and future directions of law, policy, and practice.Prerequisite: Recommended:CRM/LAW C109.Same asPSCI 193C.Restriction: Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"The Death Penalty","CRM/LAW C165","CRM/LAW - Criminology, Law and Society","Examines why the U.S. continues to have a death penalty when so many other countries have abandoned it. Arguments for and against the death penalty are covered.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Spatial Criminology","CRM/LAW C166","CRM/LAW - Criminology, Law and Society","Scholars have long noted crime events exhibit a spatial patterning. The principal theoretical perspectives that attempt to explain such a spatial patterning, as well as the research methods used to study crime in spatial context are considered.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Crime Measurement","CRM/LAW C167","CRM/LAW - Criminology, Law and Society","The strengths and weaknesses of three crime measures (police reports, victim surveys, and offender self-reports) are illustrated through analyses of research articles. Common measurement problems are analyzed with a focus on reliability and validity.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Extreme Punishment   ","CRM/LAW C168","CRM/LAW - Criminology, Law and Society","Explores the history and law of America’s Eighth Amendment prohibition against cruel and unusual punishment, examining the death penalty, long prison sentences, harsh confinement conditions, and other punishments. Students debate practical, legal, and moral arguments for and against these punishments.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Advanced Research Methods","CRM/LAW C169W","CRM/LAW - Criminology, Law and Society","For students planning to conduct senior research projects or apply to graduate school in social research fields. Topics include reviewing literature, preparing a research proposal, protecting human subjects, citing scholarly work, building measures, estimating sample size, interview and presentation skills.Prerequisite:SOCECOL 10andSOCECOL 13. Satisfactory completion of the Lower-Division Writing requirement.Same asSOCECOL 111W,PSCI 111W,UPPP 114W.(Ib)"
"Immigration and Crime","CRM/LAW C174","CRM/LAW - Criminology, Law and Society","Examines immigration and crime in the global context, highlighting immigrants as criminals and victims; immigration and crime control; immigrants’ perceptions of the criminal justice system; public discourse and public perception on immigration and crime; and human rights issues.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Issues in Policing","CRM/LAW C175","CRM/LAW - Criminology, Law and Society","Lectures and readings focus on the history and strategies of policing, measuring the quality of policing, and police misconduct. Strategies for enhancing the quality of policing for controlling misconduct are covered.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Classics in Crime Cinema","CRM/LAW C176","CRM/LAW - Criminology, Law and Society","A multidimensional understanding of crime films and how they shape public thinking about crime and criminals.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Eyewitness Testimony","CRM/LAW C177","CRM/LAW - Criminology, Law and Society","Faulty eyewitness testimony is a major cause of wrongful convictions. Covers the fast-growing topic of eyewitness testimony and memory for real-world events, both how psychologists study eyewitness capacity, and how the legal system has dealt with eyewitness issues.Prerequisite:SOCECOL 10Same asPSCI 193G.Restriction: Seniors only. Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.Concurrent withCRM/LAW C263."
"Critical Race Theory","CRM/LAW C178","CRM/LAW - Criminology, Law and Society","Introduction to Critical Race Theory and key American cases on racial inequality. Using this literature, examines the possibilities and pitfalls of legal claims of race, gender, and sexuality discrimination in the age of colorblindness.Same asAFAM 157.Restriction: Upper-division students only. African-American Studies Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Race and Incarceration","CRM/LAW C179","CRM/LAW - Criminology, Law and Society","Examines the racial politics of mass incarceration through historical, empirical, theoretical, and legal frameworks. Focuses on race, gender, and sexual differences to develop a critique on policing, incarceration, and other forms of punishment.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Power, Constructions of Deviance, and Social Control ","CRM/LAW C180","CRM/LAW - Criminology, Law and Society","Examines the forms and limits of power in the construction of social deviants. Theories of state power are covered to understand the prison system as a contemporary driver of social inequality. The collateral consequences of mass incarceration are discussed.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Illegal Economics","CRM/LAW C182","CRM/LAW - Criminology, Law and Society","How illegal firms function in illegal markets, why individuals participate in these groups and markets, and what federal, state, and local governments do to disrupt organized illegal activity.Same asECON 146A.Restriction: Business Economics Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Controversies, Courts, Cultures: The Anthropology of Law","CRM/LAW C183","CRM/LAW - Criminology, Law and Society","Assesses the contributions anthropology has made to legal scholarship, reviewing historical and contemporary themes. Considers both comparative questions of law’s norms, structures, and practices around the globe, and the specific insights anthropology offers about contemporary U.S. law.Same asANTHRO 127.(III)"
"Economics of Criminal Justice","CRM/LAW C184","CRM/LAW - Criminology, Law and Society","Provides an introduction to the economics of crime literature.Prerequisite:ECON 122AorECON 123ASame asECON 146B.Restriction: Business Economics Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Social Media and The Law","CRM/LAW C186","CRM/LAW - Criminology, Law and Society","Examines legal and policy issues raised by the rise of social media. Surveys how social networking platforms and other emerging technologies impact the right to privacy, public perceptions of judicial systems, and the law generally.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Undocumented Immigrant Experiences","CRM/LAW C187","CRM/LAW - Criminology, Law and Society","Examines the experiences of undocumented immigrants and the policies that structure their educational, economic, social, and political participation.Same asASIANAM 130,CHC/LAT 164A,SOCIOL 177C.(III and VII )."
"Applied Statistics in Social and Behavioral Research","CRM/LAW C190","CRM/LAW - Criminology, Law and Society","Covers statistical techniques used to describe and make generalizations about phenomena represented by data. Hands-on experience in data analysis and interpretation using statistical software (SPSS, STATA) is emphasized. Topics include data visualization, ANOVA, multiple regression, and categorical data analyses.Prerequisite:SOCECOL 13Same asPSCI 190,SOCECOL 190,UPPP 190.Restriction: Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment."
"Research Seminar in Criminology, Law and Society","CRM/LAW C196","CRM/LAW - Criminology, Law and Society","Special topics research seminar. Content varies with interest of instructor. Capstone research opportunity with Criminology, Law and Society faculty members.Repeatability: Unlimited as topics vary.Restriction: Upper-division students only. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Research Methods","CRM/LAW C201","CRM/LAW - Criminology, Law and Society","An introduction to techniques of inductive methodologies, including qualitative interviewing and participant observation, and deductive methodologies, including survey research and experimental and quasi-experimental design. Provides a sound overview of research methodology with tools to pursue specific methods in greater depth.Restriction: Graduate students only."
"Research Methods II","CRM/LAW C202","CRM/LAW - Criminology, Law and Society","Covers qualitative approaches (interview strategies, varieties of ethnography, archival and historical methods, etc.) and quantitative approaches (survey methods, experimental designs, secondary data sets, comparative and international data, etc.), and concludes with mixed-method approaches.Prerequisite:CRM/LAW C201.CRM/LAW C201with a grade of B or betterRestriction: Graduate students only."
"Qualitative Methods Practicum","CRM/LAW C203A","CRM/LAW - Criminology, Law and Society","Designed to deepen students’ familiarity with qualitative research strategies and to guide them through the initial stages of their Second Year Project requirement, such as the development of an original research proposal and/or a research instrument.Prerequisite:CRM/LAW C202.CRM/LAW C202with a grade of B or betterRestriction: Graduate students only."
"Quantitative Methods Practicum","CRM/LAW C203B","CRM/LAW - Criminology, Law and Society","Deepens familiarity with quantitative research and provides a foundation for the second-year paper, e.g., initial models for data analysis and/or a replication study. Students evaluate what assumptions are necessary for credible inference in different evaluation approaches.Prerequisite:CRM/LAW C202.CRM/LAW C202with a grade of B or betterRestriction: Graduate students only."
"Land-Use Law","CRM/LAW C207","CRM/LAW - Criminology, Law and Society","Investigates legal and institutional frameworks for development control. Review of constitutional issues implicated in land-use regulation. Traces development control historically and analyzes contemporary approaches to land-use control which reflect environmental and economic development concerns.Same asUPPP 207.Restriction: Graduate students only."
"Introduction to Criminology, Law and Society","CRM/LAW C210","CRM/LAW - Criminology, Law and Society","Familiarizes students with the interrelated fields of criminology, law and society studies, and criminal justice studies. Organized around three well-established interdisciplinary literatures: criminology, sociolegal studies, and criminal justice studies.Restriction: Graduate students only. Criminology, Law and Society Majors only."
"Legal Institutions and Society","CRM/LAW C211","CRM/LAW - Criminology, Law and Society","Acquaints students with the institutions of U.S. legal system and its operations, as well as with the constitutional framework undergirding this system, and defines the relationship between U.S. citizens and government at a variety of levels.Restriction: Graduate students only."
"Policing","CRM/LAW C212","CRM/LAW - Criminology, Law and Society","Introduces the subject of policing. Topics include the management of police organizations, the effectiveness of police patrol strategies, the experiences of women in policing, the recruitment and retention of police officers, and other related topics.Restriction: Graduate students only."
"Crime and Social Deviance","CRM/LAW C213","CRM/LAW - Criminology, Law and Society","Examines the major social scientific perspectives on criminal and deviant behavior. Specific deviant and criminal activities are described and explained using established theoretical frameworks.Restriction: Graduate students only."
"Research Methods","CRM/LAW C214","CRM/LAW - Criminology, Law and Society","Structures research methodology, the approach to developing and evaluating knowledge of the sciences for use in criminal justice professional activities. Special emphasis on differentiating scientific approaches from pseudo-science.Restriction: Graduate students only."
"Applied Statistics","CRM/LAW C215","CRM/LAW - Criminology, Law and Society","Provides a basis for the use of fundamental statistical analysis techniques for solving public policy and management problems through a series of assignments, examinations, and online discussions and demonstrations.Restriction: Graduate students only."
"Public Policy, Crime, and Criminal Justice","CRM/LAW C216","CRM/LAW - Criminology, Law and Society","Increases understanding of crime, violence, and the criminal justice system. Assesses the state of knowledge on key policy issues of our time. Discusses the contribution of communities, schools, employment, drugs, guns, and alcohol to crime and violence.Restriction: Graduate students only."
"Leadership","CRM/LAW C217","CRM/LAW - Criminology, Law and Society","Introduces concepts, ideas, and theories about leadership and its operation. Explores leadership concepts through interviews with leaders from the community and fellow classmates.Restriction: Graduate students only."
"Social Problems, Law, and Policy","CRM/LAW C218","CRM/LAW - Criminology, Law and Society","Capstone course for M.A.S. program in Criminology, Law and Society. Students choose a social problem related to crime, criminal justice, and law; relate the problem to legal and social issues; and devise a plan of action to research the problem.Restriction: Graduate students only. Criminology, Law and Society Majors only."
"Hate Crime","CRM/LAW C219","CRM/LAW - Criminology, Law and Society","Examines the causes, manifestations, and consequences of hate crimes, as well as the larger social context within which they occur, are reacted to, and seem to be proliferating.Restriction: Graduate students only."
"Sentencing and Corrections","CRM/LAW C221","CRM/LAW - Criminology, Law and Society","Reviews U.S. attempts to punish and rehabilitate convicted law violators. Conflicts among major purposes of sentencing (rehabilitation, deterrence, incapacitation, and retribution) are discussed, as well as effects of different sanctions on public safety, offender rehabilitation, and justice system costs.Restriction: Graduate students only."
"Ethnography","CRM/LAW C222","CRM/LAW - Criminology, Law and Society","Explores the theory and practice of ethnography with a focus on anthropology, the discipline most associated with ethnography. Students are exposed to the theoretical underpinnings of ethnographic work, traditional and innovative practices, and sample ethnographies.Same asANTHRO 230F,CHC/LAT 217.Restriction: Graduate students only."
"Causal Methods for Policy Analysis","CRM/LAW C226","CRM/LAW - Criminology, Law and Society","Provides students with hands-on experience using existing data to estimate the impact of policy and law on individual behavior or aggregate social outcomes. Covers different econometric strategies used to identify causal effects in the absence of an experiment.Restriction: Graduate students only."
"Criminology: Micro Approaches","CRM/LAW C228","CRM/LAW - Criminology, Law and Society","Introduces students to the dominant theories in modern criminology, their theoretical antecedents and extensions, major empirical tests and implications for programs, policy and practice, and focuses on micro-level, individual theories of crime causation. Formerly Criminology, Law and Society C233A."
"Criminology: Macro Approaches","CRM/LAW C229","CRM/LAW - Criminology, Law and Society","Introduces students to the dominant theories in modern criminology, their theoretical antecedents and extensions, major empirical tests and implications for programs, policy and practices, and addresses macro-level theories of crime causation. Formerly Criminology, Law and Society C233B."
"Crime and Gender    ","CRM/LAW C231","CRM/LAW - Criminology, Law and Society","Examines the legal, political, social, economic, and policy implications of making gender (primarily) and race (secondarily) the focus in the study of crime, criminal law, and the criminal justice system.Restriction: Graduate students only."
"Anthropology of Law","CRM/LAW C234","CRM/LAW - Criminology, Law and Society","Law has been a key site of anthropological inquiry since the discipline's nineteenth-century origins. Course introduces and critically assesses the contributions anthropology has made to sociolegal lytic trends.Restriction: Graduate students only."
"White-Collar Crime","CRM/LAW C238","CRM/LAW - Criminology, Law and Society","Examines the illegal behavior of individuals who commit crimes in the course of their employment. Special attention will be paid to ways in which power and organizational structure affect the behavior of the white-collar offenders.Restriction: Graduate students only."
"Law and Society I","CRM/LAW C239A","CRM/LAW - Criminology, Law and Society","Provides an introduction to the law and society field from its origins in social scientific, legal, and philosophical scholarship during the eighteenth, nineteenth, and early-twentieth centuries. Formerly Criminology, Law, and Society C239.Restriction: Graduate students only."
"Law and Society II","CRM/LAW C239B","CRM/LAW - Criminology, Law and Society","Building on Law and Society I, addresses contemporary issues in the field from mid-twentieth century to the present with emphasis on the degree to which the field's foundational assumptions are being challenged, refined, or confirmed through current research.Prerequisite:CRM/LAW C239A.CRM/LAW C239Awith a grade of B- or betterRestriction: Graduate students only."
"Socio-Legal Workshop","CRM/LAW C240A","CRM/LAW - Criminology, Law and Society","Designed to foster intellectual discussion, encourage practice and skill-building in providing feedback, and build substantive knowledge of legal scholarship, this workshop is for both law and doctoral students across campus who are interested in interdisciplinary approaches to studying law.Grading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Socio-Legal Workshop","CRM/LAW C240B","CRM/LAW - Criminology, Law and Society","Designed to foster intellectual discussion, encourage practice and skill-building in providing feedback, and build substantive knowledge of legal scholarship, this workshop is for both law and doctoral students across campus who are interested in interdisciplinary approaches to studying law.Prerequisite:CRM/LAW C240A.CRM/LAW C240Awith a grade of B- or betterGrading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Socio-Legal Workshop","CRM/LAW C240C","CRM/LAW - Criminology, Law and Society","Designed to foster intellectual discussion, encourage practice and skill-building in providing feedback, and build substantive knowledge of legal scholarship, this workshop is for both law and doctoral students across campus who are interested in interdisciplinary approaches to studying law.Prerequisite:CRM/LAW C240B.CRM/LAW C240Bwith a grade of B or betterRestriction: Graduate students only."
"Crime Hotspots","CRM/LAW C242","CRM/LAW - Criminology, Law and Society","Focuses on the criminological theory of hotspots, beginning with the “when, where, and why” questions and ending with the practical policing strategies that have been developed to mitigate hotspot public safety hazards.Restriction: Graduate students only."
"Geographic Information Systems","CRM/LAW C248","CRM/LAW - Criminology, Law and Society","Prepares students to become proficient in the basic GIS functionality including visualization, data management, and spatial analysis.Restriction: Graduate students only."
"Preventing Errors of Justice","CRM/LAW C250","CRM/LAW - Criminology, Law and Society","Examines the types of errors that are made in the U.S. criminal justice system and how we might prevent these errors, including failures to convict guilty offenders as well as wrongful convictions of the innocent.Restriction: Graduate students only."
"Issues in Environmental Law and Policy","CRM/LAW C252","CRM/LAW - Criminology, Law and Society","Treatment of legal and policy strategies for promoting environmental protection and deterring environmental degradation within the context of other societal objectives. Topical approach with a focus on problems of special interest to criminologists and to environmental policy specialists.Same asUPPP 252.Restriction: Graduate students only."
"Cybercrime, Cybersecurity, and Society","CRM/LAW C253","CRM/LAW - Criminology, Law and Society","Introduces students to the world of cybercrime in the age of globally networked digital, and information and communication technologies (ICT). Presents a socio-legal approach to the study of cybercrime, cybersecurity, and how it relates to society.Restriction: Graduate students only. Criminology, Law and Society M.A.S. students only."
"Immigration in the US: Economic, Fiscal, and Social Outcomes","CRM/LAW C254","CRM/LAW - Criminology, Law and Society","The changing patterns of immigration in the U.S. and the role that immigrants play in our society. In particular, the economic and social outcomes of immigration, as well as the relationship between immigration, crime, and criminal justice policy.Restriction: Graduate students only. Criminology, Law and Society Majors only."
"Public Policy","CRM/LAW C255","CRM/LAW - Criminology, Law and Society","Explores different approaches to public policy analysis, the diverse conceptions of the goals and objectives that should be served by policy, and the appropriate role of the policy analyst.  Policy consequences are traced to indirect and subtle incentives and disincentives.Same asUPPP 221,POL SCI 221A.Restriction: Graduate students only."
"Juvenile Justice and Gangs","CRM/LAW C257","CRM/LAW - Criminology, Law and Society","Aims to understand the history and evolution of the juvenile justice system, and introduces the challenges that street and prison gangs pose to the mission and operations of juvenile justice in America.Restriction: Graduate students only. Criminology, Law and Society M.A.S. students only."
"Crimmigration","CRM/LAW C258","CRM/LAW - Criminology, Law and Society","Examines the criminalization of immigration, with an emphasis on U.S. enforcement procedures and outcomes. Analyzes the devolution of federal immigration law to local authorities, the rise in immigrant detention and deportation, and the militarization of the U.S.-Mexico border.Same asCHC/LAT 225,SOCIOL 268.Restriction: Graduate students only."
"Race and Justice Studies Proseminar ","CRM/LAW C260A","CRM/LAW - Criminology, Law and Society","A year-long proseminar conducted by a team of instructors specializing in race and justice studies. Conceived as a reading and peer mentor group focusing on intellectual and professional development. Required for students pursuing the Race and Justice Studies emphasis.Grading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Race and Justice Studies Proseminar","CRM/LAW C260B","CRM/LAW - Criminology, Law and Society","A year-long proseminar conducted by a team of instructors specializing in race and justice studies. Conceived as a reading and peer mentor group focusing on intellectual and professional development. Required for students pursuing the Race and Justice Studies emphasis.Prerequisite:CRM/LAW C260A.CRM/LAW C260Awith a grade of B- or betterGrading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Race and Justice Studies Proseminar","CRM/LAW C260C","CRM/LAW - Criminology, Law and Society","A year-long proseminar conducted by a team of instructors specializing in race and justice studies. Conceived as a reading and peer mentor group focusing on intellectual and professional development. Required for students pursuing the Race and Justice Studies emphasis.Prerequisite:CRM/LAW C260B.CRM/LAW C260Bwith a grade of B- or betterRestriction: Graduate students only."
"Race and Justice Studies Writing Seminar ","CRM/LAW C261","CRM/LAW - Criminology, Law and Society","A required writing-intensive seminar conducted by an instructor affiliated with the Race and Justice Studies emphasis. Students with manuscripts on relevant topics will read and critique peer manuscripts, and revise manuscripts toward completion of articles, dissertation chapters, and other publications.Prerequisite:CRM/LAW C260C.CRM/LAW C260Cwith a grade of B- or betterSame asHUMAN 261,SOC SCI 253K.Restriction: Graduate students only."
"Special Topics in Race and Justice Studies","CRM/LAW C262","CRM/LAW - Criminology, Law and Society","A seminar focused on special issues in race and justice studies.Repeatability: Unlimited as topics vary.Restriction: Graduate students only."
"Eyewitness Testimony","CRM/LAW C263","CRM/LAW - Criminology, Law and Society","Examines the evidence that shows that faulty eyewitness memory is the major cause of wrongful convictions. Explores what the legal system thinks of eyewitness testimony and how the legal system has dealt with eyewitness issues.Same asPSCI P263.Restriction: Graduate students only."
"Memory and the Law","CRM/LAW C265","CRM/LAW - Criminology, Law and Society","Examines the controversial topic of repressed memory, or perception and memory of real-world events.Same asPSCI P265.Restriction: Graduate students only."
"Psychology and the Law","CRM/LAW C266","CRM/LAW - Criminology, Law and Society","Overview of how psychology is applied to the civil and criminal justice systems, how case law shapes this application, and how legal decisions affect the direction of psychological research. Interdisciplinary approach to research in psychology, law, and/or  criminology.Same asPSCI P266.Restriction: Graduate students only."
"Contemporary Issues in Crime and Justice","CRM/LAW C268","CRM/LAW - Criminology, Law and Society","Intensive reading and discussion of several recent works that raise critical issues for criminology and criminal justice policy, with a special emphasis on issues of inequality, diversity, and social justice.Restriction: Graduate students only."
"Economics of Crime","CRM/LAW C270","CRM/LAW - Criminology, Law and Society","An introduction to the economic approach of thinking about criminal activity. Using the Becker model of rational criminal behavior as a starting point, we evaluate how education, employment, social insurance, and local economic development programs can affect criminal behavior.Restriction: Graduate students only."
"Economics of Criminal Justice","CRM/LAW C271","CRM/LAW - Criminology, Law and Society","Considers empirical research from the economics literature on various topics related to the criminal justice system, such as policing, bail reform, incarceration, or recidivism.Same asECON 271.Restriction: Graduate students only."
"Special Topics in Criminology, Law and Society","CRM/LAW C275","CRM/LAW - Criminology, Law and Society","Topics covered vary with interests of instructor.Repeatability: Unlimited as topics vary."
"Professionalization Proseminar","CRM/LAW C280A","CRM/LAW - Criminology, Law and Society","Focuses on two areas that are key to scholarly and professional success in graduate school but are rarely discussed in a structured setting: 1) publishing in peer-reviewed academic journals; and 2) preparing for the academic job market.Grading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Professionalization Proseminar","CRM/LAW C280B","CRM/LAW - Criminology, Law and Society","Focuses on two areas that are key to scholarly and professional success in graduate school but are rarely discussed in a structured setting: 1) publishing in peer-reviewed academic journals; and 2) preparing for the academic job market.Prerequisite:CRM/LAW C280A.CRM/LAW C280Awith a grade of B- or betterGrading Option: In Progress (Letter Grade with S/U).Restriction: Graduate students only."
"Professionalization Proseminar","CRM/LAW C280C","CRM/LAW - Criminology, Law and Society","Focuses on two areas that are key to scholarly and professional success in graduate school but are rarely discussed in a structured setting: 1) publishing in peer-reviewed academic journals; and 2) preparing for the academic job market.Prerequisite:CRM/LAW C280B.CRM/LAW C280Bwith a grade of B- or betterRestriction: Graduate students only."
"Doctoral Dissertation Research and Writing","CRM/LAW C296","CRM/LAW - Criminology, Law and Society",""
"Directed Study","CRM/LAW C298","CRM/LAW - Criminology, Law and Society",""
"Independent Study    ","CRM/LAW C299","CRM/LAW - Criminology, Law and Society",""
"Introduction to Criminology, Law and Society ","CRM/LAW C7","CRM/LAW - Criminology, Law and Society","Introduces characteristics of the U.S. criminal justice system, including responses to crime, components of the system, and current challenges to the system. Examines structure and function of police and courts, criminal procedure, and sentencing and incarceration policies.Restriction: Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.(III)"
"The Properties of Property","CRM/LAW H80","CRM/LAW - Criminology, Law and Society","Develops an understanding and critique of private property. Draws from interdisciplinary sources to explore the foundations of private property, the institutions that support it over time, and possible alternatives to it.Restriction: Campuswide Honors Collegium students only.(III)"
"Topics in Historical Foundations (1500-1800)","EURO ST 10","EURO ST - European Languages and Studies","Offers an overview of the European experience from its social, political, and cultural foundations to modern European issues and institutions in a globalized world. Topics include social, political, and cultural history up to the French Revolution.Repeatability: Unlimited as topics vary.Overlaps withEURO ST S10.((III or IV) and VIII )."
"Topics in European Literatures and Visual Cultures","EURO ST 100A","EURO ST - European Languages and Studies","Explores developments in literature and/or the visual culture (art, film, media) within the broader context of Europe by comparing different traditions.Repeatability: Unlimited as topics vary."
"Topics in European Identities: Race, Nation, Religion, Migration","EURO ST 100B","EURO ST - European Languages and Studies","Introduces Europe not as a geographical location but as a site of constant evolution and change. Its “identity” has been negotiated and is being negotiated in the face of significant social, cultural, and political developments, also in a global context.Repeatability: Unlimited as topics vary."
"Topics in European Thought, Culture, and Society","EURO ST 100C","EURO ST - European Languages and Studies","Introduces multidisciplinary approaches to important themes in European society, culture, art, literature, philosophy, and politics.Repeatability: Unlimited as topics vary."
"European Studies Core I - Early Europe (Pre-1789)","EURO ST 101A","EURO ST - European Languages and Studies","Introduction to multidisciplinary approaches to important themes in European society, culture, art, literature, and politics; encourages students to explore intersections among disciplines. Possible themes: Concept of Europe in Renaissance, Self and Other: Europe and Islam, Hybrid Cultures in Medieval Europe.Repeatability: Unlimited as topics vary."
"European Studies Core II: Modern Europe (Post-1789)","EURO ST 101B","EURO ST - European Languages and Studies","Multidisciplinary approaches to important themes in modern European society, culture, art, literature, and politics, encouraging students to see points of intersection among disciplines. Possible themes: Subjects, Citizens, and Representation; Europe in the World; European Revolutions in Art and Society.Repeatability: Unlimited as topics vary."
"Topics in Early European History and Culture: Pre-1789","EURO ST 102","EURO ST - European Languages and Studies","Addresses historical and cultural events, issues, and texts (art, literature, music, political theory) from the pre-1789 period in more than one European country.Repeatability: Unlimited as topics vary."
"Topics in Modern European History and Culture: Post-1789","EURO ST 103","EURO ST - European Languages and Studies","Addresses historical and cultural events, issues, and texts (art, literature, music, political theory) from 1789 to present in more than one European country.Repeatability: Unlimited as topics vary."
"Issues and Institutions in Modern Europe (1789-1945)","EURO ST 11","EURO ST - European Languages and Studies","Offers an overview of modern European societies in social, political, and cultural terms. Topics include shifting geopolitical borders, social movements, and various forms of cultural expression (film, art, literature) as they intersect with and shape issues and events after 1800.Repeatability: Unlimited as topics vary.((III or IV) and VIII )."
"What is the Origin of Language?","EURO ST 12","EURO ST - European Languages and Studies","Teaches symbol-based logic and universal grammar in human language as tools to investigate the origin of language. Does language originate with reason? Is language inherently universal or diverse? Does it begin as something literal or figurative.((III or IV) and Vb )."
"Topics in Contemporary Europe (1945 – Today)","EURO ST 13","EURO ST - European Languages and Studies","Offers a perspective on contemporary politics and social and cultural life of today’s Europe. Introduces students to literature, film, and social theory crises of the contemporary world as they emanated from World War II, such as nationalism and populism.Repeatability: Unlimited as topics vary.(IV and VIII )."
"Topics in European Culture and Society","EURO ST 139W","EURO ST - European Languages and Studies","Students engage in rigorous, in-depth, interdisciplinary exploration of specific topics, periods, or themes, investigating and analyzing the intersection of history and culture in different periods and geographical locations in Europe.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Repeatability: May be taken for credit 1 times as topics vary.(Ib)"
"European Culture and Society","EURO ST 150","EURO ST - European Languages and Studies","Addresses historical and cultural events, issues, and texts from an interdisciplinary perspective (art, literature, music, political theory). The historical focus of the course could be from the Middle Ages to the present.Repeatability: Unlimited as topics vary."
"Senior Seminar in European Studies","EURO ST 190W","EURO ST - European Languages and Studies","Capstone research seminar. Students engage in rigorous, in-depth, interdisciplinary exploration of specific topics, periods, or themes, investigating and analyzing the intersection of material and discursive culture in different historical periods and geographical locations.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Restriction: School of Humanities students only.(Ib)"
"Independent Study","EURO ST 199","EURO ST - European Languages and Studies",""
"Core Seminar I: Foundations of European Thought and Culture","EURO ST 200A","EURO ST - European Languages and Studies","Provides a historical, geographical, and methodological overview of foundational texts and issues in European thought and culture. Covering several historical periods between the Middle Ages and the present, students will see how ideas and institutions change over time."
"Core Seminar II: Theorizing Periods and Movements in European Thought and Culture","EURO ST 200B","EURO ST - European Languages and Studies","Periods and movements still form basic units for organizing European thought and theory, even as such categories are problematized. This course will allow for greater focus on a specific time period or constellation of issues around a period or movement."
"Core Seminar III: European Thought and Culture Beyond Europe","EURO ST 200C","EURO ST - European Languages and Studies","Studies the intersection and afterlives of European thought and culture with and in non-European contexts, the way European thought and culture has been translated and transformed, taken up and challenged, in colonial, postcolonial, and other global situations."
"Topics in European Studies","EURO ST 201","EURO ST - European Languages and Studies","Seminars on various topics related to European Studies.Repeatability: Unlimited as topics vary."
