"code","level","title","credits","description"
"DANCE 358","","Dance and Film",2.0,"Studies in dance and film."
"DANCE 354","","Dance & Identity",2.0,"Exploration of studies and issues regarding dance and identity. Topics include but are not limited to gender, race, ethnicity, culture, spirituality, and dance genre specificities."
"DANCE 462R","No","Choreo, Adv",2.0,"Advanced choreographic studies in dance."
"DANCE 326","","Dance for Elementary Classroom",2.0,"Methodology course for elementary education majors; creative dance and structured rhythmic dance forms."
"DANCE 461","","Dance History 2",2.0,"Survey of the development of dance in recent history, including significant social, political, economic, and aesthetic trends influencing dance-making. "
"DANCE 460","No","Dance History and Theory",3.0,"Survey of dance history with a focus on critical and conceptual engagement with the cyclical trends of dance throughout history."
"DANCE 363R","","Dance Improvisation, Interm",1.0,"Intermediate improvisational skills focused on impromptu creative problem solving and movement exploration."
"DANCE 229R","","Dance Perf-1",3.0,"Participation as dancers in concert dance production."
"DANCE 429R","","Dance Perf-2",3.0,"Participation as dancers in concert dance production."
"DANCE 355","","Dnc Prductn Intro",2.0,"Principles and practices of technical aspects of dance production."
"DANCE 466","","Dance Teaching Pract and Mgmt",3.0,"Pre-student teaching course giving students practical teaching and classroom management experience in a mentored environment. Discussion lab integrating theory and experience."
"DANCE 368R","","DancEnsemble",2.0,"Experiences in contemporary dance choreography and performance."
"DANSH 340","No","Danish Literature",3.0,"Readings in Danish literature; introduction to basic literary concepts.  Includes International Cinema."
"ITAL 460","","Dante's Divine Comedy",3.0,"Intensive examination of Dante's major opus."
"MFGEN 401","No","Data Analysis",3.0,"Basic statistical methods, with an emphasis on manufacturing applications. Topics include sampling guidelines, design of experiments, analysis of variance, regression analysis, and model selection. Introduction to using Excel spreadsheets, Access databases, and VBA programming for data analysis."
"P POL 603","","Data Analysis 1",3.0,"Introduction to descriptive and inferential statistics."
"P POL 604","","Data Analysis 2",3.0,"Quantitative data collection and analysis."
"PSYCH 501","","Data Analysis in Psych Rsrch 1",3.0,"Using and interpreting major quantitative methods in psychology; some commonly used computer methods."
"PSYCH 502","","Data Analysis in Psych Rsrch 2",3.0,"Introduction to multivariate data analysis methods, including multivariate analysis of variance, factor analysis, discriminant analysis, multivariate multiple regression, canonical correlation, structural equations modeling, cluster analysis, etc. "
"SOC 307","","Data Analysis & Presentation",3.0,"Framing research questions, locating available data, using programs and statistical packages for univariate and bivariate analysis, presenting and summarizing findings. "
"ACC 407","No","Data Analytics in Accounting",3.0,"Focus on understanding an analytics mindset and using tools to properly apply that mindset to real-world accounting problems. Utilize current analytic tools."
"IS 404","No","Data Communications",3.0,"Principles of data communications, local- and wide-area networks, hardware, software, media, standards, management, and business applications."
"IS 566","Yes","Data Engineering",3.0,"Provides a foundation in modern data engineering. Using a blend of modern technologies, students will learn how to design efficient data pipelines, build and deploy APIs, and become proficient in managing data across different storage systems and throughout the full ETL lifecycle in a data warehouse. "
"C S 482","No","Data Science Capstone 1",3.0,"Culminating experience based on skills learned in advanced technical courses. Students work in teams to plan, design, implement, test, and demonstrate a major project."
"STAT 482","No","Data Science Capstone 1",3.0,"Principles of data mining; regression, classification, and clustering in data science; Group capstone project."
"STAT 483","No","Data Science Capstone 2",3.0,"Data streaming and continuation of second half of capstone group project.\n"
"C S 483","No","Data Science Capstone 2",3.0,"Culminating experience based on skills learned in advanced technical courses. Students work in teams to plan, design, implement, test, and demonstrate a major project."
"STAT 286","No","Data Science Ecosystems",3.0,"Introduction to the basics of the Linux operating system.  Command line interface is used to explore Linux/Unix utilities and tools.  Fundamental concepts of python programming.  Create and run python scripts from the command line.  Introduction to database management systems, the basic structure of relational databases, and how to manage databases with Structured Query Language (SQL).   Read and write simple and complex SQL statements. Integrate R, Python and SQL skills.  "
"MPA 634","","Data Science for Managers",3.0,"The statistical computer language R will be used to explore, wrangle, program, model, and communicate quantitative relationships using public and private databases."
"STAT 115","No","Data Science Careers ",0.5,"A review of the data science major and other CPMS data science majors; class planning; information on major resources and career opportunities.
"
"STAT 386","No","Data Science Process",3.0,"Principles of data science; web scraping; data wrangling; exploratory data analysis; data visualization; ethics; version control; data communication."
"IS 555","No","Data Science for Organizations",3.0,"End-to-end data science workflows using R, with a focus on strategy, team management, and real-world experience. Students will become thoughtful, detail-oriented, utility-focused data professionals who appreciate the grit required to deliver real-world, meaningful value through data assets."
"C S 235","No","Data Structures",3.0,"Fundamental data structures and algorithms of computer science; basic algorithm analysis; recursion; sorting and searching; lists, stacks, queues, trees, hashing; object-oriented data abstraction."
"IS 537","Yes","Data Structures",3.0,"Programming concepts for IS majors pursuing careers in software development. Concepts include lists, stacks, queue, maps, and other structures; sorting and other algorithms; recursion; and computational complexity analysis."
"POLI 301","No","Data Visualization",3.0,"Tools for the first steps in using data to answer political science questions: obtaining, cleaning, transforming, analyzing, and visualizing data. How to look at data and how to display that data to others."
"DESPX 315","No","Data Visualization",3.0,"The world needs better visualizations of its data. Most organizations are drowning in information but lacking in wisdom and analysis. Designers are uniquely positioned to think visually about research problems and creatively create visualizations that accurately enlighten ideas and concepts.

In this course, students will develop research strategies, master laws of optical hierarchy, deepen their understanding of gestalt principles as applied to data, and demonstrate creative visual concepts necessary to create compelling and memorable data visualizations."
"STAT 281","No","Data Visualization",3.0,"Fundamental principles of data visualization; chart types and when to use them; design of clear and meaningful visualizations from complex data; reproducible creation of static and interactive visualizations; development of portfolio of charts and graphs; use of appropriate visualization tools; communication of insights, observations, and results."
"MPA 635","","Data Visualization",1.5,"Principles and practice of effectively communicating data visually to a variety of stakeholders in a pleasing and readily accessible manner, including an understanding of design principles and data communication ethics."
"EDLF 676","","Data Decision Making Processes",3.0,"Identifying problems. Using educational research. Collecting, analyzing, and interpreting data in order to solve problems; to establish fair, collaborative decision-making processes; and to inform continuous school and student improvement. "
"EDLF 677","","Multi-level Data Decision Makg",3.0,"Applying data-driven decision making process to assess outcomes at multiple levels, including student assessment and learning: program and staff evaluation; school performance; community needs and expectations assessment and evaluation."
"IT&C 450","No","Database Administration",3.0,"The role and responsibilities of database administrators. Database platform, architecture, and configuration; security and account management; backup, restore and disaster recovery; availability, access and performance; data migration."
"ACC 556","","Database Analysis & Design",3.0,"Concepts and techniques of database system development.  Focal areas include: structures, integrity, retrieval, manipulation, validation, and analysis.  SQL used as basis for data interrogation."
"C S 452","No","Database Modeling Concepts",3.0,"Database models:  relational, deductive, object-oriented.  Integrity constraints, query languages, database design."
"IT&C 350","No","Database Principles & Applictn",3.0,"Database theory and architecture; data modeling; designing application databases. Query languages, data security, relational and non-relational databases."
"IS 402","","Database Systems",3.0,"Concepts and techniques of database system development, focusing on object-oriented modeling and its implementation methods."
"ASL 302","","Deaf Literature",3.0,"Various genres of Deaf literature. Introduction to analysis of ASL literary works."
"SFL 306","No","Death and Dying",3.0,"Death and the dying process will be explored from spiritual, physical, cultural, and psychosocial perspectives. Comparisons will be drawn between end-of-life care in Western compared to other cultures and ethnic backgrounds."
"MPA 625","","Debt Management",3.0,"Advanced study of capital markets, debt instruments, bond issues, debt servicing, and financial disclosure requirements."
"FIN 451","No","Decentralized Finance",3.0,"Financial infrastructure built on blockchain networks. Digital signatures, consensus mechanisms, smart contracts, cryptocurrencies and architecture, decentralized exchange, lending protocols, decentralized derivatives, and asset tokenization."
"MBA 605","","Decision Analysis",1.5,"Applying analytical decision-making tools to management situations using spreadsheet decision models based on concepts of risk, uncertainty, and multiple criteria."
"CE 542","","Deep Foundations",3.0,"Lateral pressures and earth retaining systems, axial and lateral capacities of piles and drilled shafts, foundations subjected to vibratory loadings, foundations on collapsible and expansive soils, soil improvement techniques. "
"IT&C 366","No","Defensive Cybersecurity",3.0,"Defensive security with the knowledge and tools to safeguard critical information. Security best practices, risk management, incident response, and critical defensive technology."
"POLI 340","No","Democracy and Autocracy",3.0,"Definition and measurement of democracy; major theories explaining the emergence of democracies and autocracies; exploration of why autocrats use violence or other modes of repression, how they manipulate elections, and why some regimes fail while others survive. "
"HIST 399","","Democratic Class Design",3.0,"Design and manage a classroom where students learn, analyze and experience democratic principles; prepare the physical, academic, and social space to foster engaged citizenship and shared responsibility; develop a  Civic Engagement Project; visit local classrooms."
"GREEK 625R","","Demosthenes",3.0,""
"STDEV 375","","Dental School Prep Lab Exper",2.0,"Dental laboratory practices; tooth terminology, morphology, and anatomy. Procedures including oral pathology, diagnosis, and X-rays."
"PHIL 350R","No","Derrida",3.0,""
"PHIL 340R","No","Descartes",3.0,""
"PHSCS 167","No","Desc Acoustics of Music & Spch",3.0,"Introductory acoustics course, emphasizing physical principles underlying production and perception of music and speech."
"PHSCS 127","No","Descriptive Astronomy",3.0,"Conceptual presentation of knowledge of the content and history of the cosmos, frequently using observatory and/or planetarium."
"DESGD 145","No","Design 1",3.0,"Students will develop skill in drawing as a method of visual problem solving, and in composition through the application of design principles. Concepts, terminology, and processes necessary to communicate visual ideas."
"DESGD 245","No","Design 2",3.0,"Study the elements and principles of design through the use of form, visual principles, theoretical and visual experimentation, concept development, and creative thinking. Systems, symbols, icons and expressive typography will be used to visually represent ideas and messages."
"EIME 786","","Consulting Apprenticeship",3.0,"Mentored, applied experience working as a design and analysis consultant for a university."
"TMA 369R","","Design & Tech: Asst Stage Mgrs",6.0,"Practical experience working as main season assistant stage managers; related topics."
"TMA 369R","","Design & Tech: Y Ambassadors",4.0,""
"IP&T 461","","Design Evaluation",3.0,"Introduction to the field of evaluation and how it is used in instructional design and in the evaluation of educational products. Methods for conceptualizing and implementing evaluations, and practical guidelines for planning and completing an evaluation project."
"ME EN 572","Yes","Design for Additive Mfg",3.0,"This course explores the past, present, and future of additive manufacturing (AM), including how it enables mass customization and increased design complexity. Lab experiences focus on preparing 3D models, operating several types of AM systems, and post processing finished parts. Students apply ""Design for AM"" principles to adapt existing part designs for AM and design new products that capitalize on the possibilities only available through AM."
"MFGEN 572","","Design for Additive Manufact.",3.0,"This course explores the past, present, and future of additive manufacturing (AM), including how it enables mass customization and increased design complexity. Lab experiences focus on preparing 3D models, operating several types of AM systems, and post processing finished parts. Students apply ""Design for AM"" principles to adapt existing part designs for AM and design new products that capitalize on the possibilities only available through AM."
"MFGEN 372","","Design for X",3.0,"Design methodologies and guidelines for products and systems. Design for Manufacturing, Design for Assembly, Design for Sustainability, Design for Usability, and other related topics. Concurrent engineering skills for engaging design, manufacturing, and systems engineers in multidisciplinary teams."
"SFL 202","","Design in the Home",3.0,"Intermediate application of elements and principles of design in the home."
"DESGD 441R","No","Design Lab",3.0,"Students work in a collaborative, project-based learning environment."
"DES 111R","","Design Lecture Series",0.5,"Visiting lecture series exploring visual culture and and design practice through the lenses of various practicing professionals."
"ME EN 330","No","Design of Mechatronic Systems",3.0,"Microcontroller-based mechatronic systems comprised of mechanical, electrical, and software subsystems.  Electronics, printed circuit board design, microcontroller programming and interfacing, and mechanical prototyping."
"ME EN 573","Yes","Design of Medical Devices",3.0,"This interdisciplinary course aims to provide a comprehensive and practical understanding of the design, development, and deployment of medical devices. Rooted in mechanical engineering, the course integrates key principles from biomedicine, materials science, quality assurance, and intellectual property law. With a focus on real-world application, students will engage in case studies, a hands-on project, and team-based design exercises that simulate the challenges and opportunities within the medical device industry."
"TMA 369R","","Design Practicum",4.0,"Practical experience working as assistant designers; practicum experience in related performance design and/or technology topic areas."
"IP&T 420","No","Design Psychology",3.0,"This course will introduce students to fundamental principles of psychological research and how they influence design.  In this course, students will learn how people think, basic human psychology, and factors to consider in designing for others.  By the end of this course, students should be able to identify relevant factors that affect design as well as how those factors come into play in different design situations."
"CFM 433","No","Design Studio",3.0,"The design studio course engages students in comprehensive design projects, emphasizing critical thinking, sustainable practices, and social awareness in architectural design. Students explore diverse typologies and scales, employing advanced digital tools and interdisciplinary perspectives. The course integrates hands-on exercises, design critiques, and real-world insights to foster a holistic understanding of contemporary architectural practice and the societal impact of design decisions. By the end of the course, students will have a significant portfolio contribution and the skills necessary for further graduate studies in architecture."
"TMA 379R","","Design Studio",2.0,"Performance design studio experience in team collaboration, portfolio building, and faculty mentored projects."
"DES 390","","Design Theory",3.0,"Theoretical and historical readings and discussions explore visual culture, aesthetics, critical studies, ethics, and design practice across various professional disciplines with a focus on historical trajectories and speculative futures."
"DES 217","No","Design Thinking",1.5,"Students will unpack each step of the design thinking process while honing critical thinking, conceptual development, and craft through readings and projects."
"PHSCS 240","No","Dsgn, Fabricatn, Sci Apparatus",2.0,"Machining, computer interfacing, controls, and vacuum systems."
"EIME 720","","Design-Based Research",3.0,"Principles of formative experimentation in studying developing interventions in natural contexts.  Challenges of selecting and integrating inquiry methods, resolving implementation problems, linking programmatic variables to theory, assessing effects, and drawing valid conclusions."
"ANTHR 370","No","Community Based Interventions",3.0,"The purpose of this course is to help you design and implement community-based interventions. Working with a local community center, you will identify specific needs and design projects to address those needs with community involvement and direction. 
"
"POLI 343","","Designing Democ. Constitutions",3.0,"Examining the rich variety of ways in which democracies are designed across the globe. Relying on both theoretical and empirical perspectives, surveying the different rules for governance and representation, and their advantages and disadvantages for various, and often competing, goals, such as accountability, corruption, political violence, and economic development. "
"EXDM 418","No","Designing for Inc  & Belonging",3.0,"Focus on experiences of diversity, equity, inclusion, and belonging for individuals, families, and organizations. Address both the business and moral imperatives related to diversity, inclusion, and belonging. "
"EC EN 672","","Detection&Estimation Theory",3.0,"Sufficiency, completeness; Neyman-Pearson and Bayes detector; maximum likelihood, Bayes, minimum mean square, and linear estimation; Kalman filters; selected topics."
"MIL S 420","","Developing Adaptive Leaders",4.0,"Developing proficiency in planning, executing, and assessing operations; functioning on a staff; and providing feedback to subordinates with situational real-world opportunities to assess risk, make decisions, and coach others.  Emphasizes leadership ethics.  Lab included."
"MUSIC 272","","Dev Musicality K-2",3.0,"Literature-based curriculum design and planning, grades K--2. Issues of pure intonation and vocal/aural development. Microteaching in a demonstration school. "
"DESAN 486R","","Intellectual Properties",3.0,"The process of developing a marketable intellectual property within the animation industry. Examining industry constraints, marketing, and how story and visual design relate to an intellectual property. Introduction to the iterative development process from the early stages of development, through pre-production to presentation. Industry demands related to quality, longevity and creativity will be explored."
"TELL 430","No","K-12 Liter. 2nd Lang. Learners",2.0,"Instructional strategies, methodologies, and materials for developing reading and writing skills in a second language. Developing cognitive academic language proficiency and integrating multiple cultural perspectives."
"MFHD 695R","","Development of Aggression",3.0,""
"IP&T 687R","","Development Projct",3.0,"Designing, conducting, and reporting a comprehensive project in development."
"CELL 382","No","Developmental Biology",3.0,"Invertebrate and vertebrate developmental biology.  Embryonic gastrulation, neurulation, patterning, etc.  Modern approaches and research strategies.  Emphasizes gene function, cell signaling, signal transduction during embryogenesis."
"CELL 582","","Developmental Genetics",3.0,"Gene function and regulation during cell specification and differentiation, pattern formation, and organogenesis in developing embryo."
"COMD 431","No","Language Disorders",3.0,"Causes and characteristics of language impairment; techniques for diagnosis, assessment, and treatment of language disorders."
"PWS 640","","Developmental Plant Physiology",3.0,"Developmental phenomena in higher plants, emphasizing seed physiology, plant growth regulation, and plant stress responses."
"PSYCH 321","No","Develpmntl Psych: Adolescence",3.0,"Development and maturation during adolescence; research methodology."
"PSYCH 322","No","Developmental Psych: Adulthood",3.0,"Stability and change in psychological, physiological, and interpersonal processes through early, middle, and late adulthood."
"PSYCH 320","No","Developmental Psych: Childhood",3.0,"Physical, mental, emotional, and social development of the child."
"PSYCH 612","","Developmental Psychopathology",3.0,"Advanced study of etiology, diagnosis, prevalence, associated features, and theories of psychological and developmental disorders in children and adolescents."
"SOC 380","","Deviance & Social Control",3.0,"Theory and research related to deviance. Specific topics include psychosis, addiction, violence, and rape, among others."
"NDFS 631R","","Diabetes",3.0,""
"NURS 622","Yes","Diag & Mgt of Adult Common Dis",4.0,"Health promotion and disease prevention; diagnosing and managing common psychosocial and physiological alterations in adult patients."
"NURS 630","Yes","Diag & Mgt of Chronic Disord",4.0,"Health promotion and disease prevention; diagnosing and managing chronic psychosocial and physiological alterations in adult and geriatric patients."
"NURS 625","Yes","Diag & Mgt of Ped & Adoles Dis",3.0,"Health promotion and disease prevention; diagnosing and managing psychosocial and physiological alterations in pediatric and adolescent patients and family health."
"CPSE 715","","Diag/Trmnt Disordr",3.0,"Diagnosis, classification, and treatment of emotional problems and mental disorders."
"TMA 422","","Dialects",2.0,"Major stage dialects."
"GEOL 105","No","Diamonds and Gems",3.0,"Hands-on examination of diamonds and gems with particular emphasis on discriminating naturally occurring from man-made products. Field trips and lab studies."
"MUSIC 262R","","Diction Lab 1",0.5,"The study of diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 262R","","Diction Lab 1: English",0.5,"The study of English diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 262R","","Diction Lab 1: French",0.5,"The study of French diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 262R","","Diction Lab 1: German",0.5,"The study of German diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 262R","","Diction Lab 1: Italian",0.5,"The study of Italian diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 362R","","Diction Lab 2",0.5,"Continuation of the study of Italian diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 362R","","Diction Lab 2: English",0.5,"Continuation of the study of English diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 362R","","Diction Lab 2: French",0.5,"Continuation of the study of French diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 362R","","Diction Lab 2: German",0.5,"Continuation of the study of German diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 362R","","Diction Lab 2: Italian",0.5,"Continuation of the study of Italian diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 662R","","Diction Lab: English",0.5,"The study of English diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 662R","","Diction Lab: French",0.5,"The study of French diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 662R","","Diction Lab: German",0.5,"The study of German diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"MUSIC 662R","","Diction Lab: Italian",0.5,"The study of Italian diction for students in the voice area. Focus on IPA, pronunciation, and musical styles."
"LATIN 640R","","Didactic",3.0,""
"GREEK 640R","","Didactic",3.0,""
"NDFS 632","","Diet and Cancer",2.0,"Critical examination of scientific evidence regarding the role of dietary macronutrients, vitamins, minerals, and phytochemicals in the initiation, promotion, and progression of cancer. "
"MATH 465","No","Differential Geometry",3.0,"Geometry of smooth curves and surfaces. Topics include the first and second fundamental forms, the Gauss map, orientability of surfaces, Gaussian and mean curvature, geodesics, minimal surfaces and the Gauss-Bonnet Theorem."
"MATH 565","Yes","Differential Geometry",3.0,"A rigorous treatment of the theory of differential geometry."
"MATH 655","Yes","Differential Topology",3.0,"An introduction to smooth manifolds and their topology: smooth manifolds; tangent, vector, and cotangent bundles; immersions, submersions, and embeddings; tubular neighborhoods; transversality; differential forms, integration, and Stoke's Theorem; deRham cohomology; and degree theory."
"DIGHT 360","No","Text Processing and Analysis",3.0,"Development of computer applications for research in language and literature (text processing, retrieval, and analysis) in one or more programming languages (e.g., Perl, Python, etc.)."
"ART 357","No","Digital 3D",3.0,"Introduction to using digital tools to create sculpture. Explores the material, formal, and conceptual potential of sculpture using new technologies."
"ENGL 344R","","Digital and Visual Literacies",3.0,"Study of multimodal texts and genres with ties to literature, based in theoretical grounding from the fields of adaptation studies, design, folklore, and digital rhetoric."
"ANTHR 406","No","Digital Archaeology",3.0,"Use of digital technologies in archaeology. Focus on software applications, GIS, GPS, and surveying/mapping with a robotic total station and Unmanned Aerial Vehicles."
"ENGL 326","No","Digital Communication",3.0,"Rhetorical perspectives on critical digital literacy, content creation, and digital engagement."
"IT&C 327","","Digital Communications",4.0,"Ohm's law, power, inductance, capacitance, reactance, impedance, resonance, transformers. Properties of waves and electromagnetic radiation, including light. Communication systems, wired and wireless. Bandwidth, modulation; Shannon's theorem, telecommunications. Network physical and data link layers (ISO/OSI model). Optics/Coax/Twisted pair; RS-232/Ethernet; Signals/Protocols/Packets; digital communication theory fundamentals."
"IT&C 566","Yes","Digital Forensics",3.0,"Fundamentals of digital forensics, incident response, evidence, chain of custody, threat intelligence, preventive measures for vulnerabilities, response and recovery, and network forensics."
"IS 565","Yes","Digital Forensics for Orgnztns",3.0,"Digital forensics from an organizational perspective, covering the three functions of digital forensics performed by businesses: employee abuse investigations, incident response, and electronic discovery."
"HIST 298","","Digital History",3.0,"Exploration of digital technology and its potential to revolutionize the discipline of history, from the way research is conducted to methods for knowledge dissemination. Benefits, challenges, and impact of digital methods on the way historians envision and express what happened in the past."
"DIGHT 590R","Yes","Digital Humanities Seminar",3.0,"Although, as a seminar, the content of this course will vary from section to section, the content will include come combination the following:
1. Humanistic analysis of the digital as both a producer and product of culture.
2. Computational analysis of cultural artifacts such as literature, music, visual art, etc.
3. Technology skills relevant to the above activities."
"DIGHT 495R","","Digital Humanities Project",3.0,"Original research project on open questions within the Digital Humanities field. Content and/or technology advisor is required."
"DIGHT 395R","","Digital Hum Research Seminar",3.0,"Individual or group research of original problems in Digital Humanities research."
"DESPH 273","No","Digital Imaging & Compositing",3.0,"This course focuses on utilizing current image creation software to pre-visualize and create photographic imagery that did not exist in front of the camera—including compositing existing imagery, incorporating AI tools, best practice digital workflow, and print output."
"IP&T 655","","Digital Interface Design",3.0,"Theoretical and practical principles of designing interfaces for all instructional forms, including message design, representation design, and control design."
"ENGL 426","No","Dig Lit & Tech in Sec Schl",2.0,"Theories and methods of teaching digital literacies and integrating technology in secondary English classrooms.\n"
"MKTG 415","","Digital Marketing",3.0,"Digital marketing is broad and varied, so rather than digging deeply into one topic (e.g., search engine optimization) and ignoring all other topics, this class will cover a wide variety of digital marketing topics.  Students will customize their experience by choosing between two different ""tracks"" in the course: a strategic emphasis or tactical emphasis.\n \n"
"COMMS 312","No","Digital Media Production",1.5,"Practical application of visual and aural multimedia storytelling; acquisition, editing, and distribution of digital audio and video."
"DESAN 365R","","Digital Painting",3.0,"Tools and techniques of digital painting for concept design in the entertainment industry."
"DESAN 364R","No","Digital Sculpting",3.0,"Developing skills necessary for creating appealing, viable digital models.  Issues involved in designing for the animation and gaming industry."
"EC EN 777","","Digital Signal Processing",3.0,"Advanced theory and applications including optimal statistical processing, adaptive processing, and array processing methods."
"GEOL 100","No","Dinosaurs",3.0,"Hands-on examination of vertebrate fossils -- especially dinosaurs.  For nonscience majors.  Field trips."
"FREN 470R","","Direct Enrollment France",3.0,"Register for this course in consultation with department internship coordinator.  To be taken only when enrolled directly in French university as part of BYU professional program in France.  Only enroll when curriculum of other BYU courses do not correspond to the course enrolled in French university."
"GEOL 697R","Yes","Dir Field Studies",6.0,""
"CH EN 601","","Directed Graduate Studies",2.0,"Guided preparation for department's comprehensive exams and for formulation of research prospectus."
"EIME 693R","","Directed Independent Study",3.0,"Faculty-supervised readings as arranged by student."
"P POL 689R","","Directed Individual Study",3.0,""
"EL ED 693R","","Dirct Indiv Study",4.0,""
"IP&T 693R","","Directed Individual Study",3.0,"Improving understanding of a focused topic through mentored inquiry and completion of related writing or design activities."
"COMD 693R","","Directed Individual Study",3.0,""
"CPSE 693R","","Directed Indiv Std",3.0,""
"MESA 398R","No","Directed Middle East Study",3.0,"Study and research in the Middle East."
"CPSE 580R","","Directed Observation in Schls",3.0,""
"HLTH 492R","","Directed Pub Hlth Readings",3.0,"Self-paced reading and in-depth studying of public health topics."
"SOC 495R","","Directed Reading in Sociology",6.0,"Individualized reading program supervised by faculty member. Student selects reading topic and completes systematic in-depth reading of related literature."
"ANTHR 497","","Directed Readings",3.0,"Reading 2,500 pages on a stated topic."
"ENGL 590R","","Directed Readings",3.0,"Individual readings beyond what is offered in the curriculum."
"CMPST 680R","","Directed Readings",3.0,""
"HIST 498R","","Directed Readings",3.0,""
"CMLIT 495R","","Directed Readings",3.0,"Course set up only in special circumstances and by permission for focused study of a topic in comparative literature."
"CLSCS 495R","","Directed Readings",3.0,"Students will organize literary texts from Greek and/or Latin traditions into a cogent unit for study and analysis and conduct a thorough investigation into a problem or set of related problems presented by the study unit."
"POLI 498R","","Directed Readings",3.0,"Students will read, evaluate, and critique literature related to a specific topic area in political science."
"POLI 498R","","Directed Readings",3.0,"Students will read, evaluate, and critique literature related to a specific topic area in political science."
"CMPST 680R","","Directed Readings",3.0,""
"IHUM 495R","","Directed Readings",3.0,"Course set up only in special circumstances and by permission for focused study of a topic in the humanities."
"CMLIT 495R","","Directed Readings",3.0,"Course set up only in special circumstances and by permission for focused study of a topic in comparative literature."
"ENGL 590R","","Directed Readings",3.0,"Individual readings beyond what is offered in the curriculum."
"ANES 390R","No","Directed Readings",3.0,"Directed individual study of historical topics or ancient texts."
"REL A 695R","","Readings in Ancient Scripture",3.0,""
"REL C 695R","","Dir Rds C Hist & Doc",3.0,"Topics include the Doctrine and Covenants, LDS Church history, LDS doctrine, Christian history, Christian theology, world religions, etc."
"PHIL 495R","","Directed Readings",3.0,"For instructors and students who wish to pursue special problems or projects, or who wish to read texts that are not covered by available courses."
"SCAND 491R","No","Directed Readings in Scand",3.0,"Directed individual study."
"HIST 495R","","Directed Research",3.0,"Student research directed by faculty member on topic of mutual interest."
"SOC 697R","","Directed Research",3.0,""
"MPA 692R","","Directed Research",3.0,"Application of research methods relative to managers."
"LAW 790R","","Directed Research",2.0,""
"IAS 491","","Drctd Research Afr. Stud. Min.",3.0,"Directed research project (library and/or on-site experience) related to African studies or the African diaspora.  Must be supervised by faculty with extensive in-field experience in Africa and African Studies."
"ENGL 480R","","Directed Research in English",3.0,"Directed research for mentorship grant recipients, research assistants, and other undergraduate students pursuing research projects."
"HIST 481R","","Family History Directed Rsrch",3.0,"Student research directed by faculty member on family history topic  of mutual interest."
"GERM 316","","Linguistics Research 1",3.0,"Introduction to mentored scholarly research in German linguistic studies. Focus on gathering and analyzing data. Continued professional skills development."
"GERM 416","","Linguistics Research 2",3.0,"Introduction to mentored scholarly research in German linguistic studies. Focus on conducting linguistic research and writing about the results of linguistic studies. Continued professional development skills."
"PORT 680R","","Dir Research Port",3.0,"Under direction of faculty member, designing and conducting research project that covers material not normally presented in regular course work. Research paper required."
"PORT 480R","","Directed Research",3.0,"Under faculty member's direction, designing and conducting research project covering material not normally presented in regular course work. Research paper required. "
"SOC 497R","","Directed Research in Sociology",6.0,"Individualized research program supervised by faculty member.  Student selects topic and completes a research project."
"SPAN 480R","","Directed Research",3.0,"Under faculty member's direction, designing and conducting research project covering material not normally presented in regular course work. Research paper required. "
"SPAN 680R","","Directed Research in Span",3.0,"Individualized study. Under direction of faculty member, designing and conducting research project that covers material not normally presented in regular course work. Research paper required."
"DESPX 499R","No","Directed Studies",6.0,"Individual study in current topics of industrial design."
"SLAT 680R","","Directed Studies",3.0,"Individualized studies in language of emphasis, directed by a faculty member. Research paper required. "
"DES 498R","No","Directed Studies",2.0,"Students will be able to meet regularly with a professor or mentor throughout the course of the semester to complete a project of their own choosing.
"
"DESAN 498R","","Directed Studies in Animation",6.0,"Credit for work experience in animation."
"ARAB 495R","","Directed Studies in Arabic",3.0,"Individual tutorial in topic of student choice; lexical development; major oral and written report in Arabic."
"CE 498R","No","Directed Studies in CE",18.0,"Directed studies in Civil Engineering related to professional practice."
"DESGD 498R","","Directed Studies in GraphicDes",6.0,"Credit for work experience in graphic design."
"DESIL 498R","","Directed Studies in Illustratn",6.0,"Course credit for work experience in illustration."
"DESPH 498R","","DirectedStudies in Photography",6.0,"Credit fort work experience in photography."
"PORT 673R","","Directed Teaching",1.0,"Supervised, practical experience in teaching Portuguese at the college level."
"SPAN 673R","","Directed Tchg of Spanish",1.0,"Supervised, practical experience in teaching Spanish at the college level."
"TMA 331","","Directing Narrative Literature",3.0,"Theory and practice of adapting, directing, and performing nondramatic literature. Readers Theatre."
