"code","level","title","description","credits"
"CIVILEN 4999","Undergraduate","Civil Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4193","Undergraduate","Individual Studies in Environmental Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4998","Undergraduate","Undergraduate Research in Environmental Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4999H","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ENVENG 4999","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ARABIC 1103.01","Undergraduate","Intermediate Modern Standard Arabic I","Building on previously acquired functional abilities; using Arabic to express opinion and feelings; oral interaction in the classroom; reading authentic texts or various genres. Classroom track. Not open to native speakers of Arabic.
Prereq: 1102.01, 1102.02, or 4 cr hrs of 1102.51. Not open to students with credit for 1103.02 or 4 cr hrs of 1103.51. This course is available for EM credit. GE for lang course. GE world languages course.",4
"HEBREW 2241H","Undergraduate","Culture of Contemporary Israel","An introduction to the culture of modern Israel: historical roots, socio-political institutions and developments, and literary and artistic creations reflecting the realities of contemporary Israeli society.
Prereq: Honors standing, or permission of instructor. Not open to students with credit for 2241 (241), 241H, JewshSt 2242, or 2242H. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies course. Cross-listed in JewshSt 2242H.",3
"HEBREW 3245","Undergraduate","Israeli Film & Society","A survey of Israeli films from 1948 to the present day, tracing the development of film production in Israel as well as the relationship between film and society.
Prereq: English 1110. Not open to students with credit for 2245 or JewshSt 2245 or 3245. GE VPA and diversity global studies course. GE theme citizenship for div and just wrld course. Cross-listed in JewshSt.",3
"HEBREW 2700","Undergraduate","Introduction to the Hebrew Bible/Old Testament","Introduction to the Hebrew Bible/Old Testament is taught from a historical perspective. The HB/OT is a collection of texts designed to create and fortify the ethnic identity of a single group within imperial contexts, while focusing on the formation of gender identity and race. The student will study the cultural dimensions of the ancient societies in which the HB/OT was written.
Prereq: English 1110.xx, or GE foundation writing and info literacy course. Not open to students with credit for 2700H, JewshSt 2700, or 2700H. GE lit and diversity global studies course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course. Cross-listed in JewshSt.",3
"NELC 4999H","Undergraduate","Undergraduate Honors Thesis","Offers undergraduates with special aptitudes the opportunity to do independent study leading to an honors thesis.
Prereq: Honors, Sr standing with an average of B in all work in NELC, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"URDU 1103","Undergraduate","Intermediate Urdu I","Continued study of Urdu language, with appropriate cultural background; development of listening, reading, speaking, and writing skills.
Prereq: 1102, or permission of instructor. Not open to students with credit for 103, 104, or to native speakers or EM credit. This course is available for EM credit. GE for lang course. GE world languages course.",4
"UZBEK 1101","Undergraduate","Elementary Uzbek I","Introduction to Uzbek language; development of listening, reading, speaking and writing skills.
Prereq: Not available to native speakers. This course is available for EM credit. GE for lang course. GE world languages course.",4
"JEWSHST 2700","Undergraduate","Introduction to the Hebrew Bible/Old Testament","Introduction to the Hebrew Bible/Old Testament is taught from a historical perspective. The HB/OT is a collection of texts designed to create and fortify the ethnic identity of a single group within imperial contexts, while focusing on the formation of gender identity and race. The student will study the cultural dimensions of the ancient societies in which the HB/OT was written.
Prereq: English 1110.xx, or GE foundation writing and info literacy course. Not open to students with credit for 2700H, Hebrew 2700, or 2700H. GE lit and diversity global studies course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course. Cross-listed in Hebrew.",3
"SPANISH 3406","Undergraduate","Intermediate Business Spanish","An introduction to business Spanish with emphasis on business terminology, commercial transactions, and international procedures.
Prereq: 3403 (403), or 3403H (403H) with a grade of C- or higher. Not open to students with credit for 406. FL Admis Cond course.",3
"SPANISH 3450","Undergraduate","Introduction to the Study of Literature and Culture in Spanish","Required course for Spanish majors and minors. An introduction to literary and cultural analysis of texts in Spanish. This course presents strategies for reading and analyzing literary and cultural texts from various Spanish speaking countries to prepare students for more advanced courses in the Spanish program.
Prereq: A grade of C- or above in 3403, 3413, 4603, or 4613. Not open to students with credit for 3450H.",3
"SPANISH 4193","Undergraduate","Individual Studies","Individual studies.
Prereq: A grade of C- or above in 3450 (450). Repeatable. This course is graded S/U.","1 - 9"
"SPANISH 4555E","Undergraduate","Indigenous, Colonial & National Literatures and Cultures of Spanish America","Introductory critical study of issues and processes in the formation of indigenous, colonial, and national expression through 19th century regional discourses.
Prereq: Honors standing; and a grade of C- or above in 3450H; and GPA 3.4 or above. Not open to students with credit for 555E. FL Admis Cond course.",3
"SPHHRNG 5193","Undergraduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPANISH 4999","Undergraduate","Research for Thesis","Undergraduate research for Thesis.
Prereq: Permission of instructor. Repeatable to a maximum of 59 cr hrs or 16 completions. This course is graded S/U.","1 - 9"
"SPHHRNG 4999H","Undergraduate","Honors Research and Thesis","A program of independent study for the student with special aptitudes; individual conferences and reports, leading to the completion of the Honors thesis.
Prereq: SphHrng GPA 3.4 or above, Sr. standing, permission of the instructor and permission of the ASC Honors Committee. Not open to students with 15 qtr cr hrs in 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"SPHHRNG 4999","Undergraduate","Baccalaureate Research and Thesis","A program of directed independent study for the academically strong student with an interest in research and the desire to complete a thesis.
Prereq: GPA 3.4 or above in SphHrng, and Jr or Sr standing, and permission of the instructor. Not open to students with maximum cr hrs in 4999H or 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"COMM 2110","Undergraduate","Principles of Effective Public Speaking","A course in critical thinking and public speaking; how to analyze and organize information for oral presentations; basics of public speaking for majors and non-majors.",3
"COMM 2367H","Undergraduate","Persuasive Communication","This course is designed to increase your understanding of persuasive communication as it relates to citizenship and the American experience. As an advanced level writing course, the course is specifically designed to improve your persuasive writing, speaking, and critical thinking skills as specific citizenship behaviors.
Prereq: Honors standing, GE foundation writing and info literacy course, and sophomore standing. Not open to students with credit for Comm 2367. GE writing and comm course: level 2. GE theme citizenship for div and just wrld course.",3
"COMM 2367","Undergraduate","Persuasive Communication","This course is designed to increase your understanding of persuasive communication as it relates to citizenship and the American experience. As an advanced level writing course, the course is specifically designed to improve your persuasive writing, speaking, and critical thinking skills as specific citizenship behaviors.
Prereq: Completion of GE Foundation Writing and Information Literacy course. Not open to students with credit for 2367H. GE writing and comm course: level 2. GE theme citizenship for div and just wrld course.",3
"COMM 4191","Undergraduate","Internship","On-the-job internships in communication practice or research conducted under supervision of internship coordinator through the undergraduate advising office.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"COMM 4193","Undergraduate","Individual Studies","Students make extensive and significant studies in the field of journalism or communication.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"COMM 4998","Undergraduate","Undergraduate Research","Supervised collaborative research in Communication.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 8 completions. This course is graded S/U.","1 - 15"
"COMM 2850","Undergraduate","Media and Citizenship","This course provides an overview of media's role in citizenship by learning about media industry operations, how media influence us, critical evaluation of media, media responsibility and literacy, and how our experiences and biases affect the current relationship between mass media and democracy. We will learn how to engage with media to promote informed, active, and responsible citizenship.
GE theme citizenship for div and just wrld course.",3
"EEOB 3191","Undergraduate","Undergraduate Internship","Internship held as undergraduate for credit.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"EEOB 3193","Undergraduate","Undergraduate Individual Studies","Individual work in the field of the chosen problem.
Prereq: 8 cr hrs in Biological Sciences. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"EEOB 4998","Undergraduate","Undergraduate Research","Undergraduate research in evolution, ecology, and organismal biology.
Prereq: 2 courses in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4998H","Undergraduate","Undergraduate Research - Honors","Honors undergraduate research in evolution, ecology, and organismal biology.
Prereq: Honors standing, and 2 courses in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4999","Undergraduate","Undergraduate Thesis Research","Undergraduate research towards a thesis in Evolution and Ecology, or Zoology.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4999H","Undergraduate","Undergraduate Thesis Research - Honors","Undergraduate research towards an honors thesis in Evolution and Ecology, or Zoology.
Prereq: Honors standing, and 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"CSE 4193","Undergraduate","Individual Studies in Computer Science and Engineering","Designed to give the student an opportunity to pursue special studies not otherwise offered.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"SOCWORK 7401","Graduate","Social Work Evaluation I","This is a two semester course sequence focusing on how to evaluate social work practice and programs. Over the two semesters students will learn how to design an appropriate evaluation strategy, select relevant outcome measure, collect and analyze evaluation data, and use evaluation outcomes to guide practice and policy decisions.
Prereq: 6401 (770 and 771) or 7400 (770 and 771) or 8401. Not open to students with credit for 772.",3
"SOCWORK 7512","Graduate","Clinical Social Work with Couples and Families","Emphasizes a treatment approach that views family members as making up an interlocking system that is the context for the formation and resolution of problems of the family and its members. Focuses on the family as the client rather than individual family members and emphasizes the process and stages of intervention.
Prereq: 6201, 6301, 6401, and 6501; or 7400 and 7500.",3
"SOCWORK 1120","Undergraduate","Introduction to Social Welfare","An introduction to the history, structure, and function of the social welfare institution.
Prereq: Not open to students with credit for 220 or 520. GE soc sci human, nat, and econ resources course. GE foundation social and behavioral sci course.",3
"SOCWORK 1140","Undergraduate","Issues in Social Justice: Race, Gender and Sexuality","Examines the history of social oppression directed at certain minority populations in the United States and its impact on their current opportunities and lived experiences. The primary purpose is to analyze how racism, sexism, heterosexism and institutionalized discrimination based on ethnicity affect the social welfare and well-being of those living in the United States.
GE diversity soc div in the US course. GE foundation race, ethnicity and gender div course.",3
"SOCWORK 3101","Undergraduate","Professional Values and Ethics","Introduction to the NASW Code of Ethics, ethical theory, and ethical issues and dilemmas that confront professional social workers.
Prereq: Enrollment in SocWork major. Not open to students with credit for 690.",3
"SOCWORK 3201","Undergraduate","Social Justice & Social Welfare Policy","This course will introduce students to social policy analysis and strategies to promote social justice through advocacy. Students will learn how social policy shapes the development, design, and delivery of social welfare programs and how policy contributes to social justice (and injustice). Students will learn different strategies to pursue social justice.
Prereq: 1120, and enrollment in SocWork major.",3
"SOCWORK 3401","Undergraduate","Research & Statistics for Understanding Social Work Problems and Diverse Populations","This is the first course in the BSSW program sequence preparing students to effectively work with research evidence and statistics as social work professionals. Students will develop the requisite skills and knowledge for beginning to identify, assess, and apply existing bodies of evidence to answer questions about social work problems and diverse populations.
Prereq or concur: Math 1060, or 1075 or above, or Stat 1350.01, Stat 1350.02, or Stat 1450 or above, or Math Placement Level R or above; and admission to the Social Work major. Not open to students with credit for 3401E.",3
"SOCWORK 4999H","Undergraduate","Engaging in Knowledge Building Research - Honors Thesis Research","Through guided group and independent study, students further develop and implement their independent social work research studies.
Prereq: Honors standing, and 4996H. Repeatable to a maximum of 10 cr hrs. This course is graded S/U.",5
"SOCWORK 3401H","Undergraduate","Research & Statistics for Understanding Social Work Problems and Diverse Populations: Honors","This is the first course in the BSSW program sequence preparing students to effectively work with research evidence and statistics as social work professionals. Students will develop the requisite skills and knowledge for beginning identify, assess, and apply existing bodies of evidence to answer questions about social work problems and diverse populations.
Prereq: Honors standing. Prereq or concur: Math 1060, or 1075 or above, or Stat 1350.01, Stat 1350.02, or Stat 1450.01 or above, or Math Placement Level R or above; and admission to the Social Work major.",3
"SOCWORK 3600","Undergraduate","Introduction to Psychopathology and Social Work Practice","This course will familiarize students with the major mental disorders, offer strategies for building on clients' strengths and resilience, provide basic tools for screening and referral, and impart knowledge of the mental health delivery system and its resources.
Prereq: Admission to SocWork major.",3
"SOCWORK 4998H","Undergraduate","Social Impact Project","Students will work 1:1 with a faculty mentor to plan and implement an innovative and sustainable social impact project that engages with issues of advocacy, justice, and community building. The project must reflect an informed understanding of the social issue being addressed, the communities being served, and how the project will create change.
Prereq: Honors standing, and 3402H and 4996H. Repeatable to a maximum of 10 cr hrs. This course is graded S/U.",5
"SOCWORK 6601","Graduate","Professional Values and Ethics","Provides students with an intro to and appreciation of the ethical principles that underlie social work practice. Emphasis is placed on the historical, philosophical, and legal foundations giving rise to these ethical principles. Students will be exposed to the roles and skills expected of a social work leader, especially in the context of ethical decision-making and ethical dilemma resolution.
Prereq: Admission to the MSW Program; Concur: 6501.",1
"SOCWORK 5004","Undergraduate","International Social Work","Examines a variety of social issues through a global perspective  in order to fully appreciate the role of culturally diverse and country-specific responses to social problems.
Prereq: Soph, Jr, Sr, or Grad standing, or permission of department. GE theme migration, mobility, and immobility course.",3
"SOCWORK 1130","Undergraduate","Introduction to Social Work in Contemporary Society","An introduction to the core values, fundamental goals, unique functions and methods of the social work profession.
Prereq: Not open to students with credit for 230. GE soc sci indivs and groups course. GE foundation social and behavioral sci course.",3
"EARTHSC 1121H","Undergraduate","Honors The Dynamic Earth","Minerals, rocks, and their origin; land forms and how they are produced; structural features of the Earth's crust.
Prereq: Honors standing, and Math 1075 (104) or above, ACT Mathematics Subscore of 22 or higher, or Math Placement Level R or better; or permission of instructor. Not open to students with credit for EarthSci 1121 (121), 121H, GeolSci 121, or 121H. GE nat sci phys course. GE foundation natural sci course. NS Admis Cond course.",4
"EARTHSC 2122","Undergraduate","Climate and Life Over Billions of Years on Earth","Origin and evolution of Earth, including its physical, chemical and biological components; principles of geologic inference and their application to interpreting Earth.
Prereq: Not open to students with credit for 1122. GE nat sci phys course.",4
"EARTHSC 2210","Undergraduate","Energy, Mineral Resources, and Society","Geologic origin, world distribution, and uses of mineral resources critical to society; topics include mineral and fossil fuels, metallic ores, and industrial minerals.
GE nat sci phys course. GE theme sustainability course.",3
"EARTHSC 5193.05","Graduate","Individual Studies in Geochemistry","Special problems in any branch of geochemistry for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions with 5193 (693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.07","Graduate","Individual Studies in Geophysics","Special problems in any branch of geophysics for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions with 5193 (693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.08","Graduate","Individual Studies in Glaciology","Special problems in any branch of glaciology for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions for the combination of EarthSc 5193 (EarthSci 693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.11","Graduate","Individual Studies in Marine Geology, Limnology, and Oceanography","Special problems in any branch of marine geology, limnology, or oceanography for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions for the combination of EarthSc 5193 (EarthSci 693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.12","Graduate","Individual Studies in Paleobiology","Special problems in any branch of paleobiology for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions with 5193 (693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.16","Graduate","Individual Studies in Stratigraphy","Special problems in any branch of stratigraphy for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions with 5193 (693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 5193.22","Graduate","Individual Studies in Mineralogy","Special problems in any branch of mineralogy for which the student has the proper qualifications.
Prereq: Permission of instructor. Repeatable to a maximum of 30 cr hrs or 30 completions with 5193 (693) and GeolSci 693. This course is graded S/U.","1 - 3"
"EARTHSC 1200","Undergraduate","Introduction to Earth Science Laboratory","Laboratory application of basic earth sciences principles to identify and categorize rocks and minerals, use and construct maps to solve geological problems, and analyze Earth's physical processes. Pair with ES 1105, 1110(H), 1108, 1121, 1151, 2203, 2204, 2205, or 2206(S) for physical science GE with lab. Pair with ES 1105, 1110(H), 1108, 1121 or 1151 to fulfill GE Foundations Natural Sciences.
Prereq or concur: 1105, 1108, 1110, 1110H, 1121, 1151, 2203, 2204, 2205, 2206, or 2206S. Not open to students with credit for 1100 or 2122. Not open to students with credit for EarthSc 1121 prior to Au 21. GE nat sci phys course. GE foundation natural sci course.",1
"NURSING 3890.01H","Undergraduate","Junior Honors Seminar I","Discussion of topics relevant to research and the senior thesis proposal.
Prereq: Honors standing, and 2890.02H; or permission of instructor.",2
"ARTEDUC 2700","Undergraduate","Understanding Television","Understanding and critical written analysis and discussion of television, through viewing, discussing, reading, and writing. Students will focus on the ways in which racial, ethnic, and gender diversity issues are represented on television and media.
Prereq: EduTL 1902, or 1902.04, or IELP WRITE score of 80, or English Placement Level 4. Not open to students with credit for 2367.03, Theatre 2367.03, or 2700. GE writing and comm course: level 2 and diversity soc div in the US course. GE foundation writing and info literacy and race, ethnicity and gender div course. Cross-listed in Theatre.",3
"SOMALI 1102.01","Undergraduate","Elementary Somali II","Continuation of 1101; further work on developing oral proficiency in Somali through basic listening, speaking, and reading skills using a competency-based curriculum. Not open to native speakers through regular course enrollment or EM credit.
Prereq: 1101, 1101.01, or 1101.02, or permission of instructor. Not open to students with credit for 1102.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"SOMALI 1103","Undergraduate","Elementary Somali III","Continuation of 1102; further work on developing oral proficiency in Somali through basic listening, speaking, and reading skills using a competency-based curriculum. Not open to native speakers through regular course enrollment or EM credit.
Prereq: 1102. Not open to students with credit for 101. This course is available for EM credit. GE for lang course. GE world languages course.",4
"SWAHILI 1102","Undergraduate","Elementary Swahili II","Continuation of 1101; further work on developing oral proficiency in Swahili through basic listening, speaking, and reading skills using a competency-based curriculum. Not open to native speakers of the language through regular course enrollment. 
Prereq: 1101. Not open to students with credit for 102. This course is available for EM credit. GE for lang course. GE world languages course.",4
"SWAHILI 1103","Undergraduate","Elementary Swahili III","Continuation of 1102; further work on developing oral proficiency in Swahili through basic listening, speaking, and reading skills using a competency-based curriculum. Not open to native speakers of the language through regular course enrollment. 
Prereq: 1102. Not open to students with credit for 104. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 1101.01","Undergraduate","Elementary American Sign Language I","Students develop elementary ASL skills-receptive (listening) and expressive (speaking). American deaf culture and history introduced with an emphasis on making comparisons and connections to one's own culture. Instruction primarily in ASL. Not open to native users of ASL, or those with EM credit, or to students with 2 or more years of study in high school.
Prereq: Not open to students with credit for 1101 or 1101.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 1102.01","Undergraduate","Elementary American Sign Language II","Further development of ASL skills. Focus on talking about others. Continued exploration of American deaf culture and history. Instruction primarily in ASL. Not open to native users or ASL. 
Prereq: 1101, or 1101.01, or 1101.02. Not open to students with credit for 1102 or 1102.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 1103.01","Undergraduate","Intermediate American Sign Language","Advanced development of ASL skills. Focus on talking about community. Continued exploration of American deaf culture and history. Instruction primarily in ASL. Not open to native users of ASL.
Prereq: 1102, 1102.01, or 1102.02. Not open to students with credit for 1103, or 1103.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 2104","Undergraduate","American Sign Language Conversational Discourse","This course is designed to develop conversational discourse and personal narrative skills in ASL. Students will continue the development of ASL communication skills both receptively  and expressively, by expanding on ASL vocabulary and ASL grammar. These skills will allow students the ability to expand conversations in ASL beyond every day topics. Course instruction is in the target language, ASL.
Prereq: A grade of C or better in 1103, or permission of department.",3
"POLITSC 1200","Undergraduate","Introduction to Comparative Politics","Introduction to modern nation-states outside the United States: problems of state- and nation-building, representation, conflict, and making of government policy in selected countries.
Prereq: Not open to students with credit for 100 or 100H. This course is available for EM credit. GE soc sci orgs and polities and diversity global studies course. GE foundation social and behavioral sci course.",3
"POLITSC 2150","Undergraduate","Voters and Elections","Students will engage in an in-depth study of the mechanics of democracy. Students will take a close look at various forms of voting and representation around the world and examine the motivation and tactics of elite actors (candidates, reporters, interest groups, political parties, media personalities, etc.) and the voting public.
GE soc sci indivs and groups course. GE theme citizenship for div and just wrld course.",3
"POLITSC 4999H","Undergraduate","Honors Thesis Research","Honors thesis research with thesis adviser. Minimum of two semesters required of candidates for BA with distinction in political science.
Prereq: Honors standing, and Sr standing, and enrollment in Political Science major, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 4 completions. This course is graded S/U.","2 - 4"
"POLITSC 3780","Undergraduate","Data Literacy and Data Visualization","Introduction to the tools of data analysis in political science, with an emphasis on data visualization.
GE data anly course. GE foundation math and quant reasoning or data anyl course.",3
"BIOMEDE 4193","Undergraduate","Individual Studies in Biomedical Engineering","Provides the opportunity to pursue special studies or research in biomedical engineering not otherwise covered.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 4998.02","Undergraduate","Undergraduate Research in Biomedical Engineering","Individual Studies in Biomedical Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 5193","Undergraduate","Individual Studies in Biomedical Engineering","Provides the opportunity to pursue special studies or research in biomedical engineering not otherwise covered.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 4999H","Undergraduate","Biomedical Engineering Undergraduate Honors Thesis Research","Honors program students are offered the opportunity to pursue an independent distinction project/research. Student presentations and thesis writing included.
Prereq: Honors standing, or permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions.","1 - 6"
"BIOMEDE 4999","Undergraduate","Biomedical Engineering Undergraduate Thesis Research","Students are offered the opportunity to pursue an independent distinction project/research. Student presentations and thesis writing included.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions.","1 - 6"
"BIOMEDE 2800","Undergraduate","Anatomy for Engineers","This course investigates the basic anatomical structure and physiological function of the human body with a biomechanical emphasis.
Prereq: Enrollment in BiomedE pre-major or major; or permission of instructor. Concur: Physics 1250, or permission of instructor. Not open to students with credit for Anatomy 2220.",3
"CIVILEN 2193","Undergraduate","Individual Studies in Civil Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 2410","Undergraduate","Introduction to Surveying","An introduction to surveying and geomatics, with an emphasis on basic spatial data collection and construction layout using ground-based measurement techniques. Must be taken as soon as possible upon entering the major.
Prereq or concur: 2050 or Stat 3450, 3460, or 3470; and enrollment in CivilEn or EnvEng major.",3
"CIVILEN 4193","Undergraduate","Individual Studies in Civil Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4998H","Undergraduate","Undergraduate Research in Civil Engineering","Opportunity for undergraduate honors students to conduct research in Civil and Environmental Engineering.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4999H","Undergraduate","Civil Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4999","Undergraduate","Civil Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4193","Undergraduate","Individual Studies in Environmental Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4998","Undergraduate","Undergraduate Research in Environmental Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4999H","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ENVENG 4999","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ARABIC 1103.01","Undergraduate","Intermediate Modern Standard Arabic I","Building on previously acquired functional abilities; using Arabic to express opinion and feelings; oral interaction in the classroom; reading authentic texts or various genres. Classroom track. Not open to native speakers of Arabic.
Prereq: 1102.01, 1102.02, or 4 cr hrs of 1102.51. Not open to students with credit for 1103.02 or 4 cr hrs of 1103.51. This course is available for EM credit. GE for lang course. GE world languages course.",4
"HEBREW 2241H","Undergraduate","Culture of Contemporary Israel","An introduction to the culture of modern Israel: historical roots, socio-political institutions and developments, and literary and artistic creations reflecting the realities of contemporary Israeli society.
Prereq: Honors standing, or permission of instructor. Not open to students with credit for 2241 (241), 241H, JewshSt 2242, or 2242H. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies course. Cross-listed in JewshSt 2242H.",3
"HEBREW 3245","Undergraduate","Israeli Film & Society","A survey of Israeli films from 1948 to the present day, tracing the development of film production in Israel as well as the relationship between film and society.
Prereq: English 1110. Not open to students with credit for 2245 or JewshSt 2245 or 3245. GE VPA and diversity global studies course. GE theme citizenship for div and just wrld course. Cross-listed in JewshSt.",3
"HEBREW 2700","Undergraduate","Introduction to the Hebrew Bible/Old Testament","Introduction to the Hebrew Bible/Old Testament is taught from a historical perspective. The HB/OT is a collection of texts designed to create and fortify the ethnic identity of a single group within imperial contexts, while focusing on the formation of gender identity and race. The student will study the cultural dimensions of the ancient societies in which the HB/OT was written.
Prereq: English 1110.xx, or GE foundation writing and info literacy course. Not open to students with credit for 2700H, JewshSt 2700, or 2700H. GE lit and diversity global studies course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course. Cross-listed in JewshSt.",3
"NELC 4999H","Undergraduate","Undergraduate Honors Thesis","Offers undergraduates with special aptitudes the opportunity to do independent study leading to an honors thesis.
Prereq: Honors, Sr standing with an average of B in all work in NELC, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
