"subject","level","course_code","course_name","description","credits"
"CS - Computer Science ","Graduate Courses","CS 5311","Programming with R for Data Analysis and Machine Learning","Prerequisite: Must be a graduate student at Texas Tech. A hands-on exploration of R programming including its applications in data analytics and machine learning in various application domains for science, business and engineering students. Open to all graduate students across campus.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5320","Principles of Computer Graphics","Techniques and methods for creating realistic images using graphic programming languages. Topics include visible surface determination rendering, surface modeling, and particle systems.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5328","Scientific Computing","Provides an overview of numerical methods that are essential to computing. Topics include matrix computations, statistical methods, numerical integration, and multiresolution methods.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5331","Special Problems in Computer Science","Study in advanced computer science and technology.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5332","Special Topics in Software Engineering","Prerequisite: Consent of instructor. Studies in advanced software engineering.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5333","Special Topics in Security","Security and privacy are rapidly emerging as critical research areas in computer science. This course addresses the basic concepts and issues related to the discipline and profession.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5340","Introduction to Information and Computer Security","Explores the theory and practices of information and computer security. Topics include security concepts, threats, vulnerabilities, risk management, and security assurance.    [ CS 4331 ]","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5341","Pattern Recognition","Traditional and current approaches to the general problem of recognizing patterns in images, signals, and other domains. Includes Bayes decision theory, supervised learning, and nonparametric techniques.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5342","Network Security","Introduces the basic theory and practices of network security and strategies for network defenses against security risks, threats, and cyber-attacks in infrastructure-based networks.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5352","Advanced Operating Systems Design","Topics on distributed operating systems, such as synchronization, communication, file systems, and memory sharing are discussed. Several programming projects are implemented.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5353","Compiler Construction","Implementation aspects of compiler construction, automata for formal grammar, semantics of procedural languages, automatic generation of parser, and assembly code generation. A prototype of a compiler is developed.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5356","Advanced Database Management Systems","Systems aspects of relational databases are emphasized. Topics include relational database design, index and access structures implementation and performance evaluation, query processing and optimization, transaction management, and concurrency control.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5357","Multimedia Systems","Multimedia digital audio processing; image and video data compression; and processing for multimedia presentations. Time-based media representation and synchronization; multimedia communication systems; and hypertext and programming.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5358","Software Studio I","Capstone design and implementation experience of a major software project applying comprehensive software engineering techniques.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5361","Theory of Computing Languages","General language theory with emphasis on computing languages. Chomsky typology, syntactical and semantic specifications. Current research on translation of natural language instructions to machine instructions.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5363","Software Project Management","Explores the principles of software project management and their effective application. Topics include project, risk, process, and resource management and improvement techniques.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5364","Information Retrieval","Introduction to information retrieval. Topics include query formation, query processing, choice and form of search terms, document organization and indexing, and evaluating search results.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5365","Principles of Multiple-Processor Systems","Comprehensive introduction to the field of parallel and distributed computing systems. Algorithms, architectures, networks, systems. Theory and applications.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5368","Intelligent Systems","Comprehensive introduction to the field of artificially intelligent computer based systems. Theory and applications in artificial intelligence.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5373","Software Modeling and Architecture","Introduces the theory and practice for software development and covers software requirements, analysis, software architecture and detailed design.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5374","Software Verification and Validation","Introduces how to implement effective test and measurement programs as well as how to apply this knowledge to the production of low-defect software.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5375","Computer Systems Organization and Architecture","Introduction to the architecture, organization, and design of computer systems. Topics include processor, control and memory design, computer arithmetic, I/O, and a brief introduction to multiprocessors.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5376","Communication Networks","Networks in the context of parallel and distributed systems. Information theory applied to networks. Network topology. Problems and approaches in design, development, and management of communications networks.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5377","Distributed Computing","Introduction to distributed systems. Topics include communications, distributed operating systems, fault-tolerance, and performance issues. Case studies and term projects supplement this course.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5379","Parallel Processing","Introduction to parallel processing in theory, performance evaluation of parallel machine-algorithm ensemble, parallelization techniques of sequential codes, parallel algorithm design, and parallel API.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5380","Fault-Tolerant Computer Systems","Introductory course to methodologies for specifying, designing, and modeling fault-tolerant computer systems. Includes fault classification, design techniques for fault detection and recovery, and reliability modeling techniques.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5381","Analysis of Algorithms","Theoretical analysis of algorithms for sorting, searching, sets, matrices, etc.; designing efficient algorithms for data structures, recursion, divide-and-conquer, dynamic programming; nondeterminism, NP-completeness and approximation algorithms.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5383","Theory of Automata","Structured grammars, relation between grammars and automata, deterministic, and nondeterministic finite automata, push-down store, and linear-bounded automata, and Turing machines.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5384","Logic for Computer Scientists","An introduction to mathematical logic. The course includes proofs of several basic theorems and discusses the application of logic to different areas of computer science.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5386","Wireless Networking and Mobile Computing","Wireless networks and mobile computing at the level of the link, network, and transport layers. Focus on the special topics in each layer.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5388","Neural Networks","Neural network theory, models, and implementation. Applications to real-time systems, robotics, pattern recognition, computer vision, and event driven systems.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5391","A I Robotics","Programming of artificially intelligent robots. Topics include sensing, navigation, path planning, and navigating with uncertainty.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5392","Reinforcement Learning","Introduction to reinforcement learning and Markov decision processes and their applications for making optimal decisions.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5393","Bioinformatics","Computational analysis of biological sequences gene expression and protein structures. Topics include sequence alignment, gene expression data analysis, and geometric analysis of protein structure.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5398","Theory and Practice of Logic Programming","Formal syntax and semantics of logics of programming languages, practical application of such languages, and linking GUI interfaces written in imperative languages.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 5401","Foundations of Computer Science I","Accelerated concepts of computer science. Topics may include high-level languages, control, software design, basic data structures, file organization, and machines.","4 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6000","Master’s Thesis","","V1-12 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6001","Master’s Project","","V1-6 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6002","Master’s Report","","V1-6 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6343","Cryptography","Explores foundational principles of cryptography and in-depth discussion of cryptosystems. Topics include symmetric/asymmetric encryptions, hashing algorithms, message authentication, digital signatures, and various cryptosystems.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6345","Digital Forensics","Introduces the basic concepts and techniques usually employed in digital forensics and malware analysis.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6359","Data Security and Privacy","Addresses the basic concepts and issues underlying data security and privacy. Topics include data security, privacy, data storage and analysis, etc.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 6378","Software Security","Covers security aspects in software engineering. Topics include threat analysis, secure software requirements specification and analysis, secure software design, coding, and testing.","3 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 7000","Research","","V1-12 Semester Credit Hours"
"CS - Computer Science ","Graduate Courses","CS 8000","Doctor’s Dissertation","","V1-12 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1100","Dance Production Activities","Participation in a dance production as a performer, designer, or crew member. Must be concurrently enrolled in a dance technique course. May repeat twice for credit.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1101","Tap I","TCCNS:[DANC1110, 1210]A study of basic tap dance techniques, performance, and choreography. May be repeated once for credit.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1106","Conditioning for Performers","An introduction to systems of physical conditioning specific to the needs of dance and theatre performers. May be repeated once for credit.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1108","Hip Hop","A study of basic hip hop dance techniques, performance, and choreography. May be repeated once for credit.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1200","First Year Seminar in Dance","Supports students’ approaches to their dance practices, reading, writing, and creative work for an informed, rigorous experience at TTU.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1201","Introduction to Dance Technique","Prerequisite: Department permission. Introduces the fundamentals of dance technique, including introduction to and application of terminology specific to ballet, jazz, and contemporary dance forms.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1203","Jazz I","TCCNS:[DANC1141, 1241, 1341]Prerequisite: DAN 1201 or consent of instructor. An introduction to fundamental jazz dance technique. May be repeated once for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1205","Ballet I","TCCNS:[DANC1141, 1241, 1341]Prerequisite: DAN 1201 or consent of instructor. An introduction to fundamental ballet dance technique. May be repeated once for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1206","Musical Stage Dance","Prerequisite: DAN 1203 or DAN 2203 (may be taken concurrently). An introduction to basic principles of dance styles associated with musical theatre. May repeat once; only 2 hours of credit will be applied to the B.A. in Dance.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 1207","Contemporary Dance I","TCCNS:[DANC1145, 1245, 1345]Prerequisite: DAN 1201 or consent of instructor. A study of beginning contemporary dance technique and contemporary dance styles. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2100","Company Class","Prerequisites: DAN 2203 , DAN 3203 , DAN 4203 , or DAN 2205 , DAN 3205 , DAN 4205 ; DAN 2207 , DAN 3207 , DAN 4207 . A study of ballet, jazz and contemporary dance techniques. May be repeated.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2201","Anatomy & Somatic Practices","Prerequisite: DT 1306 . An extensive study on the human body as a tool for movement and on understanding how to develop flexibility and strength equally and safely.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2202","Improvisation","A study of basic movement improvisation techniques and skills.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2203","Jazz II","TCCNS:[DANC1148]Prerequisite: DAN 1203 or consent of instructor. A study of intermediate jazz dance technique and various jazz dance styles. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2204","Dance Improvisation II","Prerequisite: DAN 2202 . Drawing from post-modern performance practices, scores and guided improvisation are used to explore imagery, ensemble practice, and to craft compositions. May be repeated once for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2205","Ballet II","TCCNS:[DANC1142]Prerequisite: DAN 1205 or consent of instructor. A study of intermediate ballet dance technique. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2206","Music for Dance","An introduction to and exploration of fundamental elements of music as they relate to the study and practice of dance.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2207","Contemporary Dance II","TCCNS:[DANC1146]Prerequisite: DAN 1207 or consent of instructor. A study of intermediate contemporary dance technique and contemporary dance styles. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2301","Cultural Foundations of Dance","A study of dances from different cultures, their histories, and their influences on contemporary American dance and culture.  Fulfills multicultural and core Creative Arts requirement.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2303","Dance Appreciation","Provides students with a general overview of dance as an art form and as entertainment, beginning with ancient forms and progressing to the present day.  Fulfills core Creative Arts requirement.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2313","Dance Histories: 1850-Present","Introduces students to a wide range of dance and dancers from the 20th and 21st centuries, from the Industrial Revolution to the Digital Revolution. Though the emphasis is on Western concert dance, the course content considers the fusion of global techniques and critical moments in history from multiple sites throughout the world.  Fulfills core Creative Arts requirement.   Online.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 2323","Hip-Hop in U.S. Popular Culture","Explores the development of hip-hop through the lens of pop culture, as seen in television, film, advertising, fashion, popular music, the internet, and social media.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3000","Special Topics in Dance","Prerequisite: Consent of instructor. Introduction to special topics in dance for in-depth study. May be repeated for up to 6 credit hours with different topics; only 3 hours of credit will be applied to the B.A. in Dance.","V1-3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3100","Dance Production Activities II","Prerequisites: DAN 1100 , DAN 3208 , DAN 3209 . Participation in a dance production as a choreographer. May be repeated once for credit.  (CL)","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3203","Jazz III","Prerequisite: DAN 2203 or consent of instructor. A study of intermediate and advanced jazz dance technique, jazz dance styles, and jazz performance and choreography. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3205","Ballet III","Prerequisite: DAN 2205 or consent of instructor. A study of intermediate and advanced ballet dance technique, various ballet dance styles, and ballet performance and choreography. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3207","Contemporary Dance III","Prerequisite: DAN 2207 or consent of instructor. A study of intermediate/advanced contemporary dance technique and contemporary dance styles. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3208","Principles of Choreography I","Prerequisites: B or higher in DAN 2203 or DAN 3203 , and DAN 2205 or DAN 3205 , and DAN 2207 or DAN 3207 , and DAN 2202 ; or consent of instructor. An introduction to and practical application of basic principles and skills of dance making.   (CL)","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3209","Principles of Choreography II","Prerequisite: DAN 3208 or consent of instructor. An exploration of skills and techniques used to hone choreographic style and process.   (CL)","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3301","Dance Aesthetics","Prerequisite: C or better in DAN 2313 . An investigation of history and trends in dance theory, research, and philosophy.   (CL)","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3309","Pedagogy","Prerequisite: C or better in DAN 2313 . Investigation and practical application of contemporary teaching theories and methodologies.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3314","Dance Histories II: Cultural Foundations","Prerequisite: DAN 2313 . An overview of dance history with an emphasis on non-Western forms and understanding dance as a form of cultural and societal identity. May be repeated once for credit.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 3351","Dance in the Community","Combines community service (creating dance activities for or with non-profit community organizations that serve at-risk populations) with readings, discussions, and collaborations on societal applications for the performing arts.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4000","Projects in Dance","Prerequisite: Consent of instructor. Designed for students interested in pursuing guided independent projects in dance. May be repeated for up to 6 credit hours.","V1-3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4110","Capstone Concert","Prerequisite: B of higher in DAN 3209 and consent of instructor. Corequisite: DAN 3100 . Production of a fully realized dance concert and completion/presentation of a professional portfolio.","1 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4202","Contact Partnering","Prerequisites: A or higher in DAN 2202 ; and DAN 3203 or DAN 4203 ; and DAN 3205 or DAN 4205 ; and DAN 3207 or DAN 4207 ; or consent of instructor. A study of contact partnering skills, techniques, and improvisations as practiced in contemporary dance. May repeat once for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4203","Jazz IV","Prerequisite: DAN 3203 or consent of instructor. A study of advanced jazz dance technique, various jazz dance styles, and jazz.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4205","Ballet IV","Prerequisite: DAN 3205 or consent of instructor. A study of advanced ballet dance technique, various ballet dance styles, and ballet performance and choreography. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4207","Contemporary Dance IV","Prerequisite: DAN 3207 or consent of instructor. A study of advanced contemporary dance technique and contemporary dance styles. May be repeated for credit.","2 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4310","Careers in Dance","Explores contemporary practices and approaches to careers in commercial and concert dance, studios, K-12 dance education, academia, nonprofit dance, and technical theatre.","3 Semester Credit Hours"
"DAN - Dance ","Undergraduate Courses","DAN 4313","Topics in Dance History","Prerequisite: DAN 2313 or consent of instructor. An in-depth investigation of particular topics in dance history with a focus on the roles of dance in a larger cultural context. May be repeated once for credit.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5301","Foundations and Qualitative Research Methodologies","Students will explore a range of interpretive and observational approaches within qualitative research philosophies and methodologies.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5302","Applied Anatomy and Movement Analysis","Covers a broad base of knowledge ranging from an overview of functional skeletal and muscular anatomy to a broad treatment of multiple methods of movement analysis.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5303","Dance Histories I: Dance and the Popular Screen","Focuses on Western concert and commercial dance with emphasis on the late 20th and early 21st century commercial forms, including dance as reality television, the commercialization of hip-hop and house dance, and the replication of cultural values through dance in the media.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5304","Advocacy and Collaboration in Dance","Students will study the importance and impact of external environments and support structures on the formation, production, and funding of dance activities. Students will learn about various collaborative models that support art-making with a specific focus on dance.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5305","Choreography: Practices and Perspectives","Students will explore pedagogical, philosophical, aesthetic, and cultural approaches and issues in choreography. Investigating the political and artistic stakes of choreography, students will consider differing dance-making strategies in diverse communities and for diverse purposes.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5306","Practical Issues in Dance Pedagogy","An investigation of contemporary practices in K-12 dance education, including researching state and national standards for dance education and exploring strategies for resource management and program advocacy.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5307","Critical Inquiry – Dance","Students will look at multiple uses of dance, concentrating on its functions as a conceptual term, an object of analysis, and a mode of interpretation.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5308","Graduate Dance Histories: 1850-Present","Focuses on a study of non-Western dance forms with emphasis on the role(s) of dance in defining and maintaining cultural and social identities, the investigation of dance as a form of cultural preservation, and the potential of dance as a vehicle for transformative social change.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5309","Thesis Project Proposal","A research lab in which students will learn and demonstrate the core skills necessary to draft a thesis or alternative thesis project.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5310","Applied Somatics","Addresses issues related to ideas of psychophysical unity. Topics include a survey of somatic practices, embodiment theories, learning methodologies, and the implications of physical and experimental learning in a variety of contexts.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5311","Dance in Communities","Students will explore the relationship between dance and communities, specifically focusing on performances’ stakes and responsibilities in the construction of culturally diverse communities.","3 Semester Credit Hours"
"DAN - Dance ","Graduate Course","DAN 5312","Thesis Project Presentation","Comprises student presentation and defense of a scholarly thesis or alternative thesis project.","3 Semester Credit Hours"
"DT - Dance Theatre ","Undergraduate Courses","DT 1306","Movement for the Performer","Combines various somatic modalities with specific physical practices to facilitate performers’ understanding of their bodies in movement.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3301","Theories of Human Development and Family Sciences","Prerequisite: 2.5 TTU GPA. The major theories in human development and family studies. Course focuses on the meaning of theory to individual and family development over the lifespan. Implication of theory and program development and services are reviewed.   (CL) [ HDFS 3301 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3306","Understanding Child and Adolescent Behavior","Prerequisites: 2.5 TTU GPA. Development of strategies for promoting self-discipline, creative capacities, and positive relationships with children and adolescents.    [ HDFS 3306 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3310","Prenatal and Infant Development","Prerequisites: 2.5 TTU GPA. Study of how to promote the psychomotor, social-emotional, and cognitive-language development of infants from the prenatal period through the first two years in their interactions with caregivers, peers, and the environment.    [ HDFS 3310 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3311","Supervised Experiences with Infants and Toddlers","Prerequisite: 2.5 TTU GPA. Supervised experience with infants and toddlers. State law requires students to pass a background check.    [ HDFS 3311 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3312","Development During Childhood","Prerequisites: 2.5 TTU GPA. Examination of psychomotor, social-emotional, and cognitive-language development during childhood.    [ HDFS 3312 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3313","Supervised Experiences with Young Children","Prerequisites: 2.5 TTU GPA. Supervised experience with young children. State law requires students to pass a background check.   (CL) [ HDFS 3313 ] F, S.","3 Semester Credit Hours"
"EC - Early Childhood ","Undergraduate Courses","EC 3350","Development in Cross-Cultural Perspective","Prerequisite: 2.5 TTU GPA. Critical examination of developmental and family theory research across a diverse range of cultures.   (CL) [ HDFS 3350 ] F, S.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 1105","Strategies for Success in Engineering: ECE Recovery and Time Management","Laboratory course to provide ECE majors with practice in skills to improve academic performance. Topics include study skills and habits, note taking, collaborative learning and teamwork, test-taking skills, and time management.","1 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 1304","Introduction to Electrical and Computer Engineering","Prerequisite: 2.5 TTU GPA; C or better in MATH 1451 (may be taken concurrently). Introduction to the electrical and computer engineering disciplines including familiarization with relevant design tools. Overview of the profession, contemporary issues, and ethics.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 1305","Introduction to Engineering and Computer Programming","Prerequisite: 2.5 TTU GPA; C or better in MATH 1451 (may be taken concurrently). An introduction to the fundamentals of computing and structured programming for electrical engineering.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 2305","C Programming with Hardware Applications","Prerequisites: 2.5 TTU GPA; C or better in MATH 1451 (may be taken concurrently) and ENGR 1330 . For majors only or departmental consent. An introduction to the fundamentals of computing and structured programming with applications to hardware.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 2372","Modern Digital System Design","Prerequisites: 2.5 TTU GPA; C or better in MATH 1451 (may be taken concurrently) and ENGR 1330 . An introduction to combinational and sequential digital systems. Description of digital circuits using Verilog.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3301","General Electrical Engineering","Prerequisite: CE, CHE, CONE, CS, ENVE, IE, ME, and PETR majors only; 2.0 TTU GPA; C or better in MATH 1452 .  Analysis of electric circuits. Introduction to electronic instrumentation and electromechanics. For non-majors only.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3302","Fundamentals of Electrical Engineering","Prerequisites: 2.5 TTU GPA; C or better in MATH 1452 , majors only. Principles of electric circuits. DC, transient, and sinusoidal steady-state analysis.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3303","Signals and Systems","Prerequisites: 2.5 TTU GPA; C or better in ECE 3302 , MATH 3350 (may be taken concurrently), and ENGR 1330 or ECE 1304 . For majors only or departmental consent. Concepts of signal and system analysis in time and frequency domains as applied to electric circuits. Fourier series, Fourier transform, and Z transform techniques are stressed.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3304","Discrete-Time Signals and Systems","Prerequisite: 2.5 TTU GPA; C or better in ECE 3303 . For majors only or departmental consent. Discrete-time signal processing, sampling, z-transform, discrete and fast Fourier transforms, infinite and finite impulse response digital filter design and implementation.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3306","Network Analysis","Prerequisite: 2.5 TTU GPA; C or better in ECE 3302 . For majors only or departmental consent. Continuation of methods of circuit analysis, including higher order circuits, filter circuits, inductively coupled circuits, three-phase circuits, and two-port networks. Includes Laplace analysis techniques and frequency (Bode) plots, as well as computational methods for analysis like MatLab and PSPICE.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3308","Probability, Statistics, & Discrete Math","Prerequisites: 2.5 TTU GPA; C or better in MATH 1452 . For majors only or departmental consent. Introduction to the basic concepts of probability, random variables, statistics, reliability, and discrete math. Topics include Probability, Random Variables, Markov Processes, Statistical Analysis, and Discrete Math.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3309","Advanced Mathematics and Linear Algebra","Prerequisites: 2.5 TTU GPA; C or better in ECE 3303 , ECE 3308 , MATH 2450 , and MATH 3350 . For majors only or departmental consent. Advanced concepts in linear algebra, complex number mathematics, partial differential equations, coordinate systems, and the wave equation with specific applications to electrical engineering.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3311","Electronics","Prerequisite: 2.5 TTU GPA; C or better in ECE 3302 . For majors only or departmental consent. Introduction to electronic devices, amplifiers, and electronic systems. Principles of electronic circuit design and analysis.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3312","Advanced Electronics","Prerequisites: 2.5 TTU GPA; C or better in ECE 3311 , ECE 3303 , and MATH 3350 . For majors only or departmental consent. Analysis and design of special-purpose amplifiers and oscillators.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3323","Principles of Communication Systems","Prerequisites: 2.5 TTU GPA; C or better in ECE 3306 and ECE 3308 . For majors only or departmental consent. Random processes and spectral densities. Fourier Transforms and linear systems concepts. Amplitude, phase angle, and pulse modulation communication systems.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3325","Computer Networks","Prerequisites: 2.5 TTU GPA; C or better in ECE 3303 and ECE 3308. For majors only or departmental consent. Networking protocols and standards. Data and voice network architectures. Computer, cellular, satellite, and telephone networks. Network modeling, queuing theory, and optimization.","3 Semester Credit Hours"
"ECE - Electrical and Computer Engineering ","Undergraduate Courses","ECE 3331","Robotics Project Lab","Prerequisites: 2.5 TTU GPA; C or better in ECE 1305 or ECE 2305 ; ECE 2372 , ECE 3302 ECE 3311 (may be taken concurrently), and ENGL 1302 . For majors only or departmental consent. A laboratory course to develop design and debugging skills with robotics systems.   (CL)","3 Semester Credit Hours"
