"course_code","course_name","course_level","course_hours","course_description"
"DENT 758","Senior Seminar","Graduate","2 Hours","More complex and advanced techniques for clinical practice in all disciplines in dentistry with emphasis on new developments in oral surgery and endodontics."
"DENT 759","Oral Surgery","Graduate","2 Hours","PR: Consent. Didactic instruction in patient evaluation, complicated exodontia, pre-prosthetic surgery, diagnosis, surgical and adjunctive treatment of disease, injuries, and defects of human jaws and associated structures."
"DENT 761","Special Needs in Dentistry","Graduate","1 Hour","PR: Consent. Continued didactic instruction in dentistry for the child patient with particular emphasis on patients with special needs."
"DENT 762","Anxiety and Pain Control","Graduate","1 Hour","PR:DENT 700andDENT 739andPCOL 760andPCOL 763. Emphasis on the use of oral agents in obtaining pain and anxiety control in Dentistry."
"DENT 763","Periodontics","Graduate","2 Hours","Advanced didactic instruction in periodontal therapy including special surgical procedures."
"DENT 765","Orthodontics","Graduate","1 Hour","Introduction to clinical orthodontics; lectures on case analysis, treatment planning, and clinical procedures involved in interceptive, preventive, and adjunctive treatment of malocclusions."
"DENT 766","Applied Pediatric Dentistry","Graduate","2 Hours","PR:DENT 719 andDENT 735. Didactic and pre-clinical instruction in the treatment of children's oral health. Includes treatment planning/case presentations, general restorative procedures, management of developing occlusion, and trauma to dentition and oral structures."
"DENT 767","Community Dentistry","Graduate","1-15 Hours","Field experience in various aspects of community health."
"DENT 770","Clinical Oral Radiology","Graduate","6 Hours","Clinical application of principles presented inDENT 703with additional instruction in techniques and interpretation of radiographs with special emphasis to role played in oral diagnosis."
"DENT 771","Practice Management","Graduate","2 Hours","PR:DENT 725. A lecture series on the fundamentals of practice management, including the organization and development of the practice, personnel and financial management, and the introduction to TEAM dentistry."
"DENT 772","Case Based Treatment Planning","Graduate","1 Hour","This course will involve the comprehensive analysis of complex cases in order to formulate an appropriate ideal treatment plan with suitable alternatives. The student must assimilate patient information into the S.O.A.P format and present the case before faculty and peers."
"DENT 774","Principles of Medicine","Graduate","2 Hours","General diseases about which the dental student should have intelligent working knowledge. Students are assigned to specific hospitalized patients to review their findings with the class."
"DENT 775","Practice Management","Graduate","6 Hours","PR: Consent. Clinical practice using auxiliaries, including those trained in expanded functions."
"DENT 776","Removable Prosthodontics","Graduate","6 Hours","Continued application of the theory and practice of removable prosthodontics."
"DENT 777","Periodontics","Graduate","6 Hours","Clinical experience in the diagnosis and treatment of periodontal diseases."
"DENT 778","Law & Ethics in Dentistry","Graduate","2 Hours","Select legal concepts and the process of ethical decision making as related to the practice of dentistry. Case analysis is the primary method of instruction."
"DENT 780","Endodontics","Graduate","6 Hours","Clinical endodontic instruction in order to develop the skills and judgment necessary to treat diseases of the dental pulp and their sequelae."
"DENT 781","Patient Management 1","Graduate","4 Hours","This four semester course in the first year of the clinic curriculum develops professional responsibility and time management through monitoring of patient care activity, which includes treatment, diagnostic reviews and clinic service assignments. (Grading will be Pass/Fail)."
"DENT 782","Clinical Patient Management 2","Graduate","2 Hours","PR:DENT 781.  This two-semester course develops professional responsibility and time management through monitoring of patient care activity, which includes treatment, case presentations, diagnostic reviews and clinic service assignments."
"DENT 783","Operative Dentistry","Graduate","6 Hours","Instruction in the clinic setting includes comprehensive diagnosis and treatment planning, computer assisted records, plaque control, caries control, and single tooth restorations. Sufficient variety and depth of experience occurs to obtain competence for independent practice of operative dentistry."
"DENT 784","Oral Surgery","Graduate","6 Hours","Clinical instruction in outpatient and inpatient oral surgery necessary to provide comprehensive care for the dental patient."
"DENT 785","Orthodontics","Graduate","6 Hours","Clinical management of selected malocclusion problems."
"DENT 786","Pediatric Dentistry","Graduate","6 Hours","Instruction in the clinical setting with the goal of developing the psychomotor skills and judgment necessary to provide comprehensive care for the child patient."
"DENT 787","Clinical Oral Diagnosis","Graduate","6 Hours","Clinical application of principles presented inDENT 703andDENT 737, providing opportunities for observation and analysis of clinical problems."
"DENT 788","Clinic Completion Practicum","Graduate","15 Hours","Supervised patient care in selected clinical areas specified for each individual student according to their clinical competency requirements. (Grading will be S/U.)."
"DENT 789","Fixed Prosthodontics","Graduate","6 Hours","PR: Consent. Clinical application of the theory and practice of crown and bridge dentistry."
"DENT 790","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of dentistry. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It will also present a mechanism for students not on assistantships to gain teaching experience.  (Grading will be P/F.)."
"DENT 791","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"DENT 792","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"DENT 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DENT 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"DENT 930","Professional Development","Graduate","1-6 Hours","Professional development courses provide skill renewal or enhancement in a professional field or content area (e.g., education, community health, geology.) These tuition waived continuing education courses are graded on a pass/fail grading scale and do not apply as graduate credit toward a degree program."
"DISB 580","Disability and the Family","Graduate","3 Hours","This course is designed to familiarize students with developmental disabilities and their impact on families. Interdisciplinary, family-centered care is emphasized, along with how to access resources to meet the needs of children and families."
"DISB 581","Lifespan Disability Policy","Graduate","3 Hours","Overview of health, education, financial and related policies impacting individuals with disabilities across the lifespan and at the federal, state, and local levels."
"DISB 585","Disability and Society","Graduate","3 Hours","This course provides a global, interdisciplinary overview of issues and policies that are the concern of individuals with disabilities (e.g., public policy, health-related issues, employment, and social benefits)."
"DISB 682","Disability and the Community","Graduate","2 Hours","This course offers service learning experience in the community with persons who have a disability."
"DISB 686","Graduate Capstone: Disability","Graduate","1 Hour","This capstone experience for the certificate in disability studies at the graduate level culminates with an essay, a presentation, and a portfolio."
"DISB 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DMC 561","Audience Segmentation","Graduate","3 Hours","PR:DMC 460orDMC 660orIMC 440orIMC 640. This course examines how data can be used to break down mass markets into specific, reachable target markets. Students explore demographic data and other key indicators that can inform successful campaigns, and which data best serve the development of unique market segments to support specific marketing communication goals."
"DMC 562","Message Customization","Graduate","3 Hours","PR:DMC 460orDMC 660. This course examines how data enables marketing communicators to customize messages to target audiences as small as a single consumer. Students will examine how to motivate consumers by provided brand communications that are relevant, timely and personal."
"DMC 563","Brand Data Collection & Visualization","Graduate","3 Hours","PR:DMC 460orDMC 660. This course examines the benefits of mining your own brand data for insights that could influence marketing communications decisions with an emphasis on how that data can be presented visually to key stakeholders. Students will examine the relevant merits of internal versus external data collection and the proper times, sources and processes to engage in either."
"DMC 564","Social Media Optimization","Graduate","3 Hours","PR:DMC 460orDMC 660. This course examines how data from social media can be leveraged to ensure marketing communications messages reach intended target audiences. Students explore gathering data from social media and customizing messages for maximum impact."
"DMC 565","Customer Engagement Ethics & Strategies","Graduate","3 Hours","PR:IMC 440orIMC 640. This course examines contemporary content strategies for engaging customers through the channels and at the times they prefer. Students will learn to recognize and facilitate customer journeys that provide seamless user experience and path to purchase utilizing omnichannel marketing strategies."
"DMC 571","Data Management Platforms","Graduate","3 Hours","PR:DMC 460orDMC 660. This course explores database platforms and how data can be analyzed to develop specialized and highly targeted marketing communications. Students will examine the relative merits of various platforms based on their specific needs."
"DMC 572","Campaign Planning & Programmatic Media Buying","Graduate","3 Hours","PR:DMC 460orDMC 660. This course examines the automated media buying landscape with a focus on the tools used, risks and rewards of automated media buys. Students explore software platforms available for automated buying to understand the connection between how data input affects media buying output."
"DMC 573","Campaign Metrics and Assessment","Graduate","3 Hours","PR:DMC 460orDMC 660orIMC 410orIMC 440orIMC 610orIMC 640. This course explores how data informs key performance indicators that define a campaign’s success. Students examine how metrics can rely on data for maximum benefit and survey available metrics and assessment platforms."
"DMC 574","Messaging for Customer Relationship Management","Graduate","3 Hours","PR:DMC 460orDMC 660. This course examines how data is leveraged for communications intended to retain current customers and acquire new ones. Students will explore how to accurately assess per customer lifetime value and utilize effective data-informed communications strategies to maximize and retain that value."
"DMC 580","Data Marketing Communications Campaigns","Graduate","3 Hours","PR:DMC 460orDMC 660. This course is the capstone experience for the data marketing communications master's degree program. Students develop a cohesive marketing communications campaign that demonstrates both a conceptual and practical mastery of data driven marketing communications. This course must be completed in a student's final academic term."
"DMC 660","Introduction to Data Marketing Communications","Graduate","3 Hours","PR: Admission to the Data Marketing Communications program. This course is the introductory course experience for the data marketing communications master's degree program. Students will explore the fundamentals of using data to make marketing communications decisions, as well as topics including database marketing, loyalty programs, financial and marketing metrics, audience targeting and segmentation, data for digital marketing, data visualization and marketing automation."
"DSCI 501","Data Analysis","Graduate","3 Hours","Basic statistical principles, probability rules, R programming, probability distributions, estimation and testing related to  binomial and Poisson distributions, goodness-of-fit test, contingency-table models, the normal distribution, sampling distributions, simulations, one- and two-sample inferences, bootstrap inferences, nonparametric tests, simple linear regression, one-way analysis of variance, model assessment, and multiple testing. R is used for modeling and plotting data based examples and exercises."
"DSCI 502","Data Modeling","Graduate","3 Hours","PR:DSCI 501or Consent.   Matrix algebra using R, analysis of covariance, least squares means, model assessment, multi-way analysis of variance, fixed, random, and mixed effects models, expected mean squares, variance components, unbalanced models, multiple comparisons, nested and block designs, multilevel models, multiple regression, transformations, polynomial and nonlinear regression, logistic regression, and Poisson regression. R is used in data based examples and exercises."
"DSCI 503","Data Science Processes","Graduate","3 Hours","PR: DSCI 500.   Basic data science algorithms. Data science processes, including workflows to build data products based on data collection and processing, machine learning algorithms, and statistical models using R and Python. Reproducible project reports, including data visualizations."
"DSCI 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent.   Investigation in advanced topics that are not covered in regularly scheduled courses."
"DSCI 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DSCI 695","Independent Study","Graduate","1-9 Hours","Faculty-supervised study of topics not available through regular course offerings."
"DSGN 520","Design Thinking","Graduate","3 Hours","This course establishes the value of design thinking, identifies the components of the design thinking process, and helps students develop proficiency by using the process in multiple contexts."
"DSGN 525","Design Ethics and Social Responsibility","Graduate","3 Hours","The focus of this course is on personal and professional ethics as well as social responsibility. Throughout the course students will have an opportunity to formulate and evaluate a personal code of ethics and use that code as a guiding tool to understand, evaluate and propose socially responsible approaches in professional and personal settings."
"DSGN 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DSM 512","Global Fashion Affairs","Graduate","3 Hours","This course evaluates key issues facing fashion businesses in the global marketplace. It includes an examination of internal and external forces affecting political, economic, social, environmental and ethical production, and distribution of textile and apparel products."
"DSM 535","Visual 3D Modeling and Rendering","Graduate","3 Hours","PR: Consent.   Develops students' abilities to apply digital three- dimensional instruments and techniques to effectively visualize and communicate the physical characteristics and phenomenal effects of existing and projected physical artifacts."
"DSM 550","Precision Drawing and Modeling","Graduate","3 Hours","PR: Consent.   Develops student's working knowledge of the opportunities and constraints associated with using advanced digital representational instruments for precise design, visualization and construction of architectural environments."
"DSM 560","Sustainability in Fashion","Graduate","3 Hours","PR: Graduate student standing. This course examines sustainability in the context of cultural, economic, environmental, social, and technological policies and procedures of fashion industries. Factors analyzed include ethics, government policies, international labor standards, environmental regulations, company priorities, consumer responsibilities, economic impact, and worker rights."
"DSM 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DSM 620","Creativity, Innovation, and Design","Graduate","3 Hours","Introduces students to the main concepts of creativity and innovation as related to design through experiential learning and theory evaluation."
"DSM 622","Fashion Theory","Graduate","3 Hours","PR: Graduate student status. This is an advanced readings course that examines the underpinnings of ‘fashion’ as a social phenomenon through a cultural studies and critical theory perspective. Students are introduced to fashion studies as a field including a review of the key theoretical works that have contributed to its evolution. Students will also reflect upon and articulate their 'why' for doing research."
"DSM 650","The Creative Economies","Graduate","3 Hours","PR: Consent.   Provides theoretical underpinnings of the emerging creative economies and introduces analytical frameworks and models to evaluate the impact of creative industries and activities on sustainable economic development at community and regional levels."
"DSM 673","Professional Development","Graduate","1-6 Hours",""
"DSM 673A","Professional Development","Graduate","1-6 Hours",""
"DSM 673B","Professional Development","Graduate","1-6 Hours",""
"DSM 673C","Professional Development","Graduate","1-6 Hours",""
"DSM 673D","Professional Development","Graduate","1-6 Hours",""
"DSM 673E","Professional Development","Graduate","1-6 Hours",""
"DSM 673F","Professional Development","Graduate","1-6 Hours",""
"DSM 673G","Professional Development","Graduate","1-6 Hours",""
"DSM 673H","Professional Development","Graduate","1-6 Hours",""
"DSM 673I","Professional Development","Graduate","1-6 Hours",""
"DSM 673J","Professional Development","Graduate","1-6 Hours",""
"DSM 673K","Professional Development","Graduate","1-6 Hours",""
"DSM 673L","Professional Development","Graduate","1-6 Hours",""
"DSM 673M","Professional Development","Graduate","1-6 Hours",""
"DSM 673N","Professional Development","Graduate","1-6 Hours",""
"DSM 673O","Professional Development","Graduate","1-6 Hours",""
"DSM 673P","Professional Development","Graduate","1-6 Hours",""
"DSM 673Q","Professional Development","Graduate","1-6 Hours",""
"DSM 673R","Professional Development","Graduate","1-6 Hours",""
"DSM 673S","Professional Development","Graduate","1-6 Hours",""
"DSM 673T","Professional Development","Graduate","1-6 Hours",""
"DSM 673U","Professional Development","Graduate","1-6 Hours",""
"DSM 673V","Professional Development","Graduate","1-6 Hours",""
"DSM 673W","Professional Development","Graduate","1-6 Hours",""
"DSM 673X","Professional Development","Graduate","1-6 Hours",""
"DSM 673Y","Professional Development","Graduate","1-6 Hours",""
"DSM 673Z","Professional Development","Graduate","1-6 Hours",""
"DSM 684","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry, and consumer sciences. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It will also present a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"DSM 689","Research Methods in Family Resources","Graduate","3 Hours","PR: Introductory statistics or written consent. Research methodology, experimental design, and statistical analysis as relevant to problems in family resources."
"DSM 690","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry, and consumer sciences. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It also provides a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"DSM 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"DSM 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"DSM 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"DSM 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"DSM 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"DSM 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"DSM 697","Research","Graduate","1-9 Hours","PR: Consent. Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"DSM 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use of the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is S/U; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"DSM 930","Professional Development","Graduate","1-6 Hours","Professional development courses provide skill renewal or enhancement in a professional field or content area (e.g., education, community health, geology). These tuition-waived continuing education courses are graded on a pass/fail grading scale and do not apply as graduate credit toward a degree program."
"DTHY 678","Dental Hygiene Teaching Methods","Graduate","2 Hours","PR: Consent. Concepts and principles of administration, curriculum, and classroom teaching unique to dental auxiliary education. Emphasis on overall role of the dental hygiene educator."
"DTHY 679","Clinical Evaluation","Graduate","2 Hours","PR:DTHY 678. Preparation for clinical instruction and evaluation. Emphasis is placed on clinical evaluation procedures, proper instrumentation and the skills/strategies utilized to promote affective and psychomotor skill development in students."
"DTHY 680","Dental Hygiene Seminar and Practice 1","Graduate","3 Hours","PR: Graduate standing and consent. Examination of the critical environmental issues affecting the future of health care; particular impact on oral health care trends will form major focus. Dental hygiene clinical practice is also included."
"DTHY 681","Dental Hygiene Seminar and Practice 2","Graduate","3 Hours","Expanded services for the dental hygienist with emphasis on restorative and periodontal functions."
"DTHY 685","Research Methods for the Dental Hygienist","Graduate","3 Hours","PR:EDP 613. Methods and techniques of research in dental hygiene. Major emphasis on planning and evaluating health programs, conducting oral health surveys, designing experiments and critically analyzing research results."
"DTHY 690","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of dental hygiene. Note:  This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility.  It also provides a mechanism for students not on assistantships to gain teaching experience.  (Grading will be P/F.)."
"DTHY 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"DTHY 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"DTHY 697","Research","Graduate","1-9 Hours","PR: Consent. Research activities leading to a thesis, problem report, research paper, or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"DTHY 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent. This is an optional course for programs that wish to provide formal supervision during the writing of student reports (698), or dissertations (798). Grading is normal."
"DTHY 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is P/F; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"ECON 501","Economic Decision Making","Graduate","3 Hours","PR:ECON 201andECON 202. Theory of demand and supply including cost determination, markets and pricing, regulatory economics, national income accounting, the assessment of economics impacts via the multiplier principle, monetary policy, and taxation policy."
"ECON 509","Research Design/Methodology","Graduate","3 Hours","The purpose of this course is to translate what you are learning in your courses into publishable research. This research will take a number of different forms including: op-eds, policy papers, fiscal notes, data sets, and journal articles. The course will also provide insight into careers for economics graduate students in business, government, and the non-profit sector."
"ECON 510","Microeconomic Theory","Graduate","3 Hours","This is a course in microeconomic theory for students in the MS Economics program. The course’s primary objective is to provide students with a strong foundation in microeconomic theory. Topics covered include costs and production functions, the theory of the firm, profit maximization, consumer choice and demand, market competition, consumer choice, and game theory."
"ECON 520","Small Data Methods","Graduate","3 Hours","This course is about understanding small data: these are datasets that allow interaction, visualization, exploration, and analysis on a local machine. The material provides an introduction to applied data analysis, with an emphasis on providing a conceptual framework for thinking about data."
"ECON 521","History of Economic Thought","Graduate","3 Hours","This course covers the great thinkers from the history of economics. We will focus on debates between the major thinkers, as well as how and why major elements of contemporary neoclassical theory developed."
"ECON 522","Institutional Economics","Graduate","3 Hours","Institutions are the rules of the game in society that constrain and incentivize our behavior. In the latter half of the twentieth century institutions once again became a central focus, resulting in the school of new institutional economics (NIE). This course offers a survey of NIE by looking at its major thinkers and their contributions."
"ECON 523","American Economic History","Graduate","3 Hours","This course covers United States economic history. Students will learn about the fundamental factors that led to explosive economic development throughout U.S. history, as well as factors that led to periods of economic stagnation. The economic impact of American institutions such as slavery and mass immigration will also be explored. Students will learn how to conduct original historical economic research."
"ECON 525","Econometric Theory and Practice","Graduate","3 Hours","This course provides an introduction to mathematical statistics including probability. Linear regression, ordinary least squares, and panel data methods are covered. Students will use R to analyze data."
"ECON 526","Causal Inference","Graduate","3 Hours","PR:ECON 525. This class introduces students to the modern theory of causal inference. Research designs included involve experimental approaches, propensity score matching, differences-in-differences, regression discontinuity, instrumental variables, and the synthetic control method. Students will gain competency at using R to execute these research methods."
"ECON 541","Public Economics Theory and Practice","Graduate","3 Hours","PR: BADM 511 orECON 510. This course covers the economic role of government. Economic roles of state and local governments emphasizing empirical research and policy implications. Particular attention is paid to intergovernmental competition, government performance, service provision, revenue sources, and revenue estimation."
"ECON 558","MS ECON Internship","Graduate","3 Hours","PR: Acceptance to MS ECON program, qualifying internship, and permission of MS Coordinator. The purpose of this course is to provide the student with professional work experience further complementing their educational preparation in the MS in economics program."
"ECON 561","Regional Economics","Graduate","3 Hours","PR:ECON 525. This course covers a regional economy's spatial dimension, emphasizing interregional capital and labor mobility, the role of cities, objectives and issues of regional policy, lagging regions, and other matters of place-based policy. Students will be introduced to methods of regional analysis such as shift-share analysis, input-output analysis, and spatial econometrics."
"ECON 565","Health Economics Theory and Practice","Graduate","3 Hours","PR:ECON 525. Analyzes and evaluates critical questions in health, health care, and health care policy using economic theory and tools. Topics covered include: the demand for health and health care; economic approaches to studying healthy and risky behaviors; the economic causes and correlates of risky health behaviors and health disparities; the design and incentive structures of health care policy."
"ECON 571","Economics of Labor","Graduate","3 Hours","Analyze various labor market phenomena and problems using the tools of economic analysis. Wherever applicable the implications for public policy will be discussed in detail. Labor topics include wage and employment determination, human capital theory, discrimination, unemployment, migration, and the effects of unions and government labor regulation."
"ECON 572","Economics of Education","Graduate","3 Hours","PR: BADM 522 orECON 525. This course is an introduction to the topics in the economics of education. The class uses a combination of economic theory, published economic literature, and economic analysis to examine US educational policy through the lens of economics. Education is a primary determinant in labor force productivity, economic growth and development, and individual economic mobility."
"ECON 582","MS Economics Practicum","Graduate","3 Hours","PR: Final semester of MS in Economics program. This course provides students the opportunity to apply applied economics tools and theories to data sets embedded in a non-profit or government organization. Students are expected to complete a final paper that uses R and the analytic skills obtained in the program to analyze a policy issue from multiple perspectives."
"ECON 590","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of economics. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility.  It will also present a mechanism for students not on assistantships to gain teaching experience. (Grading will be P/F.)."
"ECON 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"ECON 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ECON 595","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"ECON 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ECON 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"ECON 697","Research","Graduate","1-9 Hours","PR: Consent. Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"ECON 701","Advanced Micro-Economic Theory 1","Graduate","4 Hours","PR: Consent. Theory of production and allocation, utility theory, theory of the firm, pricing in perfect and imperfect markets, models of firm's operations."
"ECON 702","Advanced Macro-Economic Theory 1","Graduate","3 Hours","PR: Consent. Classical, Keynesian and modern macroeconomic theories."
"ECON 706","History of Economic Doctrines and Analysis","Graduate","3 Hours","PR:ECON 701and graduate standing or consent. Writings of the major figures in the development of economic doctrines and analysis."
"ECON 709","Research Design and Methodology","Graduate","1-3 Hours","PR: Consent. Basic research approaches based on examples from the student's own work, papers presented at the departmental research seminar series, and economics literature in general."
"ECON 711","Advanced Micro-Economic Theory 2","Graduate","4 Hours","PR:ECON 701. General equilibrium analysis, distribution economics."
"ECON 712","Advanced Macro-Economic Theory 2","Graduate","3 Hours","PR:ECON 702. Models of economic growth and fluctuations, and other advanced topics in macroeconomic theory."
"ECON 721","Mathematical Economics","Graduate","3 Hours","PR: Consent. Mathematics used in economics."
"ECON 723","Dynamic Methods of Economics","Graduate","1 Hour","PR:ECON 721. This course covers the basic techniques of dynamic economic analysis that economics graduate students will be working with in advanced economic theory and field courses."
"ECON 725","Econometrics 1","Graduate","3 Hours","PR:ECON 721. Mathematical statistics, including probability, mathematical expectation, distributions. Linear regression, ordinary least squares and simple extensions. Students will use a computer to analyze data."
"ECON 726","Econometrics 2","Graduate","3 Hours","PR:ECON 725. Econometric methods used by practicing economist. Includes simultaneous equations, asymptotic properties of estimators, and generalizations of and alternatives to least squares estimation. Also may include qualitative response, panel data, nonlinear, spatial, and time series models."
"ECON 727","Econometrics 3","Graduate","3 Hours","PR:ECON 726. Completes the graduate econometrics sequence. Topics may include computational methods and time series, spatial, nonlinear, qualitative response, and panel data models."
"ECON 729","Spatial Econometrics","Graduate","3 Hours","Explores the various types of spatial econometric models and how they are estimated and interpreted. Maximum likelihood and Bayesian methodologies will be demonstrated both mathematically and in an applied setting."
"ECON 731","Monetary Economics 1","Graduate","3 Hours","PR:ECON 702. Sources and determinants of supply of money; demand for money for transactions and speculative purposes; general equilibrium of money, interest, prices, and output; role of money in policy."
"ECON 732","Monetary Economics 2","Graduate","3 Hours","PR:ECON 731. Further topics in monetary economics."
"ECON 739","Seminar in Financial Economics","Graduate","3 Hours","PR: ECON 735 and ECON 736 or consent. Covers advanced topics in financial economics such as pricing of derivatives and issues in corporate finance."
"ECON 741","Public Economics 1","Graduate","3 Hours","PR:ECON 701. Economic role of government in a mixed economy with regard to topics such as resource allocation and distribution of income; social choice mechanisms; fiscal federalism; and revenue."
"ECON 742","Public Economics 2","Graduate","3 Hours","PR:ECON 741. Continuation of public economics."
"ECON 743","State and Local Public Economics","Graduate","3 Hours","PR:ECON 741andECON 742or consent.  Economic roles of state and local governments emphasizing empirical research and policy implications.  Particular attention to intergovernmental competition, government performance, service provision, and revenue sources."
"ECON 751","International Trade","Graduate","3 Hours","PR:ECON 701. Contemporary theories of international trade; analysis of current problems in world trade."
"ECON 752","International Macro-Economics","Graduate","3 Hours","PR:ECON 702. Current theories and policies concerning balance of payments, international capital movements, and foreign exchange, and their relation to the macro economy."
"ECON 754","Comparative Economic Systems","Graduate","3 Hours","PR:ECON 701. Comparative study of economic systems, including planned and market socialism and capitalism and the experience of countries in transition from socialism to capitalism."
"ECON 755","Development Economics","Graduate","3 Hours","PR:ECON 701. This course explores why some countries are rich and others are poor. Class examines the major phases of thinking in development economics and themes in the contemporary development literature."
"ECON 761","Advanced Regional Economics","Graduate","3 Hours","PR:ECON 701and graduate standing or consent. Regional income and flow of funds estimation, regional cyclical behavior and multiplier analysis, industrial location and analysis, techniques of regional input-output measurement, impact of local government reorganization on regional public service and economic development."
"ECON 762","Advanced Urban Economics","Graduate","3 Hours","PR:ECON 701. Theory, policy, and empirical research regarding growth and decline of cities, urban spatial structure and land-use patterns, intrametropolitan employment location, urban transportation, housing, housing market discrimination, local government structure, fiscal problems, and urban redevelopment."
"ECON 764","Seminar in Regional Economics","Graduate","3 Hours","PR: Consent."
"ECON 765","Health Economics 1","Graduate","3 Hours","PR:ECON 701andECON 725. Analyzes and evaluates critical questions in health and health care using tools and approaches in economics. Topics covered include: the demand for health and health care; economic approaches to studying healthy and risky behaviors; the economic causes and correlates of risky health behaviors and health disparities; and global health and economic development."
"ECON 766","Health Economics 2","Graduate","3 Hours","PR:ECON 701andECON 725. Analyzes and evaluates critical questions in health and health care using tools and approaches in economics. Topics covered include: demand for private health insurance; public and private health insurance; hospital ownership and competition among hospitals; markets for physician services; technology, innovation and the pharmaceutical sector; comparative health care systems; government's role, and economic evaluation of health and health care."
"ECON 791","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"ECON 792","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ECON 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ECON 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
