course_code,title,credits,description
COM 480,Science Communication Campaigns,3,Course Prerequisite: COM 309; COM 325; admitted to a major or minor in the College of Communication; senior standing. Develop an effective communication campaign to address a science communication challenge.
COM 481,Mobile Media,3,"Course Prerequisite: COMSTRAT 310 or COM 320; junior standing. Theories, strategies, practices for strategic communication via mobile platforms."
COM 482,Computer Mediated Communication,3,Course Prerequisite: Admitted to a major or minor in the College of Communication; junior standing. Social and psychological implications of computer mediated communication and differences from face-to-face communication.
COM 484,Backpack Journalism,3,May be repeated for credit ; cumulative maximum 6 credits . Students travel abroad and report on stories that enhance global awareness and cultural understanding.
COM 486,Crisis Communication,3,"Course Prerequisite: Junior standing. Crisis communication in health, environment, public safety, animal health, and other topics. Case studies and application of principles to in-class practice cases."
COM 490,Web Design and Usability,3,Course Prerequisite: COMSTRAT 310 or COM 320; admitted to a major or minor in the College of Communication; junior standing. Web design with an emphasis on user-centered design and usability.
COM 495,Communication Professional Internship,V 2-12,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: Application required; COM 101; COM 102; COM 105; COM 138; completion of COM 210 and 300, both with a C or better; admitted to a major in the College of Communication. Taken in conjunction with an internship, students are introduced to NACE Competencies which employers are seeking in candidates; through a reflective process students connect classroom to career while immersed in the internship experience. S, F grading."
COM 497,Practicum in Communication,V 1-3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: By college permission only; admitted to a major or minor in the College of Communication. Practicum experience for students in Communication. Faculty directed. S, F grading."
COM 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By interview only. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
COM 500,Communication Colloquium,1,"May be repeated for credit ; cumulative maximum 8 credits . Written and oral presentation of research topics in Communication; college colloquium. S, F grading."
COM 501,Theory Building in Communication,3,Relationship of research to theory development; evaluation of current theory and research; planning and executing research within specified theoretical frameworks.
COM 502,Consumer Analysis and Brand Development,3,Consumer analysis and brand development; skills to make strategic communication campaigns successful.
COM 504,Instructional Practicum,1,"May be repeated for credit ; cumulative maximum 4 credits . Course Prerequisite: By interview only. S, F grading."
COM 506,Persuasion and Social Influence,3,"Theories, concepts strategies and processes of persuasion and social influence."
COM 507,Communication Ethics Seminar,3,Topics in communication ethics.
COM 509,Quantitative Research,3,"Introduction to quantitative research in communication; hypothesis development, testing; basic statistics, interpretation; field surveys, laboratory and field experiments, content analysis."
COM 514,Health Communication Theories and Campaigns,3,Health communication theories with a focus on campaign construction and evaluation.
COM 516,Health Communication and Society,3,"3 Reviews, critiques and applications of research regarding the impact of social and cultural environments on health communication."
COM 517,Youth and the Media,3,"Explores how children, adolescents, and emerging adults use media in decision making and identity formation, health, and civic affairs."
COM 521,Foundational Perspectives in Intercultural Communication,3,"Overview of three current foundational research perspectives in intercultural communication; functionalist (post-positivist), interpretive and critical."
COM 522,Theoretical Perspectives on Intercultural Communication,3,Advanced readings in intercultural communication theory and methods; paradigms in current theorizing.
COM 524,Intercultural/International Communication and Social Change,3,"Application of communication theory, research and technologies aimed at fostering social change in intercultural and international contexts."
COM 526,Current Topics in Intercultural Communication,3,Topics in current intercultural communication research.
COM 535,Organizational Communication Theory,3,May be repeated for credit ; cumulative maximum 6 credits . Traditional and emerging theories in organizational communication.
COM 537,Organization and Society,3,"Historical foundations, theoretical developments, contemporary issues and practical implications of communicative processes of organizations within society."
COM 540,Risk Communication,3,Research and practice in risk communication.
COM 541,Science Communication,3,"Introduction to the role of communication in the formation of attitudes, opinions, and knowledge about important science issues."
COM 550,Micro Media/Communication Theories,3,Introduction to basic concepts and theories at the intra-individual level of analysis in communication and media psychology.
COM 552,Theories and Methods of Emerging Communication Technology,3,"Theories and study methods for emerging technologies; emerging communication technology in the context of politics, health and science."
COM 561,Multimedia Content Creation,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Exploration and application of strategies to communicate ideas clearly, concisely, and effectively through multimedia content."
COM 562,Crisis Communication in Global Contexts,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Prepare, plan, and execute crisis communication and management to protect the continuity of an organization's image and mission."
COM 563,Ethics for Professionals,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. The understanding, discussion, and application of key theories of individual and institutional ethics; the articulation and defense of ethical reasoning."
COM 564,Research Methods for Professionals,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Understanding the role of research in media and related organizations and its application to organizational decision making through quantitative and qualitative research methods including research design, questionnaire construction, sampling, data collection techniques, and variable measurement."
COM 570,Communication Theory,3,Relevant theories and research from mass and interpersonal communication.
COM 571,Theoretical Perspectives on Media and Society,3,Theories explaining the social and cultural environments of communication processes emphasizing in mass communication.
COM 572,"Mass Media, Social Control, and Social Change",3,Study of the forces that influence the media's role as an agent of social control or social change.
COM 573,Media and Public Discourse,3,"Historical and contemporary concepts, questions and dynamics constituting the role of media and discourse among various publics."
COM 574,Survey of Political Communication,3,"Introduction to the field of political communication including agenda-setting, framing, political advertising, entertainment media and politics, political discussion, and selective exposure."
COM 580,Topics in Communication,3,"May be repeated for credit ; cumulative maximum 12 credits . Contemporary, specialized, or technical topics in communication."
COM 591,Qualitative Research Methods,3,"Historical, textual, and legal methodologies for theory-based evaluative and discourse studies in communication."
COM 599,Seminar in Communication,3,"May be repeated for credit ; cumulative maximum 6 credits . Special topics in rhetoric, communication, and public address."
COM 600,Special Projects or Independent Study,V 1-18,"May be repeated for credit . Course Prerequisite: By interview only. Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree. S, F grading."
COM 700,"Master's Research, Thesis, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: By interview only. Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit. S, U grading."
COM 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: By interview only. Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
COM 800,"Doctoral Research, Dissertation, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admitted to the Communication PhD program. Independent research and advanced study for students working on their doctoral research, dissertation and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 800 credit. S, U grading."
COMHLTH 570,Health Communication and Behavior Change,3,Application of behavior change theories to construction and evaluation of health communication campaigns.
COMHLTH 571,Communicating Health in Practice,3,"Health communication and promotion across a variety of settings and mediums, from interpersonal to promotional campaigns."
COMHLTH 572,Communicating Health to Specialized Populations,3,Literature and theory of cross-cultural communication and cultural aspects of health.
COMHLTH 573,Communicating Health in a Digital Landscape,3,Development and implementation of health-related content through a variety of digital platforms.
COMHLTH 574,Health Message Design and Effectiveness,3,Behavior change theories as they relate to health communication message design and evaluation.
COMJOUR 150,Introduction to Broadcast Equipment,1,"Orientation to broadcast equipment; audio, studio television, and field television, as applied to various functions. S, F grading."
COMJOUR 275,Communication Seminar,V 1-3,"May be repeated for credit ; cumulative maximum 9 credits . Varying specialty topics in journalism, mass media, and broadcast production."
COMJOUR 280,Introduction to Photojournalism,3,"The history and practice of photojournalism and its impact on society; evolving technology, styles, and ethics of documentary photography and the role of visual storytelling in our understanding of news events."
COMJOUR 333,[M] Reporting Across Platforms,3,"Course Prerequisite: COM 210 with a C or better; COM 300 with a C or better; admitted to a major or minor in the College of Communication. Instruction in reporting, writing and editing news stories suitable for publication and on-air presentation."
COMJOUR 335,Broadcast News Reporting,3 (2-3),"Course Prerequisite: COMJOUR 333; admitted to a major in the College of Communication. Fundamentals of broadcast reporting; development of editorial and news judgment, writing skills, and proficiency in field camera production and editing."
COMJOUR 350,News and Society,3,"Course Prerequisite: COM 101; COM 102; COM 105; COM 138; admitted to a major in the College of Communication; sophomore standing. Fundamentals of historic, contemporary, and emerging models of news production; social contexts and effects, alternative sources, and critiques of news."
COMJOUR 355,Beginning Television Production,3 (1-6),"Course Prerequisite: COMJOUR 333; admitted to a major in the College of Communication. Beginning television studio production, directing, lighting, graphic design, editing, video/audio compression."
COMJOUR 360,Writing for Television,3 (2-3),"Course Prerequisite: Admitted to a major in the College of Communication. Theory and practice of writing scripts: analysis of dramatic, comedic, commercial, documentary scripts; writing scripts for each genre."
COMJOUR 365,Entertainment and Commercial Video Production of Fiction Filmmaking,3,"Course Prerequisite: Admitted to a major or minor in the College of Communication; sophomore standing. Hands-on experience in producing, writing, shooting, and editing original material, programs, and segments from concept to completion; work will be shown in class and may appear on websites."
COMJOUR 390,Video for the Web,3 (2-3),"Course Prerequisite: COM 210 with a C or better; admitted to a major or minor in the College of Communication; sophomore standing. Capture, design, edit, and compress quality video and audio; basic lighting techniques."
COMJOUR 425,[M] Reporting of Public Affairs,3,Course Prerequisite: COMJOUR 333; admitted to a major in the College of Communication; junior standing. Research covering public and private sectors.
COMJOUR 433,Audio Journalism,3 (2-3),Course Prerequisite: COMJOUR 333; admitted to a major in the College of Communication. Audio journalism designed to refine a range of skills including reporting; on-air presentation; podcasting; writing for audio; and sportscasting.
COMJOUR 455,Advanced Television Production,4 (3-3),May be repeated for credit ; cumulative maximum 8 credits . Course Prerequisite: COMJOUR 355; admitted to a major in the College of Communication. Field production; editing; advanced studio production.
COMJOUR 465,[M] Advanced Television News,4 (0-12),"May be repeated for credit ; cumulative maximum 8 credits . Course Prerequisite: COMJOUR 335; admitted to a major in the College of Communication; junior standing. Writing, reporting, and editing broadcast news; development and production of broadcast quality news."
COMJOUR 466,Documentary Video,3 (2-3),Course Prerequisite: Admitted to a major or minor in the College of Communication. Video editing for news reporting; feature-length editing for news and public affairs topics; documentaries; visual storytelling.
COMJOUR 481,Media Entrepreneurship,3,"Course Prerequisite: Admitted to a major or minor in the College of Communication; junior standing. Lessons from local and network television guests about their businesses, reaching customers, and entrepreneurial ideas within the evolving media landscape; final project focusing on an entrepreneurial idea."
COMJOUR 486,Murrow News Service,3,"May be repeated for credit ; cumulative maximum 9 credits . Course Prerequisite: COMJOUR 335, 355, or 425; admitted to a major in the College of Communication; senior standing. Advanced journalism and media production to produce investigative, watchdog news reports for media outlets and public."
COMJOUR 487,Sports Journalism,3,"Course Prerequisite: COM 300 with a C or better; admitted to a major or minor in the College of Communication; junior standing. Writing-intensive course with a focus on writing, reporting, and coverage of sports; students cover sporting events, conduct interviews, and attend news conferences outside of class."
COMJOUR 495,Broadcasting Professional Internship,V 2-12,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: COM 300 with a C or better; admitted to a major in the College of Communication. S, F grading."
COMJOUR 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
COMSTRAT 270,"Personal Branding for Athletes, Influencers, and Creators",3,"Concepts and applications of personal branding including individual branding, representation, social media strategies for success, and the principles of digital storytelling."
COMSTRAT 275,Strategic Communication Seminar,V 1-3,May be repeated for credit ; cumulative maximum 9 credits . Various specialty topics in strategic communication.
COMSTRAT 285,[EQJS] Culture and Communication in the Workplace,3,Core concepts from research in workplace culture applied to daily communications and relationship management in personal and professional settings.
COMSTRAT 301,Foundations of Persuasion,3,Course Prerequisite: Admitted to a major or minor in the College of Communication. Theories of persuasion and social action; study of strategies and techniques for the persuasive use of language and other symbols.
COMSTRAT 305,"The Creative Class: Creativity, Problem Solving, and the Role of the Creatives in the Idea Industry",3,"Course Prerequisite: COM 210 with a C or better. Creativity in theory, process, and practice within the context of the idea industry (with an emphasis on advertising and public relations)."
COMSTRAT 310,Digital Content Promotion,3,Course Prerequisite: COM 210 with a C or better; admitted to a major or minor in the College of Communication; sophomore standing. Practice and promotion of public relations and advertising through digital and social media.
COMSTRAT 312,Principles of Public Relations,3,"Principles, theories, methods and objectives of public relations; public relations problems and practices."
COMSTRAT 324,[M] Reasoning and Writing,3,"Course Prerequisite: COM 300 with a C or better; admitted to any major or minor in the College of Communication; sophomore standing. Development of critical thinking, information gathering, and persuasive writing skills using different forms of argumentation; voice, tone, form, structure are emphasized."
COMSTRAT 326,Organizing for Social Change,3,"Course Prerequisite: Admitted to any major; junior standing. Models of social change campaigns, social movements, and organizing grassroots organizations."
COMSTRAT 380,Advertising Principles and Practices,3,"Advertising history, theory and practice by advertising agencies and organizations."
COMSTRAT 381,[M] Advertising Creative Strategy and Execution,3,Course Prerequisite: COM 210 with a C or better; COM 300 with a C or better; admitted to a major in the College of Communication; junior standing. Development of creative content for persuasive campaigns through different media.
COMSTRAT 382,Media Planning,3,"Course Prerequisite: COMSTRAT 380; admitted to a major in the College of Communication; junior standing. Media planning theories, strategies, and practices."
COMSTRAT 383,[M] Media Strategies and Techniques for Public Relations,3,Course Prerequisite: COM 210 with a C or better; COM 300 with a C or better; admitted to a major in the College of Communication. Development of creative content for persuasive public relations campaigns through different media.
COMSTRAT 395,Introduction to Integrated Strategic Communication and Management,3,Course Prerequisite: COMSTRAT 312 or 380; sophomore standing. Analysis and application of strategic communication theory and concepts to influence attitudes and purchasing behavior.
COMSTRAT 405,Crimson Creative: The Student Firm,3,May be repeated for credit ; cumulative maximum 9 credits . Course Prerequisite: COM 300 with a C or better; COMSTRAT 310; COMSTRAT 312 or 380; admitted to a major in the College of Communication; junior standing. Experience working with clients as a member of an account team; development of leadership skills and a professional portfolio.
COMSTRAT 475,Strategic Communication Seminar in Public Relations,3,"May be repeated for credit ; cumulative maximum 9 credits . Course Prerequisite: Admitted to any major; junior standing. Theory, methods, and applications of communication and campaign management; political communication, health communication, freedom of expression, special audiences."
COMSTRAT 476,Consumer Insights and Branding,3,"Course Prerequisite: COM 309; admitted to a major in the College of Communication. Advertising account planning based on a thorough understanding of target audiences and consumer research; linking client objectives, account management, creative and media planning."
COMSTRAT 477,Message Design for Communication Campaigns,3,"Course Prerequisite: COMSTRAT 310; admitted to a major in the College of Communication; junior standing. Theory-based design, market testing, and evaluation of messages for positive social outcomes."
COMSTRAT 478,Health Communication,3,Course Prerequisite: Junior standing. Mediated communication in disease prevention and health intervention.
COMSTRAT 480,[M] Advertising Agency Operation and Campaigns,3,"Course Prerequisite: COMSTRAT 380; COMSTRAT 381; COMSTRAT 382; admitted to a major in the College of Communication; senior standing. Principles and functions of advertising management: campaign planning, execution, presentation and evaluation."
COMSTRAT 482,"Strategic Communication and Applied NIL Branding Strategies for Athletes, Creators, and Entertainers",3,"Course Prerequisite: COMSTRAT 312 or COMSTRAT 380; admitted to a major or minor in the College of Communication; junior standing. Knowledge and skills for understanding the emerging dynamics of Name, Image, and Likeness (NIL) opportunities and creating a personal brand through strategic communication."
COMSTRAT 483,Risk Communication,3,Course Prerequisite: Junior standing. Research on perceptions of risk among stakeholders about complex environmental and natural resource issues.
COMSTRAT 485,[M] Public Relations Management and Campaigns,3,"Course Prerequisite: COM 309; COMSTRAT 312; COMSTRAT 383; admitted to a major in the College of Communication; senior standing. Application of public relations principles, management, persuasion theory and research methods to public relations issues."
COMSTRAT 495,Strategic Communication Professional Internship,V 2-12,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: By permission only; COM 101; COM 102; COM 105; COM 138; COM 210 and 300, both with a C or better; admitted to a major in the College of Communication. S, F grading."
COMSTRAT 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: Admitted to a major in the College of Communication; by interview only. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
COMSTRAT 561,Persuasion for Professional Communicators,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Introduction to theories, concepts, strategies, and processes of persuasion and social influence."
COMSTRAT 562,Creative Media Strategies and Techniques,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. The strategies, processes, procedures and steps involved in creating marketing communications materials for a variety of different media."
COMSTRAT 563,Professional Digital Content Promotion,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. The application of writing, critical thinking, and persuasion skills to the practice and promotion of PR and advertising in both digital and social media outlets."
COMSTRAT 564,Consumer Behavior and Brand Development,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Tactics and strategies for consumer analysis and brand development; skills necessary for uncovering consumer insights to link client objectives, account management, creative development, and media planning."
COMSTRAT 565,Professional Marketing Communication Management and Campaigns,3,"Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. An overview of behavior change theories with a focus on strategic marketing campaign design and evaluation; learning to use theory and research to more effectively plan, design, execute and evaluate strategic communication campaigns."
COMSTRAT 701,Master's Independent Capstone Project and /or Examination,V 1-6,"May be repeated for credit . Course Prerequisite: Admitted to an online degree program or graduate certificate in communication. Capstone project or final examination for professional master's degree under the Graduate School. The credits will include a balloted evaluation of the student's completion of the program's capstone/examination requirements by the program's graduate faculty. Students must have graduate degree-seeking status and obtain approval from their major advisor/committee chair before enrolling for 701 credit. S, U grading."
COMSTRAT 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admitted to the online master's program in strategic communication. Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
CON_E 252,Construction Administration and Documentation,2,Course Prerequisite: CST M 254; admitted to the major in Construction Engineering; junior standing. Administrative procedures found within a heavy/civil construction project and respective documentation.
CON_E 351,Delivery Systems,2,Course Prerequisite: CON E 252; admitted to the major in Construction Engineering. Exploration of the different project delivery systems used by contracting parties in heavy civil construction and their impact on the design and construction/management process.
CON_E 360,Heavy Construction Estimating I,3 (2-3),"Course Prerequisite: CON E 252 or concurrent enrollment; admitted to the major in Construction Engineering. Fundamentals of heavy civil estimating with emphasis on plan reading, specification reading, and quantity takeoff."
CON_E 361,Heavy Construction Estimating II,3 (2-3),"Course Prerequisite: CON E 360; admitted to the major in Construction Engineering. Basics of scoping, takeoff, costing, pricing, and bidding actual projects live alongside real contractors."
COUN_PSY 457,Chicano/a Latino/a Psychology,3,"Course Prerequisite: AMER ST 216, CES 101, 151, 254, 255, or HISTORY 150. Current psychosocial research and literature relevant to the mental health and psychological wellbeing of Chicana/o Latina/o populations."
COUN_PSY 523,Topics in Counseling Psychology,V 1-4,"May be repeated for credit ; cumulative maximum 8 credits . Recent research, developments, issues, and/or applications in selected areas of counseling psychology."
COUN_PSY 553,Doctoral Practicum in Counseling Psychology III,4 (3-3),"May be repeated for credit ; cumulative maximum 16 credits . Course Prerequisite: COUN PSY 552. Supervised experiences in the application of counseling psychology theory and techniques. S, F grading."
COUN_PSY 597,Counseling Psychology Internship,V 2-4,"May be repeated for credit ; cumulative maximum 8 credits . Supervised internship experience, individual and group counseling, evaluation, assessment, supervision, and teaching. S, F grading."
COUN_PSY 600,Special Projects or Independent Study,V 1-18,"May be repeated for credit . Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree. S, F grading."
COUN_PSY 700,"Master's Research, Thesis, and/or Examination",V 1-18,"May be repeated for credit . Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit. S, U grading."
COUN_PSY 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
COUN_PSY 800,"Doctoral Research, Dissertation, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admitted to the Counseling Psychology PhD program. Independent research and advanced study for students working on their doctoral research, dissertation and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 800 credit. S, U grading."
CPT_S 101,Introduction to Electrical Engineering and Computer Science,1,"Introduction to programs within the School of Electrical Engineering and Computer Science discussing resources, opportunities, and knowledge and skills necessary to succeed within EECS majors."
CPT_S 111,[QUAN] Introduction to Computer Programming,3 (2-3),"Course Prerequisite: MATH 103 with a C or better, or higher level MATH course with a C or better, or a minimum ALEKS math placement score of 45%. Elementary algorithmic problem solving, computational models, sequential, iterative and conditional operations, parameterized procedures, array and list structures and basic efficiency analysis."
CPT_S 121,Program Design and Development C/C++,4 (3-3),"Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, CPT S 111 with a B+ or better, a min ALEKS math placement score of 78%, or by permission with an AP Exam in Cpt S Principles or Cpt Sci A with a 4 or better. Formulation of problems and top-down design of programs in a modern structured language (C/C++) for their solution on a digital computer."
CPT_S 122,Data Structures C/C++,4 (3-3),"Course Prerequisite: CPT S 121 with a C or better. Advanced programming techniques: data structures, recursion, sorting and searching, and basics of algorithm analysis taught in C/C++ programming language."
CPT_S 131,Program Design and Development Java,4 (3-3),"Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, CPT S 111 with a B+ or better, a min ALEKS math placement score of 78%, or by permission with an AP Exam in Cpt S Principles or Cpt Sci A with a 4 or better. Formulation of problems and top-down design of programs in a modern structured language for their solution on a digital computer. Taught in Java programming language."
CPT_S 132,Data Structures Java,4 (3-3),"Course Prerequisite: CPT S 131 with a C or better. Advanced programming techniques: data structures, recursion, sorting and searching, and basics of algorithm analysis. Taught in Java programming language."
CPT_S 215,Data Analytics Systems and Algorithms,3,"Course Prerequisite: CPT S 122, CPT S 132, or CS 122. Exploration of fundamental concepts, constructs, and techniques of modern data analytics systems. (Crosslisted course offered as CPT S 215, CS 215.)"
CPT_S 223,Advanced Data Structures C/C++,3,"Course Prerequisite: CPT S 122 with a C or better; MATH 216 with a C or better or concurrent enrollment. Advanced data structures, object oriented programming concepts, concurrency, and program design principles taught in C/C++ programming language."
CPT_S 224,Programming Tools,2,"Course Prerequisite: CPT S 122 with a C or better, or CPT S 132 with a C or better. Debugging tools, scripting languages, UNIX programming tools."
CPT_S 233,Advanced Data Structures Java,3,"Course Prerequisite: CPT S 132 with a C or better; MATH 216 with a C or better or concurrent enrollment. Advanced data structures, object oriented programming concepts, concurrency, and program design principles. Taught in Java programming language."
CPT_S 260,Introduction to Computer Architecture,3,"Course Prerequisite: CPT S 223 with a C or better or concurrent enrollment, or CPT S 233 with a C or better or concurrent enrollment. Computer systems architecture; logic, data representation, assembly language, memory organization and trends."
CPT_S 302,Professional Skills in Computing and Engineering,3,"Course Prerequisite: CPT S 223 or 233 with a C or better, OR CPT S 121 or 131 and E E 261 with C or better; admitted to a major in EECS or Data Analytics; junior standing. Professional development; ethical and professional responsibilities in computing and engineering. (Crosslisted course offered as CPT S 302, E E 302.) Credit not granted for both CPT S/E E 302 and CPT S 401."
CPT_S 315,Introduction to Data Mining,3,"Course Prerequisite: CPT S 215, 223, 233, or CS 215, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or Cybersecurity. The process of automatically extracting valid, useful, and previously unknown information from large repositories. Recommended preparation: prior Python programming. (Crosslisted course offered as CPT S 315, CS 315.)"
CPT_S 317,Automata and Formal Languages,3,"Course Prerequisite: CPT S 122 or 132, with a C or better; MATH 216 with a C or better; admitted to a major or minor in EECS or Data Analytics. Finite automata, regular sets, pushdown automata, context-free language, Turing machines and the halting problem."
CPT_S 321,Object-Oriented Software Principles,3,"Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to a major or minor in EECS or Data Analytics. Object-oriented programming for flexibility, efficiency, and maintainability; logic and UI decoupling; complexity analysis, data structures, and algorithms for industry-quality software."
CPT_S 322,[M] Software Engineering Principles I,3,"Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to a major or minor in EECS or Data Analytics, or major in Neuroscience. Introduction to software engineering; requirements analysis, definition, specification including formal methods; prototyping; design including object and function oriented design."
CPT_S 323,Software Design,3,"Course Prerequisite: CPT S 223 or 233, with a C or better; CPT S 322 with a C or better or concurrent enrollment; admitted to a major or minor in EECS or Data Analytics. Enrollment not allowed if credit earned in CPT S 487. Practical aspects of software design and implementation using object-oriented, aspect-oriented and procedural programming. Credit not granted for both CPT S 323 and 487."
CPT_S 327,Fundamentals of Cyber Security and Cryptography,3,"Course Prerequisite: CPT S 223 or 233 with a C or better; CPT S 260 or E E 234 with a C or better; CPT S 360 or 370 with a C or better or concurrent enrollment; MATH 216 with a C or better; admitted to a major or minor in EECS or Data Analytics. Security and privacy principles in modern computers and network communications covering various security protection mechanisms, including cryptography, secure communication protocols, and anonymity techniques."
CPT_S 350,Design and Analysis of Algorithms,3,"Course Prerequisite: CPT S 215, 223, or 233, with a C or better; CPT S 317 with a C or better; admitted to a major or minor in EECS or Data Analytics. Analysis of data structures and algorithms; computational complexity and design of efficient data-handling procedures."
CPT_S 355,Programming Language Design,3,"Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to a major or minor in EECS or Data Analytics. Design concepts of high-level programming languages; survey of existing languages, experience using some languages."
CPT_S 360,Systems Programming C/C++,4 (3-3),"Course Prerequisite: CPT S 223 with a C or better; CPT S 260 with a C or better or E E 234 with a C or better; admitted to a major or minor in EECS or Data Analytics. Implementation of systems programs, concepts of computer operating systems; laboratory experience in using operating system facilities taught in C/C++ programming language."
CPT_S 370,Systems Programming Java,4 (3-3),"Course Prerequisite: CPT S 233 with a C or better; CPT S 260 with a C or better or E E 234 with a C or better; admitted to a major or minor in EECS or Data Analytics. Implementation of systems programs, concepts of computer operating systems; laboratory experience in using operating system facilities. Taught in Java programming language."
CPT_S 411,Introduction to Parallel Computing,3,"Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to a major or minor in EECS or Data Analytics. Fundamental principles of parallel computing, parallel programming experience on multicore machines and cluster computers, and design of algorithms and applications in parallel computing. Recommended preparation: CPT S 350."
CPT_S 415,Big Data,3,"Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or Cybersecurity. Big data models, databases and query languages, modern distributed database systems and algorithms. (Crosslisted course offered as CPT S 415, CS 415.)"
CPT_S 421,Software Design Project I,3 (1-6),"Course Prerequisite: C or better in each of CPT S 322; CPT S 360 or 370; one 400-level CPT S course taken at WSU; admitted to a major in EECS; senior standing. Large-scale software development including requirements analysis, estimation, design, verification and project management."
CPT_S 422,[M] Software Engineering Principles II,3,"Course Prerequisite: CPT S 321 with a C or better or CPT S 323 with a C or better; CPT S 322 with a C or better; admitted to a major or minor in EECS or Data Analytics. Dependable software systems; software verification and validation, testing; CASE environments; software management and evolution."
CPT_S 423,[CAPS] [M] Software Design Project II,3 (1-6),"Course Prerequisite: CPT S 421 with a C or better; admitted to a major in EECS. Laboratory/group design project for large-scale software development, requirements analysis, estimation, design, verification techniques."
CPT_S 424,"Cyber Law, Ethics, Rights, and Policies",3,"Course Prerequisite: CPT S 327 with a C or better; admitted to a major or minor in EECS or Data Analytics. Laws, ethics, rights, and governmental regulations as applied to the field of cybersecurity from technological and social perspectives."
CPT_S 425,Cyber Forensics and Anti-Forensics,3,"Course Prerequisite: CPT S 327 with a C or better; admitted to a major or minor in EECS or Data Analytics. Recovery and investigation of material found in various cyber environments (e.g., device, memory, operating systems, etc.) and ways to defeat forensic processes and tools."
