"subject","course_code","course_name","description","credits"
"Astronomy","ASTR 10","Descriptive Astronomy","3 A generally non-mathematical examination of principles, facts and logic of astronomy, emphasizing arrangement, origin and evolution of the solar system.    Satisfies5A. Physical Science (Formerly Area B1).   Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Astronomy","ASTR 11L","Introductory Astronomy Lab","1 Science laboratory course providing interactive engagement with the wonders of the cosmos. Topics will include awareness of the sky (what can be seen and where), its motions, and perspectives from diverse cultures over time. How to use telescopes and other astronomical instruments to measure the characteristics of planets, stars, galaxies, and the Universe itself. Exploration of the possibility of extraterrestrial life; are we alone and if not, then where are all the aliens and what might first contact look like? Other topics may include preservation of dark skies and the impacts of climate change.   Lab 3 hours.  SatisfiesGE Area: 5C. Laboratory (Formerly Area B3).   Grading:Letter Graded   High Impact Practice: Collaborative Assignments and Projects     Class Schedule|Syllabus Information|University Bookstore","1"
"Astronomy","ASTR 92","International Program Studies","1-12 Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.      Grading:Mixed Grading     Class Schedule|Syllabus Information|University Bookstore","1-12"
"Astronomy","ASTR 101","Modern Astronomy","3 A principally non-mathematical discussion of current scientific observational and theoretical understanding of the origin and evolution of stars, galaxies and the cosmos.    SatisfiesUD Area: 2/5. Earth, Environment, and Sustainability (Formerly Area R).   Prerequisite(s):Completion of Core General Education and upper division standing are prerequisites to all UD GE courses. Completion of, or co-registration in, 100W is strongly recommended.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Astronomy","ASTR 117A","Astrophysics I","3 Physical and observational foundations of astronomy and astrophysics. Celestial coordinates, telescopes, astronomical observations, orbital motion, physics and chemistry of planetary systems; introduction to stellar physics. Computer models and simulations may be used.      Prerequisite(s):PHYS 52 and MATH 32 with a “C-” or better, or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Astronomy","ASTR 117B","Astrophysics II","3 Physics of stellar structure and evolution; observed properties of stars; physics and chemistry of the interstellar medium; galaxies and cosmology.      Prerequisite(s):PHYS 52 and MATH 31 with a “C-” or better, or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Astronomy","ASTR 155","Topics in Modern Astrophysics","3 Topics vary each semester and may include observational and/or computational techniques. Course is repeatable for a total of 9 units.     Course may be repeated for credit for up to 9 units.  Prerequisite(s):PHYS 52 with a C- or better, or instructor consent.  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Astronomy","ASTR 192","International Program Studies","1-12 Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.      Grading:Mixed Grading     Class Schedule|Syllabus Information|University Bookstore","1-12"
"Athletics (Intercollegiate)","ATH 2I","Men’s Baseball","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s baseball including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 2S","Men’s Skills Development, Baseball","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s baseball. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 4I","Men’s Basketball","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s basketball including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 4S","Men’s Skills Development, Basketball","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s basketball. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 6I","Women’s Basketball","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s basketball including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 6S","Women’s Skills Development, Basketball","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s basketball. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 12I","Football","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate football including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 12S","Skills Development, Football","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate football. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 14I","Men’s Golf","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s golf including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 14S","Men’s Skills Development, Golf","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s golf. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 16I","Women’s Golf","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s golf including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 16S","Women’s Skills Development, Golf","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s golf. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 20I","Women’s Gymnastics","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s gymnastics including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 20S","Women’s Skills Development, Gymnastics","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s gymnastics. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 26I","Women’s Tennis","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s tennis including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 26S","Women’s Skills Development, Tennis","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s tennis. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 30I","Men’s Soccer","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s soccer including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 30S","Men’s Skills Development, Soccer","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s soccer. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 32I","Softball","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate softball including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 32S","Skills Development, Softball","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate softball. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 34I","Women’s Swimming","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s swimming including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 34S","Women’s Skills Development, Swimming","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s swimming. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 36I","Women’s Volleyball","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s volleyball including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 36S","Women’s Skills Development, Volleyball","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s volleyball. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 42I","Women’s Cross Country","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s cross country including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 42S","Women’s Skill’s Development, Cross Country","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s cross country. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 44I","Women’s Soccer","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s soccer including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 44S","Women’s Skills Development, Soccer","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s soccer. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 46I","Women’s Water Polo","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s water polo including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 46S","Women’s Skills Development, Water Polo","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s water polo. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 48I","Men’s Cross Country","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s cross country including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 48S","Men’s Skills Development, Cross Country","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s cross country. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 50I","Women’s Track & Field","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate women’s track & field including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 50S","Women’ Skills Development, Track & Field","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate women’s track & field. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 52I","Men’s Water Polo","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s water polo including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 52S","Men’s Skills Development, Water Polo","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s water polo. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 54I","Men’s Track & Field","1 Activities include mental and physical skill development for successful participation in NCAA intercollegiate men’s track & field including drills, assignments, film study, scrimmages and competitions not to exceed 20 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Athletics (Intercollegiate)","ATH 54S","Men’ Skills Development, Track & Field","1 Activities include sport specific fitness training and conditioning for successful participation in NCAA intercollegiate men’s track & field. Approximately 8 hours per week.     Course may be repeated for credit for up to 8 units.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Audiology","AUD 501","Acoustics and Instrumentation","3 Fundamentals of the physics of sound and techniques for measuring and analyzing sound and sound environments related to audiological practice.      Prerequisite(s):Matriculation into Doctor of Audiology Program.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 502","Anatomy and Physiology","3 Anatomy and physiology of the auditory and vestibular systems, including outer ear, middle ear, and inner ear; embryologic origins and development of structures related to body systems.      Prerequisite(s):Matriculation into Doctor of Audiology Program.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 503","Psychoacoustics","3 Psychoacoustic theory and methods; auditory perception in normal hearing and hearing-impaired listeners. Includes lab demonstrations and projects.      Prerequisite(s):Matriculation into Doctor of Audiology Program.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 504","Audiometric Concepts","3 Evaluation of hearing using the standard audiological test battery (pure tone audiometrics, speech audiometry, acoustic immittance, and OAEs); differential diagnosis of hearing loss.      Prerequisite(s):Matriculation into Doctor of Audiology Program.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 505A","Counseling and Culturally Responsive Care","3 Topics related to the professional practice of audiology, including: the role of professional associations; scope of practice; code of ethics; HIPAA regulations; introduction to interprofessional practice; introduction to evidence-based practice. Clinical observations and experiences that underscore concepts will be included.      Prerequisite(s):Matriculation into the Doctor of Audiology Program.  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 505B","Writing, Interviewing, and IPP for Audiology","3 Topics related to the professional practice of audiology, including patient and family counseling; report writing; role of audiologist in the IEF/IFSP process.      Prerequisite(s):AUD 505A .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 505C","Practice Management","2 Interprofessional identification, diagnosis, and treatment of adults and children with hearing loss and other disabilities including seminar discussion and clinical practicum experience.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","AUD 505D","Professional Issues IV","2 Business practices in audiology, including billing and coding; practice management; interview strategies and processes for obtaining fourth year externships.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","AUD 505E","Professional Issues V","3 Cultural competency, multicultural issues.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 506","Anatomy and Physiology of the Central Auditory Nervous System (CANS)","3 The organization and function of the central auditory nervous system (CANS), including the effects of hearing loss on brain organization. The relationship between visual/proprioceptive systems and hearing and balance also will be examined.      Prerequisite(s):AUD 502 and AUD 503 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 507","Amplification I","3 Electroacoustical characteristics of hearing aids and group amplification systems. Topics include signal processing strategies and software used by audiologists to provide audible, intelligible, and comfortable amplification. Devices used in specialized hearing aid fittings also will be examined.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 508","Immittance and Otoacoustic Emissions","3 Advanced concepts in tympanometry and otoacoustic emissions, and their role in the evaluation and differential diagnosis of hearing loss.      Prerequisite(s):AUD 504 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 509","Practicum in Audiology","3 Placement in SJSU on-campus audiology clinic for supervised training in providing audiological services to the local community. May be repeated for credit.      Prerequisite(s):Matriculation into Doctor of Audiology Program.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510A","Clinical Rotation in Audiology I","3 Supervised clinical practice in audiology at an on-campus or  off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Successful completion of Fall and Spring year 1.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510B","Clinical Rotation in Audiology II","3 Supervised clinical practice in audiology at an off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510C","Clinical Rotation in Audiology III","3 Supervised clinical practice in audiology at an off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510D","Clinical Rotation in Audiology IV","3 Supervised clinical practice in audiology at an off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510E","Clinical Rotation in Audiology V","3 Supervised clinical practice in audiology at an off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 510F","Clinical Rotation in Audiology VI","3 Supervised clinical practice in audiology at an off-site location. Doctoral students are expected to become increasingly independent and knowledgeable about patient care with each subsequent placement.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 511","Pediatric Audiology","3 Topics related to hearing loss in children, including common etiologies and syndromes; newborn hearing screening procedures; and behavioral and electrophysiological diagnostic tests.      Prerequisite(s):AUD 504 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 512","Pediatric Auditory Habilitation","3 Topics related to the management of children diagnosed with hearing loss, including: interprofessional practices; early intervention; communication modalities; hearing aid selection, provision, orientation, and follow up; FM systems; introduction to cochlear implants; Deaf community.      Prerequisite(s):AUD 505B and AUD 507 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 513","Research Methods","3 Design and analysis of research experiments, including the role of evidence-based practice in patient care.    SatisfiesGWAR: Graduation Writing Assessment Requirement.   Prerequisite(s):Second year standing.  Grading:Letter Graded   Note(s):This course satisfies graduate-level GWAR in this doctoral program.      Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 514","Auditory Electrophysiological Measurements","3 Theoretical and applied aspects of electrophysiological testing, including: brainstem responses; middle-latency responses; and cognitive potentials.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 515","Amplification II","3 Selection, fitting, and verification methods for optimizing hearing aid use, satisfaction, and benefits.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 516","Adult Auditory Rehabilitation","3 Topics related to the management of adults with hearing loss, including the impact of hearing loss on adults of all ages; diagnosis of handicap; communicative strategies; speechreading; individual and group therapy techniques.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 517","Vestibular Assessment and Treatment","4 Theoretical and applied aspects of vestibular assessment, including the administration and interpretation of electronystagmography (ENG), rotation, and posturography.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","4"
"Audiology","AUD 518","Hearing Conservation","3 The effects of noise on hearing. Topics include definitions and measurement of occupational and recreational noise; changes in auditory physiology as a result of noise exposure; psychological effects of noise on function and productivity; federal and state regulations regarding workplace safety; and elements of hearing conservation programs (measurement; counseling; provision of ear protection).      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 519","Implantable Devices","3 Advanced concepts in selecting, fitting, and verification of specialized hearing devices, including cochlear implants; middle-ear implants; assistive communication technologies for individuals with hearing loss.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 521","Medical Audiology","3 Pathologies of the ear and medical diagnosis and treatment; interprofessional practice in the audiological and medical community.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 522","Tinnitus","3 Etiology, diagnosis, and evidence-based treatments for patients with tinnitus.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 523","Pharmacology","1 Principles and applications of pharmacology for audiologists.      Prerequisite(s):Second year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Audiology","AUD 524","Advanced Auditory Perception and Disorders","3 Topics include normal speech and language development; effects of hearing loss on speech and language development; specialized tests of speech recognition in quiet and noise; and central auditory processing evaluation and treatment.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 525","Genetics","1 Applications of genetics for audiologists, including syndromes involving the auditory and vestibular systems.      Prerequisite(s):Third year standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Audiology","AUD 526A","Clinical Externship in Audiology I","3 Full time clinical placement in an off-site facility. Placements coordinated by the Director of Clinical Education.      Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 526B","Clinical Externship in Audiology II","3 Full time clinical placement in an off-site facility. Placements coordinated by the Director of Clinical Education.      Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 526C","Clinical Externship in Audiology III","3 Full time clinical placement in an off-site facility. Placements coordinated by the Director of Clinical Education.      Prerequisite(s):Fourth year standing; Successful completion of AUD 510E , AUD 526A , and AUD 526B .  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","AUD 598A","Research Project","2 Readings and discussion of topics in preparation for doctoral student research. A research question and it’s justification, as well as an outline of the intended experimental process, will be finalized.     Repeated for credit for 5 times for a total of 10 units.  Prerequisite(s):Second year standing.  Grading:Credit/No Credit/RP.     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","AUD 598B","Research Project II","2 Methodology for student research projects will be finalized and IRB approval obtained, if needed.      Prerequisite(s):AUD 598A .  Grading:Credit/No Credit/RP.     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","AUD 598C","Research Project III","2 Data collection and analysis for doctoral student research projects.      Prerequisite(s):AUD 598A and AUD 598B .  Grading:Credit/No Credit/RP.     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","AUD 598D","Research Project IV","2 Completion of student research projects; oral presentations.      Prerequisite(s):AUD 598A , AUD 598B , and AUD 598C .  Grading:Credit/No Credit/RP.     Class Schedule|Syllabus Information|University Bookstore","2"
"Audiology","EDAU 115","Hearing Science","3 Anatomy, physiology and psychoacoustics of the auditory system; theories of hearing and physics of sound.      Prerequisite(s):Communicative Disorders and Sciences major and upper division standing, or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","EDAU 170","Introduction to Audiology","3 Theory and application of the fundamentals of pure tone and speech audiometric procedures and immittance measurements for identifying hearing loss and the differential diagnosis of peripheral auditory problems.      Prerequisite(s):EDAU 115 or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","EDAU 172","Principles of Aural Rehabilitation","3 Principles and methods of aural rehabilitation procedures in adults and children. Components include treatment of listening, visual and oral communication skills; psychosocial aspects of hearing loss.      Prerequisite(s):EDAU 115 and EDAU 170 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","EDAU 177","Practicum in Audiology","1-3 Supervised clinical experience in screening, testing and treatment of children and adults with hearing impairments.      Prerequisite(s):EDAU 170 and EDAU 172 , or instructor consent.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1-3"
"Audiology","EDAU 273","Aural Rehabilitation","3 Aural rehabilitative services and procedures for the hearing impaired. Emphasis on governmental agencies, community services, especially for adult and geriatric populations, school programs and the professional role and responsibilities of the audiologist.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Audiology","EDAU 298","Special Studies","1-3 Supervised study in a specific field of audiology.      Prerequisite(s):Consent of area coordinator.  Grading:Mandatory Credit/No Credit/RP     Class Schedule|Syllabus Information|University Bookstore","1-3"
"Aviation","AVIA 1","Introduction to the Aviation Industry","3 Career planning, paths, and opportunities within the aviation industry. Concepts and knowledge building blocks for any aviation professional, including: history of aviation; qualifications and privileges of aviation professionals; basics of aeronautics.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Aviation","AVIA 2","Private Pilot Ground","3 Foundational concepts of aviation studies for professional pilots. Ground course for private pilot FAA certification. Aeronautics basics, weather, visual navigation, regulations, and operational environment for conducting flights under visual flight rules.      Pre/Corequisite(s):AVIA 1  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
