"course_code","course_name","course_credits"
"EDI 342","EDI 342 - Literacy Methods and Children's Literature for Birth to Kindergarten","5 credits"
"EDI 343","EDI 343 - Math and Science Methods for Birth to Kindergarten","3 credits"
"EDI 344","EDI 344 - Field Experience in Kindergarten","1 credits"
"EDI 380","EDI 380 - Special Topics in Instruction and Curriculum","1 to 3 credits"
"EDI 399","EDI 399 - Independent Study in Instruction and Curriculum","1 to 3 credits"
"EDI 418","EDI 418 - Administration and Supervision in Early Childhood Education","3 credits"
"EDI 430","EDI 430 - Student Teaching, Elementary","10 credits"
"EDI 431","EDI 431 - Student Teaching, Secondary","8 credits"
"EDI 432","EDI 432 - Student Teaching, Secondary Content Practicum","2 credits"
"EDI 433","EDI 433 - Secondary Teacher Internship and Seminar: 5-9","7 credits"
"EDI 434","EDI 434 - Secondary Teacher Internship and Seminar: 7-12","7 credits"
"EDI 435","EDI 435 - PK-12 Teacher Internship and Seminar","7 credits"
"EDI 440","EDI 440 - Strategies for Preschoolers and Kindergartners, With and Without Disabilities and Delays","3 credits"
"EDI 441","EDI 441 - Clinical Apprenticeship in Preschool","3 credits"
"EDI 470","EDI 470 - Directed Teaching in Early Childhood Education","3 credits"
"EDI 499","EDI 499 - Independent Study in Instruction and Curriculum","1 to 3 credits"
"EDI 601","EDI 601 - Content/Curriculum Workshop","1 to 3 credits"
"EDI 610","EDI 610 - Advanced Studies in Child Development Ages 0-8","3 credits"
"EDI 612","EDI 612 - Curriculum Development for Early Childhood Education","3 credits"
"EDI 613","EDI 613 - Administration and Supervision of Early Childhood Education","3 credits"
"EDI 614","EDI 614 - Infant and Toddler Development and Curriculum","3 credits"
"EDI 615","EDI 615 - Advanced Studies in Language and Literacy for Young Children","3 credits"
"EDI 616","EDI 616 - Relationships, Interactions, and Guidance: Preventing Challenging Behaviors","3 credits"
"EDI 617","EDI 617 - Disrupting the System: Re-Envisioning Early Childhood","3 credits"
"EDI 630","EDI 630 - Teaching Mathematics: PK-6","3 credits"
"EDI 631","EDI 631 - Teaching Science: PK-6","3 credits"
"EDI 632","EDI 632 - Teaching Creative and Performing Arts","3 credits"
"EDI 633","EDI 633 - Teaching Social Studies and Diversity","3 credits"
"EDI 635","EDI 635 - Development and Needs of Students","3 credits"
"EDI 636","EDI 636 - Instruction in Middle and High Schools","3 credits"
"EDI 637","EDI 637 - Assessment: K-12 Models and Practices","3 credits"
"EDI 638","EDI 638 - Facilitating School Environments","3 credits"
"EDI 639","EDI 639 - Curriculum Development","3 credits"
"EDI 640","EDI 640 - Fundamentals of Talent Development","3 credits"
"EDI 641","EDI 641 - Teaching for Talent Development","3 credits"
"EDI 680","EDI 680 - Special Topics in Instruction and Curriculum","1 to 3 credits"
"EDI 685","EDI 685 - Practicum/Graduate Field Experience","3 or 6 credits"
"EDI 693","EDI 693 - Master's Project","1 to 3 credits"
"EDI 695","EDI 695 - Master's Thesis","1 to 6 credits"
"EDI 696","EDI 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EDI 697","EDI 697 - Professional Learning","1 to 3 credits"
"EDI 699","EDI 699 - Independent Study in Instruction and Curriculum","1 to 3 credits"
"EDI 797","EDI 797 - Professional Learning","1 to 3 credits"
"EDI 799","EDI 799 - Independent Study Curriculum and Instruction","1 to 3 credits"
"EDL 650","EDL 650 - Foundations of Special Education Administration","3 credits"
"EDL 651","EDL 651 - Administration of Special Education Programs and Services","3 credits"
"EDL 652","EDL 652 - Curriculum and Instruction Leadership in Special Education Administration","3 credits"
"EDL 653","EDL 653 - Special Education Law","3 credits"
"EDL 654","EDL 654 - Special Education Finance","3 credits"
"EDL 665","EDL 665 - Educational Leadership","3 credits"
"EDL 666","EDL 666 - Curriculum Leadership","3 credits"
"EDL 667","EDL 667 - Elementary Supervision and Evaluation","3 credits"
"EDL 668","EDL 668 - Personnel Administration","3 credits"
"EDL 669","EDL 669 - School Finance","3 credits"
"EDL 670","EDL 670 - School Law","3 credits"
"EDL 671","EDL 671 - Secondary Supervision and Evaluation","3 credits"
"EDL 677","EDL 677 - School and Community Relationships","3 credits"
"EDL 680","EDL 680 - Special Topics in Leadership","1 to 3 credits"
"EDL 685","EDL 685 - Practicum/Graduate Field Experience","3 to 6 credits"
"EDL 687","EDL 687 - Administrative Internship","3 credits"
"EDL 693","EDL 693 - Master's Project","1 to 3 credits"
"EDL 695","EDL 695 - Master's Thesis","1 to 6 credits"
"EDL 696","EDL 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EDL 697","EDL 697 - Professional Learning","1 to 3 credits"
"EDL 699","EDL 699 - Independent Study in Leadership","1 to 3 credits"
"EDL 700","EDL 700 - Educational Leadership and Change","3 credits"
"EDL 705","EDL 705 - Organizational Behavior, Ethics and Decision-Making","3 credits"
"EDL 710","EDL 710 - Instructional Management and Supervision","3 credits"
"EDL 715","EDL 715 - Data-Based Decision-Making and Technology","3 credits"
"EDL 720","EDL 720 - Organizational and Community Relations","3 credits"
"EDL 725","EDL 725 - Educational Law, Policy, and Practice","3 credits"
"EDL 740","EDL 740 - The Superintendency","3 credits"
"EDL 742","EDL 742 - School Board Relations","3 credits"
"EDL 744","EDL 744 - Educational Finance and Economic Issues","3 credits"
"EDL 770","EDL 770 - Leadership Theory into Practice","3 credits"
"EDL 797","EDL 797 - Professional Learning","1 to 3 credits"
"EDL 799","EDL 799 - Independent Study in Educational Leadership","1 to 3 credits"
"EDR 317","EDR 317 - Class-conscious: Popular Culture, Schooling, and Identity","3 credits"
"EDR 320","EDR 320 - Language and Literacy: Development, Assessment, and Instruction","3 credits"
"EDR 321","EDR 321 - Content Area Literacy","3 credits"
"EDR 323","EDR 323 - Teaching Students with Language and Literacy Learning Difficulties","3 credits"
"EDR 380","EDR 380 - Special Topics in Literacy Studies","1 to 3 credits"
"EDR 470","EDR 470 - Directed Teaching in ESL: Elementary","5 credits"
"EDR 471","EDR 471 - Directed Teaching in ESL: Secondary","5 credits"
"EDR 499","EDR 499 - Independent Study in Literacy Studies","1 to 3 credits"
"EDR 601","EDR 601 - Content/Curriculum Workshops","1 to 3 credits"
"EDR 603","EDR 603 - Bi-literacy Development","3 credits"
"EDR 612","EDR 612 - Reading Assessment: Elementary Teacher","3 credits"
"EDR 613","EDR 613 - Reading Assessment: Secondary Teacher","3 credits"
"EDR 620","EDR 620 - ESL Methodologies, Materials Development, and Technology","3 credits"
"EDR 621","EDR 621 - Foundations of Literacy","3 credits"
"EDR 622","EDR 622 - Developmental Literacy for Children","3 credits"
"EDR 623","EDR 623 - Developmental Literacy for Adolescents","3 credits"
"EDR 624","EDR 624 - Elementary Literacy: Learners, Text, and the Environment","3 credits"
"EDR 625","EDR 625 - Secondary Literacy: Learners, Text, and the Environment","3 credits"
"EDR 626","EDR 626 - Field-based Literacy Assessment for Learning","3 credits"
"EDR 627","EDR 627 - Literacy Strategies for Content Areas","3 credits"
"EDR 628","EDR 628 - Literacy Instruction Across Disciplines (PK-6)","3 credits"
"EDR 630","EDR 630 - Literacy Instruction Across Disciplines (7-12)","3 credits"
"EDR 631","EDR 631 - Writing, Teaching, and Learning","3 credits"
"EDR 632","EDR 632 - Field-based Literacy and Language Interventions","3 credits"
"EDR 634","EDR 634 - English Learner Language Development","3 credits"
"EDR 635","EDR 635 - Teaching Culturally and Linguistically Diverse Students","3 credits"
"EDR 636","EDR 636 - Bilingualism and Biliteracy Development","3 credits"
"EDR 637","EDR 637 - Assessment of English Learners","3 credits"
"EDR 680","EDR 680 - Special Topics in Literacy Studies","1 to 3 credits"
"EDR 685","EDR 685 - Literacy Instruction Practicum","3 credits"
"EDR 687","EDR 687 - Reading/Literacy Specialist and Literacy Coach Practicum","3 credits"
"EDR 689","EDR 689 - Professional Development and Leadership Practicum","3 credits"
"EDR 693","EDR 693 - Master's Project","1 to 3 credits"
"EDR 695","EDR 695 - Master's Thesis","1 to 6 credits"
"EDR 696","EDR 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EDR 697","EDR 697 - Professional Learning","1 to 3 credits"
"EDR 699","EDR 699 - Independent Study in Literacy Studies","1 to 3 credits"
"EDS 205","EDS 205 - Special Education Policies, Procedures, and Professional Practice","3 credits"
"EDS 214","EDS 214 - Introduction to Working with Students with Disabilities and Delays, Birth to Kindergarten","3 credits"
"EDS 305","EDS 305 - Special Education Research, Assessment and Data-based Decision Making","3 credits"
"EDS 306","EDS 306 - Instructional Methods and Inclusive Practices for Students with Disabilities","3 credits"
"EDS 316","EDS 316 - Supporting and Responding to Diverse Families and Children Outside the Classroom","3 credits"
"EDS 317","EDS 317 - The Myth of Normal: Disability Studies in the 21st Century","3 credits"
"EDS 318","EDS 318 - Teaching Students with Learning and Behavior Difficulties","3 credits"
"EDS 323","EDS 323 - Teaching Students with Language and Literacy Learning Difficulties","3 credits"
"EDS 332","EDS 332 - Methods and Strategies of Special Education Teaching","6 credits"
"EDS 378","EDS 378 - Universal Design for Learning: Elementary","3 credits"
"EDS 379","EDS 379 - Universal Design for Learning: Secondary","3 credits"
"EDS 380","EDS 380 - Special Topics in Special Education","1 to 3 credits"
"EDS 399","EDS 399 - Independent Study in Special Education","1 to 3 credits"
"EDS 405","EDS 405 - Teaching Language and Reading to Students with Disabilities","3 credits"
"EDS 406","EDS 406 - Positive Behavioral Interventions and Supports in Special Education","3 credits"
"EDS 414","EDS 414 - Language and Communication Practices for Students with Autism Spectrum Disorder","3 credits"
"EDS 415","EDS 415 - Instructional Practices for Students with Autism Spectrum Disorder","3 credits"
"EDS 416","EDS 416 - Integrating Social-Emotional Learning and Positive Behavioral Interventions and Supports Across BK","3 credits"
"EDS 417","EDS 417 - Introduction to Teaching Students with a Cognitive Impairment","3 credits"
"EDS 418","EDS 418 - Instructional Practices for Students with a Cognitive Impairment","3 credits"
"EDS 419","EDS 419 - Introduction to Teaching Students with an Emotional Impairment","3 credits"
"EDS 420","EDS 420 - Instructional Practices for Students with an Emotional Impairment","3 credits"
"EDS 421","EDS 421 - Curriculum Implementation for Students with an Emotional Impairment","3 credits"
"EDS 422","EDS 422 - Introduction to Teaching Students with Specific Learning Disability","3 credits"
"EDS 423","EDS 423 - Instructional Practices for Students with Specific Learning Disability 1","3 credits"
"EDS 424","EDS 424 - Instructional Practices for Students with Specific Learning Disability 2","3 credits"
"EDS 441","EDS 441 - Curriculum for CI","3 credits"
"EDS 442","EDS 442 - Curriculum for EI","3 credits"
"EDS 463","EDS 463 - Educational Practices and Procedures: Cognitive Impairment","3 credits"
"EDS 464","EDS 464 - Educational Practices and Procedures: Emotional Impairment","3 credits"
"EDS 470","EDS 470 - Directed Teaching in Early Childhood Developmental Delay","3 credits"
"EDS 471","EDS 471 - Directed Teaching in Cognitive Impairment","9 credits"
"EDS 472","EDS 472 - Directed Teaching in Emotional Impairment","9 credits"
"EDS 473","EDS 473 - Directed Teaching in Specific Learning Disability","7 credits"
"EDS 474","EDS 474 - Directed Teaching in Autism Spectrum Disorder","7 credits"
"EDS 497","EDS 497 - Educational Interventions: Cognitive Impairment","3 credits"
"EDS 499","EDS 499 - Independent Study","1 to 3 credits"
"EDS 550","EDS 550 - Preteaching in Special Education","3 or 6 credits"
"EDS 555","EDS 555 - Behavior Support for Students with Disabilities","3 credits"
"EDS 601","EDS 601 - Content/Curriculum Workshops","1 to 3 credits"
"EDS 609","EDS 609 - Understanding Students with Emotional Impairment","3 credits"
"EDS 610","EDS 610 - Positive Behavioral Interventions and Supports","3 credits"
"EDS 611","EDS 611 - Curriculum and Instruction for Students with Emotional Impairment","3 credits"
"EDS 615","EDS 615 - Educational Assessment and Interventions for Autism","3 credits"
"EDS 616","EDS 616 - Language and Communication Assessment and Instruction for Autism","3 credits"
"EDS 618","EDS 618 - Understanding Students with Cognitive Impairment","3 credits"
"EDS 619","EDS 619 - Educational Interventions for Mild Cognitive Impairment","3 credits"
"EDS 620","EDS 620 - Educational Interventions for Severe Cognitive Impairment","3 credits"
"EDS 621","EDS 621 - Assistive Technology in Education","3 credits"
"EDS 622","EDS 622 - Assessment for Placement and Program: CI","3 credits"
"EDS 623","EDS 623 - Collaboration in Special Education","3 credits"
"EDS 625","EDS 625 - Inclusive Practices","3 credits"
"EDS 627","EDS 627 - Technology and Professional Practice","3 credits"
"EDS 629","EDS 629 - Transition Practices","3 credits"
"EDS 636","EDS 636 - Diagnostic and Interpretative Procedures","3 credits"
"EDS 637","EDS 637 - Explicit Language Instruction","3 credits"
"EDS 638","EDS 638 - Instructional Practices: Learning Disabilities II","3 credits"
"EDS 646","EDS 646 - Family and Community Collaboration in Early Childhood Education","3 credits"
"EDS 647","EDS 647 - Serving Young Children with Diverse Needs","3 credits"
"EDS 652","EDS 652 - Foundations of Special Education","3 credits"
"EDS 680","EDS 680 - Special Topics in Special Education","1 to 3 credits"
"EDS 685","EDS 685 - Practicum/Graduate Field Experience","3 or 6 credits"
"EDS 693","EDS 693 - Master's Project","1 to 3 credits"
"EDS 695","EDS 695 - Master's Thesis","1 to 6 credits"
"EDS 696","EDS 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EDS 697","EDS 697 - Professional Learning","1 to 3 credits"
"EDS 699","EDS 699 - Independent Study in Special Education","1 to 3 credits"
"EDT 312","EDT 312 - Children and Technology","3 credits"
"EDT 370","EDT 370 - Technology in Education","3 credits"
"EDT 380","EDT 380 - Special Topics in Technology","1 to 3 credits"
"EDT 399","EDT 399 - Independent Study in Technology","1 to 3 credits"
"EDT 476","EDT 476 - Teaching with Technology","3 credits"
"EDT 601","EDT 601 - Content/Curriculum Workshop","1 to 3 credits"
"EDT 619","EDT 619 - Introduction to Learning, Design, and Technology","3 credits"
"EDT 620","EDT 620 - Evaluating and Applying Instructional Media","3 credits"
"EDT 621","EDT 621 - Emerging Learning Technologies","3 credits"
"EDT 622","EDT 622 - Learning, Cognition, and Technology","3 credits"
"EDT 623","EDT 623 - Design of Learning Environments with Technology","3 credits"
"EDT 626","EDT 626 - Strategic Assessment and Evaluation with Learning Technologies","3 credits"
"EDT 627","EDT 627 - Technology Integration for Secondary Teachers","3 credits"
"EDT 629","EDT 629 - Online Instructional Design/Development","3 credits"
"EDT 634","EDT 634 - Integration and Management of Learning Technologies","3 credits"
"EDT 635","EDT 635 - Instructional Systems Design","3 credits"
"EDT 637","EDT 637 - Human Performance Improvement","3 credits"
"EDT 638","EDT 638 - Theory into Practice in Learning, Design, and Technology","3 credits"
"EDT 680","EDT 680 - Special Topics in Technology","1 to 3 credits"
"EDT 684","EDT 684 - Field Experience - Educational Technology","3 credits"
"EDT 693","EDT 693 - Master's Project","1 to 3 credits"
"EDT 695","EDT 695 - Master's Thesis","1 to 6 credits"
"EDT 696","EDT 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EDT 697","EDT 697 - Professional Learning","1 to 3 credits"
"EDT 699","EDT 699 - Independent Study in Educational Technology","1 to 3 credits"
"EGR 100","EGR 100 - Introduction to Engineering","1 credits"
"EGR 104","EGR 104 - Applied Programming for Engineers - Stretch I","2 credits"
"EGR 108","EGR 108 - Applied Programming for Engineers - Stretch II","2 credits"
"EGR 111","EGR 111 - Introduction to Engineering Graphics","1 credits"
"EGR 112","EGR 112 - Applied Programming for Engineers","2 credits"
"EGR 113","EGR 113 - Introduction to CAD/CAM","1 credits"
"EGR 124","EGR 124 - Introduction to Engineering Problem Solving","3 credits"
"EGR 180","EGR 180 - Special Topics in Engineering","1 to 4 credits"
"EGR 185","EGR 185 - First-year Engineering Design","2 credits"
"EGR 209","EGR 209 - Mechanics and Machines","4 credits"
"EGR 210","EGR 210 - Solid Mechanics","1 credits"
"EGR 214","EGR 214 - Circuit Analysis I","3 credits"
"EGR 215","EGR 215 - Circuit Analysis I Lab","1 credits"
"EGR 220","EGR 220 - Engineering Measurement and Data Analysis","1 credits"
"EGR 223","EGR 223 - Probability and Signal Analysis","3 credits"
"EGR 224","EGR 224 - Introduction to Digital System Design","3 credits"
"EGR 226","EGR 226 - Microcontroller Programming and Applications","3 credits"
"EGR 227","EGR 227 - Microcontroller Programming and Applications Lab","1 credits"
"EGR 250","EGR 250 - Materials Science and Engineering","3 credits"
"EGR 251","EGR 251 - Materials Laboratory","1 credits"
"EGR 257","EGR 257 - Electronic Materials and Devices","4 credits"
"EGR 280","EGR 280 - Special Topics in Engineering","1 to 4 credits"
"EGR 289","EGR 289 - Engineering Professionalism","1 credits"
"EGR 290","EGR 290 - Engineering Co-op 1","3 credits"
"EGR 301","EGR 301 - Analytical Tools for Product Design","4 credits"
"EGR 302","EGR 302 - Engineering Decision-Making in Society","3 credits"
"EGR 306","EGR 306 - Urban Sustainability","3 credits"
"EGR 309","EGR 309 - Machine Design I","3 credits"
"EGR 310","EGR 310 - Machine Design I Laboratory","1 credits"
"EGR 311","EGR 311 - Intermediate Computer Aided Design and Manufacturing","3 credits"
"EGR 312","EGR 312 - Dynamics","3 credits"
"EGR 314","EGR 314 - Circuit Analysis II","4 credits"
"EGR 315","EGR 315 - Electronic Circuits I","4 credits"
"EGR 323","EGR 323 - Signals and Systems Analysis","3 credits"
"EGR 326","EGR 326 - Embedded System Design","4 credits"
"EGR 329","EGR 329 - Introduction to Finite Element Analysis","3 credits"
"EGR 330","EGR 330 - Power Systems Analysis","4 credits"
"EGR 343","EGR 343 - Applied Electromagnetics","4 credits"
"EGR 345","EGR 345 - Dynamic System Modeling and Control","4 credits"
"EGR 346","EGR 346 - Mechatronic Systems Dynamics and Control","4 credits"
"EGR 350","EGR 350 - Vibration","4 credits"
"EGR 352","EGR 352 - Kinematics and Dynamics of Machinery","4 credits"
"EGR 360","EGR 360 - Thermodynamics","4 credits"
"EGR 362","EGR 362 - Thermal and Fluid Systems","4 credits"
"EGR 365","EGR 365 - Fluid Mechanics","4 credits"
"EGR 367","EGR 367 - Manufacturing Processes","3 credits"
"EGR 368","EGR 368 - Manufacturing Processes Laboratory","1 credits"
"EGR 380","EGR 380 - Special Topics in Engineering","1 to 4 credits"
"EGR 390","EGR 390 - Engineering Co-op 2","3 credits"
"EGR 399","EGR 399 - Readings in Engineering","1 to 4 credits"
"EGR 401","EGR 401 - Advanced Product Design","4 credits"
"EGR 403","EGR 403 - Medical Device Design","3 credits"
"EGR 404","EGR 404 - Polymer Science and Processing","4 credits"
"EGR 405","EGR 405 - Materials Failure Analysis and Selection","3 credits"
"EGR 406","EGR 406 - Renewable Energy Systems: Structure, Policy, and Analysis","3 credits"
"EGR 409","EGR 409 - Machine Design II","4 credits"
"EGR 413","EGR 413 - Materials for Energy Storage","3 credits"
"EGR 415","EGR 415 - Communication Systems","4 credits"
"EGR 418","EGR 418 - Radio Frequency Systems","4 credits"
"EGR 423","EGR 423 - Digital Signal Processing Systems","4 credits"
"EGR 424","EGR 424 - Design of Microcontroller Applications","4 credits"
"EGR 425","EGR 425 - RISC Architecture","4 credits"
"EGR 426","EGR 426 - Integrated Circuit Systems Design","4 credits"
"EGR 430","EGR 430 - Electromechanics","4 credits"
"EGR 432","EGR 432 - Biomedical Imaging and Image Processing","3 credits"
"EGR 433","EGR 433 - Electronic Instrumentation for Biomedical Applications","3 credits"
"EGR 434","EGR 434 - Bioelectric Potentials","3 credits"
"EGR 435","EGR 435 - Mathematical Modeling of Physiologic Systems","3 credits"
"EGR 436","EGR 436 - Embedded Systems Interface","4 credits"
"EGR 440","EGR 440 - Introduction to Production","3 credits"
"EGR 441","EGR 441 - Engineering Economics, Quality Control, and Manufacturing Operations","4 credits"
"EGR 443","EGR 443 - Electromagnetic Compatibility","4 credits"
"EGR 445","EGR 445 - Robotic Systems Engineering","4 credits"
"EGR 447","EGR 447 - Engineering Mechanics of Human Motion","3 credits"
"EGR 450","EGR 450 - Manufacturing Control Systems","4 credits"
"EGR 453","EGR 453 - Biomedical Materials","3 credits"
"EGR 455","EGR 455 - Automatic Control","4 credits"
"EGR 457","EGR 457 - Fundamentals of Nanotechnology","4 credits"
"EGR 458","EGR 458 - Introduction to Fiber Optics","4 credits"
"EGR 463","EGR 463 - Alternative Energy Systems and Applications","4 credits"
"EGR 465","EGR 465 - Computational Fluid Dynamics (CFD)","4 credits"
"EGR 466","EGR 466 - Turbomachinery","4 credits"
"EGR 468","EGR 468 - Heat Transfer","4 credits"
"EGR 475","EGR 475 - Design of HVAC Systems","4 credits"
"EGR 480","EGR 480 - Special Topics in Engineering","1 to 4 credits"
"EGR 482","EGR 482 - Internal Combustion Engines","3 credits"
"EGR 485","EGR 485 - Senior Engineering Project I (Capstone)","1 credits"
"EGR 486","EGR 486 - Senior Engineering Project II (Capstone)","2 credits"
"EGR 490","EGR 490 - Engineering Co-op 3","3 credits"
"EGR 491","EGR 491 - Technology Project Management Internship","1 to 3 credits"
"EGR 499","EGR 499 - Research in Engineering","1 to 4 credits"
"EGR 503","EGR 503 - Medical Device Design","3 credits"
"EGR 513","EGR 513 - Materials for Energy Storage","3 credits"
"EGR 515","EGR 515 - Communication Systems","4 credits"
"EGR 518","EGR 518 - Radio Frequency Systems","4 credits"
"EGR 523","EGR 523 - Digital Signal Processing Systems","4 credits"
"EGR 524","EGR 524 - Design of Microcontroller Applications","4 credits"
"EGR 525","EGR 525 - RISC Architecture","4 credits"
"EGR 526","EGR 526 - Integrated Circuit System Design","4 credits"
"EGR 530","EGR 530 - Electromechanics","4 credits"
"EGR 532","EGR 532 - Biomedical Imaging and Image Processing","3 credits"
"EGR 533","EGR 533 - Electronic Instrumentation for Biomedical Applications","3 credits"
"EGR 534","EGR 534 - Bioelectric Potentials","3 credits"
"EGR 535","EGR 535 - Mathematical Modeling of Physiologic Systems","3 credits"
"EGR 536","EGR 536 - Embedded Systems Interface","4 credits"
"EGR 541","EGR 541 - Engineering Economics, Quality Control, and Manufacturing Operations","4 credits"
"EGR 543","EGR 543 - Electromagnetic Compatibility","4 credits"
"EGR 545","EGR 545 - Robotic Systems Engineering","4 credits"
"EGR 547","EGR 547 - Engineering Mechanics of Human Motion","3 credits"
"EGR 550","EGR 550 - Manufacturing Control Systems","4 credits"
"EGR 553","EGR 553 - Biomedical Materials","3 credits"
"EGR 555","EGR 555 - Automatic Control","4 credits"
"EGR 557","EGR 557 - Fundamentals of Nanotechnology","4 credits"
"EGR 558","EGR 558 - Introduction to Fiber Optics","4 credits"
"EGR 563","EGR 563 - Alternative Energy Systems and Applications","4 credits"
"EGR 565","EGR 565 - Computational Fluid Dynamics (CFD)","4 credits"
"EGR 580","EGR 580 - Special Topics in Engineering","1 to 4 credits"
"EGR 600","EGR 600 - Advanced Engineering Analysis","3 credits"
"EGR 601","EGR 601 - Principles of Computer Engineering","3 credits"
"EGR 602","EGR 602 - Professional Aspects of Engineering","3 credits"
"EGR 604","EGR 604 - Implementation and Measurement","3 credits"
"EGR 609","EGR 609 - Advanced Structural Analysis","3 credits"
"EGR 610","EGR 610 - Engineering Design","3 credits"
"EGR 611","EGR 611 - Computer-Aided Design and Engineering","3 credits"
"EGR 612","EGR 612 - Analytical Dynamics","3 credits"
"EGR 614","EGR 614 - Opportunity Identification for Medical Devices","3 credits"
"EGR 615","EGR 615 - Applied Finite Element Analysis","3 credits"
"EGR 627","EGR 627 - Advanced FPGA Implementation","3 credits"
"EGR 635","EGR 635 - Biomedical Signal Modeling","3 credits"
"EGR 636","EGR 636 - Electronic Prototyping","3 credits"
"EGR 637","EGR 637 - Application Development on Field Programmable Gate Arrays","3 credits"
"EGR 640","EGR 640 - Production Operation Models","3 credits"
"EGR 641","EGR 641 - Applied Optimization","3 credits"
"EGR 642","EGR 642 - Materials Handling and Flow Control","3 credits"
"EGR 643","EGR 643 - PCB Design and EMC","3 credits"
"EGR 645","EGR 645 - Electromagnetics","3 credits"
"EGR 655","EGR 655 - Power Electronics","3 credits"
"EGR 657","EGR 657 - Photovoltaic Systems","3 credits"
"EGR 670","EGR 670 - Systems Physiology for Engineers","3 credits"
"EGR 671","EGR 671 - Advanced Control","3 credits"
"EGR 680","EGR 680 - Special Topics in Engineering","1 to 4 credits"
"EGR 685","EGR 685 - Graduate Practicum","3 credits"
"EGR 686","EGR 686 - Capstone Design Project","3 credits"
"EGR 693","EGR 693 - Master's Project","1 to 6 credits"
"EGR 695","EGR 695 - Master's Thesis","1 to 6 credits"
"EGR 696","EGR 696 - Continuation of Master's Project or Thesis Research","1 credits"
"EGR 697","EGR 697 - Professional Learning","1 to 3 credits"
"EGR 699","EGR 699 - Independent Study in Engineering","1 to 3 credits"
"EMBA 601","EMBA 601 - Financial Accounting for Executives","1.5 credits"
"EMBA 610","EMBA 610 - Strategic Information Systems for Executives","2 credits"
"EMBA 611","EMBA 611 - Managerial Accounting for Executives","1.5 credits"
"EMBA 621","EMBA 621 - Finance for Executives","3 credits"
"EMBA 626","EMBA 626 - Financial Policy for Executives","3 credits"
"EMBA 635","EMBA 635 - Organizational Change Management","2 credits"
"EMBA 636","EMBA 636 - Emerging Trends--Industry Disruptions and Firm Sustainability","2 credits"
"EMBA 641","EMBA 641 - Business Economics for Executives","3 credits"
"EMBA 651","EMBA 651 - Marketing Management for Executives","3 credits"
"EMBA 652","EMBA 652 - Negotiations for Executives","2 credits"
"EMBA 667","EMBA 667 - Service and Value Chain Management","3 credits"
"EMBA 675","EMBA 675 - Law for Executives","3 credits"
"EMBA 678","EMBA 678 - Executive Leadership and Ethics","3 credits"
"EMBA 680","EMBA 680 - Special Topics in Executive MBA","1 to 3 credits"
"EMBA 681","EMBA 681 - Developing the Strategic Mindset","1 credits"
"EMBA 682","EMBA 682 - Systems Thinking and Advanced Tactics","2 credits"
"EMBA 683","EMBA 683 - Corporate Strategy for Executives","3 credits"
"EMBA 697","EMBA 697 - Professional Learning","1 to 3 credits"
"ENG 100","ENG 100 - Reading for College in All Majors","3 credits"
"ENG 103","ENG 103 - World Literature","3 credits"
"ENG 105","ENG 105 - Literatures in English","3 credits"
"ENG 112","ENG 112 - Much Ado About Shakespeare","3 credits"
"ENG 115","ENG 115 - Introduction to Science Fiction","3 credits"
"ENG 180","ENG 180 - Special Topics in English","1 to 9 credits"
"ENG 201","ENG 201 - Foundations of Literacy Instruction","3 credits"
"ENG 204","ENG 204 - World Mythology","3 credits"
"ENG 215","ENG 215 - Foundations of Literary Study: Genre","3 credits"
"ENG 216","ENG 216 - Foundations of Literary Study: Critical Approaches","3 credits"
"ENG 220","ENG 220 - British Literature I","3 credits"
"ENG 221","ENG 221 - British Literature II","3 credits"
"ENG 225","ENG 225 - American Literature I: to 1860","3 credits"
"ENG 226","ENG 226 - American Literature II: from 1860","3 credits"
"ENG 231","ENG 231 - Early African American Literature","3 credits"
"ENG 232","ENG 232 - Modern African American Literature","3 credits"
"ENG 261","ENG 261 - Foundations of Language Study","3 credits"
"ENG 280","ENG 280 - Special Topics in English","1 to 9 credits"
"ENG 301","ENG 301 - Reading and Writing in the Elementary Classroom","3 credits"
"ENG 302","ENG 302 - Introduction to Language Arts: Teaching Writing and Children's Literature","3 credits"
"ENG 303","ENG 303 - Studies in World Literature","3 credits"
"ENG 304","ENG 304 - International Literature for Children and Young Adults","3 credits"
"ENG 307","ENG 307 - Teaching Writing: Elementary","3 credits"
"ENG 308","ENG 308 - Teaching Reading: The Necessary Skills","4 credits"
"ENG 309","ENG 309 - Teaching Literature to Children","3 credits"
"ENG 310","ENG 310 - Teaching Writing: Secondary","3 credits"
"ENG 311","ENG 311 - Teaching Literature to Adolescents","3 credits"
"ENG 312","ENG 312 - The Reading and Writing Workshop","3 credits"
"ENG 313","ENG 313 - British Literature: Shakespeare","3 credits"
"ENG 314","ENG 314 - Digital Literacies","3 credits"
"ENG 320","ENG 320 - Studies in Poetry","3 credits"
"ENG 328","ENG 328 - Contemporary American Literature","3 credits"
"ENG 330","ENG 330 - Studies in Fiction","3 credits"
"ENG 331","ENG 331 - Comics and Graphic Novels in Contemporary Culture","3 credits"
