course_name,department,college,subject,description
Introductory Genomics & Bioinformatics for Health Research,BST 280,HSPH,Biostatistics,"This survey course is intended for a wide audience and will provide an introduction to genomics-inspired techniques and bioinformatics tools, including genome sequencing, DNA microarrays, proteomics, and publicly available databases and software tools.Course Note: Lab or section times to be announced at first meeting.Course Prerequisites: ID201 or [BST201 or (BST202 & 203) or BST206 and (EPI201 or EPI500)], or permission of instructor. Courses may be taken concurrently."
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
StudioLab on Creativity and Entrepreneurship,CE 10,FAS,The Lemann Prog on Creativity,"Can we enact change to create a “better normal""? Using an interdisciplinary exploration of the liberal arts, CE 10 helps facilitate your development and application of transformative ideas to tackle today’s societal challenges, such as racial injustice, climate change, and strained health and well-being. You will work to develop actionable solutions to pressing issues leveraging the UN Sustainable Development Goal (UN SDG) framework. You will learn to identify and holistically analyze a pro"
Nanocourses,CELLBIO 300QC,FAS,Medical Sciences,"Students can enroll for 2 credit units for every three nanocourses completed through the HMS Curriculum Fellows Program. For questions about bundling and applying nanocourse credits, contact dms_courses@hms.harvard.edu."
Advanced Experimental Design for Biologists,CELLBIO 302QC,FAS,Medical Sciences,"This course will focus on both the theory and practice of experimental design. The emphasis is on project planning and vetting, individual experimental design, and trouble-shooting. Special focus will be placed on methods to avoid experimental bias, and potential sources of inappropriate interpretation. Also the importance of system validation is especially emphasized."
Chromatin Dynamics in metabolism and DNA repair,CELLBIO 306,FAS,Medical Sciences,
Teaching 100: The Theory and Science of Teaching,CELLBIO 306QC,FAS,Medical Sciences,"For many graduate students and medical educators, teaching will be part of their career, whether as mentoring, formal classroom teaching, or teaching in the hospital. In addition, the theory and research evidence accumulating in the disciplines of cognitive psychology, neuroscience, and from STEM classrooms, has turned the question of “How do we best teach science and medicine?” into its own scientific discipline. The Theory and Science of Teaching focuses on understanding why certai"
Cell-Cell Signaling in Neural Development and Regeneration,CELLBIO 307,FAS,Medical Sciences,
Mechanisms of Vertebrate Hedgehog Signaling,CELLBIO 310,FAS,Medical Sciences,
Mitochondrial redox control over pathophysiology,CELLBIO 310L,FAS,Medical Sciences,
Cardiovascular Signal Transduction,CELLBIO 311,FAS,Medical Sciences,
Molecular Mechanisms of Transcriptional Control,CELLBIO 312,FAS,Medical Sciences,
Systems Biology of Mammalian Signal Transduction,CELLBIO 313,FAS,Medical Sciences,
Quantitative Imaging: Making measurements with fluorescence microscopy,CELLBIO 313QC,FAS,Medical Sciences,"This course provides an overview of quantitative fluorescence microscopy methods, with a focus on generating reliable and reproducible measurements from imaging data. Key topics include resolution, signal-to-noise ratio, sampling, and the use of fluorophores and fluorescent proteins in imaging applications for biomedical research. The curriculum covers digital detectors, imaging of live specimens, and advanced techniques such as confocal and quantitative phase microscopy. It also covers the fund"
Molecular Biology of Extracellular Matrix,CELLBIO 314,FAS,Medical Sciences,
Mechanism and Function of Intracellular Protein Turnover,CELLBIO 316,FAS,Medical Sciences,
Molecular Biology of Cell Growth Regulation and Transformation,CELLBIO 318,FAS,Medical Sciences,
Signaling Pathways in Cancer Cell Biology,CELLBIO 319,FAS,Medical Sciences,
Neuronal Pathfinding and Synaptogenesis,CELLBIO 321,FAS,Medical Sciences,
Molecular and Cellular Regulators of Cancer Progression,CELLBIO 325,FAS,Medical Sciences,
Signal Transduction During Early Development,CELLBIO 326,FAS,Medical Sciences,
Single-Molecule Biology and Visualization of Cellular Dynamics,CELLBIO 328,FAS,Medical Sciences,
The Ubiquitin-Proteasome Pathway,CELLBIO 329,FAS,Medical Sciences,
Mass Spectrometry and Proteomics,CELLBIO 332,FAS,Medical Sciences,
Electron Microscopic Structure Determination,CELLBIO 333,FAS,Medical Sciences,
Cell Morphogenesis and Regulation,CELLBIO 339,FAS,Medical Sciences,
Mechanisms of Mammalian Cell Differentiation and Gene Expression,CELLBIO 343,FAS,Medical Sciences,
Protein Transport Across the Endoplasmic Reticulum Membrane,CELLBIO 345,FAS,Medical Sciences,
Transcriptional Regulation and Epigenetics in Breast and Prostate Cancer,CELLBIO 348,FAS,Medical Sciences,
Gene Silencing and Chromosome Structure,CELLBIO 349,FAS,Medical Sciences,
Regulated protein degradation,CELLBIO 353L,FAS,Medical Sciences,
Mechanisms of Tumor Metastasis,CELLBIO 358,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Intracellular Signaling Pathways in the Regulation of Cell Growth and Differentiation,CELLBIO 359,FAS,Medical Sciences,
Genetic Control of Apoptosis in Drosophila,CELLBIO 360,FAS,Medical Sciences,
Mechanism and Biology of Ubiquitin-like Protein Conjugation Cascades,CELLBIO 365,FAS,Medical Sciences,
Mitochondria in Aging and Metabolism,CELLBIO 366,FAS,Medical Sciences,
"Mitotic Kinases, Chromatin and Chromosome Segregation",CELLBIO 370,FAS,Medical Sciences,
Nutrient Sensing and Metabolic Control,CELLBIO 371,FAS,Medical Sciences,
Cytoskeletal Dynamics,CELLBIO 372,FAS,Medical Sciences,
Molecular Genetics of Cell Interaction in Development,CELLBIO 373,FAS,Medical Sciences,
Regulation of protein biosynthesis and quality control,CELLBIO 373L,FAS,Medical Sciences,
Cancer Genetics and DNA,CELLBIO 375,FAS,Medical Sciences,
Chemical Approaches to Cell Division and Cancer,CELLBIO 376,FAS,Medical Sciences,
"Cell polarity, organoids, cancer biology and therapeutics",CELLBIO 376L,FAS,Medical Sciences,
Bacterial Toxin Entry and Immunoglobulin Transport in Mucosal Epithelial Cells,CELLBIO 378,FAS,Medical Sciences,
BMP Signaling in Organogenesis,CELLBIO 379,FAS,Medical Sciences,
Cytoskeletal Mechanics of Blood Platelet Production,CELLBIO 380,FAS,Medical Sciences,
Internal and External Sensory Systems,CELLBIO 383,FAS,Medical Sciences,
Epigenetic Mechanisms and Genomic Integrity,CELLBIO 385,FAS,Medical Sciences,
Systemic metabolism and cancer,CELLBIO 386,FAS,Medical Sciences,
Calcium signaling in health and disease,CELLBIO 387,FAS,Medical Sciences,
Membrane: Cytoskeleton Interface in Morphogenesis and Tumorigenesis/Metastasis,CELLBIO 390,FAS,Medical Sciences,
"Computational & systems biology, statistical physics, cancer therapeutics",CELLBIO 392,FAS,Medical Sciences,
Nanocourses,CELLBIO 399,FAS,Medical Sciences,"Students can enroll for 4 credits for every 6 nanocourses completed through the HMS Curriculum Fellows Program. For questions about bundling and applying nanocourse credits,  contact dms_courses@hms.harvard.edu."
Supervised Reading and Research,CELTIC 91R,FAS,Celtic Languages & Literatures,Instruction and direction of reading on topics not treated in regular courses of instruction.
The Origins of Arthur,CELTIC 110,FAS,Celtic Languages & Literatures,"We explore the British Celtic origins of the better-known medieval Arthur of English and French romance. We will be reading, in translation from Latin and Middle Welsh, the earliest surviving texts featuring the figure of Arthur as well as the retinue of the legendary figures, such as Guinevere and Merlin, who are popularly associated with him. We try and get behind the familiar cast of characters, as arguably first found in Geoffrey of Monmouth’s History of the Kings of Britain, and t"
Celtic Mythology,CELTIC 137,FAS,Celtic Languages & Literatures,"Medieval Irish and Welsh texts reflect underlying story patterns, characters, and motifs that are rooted in pre-Christian tradition and in some cases witnessed in the archaeological evidence and in the ethnographic writings of ancient Greek and Roman authors.  We will examine these texts in translation and track the reconstruction of the “pagan past” undertaken by medieval Celtic writers, as well as the new mythologies they developed to suit the evolving ideological agenda of th"
Scotland the Brave: Gaelic Song and Society,CELTIC 188,FAS,Celtic Languages & Literatures,"Scotland the Brave: Gaelic Song and Society An exploration of Scottish Gaelic culture in a time of conflict and drastic change, this course examines authors’ preoccupations and creative impulses in the songs of the sixteenth to nineteenth centuries. Among the most renowned compositions in the Gaelic language, these songs respond poignantly to the transformation of Gaelic society from the ‘clan’ period to the Jacobite Risings, the Highland Clearances, and the Land Wars. Critical is"
Reading and Research,CELTIC 300,FAS,Celtic Languages & Literatures,
Teaching Modern Celtic Languages,CELTIC 302,FAS,Celtic Languages & Literatures,Any graduate student who is teaching a course in any modern Celtic language may register for 8 credits of Celtic 302 with the approval of the course head.
Teaching Celtic Literatures and Culture,CELTIC 303,FAS,Celtic Languages & Literatures,"Any Teaching Fellow in a course offered by the Celtic Department, other than courses in modern Celtic languages, may register for 4 credits of Celtic 303 per .2 teaching, with the approval of the course head(s)."
Teaching in Other Fields,CELTIC 304,FAS,Celtic Languages & Literatures,"Any PhD student in Celtic (or candidate for an Ad Hoc PhD whose home department is Celtic) who serves as Teaching Fellow for a course in another department, or in General Education, may register for 4 credits of Celtic 304 per .2 teaching, with the approval of the Director of Graduate Studies or the student's advisor.  The student may, if he or she prefers, register instead for credits in that department or program's teaching course."
Preparation of Doctoral Dissertation,CELTIC 305,FAS,Celtic Languages & Literatures,
Teaching Colloquium,CELTIC 350A,FAS,Celtic Languages & Literatures,An introduction to the craft of teaching in Celtic languages and literatures and related subject areas. Required of G2 students in Celtic; open to all graduate students in the department.
Intermediate Chaghatay,CHAGATAY 120A,FAS,East Asian Langs & Civ,"A continuation of Chaghatay B. This course aims to develop learners’ reading, transliterating, transcribing, and analyzing skills. Mainly focuses on reading the primary sources materials. These firsthand manuscript passages include selections from different time periods (fourteenth to early twentieth century), different places (both Eastern & Western Turkestan), and different genres (religious, historical, literature, legal, healing and medical etc.).This will provide learners with an"
"Quantum, Statistical, and Computational Foundations of Chemistry",CHEM 10,FAS,Chemistry & Chemical Biology,"An introduction to the fundamental theories of quantum mechanics and statistical mechanics and their role in governing the behavior of matter. The course begins with the quantum behavior of a single electron and develops the elements of the periodic table, the nature of the chemical bond, the bulk electronic and thermal properties of materials, and the thermodynamics of chemical reactions.   Applications include semiconductor electronics, solar energy conversion, medical imaging, and the st"
Principles of Organic Chemistry,CHEM 17,FAS,Chemistry & Chemical Biology,"An introduction to organic chemistry, with an emphasis on structure and bonding, reaction mechanisms, and chemical reactivity."
Organic Chemistry,CHEM 30,FAS,Chemistry & Chemical Biology,"Continuation of Chemistry 20 with a greater focus on complex chemical reactivity and challenging problem solving. Carbonyl chemistry and pericyclic reactions are covered in particular detail, using principles of stereochemistry, stereoelectronic theory, and molecular orbital theory as a foundation. Students develop skills in planning organic chemical syntheses and are given an introduction to organometallic chemistry."
Introduction to Research,CHEM 91R,FAS,Chemistry & Chemical Biology,"Reading and laboratory work related to one of the research projects under way in the department. Open to a limited number of chemistry concentrators who are accepted as research students. To be eligible to enroll, you must have a Harvard-affiliated principal investigator agree to mentor you for the semester.  For this reason, students must reach out to labs ahead of the start of the semester.  Before registering for the course, please obtain written permission of the professo"
Introduction to Research - Junior Year,CHEM 98R,FAS,Chemistry & Chemical Biology,"Research under the direction of, or approved by, a member of the faculty of the Department of Chemistry. This is a junior tutorial. Open to a limited number of chemistry concentrators who are accepted as research students. To be eligible to enroll, you must have a Harvard-affiliated principal investigator agree to mentor you for the semester.  For this reason, students must reach out to labs ahead of the start of the semester.  Before registering for the course, please obtain"
Tutorial - Senior Year,CHEM 99R,FAS,Chemistry & Chemical Biology,"Research under the direction of, or approved by, a member of the faculty of the Department of Chemistry. Open to a limited number of chemistry concentrators who are accepted as research students. To be eligible to enroll, you must have a Harvard-affiliated principal investigator agree to mentor you for the semester.  For this reason, students must reach out to labs ahead of the start of the semester.  Before registering for the course, please obtain written permission of the profe"
Advanced Organic Chemistry,CHEM 105,FAS,Chemistry & Chemical Biology,"Advanced reactivity principles in organic chemistry.  Students learn 1) fundamentals of structure, bonding, and reaction energetics, 2) to identify and propose mechanisms for common organic, organometallic, and catalytic reactions, along with experiments to test those mechanisms; 3) to evaluate the factors controlling rate and selectivity in organic reactions; 4) to understand and analyze the current organic chemistry literature. The overarching goal of this course is to provide students wi"
The Chemistry and Biology of Therapeutics,CHEM 110,FAS,Chemistry & Chemical Biology,"This course will cover the chemical and biological principles that govern small molecule therapeutics.  We will discuss small molecule conformational analysis, chemical forces that drive small molecule-protein interactions, and small molecule binding to proteins to affect disease states.  We will also discuss how protein targets are identified and the frontiers of modern small molecule therapeutics.  Protein targets include, but are not limited to kinases, proteases, GTPases, scaf"
Experimental Inorganic Chemistry,CHEM 145,FAS,Chemistry & Chemical Biology,"Chemistry 145 is a laboratory course designed to introduce students to inorganic laboratory synthesis, purification, and characterization techniques. Students will learn proper and safe techniques for handling and storing air, light, water-sensitive compounds, including the use of an inert-atmosphere glovebox and a Schlenk line. Synthesized compounds will be analyzed by various methods including infrared (IR), Electron Paramagnetic Resonance (EPR), paramagnetic and Nuclear Magnetic Resonance (NM"
Materials Chemistry,CHEM 156,FAS,Chemistry & Chemical Biology,"This course will survey topics in materials chemistry, emphasizing how atomic-level interactions dictate the bulk properties of matter.  Basic chemical principles will be applied to discuss the design, synthesis, and characterization of inorganic and organic materials.  Specific topics will include: electronic, optical, and magnetic properties of inorganic solids; synthesis and characterization of nanomaterials; microporous solids; gas sorption; and biomaterials.  The primary"
The Quantum World,CHEM 160,FAS,Chemistry & Chemical Biology,"Quantum mechanics is the fundamental principle of the microscopic world. Quantum mechanics allows us to understand the motion of electrons, atoms and molecules. Only with such understanding, we can rationally design and engineer quantum materials, in order to realize quantum technologies such as quantum information, quantum sensing, and quantum computation. In this class, you will learn the fundamental postulates of quantum mechanics and their implications for the structure and behavior of"
"The Chemistry, Biology, and Societal Implications of Genome Editing",CHEM 177,FAS,Chemistry & Chemical Biology,"The life sciences and medicine are undergoing a revolution stimulated by breakthrough advances in genome editing technologies.  These technologies, including those enabled by CRISPR systems, enable researchers and physicians to modify target DNA sequences in the genomes of living cells, including those in plants, animals, and human patients.  This class will overview the chemistry and biology underlying recent and current genome editing agents.&n"
Advanced Engineering Quantum Mechanics,CHEM 200,FAS,Chemistry & Chemical Biology,"The focus of this course is on the basic principles involved in the control of quantum systems and assumes knowledge of undergraduate quantum mechanics. Schrödinger, Heisenberg and interaction representations. Eigenvalue and time dependent problems, wave packets, coherent states. Harmonic oscillators. Quantization of the EM field. Tunneling; periodic potentials; Bloch’s theorem. Perturbation theory. WKB approximation. Transfer matrix methods. Variational methods. Rotation generators and angular"
Quantum Mechanics for Physical Chemistry,CHEM 242,FAS,Chemistry & Chemical Biology,"This course is designed to develop a familiarity and intuition for quantum mechanics, both time dependent and time independent.  Emphasis on applications to spectroscopy and dynamics of large molecules, scattering theory, ultracold collisions, classical and semiclassical methods and their connection to quantum mechanics, decoherence theory and quantum measurement theory, and more topic to be determined by circumstance and student interests."
Advanced Statistical Mechanics: Frontiers in Research,CHEM 246,FAS,Chemistry & Chemical Biology,"This class is for students who have undergraduate-level background in statistical mechanics but would like to explore how statistical mechanics helps to expand frontiers of research in modern biophysical chemistry, systems biology and materials science. The course includes regular lectures and journal club style in-depth discussion of current literature. The course starts with introductory lectures with emphasis on statistical mechanics of complex multi-particle systems including theory of phase"
Research and Reading,CHEM 300,FAS,Chemistry & Chemical Biology,Individual work under the supervision of members of the Department.
Scientific Teaching and Communications: Practicum,CHEM 301HFA,FAS,Chemistry & Chemical Biology,This course will teach graduate students how to communicate scientific concepts in the classroom. Students will focus on becoming effective teachers in discussion sections and in the laboratory. The course will emphasize hands-on experience in teaching and explaining scientific concepts. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit.
Introduction to Programming,BST 273,HSPH,Biostatistics,"This is an introduction course on programming. Students will learn programming skills and apply to solve common problems in data analysis. Computational programming techniques will be introduced along with statistical methods. The format of the course contains lectures, hands-on computer labs, and practical projects. The official programming language for this class is Python.Course Note: Lab or section times to be announced at first meeting."
Introductory Genomics & Bioinformatics for Health Research,BST 280,HSPH,Biostatistics,"This survey course is intended for a wide audience and will provide an introduction to genomics-inspired techniques and bioinformatics tools, including genome sequencing, DNA microarrays, proteomics, and publicly available databases and software tools.Course Note: Lab or section times to be announced at first meeting.Course Prerequisites: ID201 or [BST201 or (BST202 & 203) or BST206 and (EPI201 or EPI500)], or permission of instructor. Courses may be taken concurrently."
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study,BST 300,HSPH,Biostatistics,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.Important Information: In order to enroll in an Independent Study course you must submit a proposal form, which will be reviewed by the department and faculty memb"
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Independent Study - CPT,BST 305,HSPH,Biostatistics,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These studies are open to all students who wish to go beyond the content of regular courses.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Teaching Assistant,BST 311,HSPH,Biostatistics,Work with members of the department in laboratory instruction and the development of teaching materials.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Quantitative Genomics Lab Rotation,BST 316,HSPH,Biostatistics,Only available for students in the Interdisciplinary Research Training in Biostatistics and Computational Biology programComplete lab rotation with members of the department in quantitative genomics.
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
Biostatistics Master’s Thesis,BST 325,HSPH,Biostatistics,"Limited to students in the Biostatistics SM60 program, this ordinally graded thesis will include data analyses, data interpretation, and comparison of alternative methods, and will culminate in the student's written Master's thesis and oral presentation."
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
CBQG Collaborative Research Thesis,CBQG 325,HSPH,Biostatistics,"This course provides students with valuable real-world experience doing research in Boston's premier biomedical institutions. Students are mentored by a member of the program faculty or other affiliated quantitative scientist working in clinical and epidemiological research projects at HSPH, Harvard University, or Harvard-affiliated hospitals.The Collaborative Research Thesis will normally be undertaken during the fourth (spring) semester, after coursework has been completed. It will be presente"
StudioLab on Creativity and Entrepreneurship,CE 10,FAS,The Lemann Prog on Creativity,"Can we enact change to create a “better normal""? Using an interdisciplinary exploration of the liberal arts, CE 10 helps facilitate your development and application of transformative ideas to tackle today’s societal challenges, such as racial injustice, climate change, and strained health and well-being. You will work to develop actionable solutions to pressing issues leveraging the UN Sustainable Development Goal (UN SDG) framework. You will learn to identify and holistically analyze a pro"
Nanocourses,CELLBIO 300QC,FAS,Medical Sciences,"Students can enroll for 2 credit units for every three nanocourses completed through the HMS Curriculum Fellows Program. For questions about bundling and applying nanocourse credits, contact dms_courses@hms.harvard.edu."
Advanced Experimental Design for Biologists,CELLBIO 302QC,FAS,Medical Sciences,"This course will focus on both the theory and practice of experimental design. The emphasis is on project planning and vetting, individual experimental design, and trouble-shooting. Special focus will be placed on methods to avoid experimental bias, and potential sources of inappropriate interpretation. Also the importance of system validation is especially emphasized."
Chromatin Dynamics in metabolism and DNA repair,CELLBIO 306,FAS,Medical Sciences,
Teaching 100: The Theory and Science of Teaching,CELLBIO 306QC,FAS,Medical Sciences,"For many graduate students and medical educators, teaching will be part of their career, whether as mentoring, formal classroom teaching, or teaching in the hospital. In addition, the theory and research evidence accumulating in the disciplines of cognitive psychology, neuroscience, and from STEM classrooms, has turned the question of “How do we best teach science and medicine?” into its own scientific discipline. The Theory and Science of Teaching focuses on understanding why certai"
Cell-Cell Signaling in Neural Development and Regeneration,CELLBIO 307,FAS,Medical Sciences,
Mechanisms of Vertebrate Hedgehog Signaling,CELLBIO 310,FAS,Medical Sciences,
Mitochondrial redox control over pathophysiology,CELLBIO 310L,FAS,Medical Sciences,
Cardiovascular Signal Transduction,CELLBIO 311,FAS,Medical Sciences,
Molecular Mechanisms of Transcriptional Control,CELLBIO 312,FAS,Medical Sciences,
Systems Biology of Mammalian Signal Transduction,CELLBIO 313,FAS,Medical Sciences,
Quantitative Imaging: Making measurements with fluorescence microscopy,CELLBIO 313QC,FAS,Medical Sciences,"This course provides an overview of quantitative fluorescence microscopy methods, with a focus on generating reliable and reproducible measurements from imaging data. Key topics include resolution, signal-to-noise ratio, sampling, and the use of fluorophores and fluorescent proteins in imaging applications for biomedical research. The curriculum covers digital detectors, imaging of live specimens, and advanced techniques such as confocal and quantitative phase microscopy. It also covers the fund"
Molecular Biology of Extracellular Matrix,CELLBIO 314,FAS,Medical Sciences,
Mechanism and Function of Intracellular Protein Turnover,CELLBIO 316,FAS,Medical Sciences,
Molecular Biology of Cell Growth Regulation and Transformation,CELLBIO 318,FAS,Medical Sciences,
Signaling Pathways in Cancer Cell Biology,CELLBIO 319,FAS,Medical Sciences,
Neuronal Pathfinding and Synaptogenesis,CELLBIO 321,FAS,Medical Sciences,
Molecular and Cellular Regulators of Cancer Progression,CELLBIO 325,FAS,Medical Sciences,
Signal Transduction During Early Development,CELLBIO 326,FAS,Medical Sciences,
Single-Molecule Biology and Visualization of Cellular Dynamics,CELLBIO 328,FAS,Medical Sciences,
The Ubiquitin-Proteasome Pathway,CELLBIO 329,FAS,Medical Sciences,
Mass Spectrometry and Proteomics,CELLBIO 332,FAS,Medical Sciences,
Electron Microscopic Structure Determination,CELLBIO 333,FAS,Medical Sciences,
Cell Morphogenesis and Regulation,CELLBIO 339,FAS,Medical Sciences,
Mechanisms of Mammalian Cell Differentiation and Gene Expression,CELLBIO 343,FAS,Medical Sciences,
Protein Transport Across the Endoplasmic Reticulum Membrane,CELLBIO 345,FAS,Medical Sciences,
Transcriptional Regulation and Epigenetics in Breast and Prostate Cancer,CELLBIO 348,FAS,Medical Sciences,
Gene Silencing and Chromosome Structure,CELLBIO 349,FAS,Medical Sciences,
Regulated protein degradation,CELLBIO 353L,FAS,Medical Sciences,
