"school","subject","course_code","course_name","credits","description"
"School of Humanities and Social Sciences","Communication and Culture","CMCL-C 594","Communication and Conflict Management in Organizations","3 cr.","Online Collaborative Course. This seminar-format course examines the communication exchanges that facilitate conflict management within organizational contexts. Specific attention is focused on negotiation and mediation; however the communication of alternative means of conflict and dispute resolution are also discussed. In addition, students are introduced to methods for assessing conflict interaction in organizations."
"School of Humanities and Social Sciences","Communication and Culture","CMCL-C 606","Media Criticism","3 cr.","Online Collaborative Course. Study of the main schools and methods of media criticism."
"School of Humanities and Social Sciences","Communication and Culture","CMCL-C 610","Identity and Difference","3 cr.","Online Collaborative Course. Political, social, and cultural dimensions of identity and difference. Interrogates the production of marginal and dominant identities (e.g. racial, sexual, colonial) and the emergence of new forms of identification."
"School of Humanities and Social Sciences","Communication and Theatre","COMM-C 510","Health Provider-Consumer Communication","3 cr.","Online Collaborative Course. This course is designed to teach communication skills and practices related to health care talk, by examining transactional communication within health care contexts. Topics covered in this course focus directly upon interpersonal dialogue between health care providers and patients."
"School of Humanities and Social Sciences","Communication and Theatre","COMM-C 528","Group Communication and Organizations","3 cr.","Online Collaborative Course. This seminar-format course examines the ways in which informal groups and communication networks facilitate a variety of organizational processes (i.e. socialization, diffusion of innovation). Emphasis is placed on developing theoretical understanding of informal groups in organizations as well as on methodological issues involved in studying communication networks in organizations."
"School of Humanities and Social Sciences","Communication and Theatre","COMM-C 544","Advanced Relational Communication","3 cr.","Online Collaborative Course. An introductory course in interpersonal communication. Applications of communication theory/research in such areas as relational culture and relationship development. Includes a scholarly project on a real relationship, and applications of research to areas such as pedagogy and couple/family therapy."
"School of Humanities and Social Sciences","Communication and Theatre","COMM-C 582","Advanced Intercultural Communication","3 cr.","Online Collaborative Course. Exploration of issues related to the intercultural communication process. Consideration of the role of social, cultural, and historical contexts in intercultural interactions. Examination of the relationship between culture and communication from the socio-psychological, interpretive, and critical perspectives."
"School of Humanities and Social Sciences","Communication and Theatre","COMM-C 593","Family Communication","3 cr.","Online Collaborative Course. Applications of theory and research on the role of communication in creating and maintaining marriages/committed couples and families."
"School of Humanities and Social Sciences","Speech","SPCH-S 500","Introduction to Communication Theory","3 cr.","Online Collaborative Course. Bibliographical resources, methods of research and professional writing in speech."
"School of Humanities and Social Sciences","Speech","SPCH-S 627","Studies in Cross-Cultural Communication","3 cr.","Online Collaborative Course. The study of cross-cultural communication in theory and practice."
"School of Humanities and Social Sciences","Criminal Justice and Homeland Security","CJHS-J 519","Probation and Parole","3 cr.","This course examines the historical and contemporary use of corrections in the community with a special focus on the empirical evidence of the effectiveness of community-based practices. The issues facing community corrections will be explored and critically discussed."
"School of Humanities and Social Sciences","Criminal Justice and Homeland Security","CJHS-J 594","Introduction to Research Methods","3 cr.","Research methodology in criminal justice. Research design, scientific methods, quantitative/qualitative applications, ethical questions, and the role of the criminal justice researcher."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 501","Proseminar: Criminal Justice I","3 cr.","Online Collaborative Course. A pro-seminar to provide an intensive introduction to the basic areas of Criminal Justice."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 502","Proseminar: Criminal Justice II","3 cr.","Online Collaborative Course. Theories of crime and delinquency."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 512","Corrections","3 cr.","Online Collaborative Course. Reviews historical and philosophical bases of correctional system and examines components of system (community corrections, jails and prisons). Focuses on the structure and functions of the corrections system with particular attention to the role of broader social forces on the development and operation of the system."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 515","Police in Society","3 cr.","Online Collaborative Course. Covers the bases and impacts of recent changes in U.S. policing, particularly with respect to community-oriented policing. Changes are analyzed in terms of the organizational and political contexts in which they occur as well as from historical and cross-cultural perspectives."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 594","Introduction to Research Methods","3 cr.","Online Collaborative Course. Research methodology in criminal justice. Research design, scientific methods, quantitative/qualitative applications, ethical questions, and the role of the criminal justice researcher."
"School of Humanities and Social Sciences","Criminal Justice","CJUS-P 595","Data Analysis in Criminal Justice","3 cr.","Online Collaborative Course. Data analysis applied to criminal justice data, including measurement, tables, graphs, probability, nonparametric statics, matrix algebra, correlation and regression and tests of significance."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 502","Research Methods in Criminal Justice and Public Policy","3 cr.","Online Collaborative Course. This course examines research techniques necessary for systematic analysis of the criminal justice and public safety systems, offenders' behavior, crime trends, public safety issues and program effectiveness. The course requires that students actively pursue such techniques as conducting interviews, coding data, and designing studies."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 524","Emergency Management","3 cr.","Online Collaborative Course. This course explores the values underlying effective emergency management principles and policies in a democratic society. Topics include: hazard identification, effective planning, stakeholder and public communication, examination of federal, state, and local agency roles and critical partnerships, preparation for, mitigation of, and response to hazards."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 531","National and Homeland Security in America","3 cr.","Online Collaborative Course. This course addresses federal policy and management issues related to preventing, mitigating, preparing for, responding to, and recovering from major catastrophic events, both natural and man-made, including acts of terrorism. Topics include emergency management, resource and response infrastructures, public health issues, best practices, crisis communications, and business and governmental continuity."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 550","Topics in Criminal Justice and Public Safety","1-3 cr.","Online Collaborative Course. Selected topics in criminal justice and public safety."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 581","Public Safety Law","3 cr.","Online Collaborative Course. Survey of the historical development of Anglo-Amercian law of public safety, including criminal law, civil remedies, administrative regulation of risk, and recent developments in employee and consumer safety.Emphasis on understanding legal theory and practice as basis for management decisions.Comparison of jurisprundential viewpoints and other disciplinary approaches to public safety programs."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 582","Criminal Justice Systems","3 cr.","Online Collaborative Course. Detailed examination of operations of police, courts and correctional agencies.Â  Study of management problems in system response to criminal activity.Â  Development of understanding of interrelationships among system components.Â  Examination of major policy issues in criminal justice with emphasis on decision-making techniques."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 586","Public Safety in the United States","3 cr.","Online Collaborative Course. Overview of criminal justice and public safety. Definitions of public safety and identification of major components. Functional description of major public safety agencies. Discussion of basic issues in public safety. Management in public safety system."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 587","Criminal Violation: Problems and Characteristics","3 cr.","Online Collaborative Course. Commonalities in criminal behavior. The criminal act: circumstances leading to commission, subsequent perceptions of them. Family, community, and other environments affecting criminal behavior. Behavioral consequences of processes of crime control."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-J 666","Criminal Justice Policy and Evaluation","3 cr.","Online Collaborative Course. An empirical assessment of the foundations of contemporary and historical attempts to control or prevent crime. Major policies, programs, and strategies are reviewed and critically analyzed. Specific topics and policies will vary in this capstone seminar."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-V 506","Statistical Analysis For Effective Decision Making","3 cr.","Online Collaborative Course. Non-calculus survey of concepts in probability, estimation, and hypothesis testing. Applications of contingency table analysis; analysis of variance, regression, and other statistical techniques. Computer processing of data emphasized."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-V 560","Public Budgeting and Finance","3 cr.","Online Collaborative Course. The fiscal role of government in a mixed economy, sources of public revenue and credit; administrative, political, and institutional aspects of the budget and the budgetary process; problems and trends in inter-governmental fiscal relations."
"School of Humanities and Social Sciences","Pubic and Environmental Affairs","SPEA-V 561","Public Human Resources Management","3 cr.","Online Collaborative Course. Analysis of the structure, operation, and design of public personnel systems, including government agencies and public enterprise.Â  Relationship between public policy and personnel concepts, values and operation considered."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-L 503","Teaching of Literature in College","2-4 cr.","Classroom teaching of literature in the light of current approaches."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-L 506","Introduction to Methods of Criticism and Research","4 cr.","Online Collaborative Course. The conditions and assumptions of studying English, with emphasis on criticism and research on a culturally and historically diverse range of texts."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-L 553","Studies in Literature","3 cr.","Variable topics at the graduate level related to the study of literature."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-L 643","Readings in Colonial and Postcolonial Literatures","4 cr.","Study of literature within the historical, cultural and political context of European colonialism and anti- or post-colonial resistance. Topics might include the role of literature in the formation of nations and national consciousness, literatures of particular nations, or postcolonial theory."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-L 646","Readings in Media/Literature/Culture","4 cr.","Online Collaborative Course. Introductory study of issues in literary editing, textual culture, or digital humanities."
"School of Humanities and Social Sciences","Graduate English Courses","ENG-W 509","Writing and Literary Studies","4 cr.","Online Collaborative Course. This is the core course in the writing and literacy track of the English master's program. Students will read, analyze, discuss, and write about key issues in writing and literacy, laying a foundation for further study. Special emphasis will be placed on research methods in this field."
"School of Humanities and Social Sciences","Graduate History Courses","HIST-T 590","Research Seminar in History","3 cr.","This course serves an intensive historical research and writing seminar that seeks to provide graduate students with the structure and support develop a substantial piece of scholarship. Students will also develop and practice other scholarly skills such oral and written presentations and offering effective and collegial critiques of scholarship."
"School of Humanities and Social Sciences","Graduate History Courses","HIST-T 510","Historical Methodology","3 cr.","Online Collaborative Course. This course covers an intensive, multi-media investigation of what artifacts comprise history and how historians now devise various methods of inquiry driven by incisive research questions to explain and interconnect those artifacts. This course will look at surveys of current research methods and problems, especially in U.S. history, to illuminate the development of history as a rigorous discipline of inquiry."
"School of Humanities and Social Sciences","Graduate History Courses","HIST-T 520","Teaching College History","3 cr.","On' This course prepares high-school teachers to teach college-level history. It contains three aspects: What to teach, how to teach, and how to assess both teaching and learning. The course will contain three aspects: content knowledge of history, the concept and skills of historical thinking, and development of an assessment plan."
"School of Humanities and Social Sciences","Graduate History Courses","HIST-T 560","US and the World - Comparative History","3 cr.","Online Collaborative Course. History T560 considers themes from the American past connecting it to the wider world. If slavery, for example, is a principal element of our history, how does it compare with the history of other regions? To understand such topics, this course will examine studies in comparative and transnational history."
"School of Humanities and Social Sciences","Graduate History Courses","HIST-T 590","Historical Seminar","3 cr.","Online Collaborative Course. This course serves an intensive historical research and writing seminar that seeks to provide graduate students with the structure and support develop a substantial piece of scholarship. Students will also develop and practice other scholarly skills such oral and written presentations and offering effective and collegial critiques of scholarship."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-P 570","Introduction to the Study of Politics","3 cr.","Online Collaborative Course. This course is an introductory overview of the discipline of political science and its place in the social sciences.Â  It covers the major subfields of Political Science and the central questions that each subfield addresses."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-Y 567","Public Opinion: Approaches and Issues","3 cr.","Online Collaborative Course. This course is an exploration of the role, application, and measurement of public opinion. Special attention is given to measurement of opinion as it impacts decision-making by both the public and various elements of societal leadership."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-Y 580","Research Methods in Political Science","3 cr.","Online Collaborative Course. Foundations of political research; alternative research strategies; problems of measuring political variables; design of research to test hypotheses."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-Y 657","Comparative Politics","3 cr.","Online Collaborative Course. (The focus may be on one or more political systems within regions indicated.) Illustrative topics: political elites and social stratification, comparative administration and public policy, cross-national analysis, West Europe, East Europe, comparative Communist systems, Russia, Africa, Middle East, Latin America, East Asia, comparative development strategies."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-Y 661","American Politics","3 cr.","Online Collaborative Course. Illustrative topics: the Presidency, legislative process, political behavior, political parties and representation, political socialization, comparative state politics, urban politics, interest group politics."
"School of Humanities and Social Sciences","Graduate Political Science Courses","POLS-Y 675","Political Philosophy","3 cr.","Online Collaborative Course. Illustrative topics: analysis of political concepts; political theory of the Enlightenment; 19th century political thought; welfare state; theory and practice; Marxist theory."
"School of Humanities and Social Sciences","Liberal Studies","LBST-D 501","Humanities Seminar","3 cr.","Online Collaborative Course. Interdisciplinary graduate seminar in the humanities. Topics and course requirements vary from semester to semester."
"School of Humanities and Social Sciences","Liberal Studies","LBST-D 502","Social Sciences Seminar","3 cr.","Online Collaborative Course. Interdisciplinary graduate seminar in the social sciences. Topics and course requirements vary from semester to semester.Â"
"School of Humanities and Social Sciences","Liberal Studies","LBST-D 503","Science Seminar","3 cr.","Online Collaborative Course. Interdisciplinary graduate seminar in the natural sciences. Topics and course requirements vary from semester to semester."
"School of Humanities and Social Sciences","Liberal Studies","LBST-D 510","Introduction to Graduate Liberal Studies","3 cr.","Online Collaborative Course. A comprehensive introduction to graduate liberal studies. Explores the cultures of the humanities, social sciences, and sciences. Investigates interdisciplinary methodologies. Offers strategies for graduate-level reading, research, and writing for other publics."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-G 522","Counseling Theories","3 cr.","This course analyzes and evaluates mental health counseling theories while focusing on social/environmental impacts, research, human diversity, gender, and substance-related issues. This course facilitates the student's ability to create necessary and sufficient conditions for therapeutic change."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-G 532","Group Counseling","3 cr.","This course explores the practical and theoretical concepts of group theories, dynamics, process, and stages of group counseling and integrates interpersonal communication styles, fundamental group strategies; group facilitation along with clinical training/skills building that will prepare future group leaders. Special attention is given on the use of group therapy with addictive/ substance-related disorders. This course incorporates laboratory experiences and students are required to explore interpersonal factors as they contribute to counseling skills and techniques. Current issues, controversies, and ethics in group counseling will be examined."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-G 550","Internship in Mental Health Counseling","1-6 cr.","P: Consent of Instructor. This course expands the experiential training students received in practicum. The course provides a continuing opportunity to apply theory to practice in mental health counseling under direct clinical supervision. Students will engage in a variety of professional activities performed by regularly employed counseling professionals in the setting."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-G 552","Career Counseling and Development","3 cr.","This course evaluates theories, techniques, and information resources for enhancing vocational development across the lifespan; and facilitating client problem solving and decision-making related to maintaining balance among work, family, and leisure roles. Students will develop a knowledge base concerning objective and projective methods for exploring and assessing career client interests, skills, and values that inform clients making reasoned career and lifestyle decisions. Current issues/controversies related to ethics, sociocultural factors, maladaptive workplace behaviors (e.g., addiction, sexual harassment, etc.), and individual differences in career counseling will be examined."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-G 647","Advanced Internship","1-3 cr.","This course expands the training students received in internship (PSY-G 550) by providing students with supervised training that focuses and develops competencies in various areas of mental health counseling. This course satisfies the state licensure requirement for an advanced internship for Licensed Mental Health Counselors."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-I 501","Multicultural Counseling","3 cr.","P: graduate standing This course explores the role of increasing diversity in the U.S. population and how it will affect the delivery of mental health services. The focus of the course is on different ethnic and minority groups, their customs and values, and the impact that these cultural factors have on the utilization of psychological services."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-I 669","Psychological Assessment II","3 cr.","P: PSY-I 664 and consent of instructor Presentation of psychometric foundations and the basic prediction model in personality and symptom assessment. Coverage of the history of personality, symptoms of psychopathology, assessment, and supervised clinical practice in personality and symptom assessment and report writing."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 502","Developmental Psychology","3 cr.","An advanced introduction to the theory and experimental analysis of ontogenetic processes. Special emphasis on human development."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 511","Seminar in Professional Skills, Legal Issues, and Ethics","3 cr.","This course provides a critical analysis of professional issues and the ethical and legal standards in the practice of psychology. Traditional and emerging practice areas will be discussed. Topics such as professional code of ethics, legal restrictions, licensure, prescription drug privileges, managed care, and treatment efficacy research will be explored. Ethical standards and decision-making will be studied in the context of professional practice."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 535","Introduction to Addictions Counseling","3 cr.","This course serves as an introduction to the field of counseling and human development services, with a special focus on addictions."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 537","Program Evaluation","3 cr.","To provide an overview of data-based strategies for assessment, planning, implementation will be presented along with illustrative case examples: needs assessment, process evaluation, systems analysis, experimental-outcome evaluation, adversarial evaluation. Required for all M.A. in Applied Psychology students whose concentration is social/community."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 540","Principles of Psychological Assessment and Prediction","3 cr.","P: PSY-P 553, PSY-P 554 or equivalent Concepts of validity and reliability. Diagnostic devices viewed as bases for decisions. Classification. Comparison of methods of making predictions about individuals."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 563","Foundations of Mental Health Counseling","3 cr.","This course explores the foundations and contextual dimensions of mental health counseling. Course material will include theoretical underpinnings of mental health counseling, the counselorâs role in diagnosis and intervention selection, and the contemporary trends in mental health counseling."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 624","Principles of Psychopathology","3 cr.","P: graduate standing and consent of instructor Description of the phenomena of psychopathology and the principles associated with their classification."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 632","Introduction to Clinical Interventions","3 cr.","Systematic integration of theory, research, technique, and evaluation. Based on the available research literature, time-limited and structured interventions for specific clinical problems are designed, administered, and evaluated."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 657","Topical Seminar","2 cr.","Topics of current interest, with intensive critical examination of appropriate literature. Different staff member in charge each semester."
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 690","Practicum in Clinical Interventions","2 cr.","P: consent of instructor. 100 service hours"
"School of Humanities and Social Sciences","Graduate Psychology Courses","PSY-P 736","Child Psychopathology","3 cr.","Seminar on serious behavior disturbances of children. Comparisons with development of normal child interacting with family."
"School of Nursing","Graduate Nursing Courses","NURS-D 615","Performance Improvement and Patient Safety in Health Systems","3 cr.","This course prepares students to lead the development, implementation, and evaluation of performance improvement and patient safety initiatives for patient populations across a variety of health systems. Performance improvement science, quality and safety theories, selection of appropriate process and outcomes measures, and principles of organizational learning are emphasized."
"School of Nursing","Graduate Nursing Courses","NURS-F 570","Advanced Health Assessment Across the Lifespan","3 cr.","This course enables students to develop advanced practice nursing skills in individual health assessment of infants, children, adults, and aging people.Â  In addition, students develop skills in family and community assessment. (Instructor consent required)"
"School of Nursing","Graduate Nursing Courses","NURS-F 578","Primary Health Care of Families","6 cr.","(2 cr. didactic, 4 clinical for FNP majors [375 practice hours at a medical practice for the semester to be scheduled based on practice site availability])Â  This course enables the FNP student to develop a practice base for clinical decision making in the assessment and management of health care of families.Â  The course includes identification of health needs, nursing interventions for the prevention of illness, and health promotion. (Admission to the FNP program required)"
"School of Nursing","Graduate Nursing Courses","NURS-F 580","Primary Care I:  Acute Illness Processes","3 cr.","(3 cr. hrs.--2 didactic, 1 clinical for FNP majors [75 practice hours at a medical practice for the semester to be scheduled based on practice site availability])Â  This course examines theory-guided, evidence-based advanced nursing practice approaches to health promotion and common acute illness processes of individuals across the lifespan within primary care.Â  Individual health-illness processes are applied within the context of family and community. (Admission to the FNP program required)"
"School of Nursing","Graduate Nursing Courses","NURS-F 581","Primary Care II:  Acute and Stable Chronic Illness Processes","3 cr.","(3 cr. hrs.--2 didactic, 1 clinical for FNP majors [75 practice hours at a medical practice for the semester to be scheduled based on practice site availability])Â  This course examines theory-guided, evidence-based advanced nursing practice approaches to acute and stable chronic illness processes of individuals across the lifespan within primary care, with a focus on increasingly complex health problems.Â  Individual health-illness processes are applied within the context of health promotion for the family and community. (Admission to the FNP program required)"
"School of Nursing","Graduate Nursing Courses","NURS-F 582","Primary Care III:  Chronic and Complex Illness Processes","3 cr.","(3 cr. hrs.--2 didactic, 1 clinical for FNP majors [75 practice hours at a medical practice for the semester to be scheduled based on practice site availability])Â  This course examines theory-guided, evidence-based advanced nursing practice approaches to chronic and complex illness processes of individuals across the lifespan within primary care.Â  Individual health-illness processes are applied within the context of health promotion for the family and community. (Admission to the FNP program required)"
"School of Nursing","Graduate Nursing Courses","NURS-I 630","Introduction to Nursing Informatics","3 cr.","This course provides an introduction to the field of nursing informatics, the current state of the science, and major issues for research, development, and practice. It includes clarification of the concepts of nursing, technology, and information management. In addition, the course also explores the theoretical underpinnings of nursing informatics and the practice of nursing informatics."
"School of Nursing","Graduate Nursing Courses","NURS-L 530","Legal Environment of Health Care","3 cr.","This course further develops the ability to analyze, synthesize, and utilize knowledge related to the complex and interdependent legal environment of health care. This is accomplished through a variety of experiences including formal lecture, seminars, clinical experiences, and independent study."
"School of Nursing","Graduate Nursing Courses","NURS-L 574","Administrative Management","3 cr.","This course encompasses concepts, theories, perspectives, and research relevant to administration of nursing services. Emphasis on management principles and organizational processes related to patient care delivery systems. Examines contemporary literature in nursing and business."
"School of Nursing","Graduate Nursing Courses","NURS-L 579","Nursing Administration Practicum","1-6 cr.","This course is a practicum experience designed for synthesis of theory and practice. Agency observation and activities are independently planned. Includes Web-supported communication. P: Must complete all core and administration track courses except NURS-RÂ 590 Scholarly ProjectÂ which can be taken concurrently to after completion of the practicum."
"School of Nursing","Graduate Nursing Courses","NURS-L 671","Financial Management","3 cr.","This course is designed to inform nurses of the concepts and principles related to budget preparation and fiscal management of a nursing unit or division. Constructs to be examined include the following: methods of obtaining personnel input, estimating costs, and cost justification."
"School of Nursing","Graduate Nursing Courses","NURS-N 502","Nursing Theory","3 cr.","This course focuses on evaluating the factors and issues influencing the development of theory in nursing. Theoretical terminology and criteria for the evaluation of theories are examined. Linkages applied between theory, practice, and research are explored."
"School of Nursing","Graduate Nursing Courses","NURS-N 504","Leadership for Advanced Nursing Practice","3 cr.","This course is designed to address organizational and leadership knowledge and skills required to advance health outcomes and influence policy. Key leadership issues and challenges affecting all advanced nursing practice roles will be examined within the context of developing leadership and advocacy skills."
"School of Nursing","Graduate Nursing Courses","NURS-N 610","Advanced Healthcare Quality and Safety Concepts","3-4 cr.","This course is based on a practice analysis of healthcare quality and safety professionals. It is designed to build on earlier courses in the MSN curriculum. Major course topics include organizational leadership; regulatory, accreditation, and external recognition; staff education and training; healthcare analytics; advanced performance improvement; and patient safety."
"School of Nursing","Graduate Nursing Courses","NURS-N 611","Advanced Healthcare Leadership Concepts","2 cr.","This course is based on a practice analysis of advanced healthcare leadership concepts. Major course topics include advancing Leadership and Management, Innovation, Healthcare Environment, Program Evaluation and Research, Regulatory Issues, and Population Health."
"School of Nursing","Graduate Nursing Courses","NURS-P 505","Population Health","4 cr.","This course is an overview of population health practices addressing the prioritized healthcare needs of populations, emphasizing vulnerable populations and social determinants of health, focusing on improving access and quality of care. An introduction to population health, clinical prevention/health promotions, current clinical practices, and health systems/policy will also be explored."
"School of Nursing","Graduate Nursing Courses","NURS-R 500","Nursing Research","3 cr.","This course provides a survey of research in nursing, including critique of research literature, research designs, sampling, data collection and measurement strategies, relation of research and theory, development of researchable problems, and theory utilization."
"School of Nursing","Graduate Nursing Courses","NURS-R 505","Measurement and Data Analysis","3 cr.","This course analyzes principles and application of data analysis, descriptive, inferential, and multivariate statistics. Considers the research purpose and phenomenon under study as determinants of measurement techniques and data analysis. The purpose, assumptions, and limitations of statistics will be presented. Tools and techniques for data presentation and analysis will be utilized. Introductory Item Response Theory will be explored. These topics will be considered from the perspective of research in nursing and health care."
"School of Nursing","Graduate Nursing Courses","NURS-R 590","Scholarly Project","3 cr.","This course is a guided experience in identifying a researchable nursing problem and in developing and implementing a research proposal."
"School of Nursing","Graduate Nursing Courses","NURS-T 615","Curriculum in Nursing","3 cr.","This course is designed for persons who are or will be engaged in teaching within nursing education settings. The primary focus is the process of curriculum development; philosophical, social, political, economic, and professional issues that need to be considered in planning curricula, evaluating existing curricula, and changing curricula are examined."
"School of Nursing","Graduate Nursing Courses","NURS-T 617","Evaluation in Nursing","3 cr.","This course integrates concepts of assessment and evaluation into a nursing framework. Students analyze assessment/evaluation concepts, models, and frameworks for applicability for students, faculty, curricula, and programs."
"School of Nursing","Graduate Nursing Courses","NURS-T 619","Computer Technologies for Nurse Educators","3 cr.","This course provides nurse educators an opportunity to acquire knowledge and skills for using computer technologies to support the teaching/learning process. Emphasis is given to theoretical frameworks that guide the selection, use, and integration of computer technologies in nursing education programs."
"School of Nursing","Graduate Nursing Courses","NURS-T 670","Teaching in Nursing","3 cr.","This course provides seminar and guided experiences in teaching of nursing, including planning, developing, implementing, and evaluating classroom and clinical instruction."
"School of Nursing","Graduate Nursing Courses","NURS-T 675","Nursing Elective","3 cr.","This course is an intensive study and discussion of a specific topic of current interest in the theory and/or practice of nursing education."
"School of Nursing","Graduate Nursing Courses","NURS-T 679","Nursing Education Practicum","3 cr.","A practicum experience designed for application, demonstration and synthesis of theory and competencies related to the role of nurse educator.Â  Learning experiences are planned and negotiated to meet individual learning goals in the context of preceptor supervised experiences."
"School of Nursing","Graduate Nursing Courses","NURS-Y 510","Advanced Practice Nursing Concepts I","3 cr.","Analyzes selected nursing clinical concepts and related research with a focus on practice, ethics, professional role development, human diversity and social issues as well as health promotion and disease prevention. Relationship of concepts to advanced practice models is explored.Â"
"School of Nursing","Graduate Nursing Courses","NURS-Y 515","Advanced Pathophysiology Across the Lifespan","3 cr.","P: Acceptance to MSN.   This course provides advanced knowledge of pathophysiology as the foundation for nursing management in the health care of adults. (Instructor consent required)"
"School of Nursing","Graduate Nursing Courses","NURS-Y 520","Advanced Practice Concepts 2","3 cr.","This course analyzes selected nursing concepts and related research with a focus on health care policy, organization of health care delivery systems, health care financing and health care economics and the impact of quality and safety on these concepts. Relationship of concepts to advanced practice models is explored."
"School of Nursing","Graduate Nursing Courses","NURS-Y 535","Dynamics of Family Health Care","3 cr.","This course provides students with opportunities to study families within the community context.Â  Consideration is given to theories of family functioning and roles in family health care, using family assessment tools and other nursing intervention strategies. (Admission to the FNP program required)"
"School of Nursing","Graduate Nursing Courses","NURS-Y 612","Advanced Pharmacology Across the Lifespan","3 cr.","P: Acceptance to MSN. This course focuses on pharmaceutics, pharmacokinestics, pharmacodynamics, pharmacoeconomics, and pharmacotherapeutic decision making for advanced practice nursing. This course builds on and advances understanding of anatomy, physiology, pathophysiology, physical assessment, microbiology, andÂ  pharmacology. Additionally, it emphasizes the history and foundational concepts related toÂ  pharmacotherapeutics, application of pharmacotherapeutic principles, and synthesis of pharmacotherapeutics for advanced practice nursing. (Instructor consent required)"
"School of Nursing","Graduate Nursing Courses","NURS-Y 620","Advanced Primary Care and Office Management Procedures","3 cr.","This course introduces students to advanced practice concepts and procedures related to the care of clients in the primary care setting. In addition, students are introduced to documentation and professional relationship-building skills necessary for advanced practice nurses (APNs) in the primary care setting. (Admission to the FNP program required)"
"School of Sciences","Graduate Science Courses","BIOL-T 570","Evolution","3 cr.","Online Collaborative Course. Provides a rigorous exploration of the theory of evolution; the conceptual core of biology. Topics include origins and history of life: the interplay of heredity and environment in shaping adaptations; molecular, behavioral, and social evolution; patterns of speciation, extinction, and their consequences; methods of inferring evolutionary relationships among organisms."
"School of Sciences","Graduate Science Courses","BIOL-T 574","Immunology","3 cr.","Online Collaborative Course. This course will introduce graduate students to immunology, focusing upon cells, molecules and mechanisms operating in the normal immune system and then assess the dysfunction associated with diseases and immune disorders."
"School of Sciences","Graduate Science Courses","BIOL-T 582","Advanced Field Zoology","3 cr.","Online Collaborative Course. This course will cover areas related to ecology - specifically in the areas of wildlife biology, wildlife management, and conservation biology. There will be some bias towards vertebrate and behavioral ecology."
"School of Sciences","Graduate Science Courses","BIOL-T 586","Principles of Ornithology","3 cr.","This course provides an introduction and overview over the biology, ecology, evolution, and behavior of birds. As a student in this course you will learn about the diversity of bird life in world, with focus on Indiana. This course will help you recognize the role of birds in the ecosystem and how they impact and interact with other organisms. You will also learn about the different ways birds are adapted to flight and to survive in all types of habitats. In terms of bird diversity, you will learn how to identify Indiana bird species by sight and sound. We will also discuss how humans impact the diversity of birds in the world, especially in Indiana. To learn observational techniques and how to identify birds, you will be required to keep and maintain a field journal with drawings and descriptions."
