"course_code","course_title","department","description","credits","level"
"ARCH 190","Living Learning Community:","Architecture (ARCH)","Presentation of new material on experimental basis. Material appropriate for testing interest and ability in architecture. Prerequisites:none. Course Rules:May be retaken with change in topic to 9 cr max. Specific credits and additional prerequisites announced in the Schedule of Classes whenever course is offered. Last Taught:Fall 2024, Spring 2024, Fall 2023, Spring 2023. ","1-3"," Undergraduate"
"ARCH 211","Design III","Architecture (ARCH)","Formal concepts that order the production of architecture, using physical and virtual models, sketches, and drafted, scaled, orthographic drawings. Issues related to site, function and environment. Prerequisites:ARCH 111(100)(P) andARCH 112(103)(P). Course Rules:Previously ARCH 310. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","6"," Undergraduate"
"ARCH 212","Design IV","Architecture (ARCH)","Architectural design as a synthetic discipline that considers material/spatial experience, contextual analysis, formal concepts, and social/cultural relationships.  Material/graphic representation explored in models, drawings, collage and renderings. Prerequisites:ARCH 211(310)(P). Course Rules:Previously ARCH 320. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","6"," Undergraduate"
"ARCH 271","Representation I","Architecture (ARCH)","Development of precise standards of drawing and the history and techniques of descriptive and analytical drawing. Prerequisites:ARCH 111(100)(P) andARCH 112(103)(P). Course Rules:Previously ARCH 282. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","3"," Undergraduate"
"ARCH 272","Representation II","Architecture (ARCH)","Exploration of the potential for representation to communicate generative, atmospheric, and presentational qualities. Prerequisites:ARCH 271(282)(P). Course Rules:Previously ARCH 283. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","3"," Undergraduate"
"ARCH 311","Design V","Architecture (ARCH)","Design projects explore basic issues: clients' needs; site planning; masonry, wood, and steel construction; health and safety. Composition employs analysis of precedent. Prerequisites:ARCH 212(320)(P). Course Rules:Previously ARCH 410. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","6"," Undergraduate"
"ARCH 312","Design VI","Architecture (ARCH)","Design projects explore complex contexts and programs. Solutions employ hybrid construction technologies, and codes for safety and accessibility; they also integrate interior and exterior spaces. Prerequisites:ARCH 311(410)(P). Course Rules:Previously ARCH 420. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","6"," Undergraduate"
"ARCH 321","Building Technology I","Architecture (ARCH)","The behavior of structures, structural materials and planning, and the principles and performance of building envelope systems. Prerequisites:junior standing. Course Rules:Previously ARCH 301. General Education Requirements:QLB Last Taught:Fall 2024, Fall 2023, Fall 2022. ","3"," Undergraduate"
"ARCH 322","Building Technology II","Architecture (ARCH)","Investigation of environmental control and life safety requirements and their implications on architectural form and design. Prerequisites:ARCH 321(301)(P). Course Rules:Previously ARCH 303. Last Taught:Spring 2025, Spring 2024, Spring 2023. ","3"," Undergraduate"
"ARCH 326","Energy Design Fundamentals","Architecture (ARCH)","Energy-related issues as they apply to site planning and architectural design, including thermal comfort, site climate analysis, building thermal response, and solar system design. Prerequisites:jr st. Last Taught:Fall 2021. ","3"," Undergraduate/Graduate"
"ARCH 326G","Energy Design Fundamentals","Architecture (ARCH)","Energy-related issues as they apply to site planning and architectural design, including thermal comfort, site climate analysis, building thermal response, and solar system design. Prerequisites:jr st. Last Taught:Fall 2021. ","3"," Undergraduate/Graduate"
"ARCH 340","Urban Design","Architecture (ARCH)","Survey of urban design, including the study of precedents, recent philosophy, design vocabulary, behavioral responses, and implementation strategies. Prerequisites:jr st; acceptance to Level 2 or arch studies minor & Arch 300(P); or grad st. Last Taught:Fall 2022, Fall 2020. ","3"," Undergraduate/Graduate"
"ARCH 340G","Urban Design","Architecture (ARCH)","Survey of urban design, including the study of precedents, recent philosophy, design vocabulary, behavioral responses, and implementation strategies. Prerequisites:jr st; acceptance to Level 2 or arch studies minor & Arch 300(P); or grad st. Last Taught:Fall 2022, Fall 2020. ","3"," Undergraduate/Graduate"
"ARCH 341","Professional Practice I","Architecture (ARCH)","Review and analysis of building code and programming requirements in relation to building project goals, user requirements, socio-cultural determinants, design criteria, site selection and analysis, building type analysis, and cost projections. Prerequisites:junior standing. Course Rules:Previously ARCH 586. Last Taught:Spring 2025, Spring 2024, Fall 2022. ","3"," Undergraduate"
"ARCH 342","Professional Practice II","Architecture (ARCH)","Principles of the professional production of architectural documents covering and the interface and workflow of Building Information Modeling software. Prerequisites:senior standing or architecture studies minor. Course Rules:Previously ARCH 382. Last Taught:Fall 2024, Fall 2023, Summer 2023. ","3"," Undergraduate/Graduate"
"ARCH 343","Professional Practice III","Architecture (ARCH)","An introduction to architectural practice; content includes office procedures, contract management, legal constraints. Prerequisites:senior standing or architecture studies minor. Course Rules:Previously ARCH 581/581G. Last Taught:Spring 2025, Spring 2024, Fall 2022. ","3"," Undergraduate"
"ARCH 350","Greening Milwaukee","Architecture (ARCH)","City wide environmental organizations are organized into lecture series on the state of sustainable issues. Thirty hours of service are required. Prerequisites:sophomore standing. Last Taught:Fall 2016, Fall 2015, Fall 2014, Fall 2013. ","3"," Undergraduate"
"ARCH 351","Survey of Architectural History & Theory","Architecture (ARCH)","Introduction to architectural history and its theoretical base. The course covers classical architecture to the present, focusing on the theories underlying architecture of a period. Prerequisites:ARCH 151(102)(P) andARCH 152(104)(P); or architecture studies minor. Course Rules:Previously ARCH 300. Last Taught:Fall 2024, Fall 2023, Fall 2022. ","3"," Undergraduate"
"ARCH 352","History & Theory III","Architecture (ARCH)","Introduction to behavioral, social and cultural factors and their implications for the design and planning of the built environment. Prerequisites:ARCH 151(102)(P) andARCH 152(104)(P); or architecture studies minor. Course Rules:Previously ARCH 302. Last Taught:Spring 2025, Spring 2024, Spring 2023. ","3"," Undergraduate"
"ARCH 353","History & Theory IV","Architecture (ARCH)","Disciplinary methods and themes through rigorous readings of texts and objects concerning contemporary architectural criticism, and histories and theories of urban form and urban planning. Prerequisites:junior standing and completion of OWC-A andARCH 151(102)(P) andARCH 152(104)(P). Course Rules:Previously ARCH 304. General Education Requirements:OWCB Last Taught:Fall 2024, Fall 2023, Fall 2022. ","3"," Undergraduate"
"ARCH 380","Drawing in Architecture","Architecture (ARCH)","Visual communication skills are developed in relation to basic design theory and architectural design process. Prerequisites:jr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2024, Fall 2018. ","3"," Undergraduate/Graduate"
"ARCH 380G","Drawing in Architecture","Architecture (ARCH)","Visual communication skills are developed in relation to basic design theory and architectural design process. Prerequisites:jr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2024, Fall 2018. ","3"," Undergraduate/Graduate"
"ARCH 383","Landscape Architecture","Architecture (ARCH)","Introduction to the history of landscape architecture as well as the process of contemporary landscape architecture and its relationship to contemporary architecture. Prerequisites:jr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2018, Spring 2016. ","3"," Undergraduate/Graduate"
"ARCH 383G","Landscape Architecture","Architecture (ARCH)","Introduction to the history of landscape architecture as well as the process of contemporary landscape architecture and its relationship to contemporary architecture. Prerequisites:jr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2018, Spring 2016. ","3"," Undergraduate/Graduate"
"ARCH 391","Directed Research","Architecture (ARCH)","Student participation in research projects under faculty supervision. Prerequisites:jr st; acceptance to Level 2 or arch studies minor & cons instr. Last Taught:Spring 2025, Fall 2024, Spring 2024, Spring 2023. ","Course Rules:May not be retaken for",""
"ARCH 392","Independent Studies","Architecture (ARCH)","Independent investigation of issues related to architecture. Prerequisites:jr st; acceptance to Level 2 or arch studies minor & cons instr. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","Course Rules:May not be retaken for",""
"ARCH 411","Design VII","Architecture (ARCH)","Design projects explore complex contexts and programs related to living collectively. Prerequisites:ARCH 312(420)(P). ","6"," Undergraduate"
"ARCH 412","Design VIII:","Architecture (ARCH)","Advanced design studio emphasizing schematic design to detailed development of programmatic spaces, structural and environmental systems, life-safety provisions, wall sections, and building materials and assemblies. Prerequisites:senior standing. Course Rules:Retakeable with change in topic to 12 cr max. Counts as a repeat of ARCH 825. Last Taught:Spring 2025, Fall 2024. ","6"," Undergraduate"
"ARCH 421","Building Technology III","Architecture (ARCH)","Statics, strength of materials and analysis of simple structural elements and systems. Design and economics of simple building structures. Prerequisites:senior standing andARCH 322(303)(P). Course Rules:Previously ARCH 510. Last Taught:Spring 2025, Spring 2024, Spring 2023. ","3"," Undergraduate"
"ARCH 422","Building Technology IV","Architecture (ARCH)","Review and analysis of architectural construction systems in relation to building projects of various scales. Construction techniques and contract documentation are covered. Prerequisites:senior standing andARCH 421(301)(P). Course Rules:Previously ARCH 516. Last Taught:Fall 2024, Fall 2023, Fall 2022. ","3"," Undergraduate"
"ARCH 423","Building Technology V","Architecture (ARCH)","The impact of visual and thermal comfort requirements on the design of building enclosures, lighting systems and HVAC systems. Prerequisites:senior standing andARCH 422(516)(P). Course Rules:Previously ARCH 520. Last Taught:Fall 2024, Fall 2023, Spring 2023. ","3"," Undergraduate/Graduate"
"ARCH 497","Study Abroad:","Architecture (ARCH)","Studio and/or field study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:acceptance to Level 2 or architecture studies minor and accepted for Study Abroad Program. Course Rules:May be retaken with change in topic. Last Taught:Fall 2024, Fall 2023, Summer 2023, Summer 2022. ","3-12"," Undergraduate"
"ARCH 521","Environmental Systems: Resources-Fluid Distribution Systems","Architecture (ARCH)","Water resources supplies and treatment, distribution and disposal systems. Atmospheric and thermal comfort. Air treatment, distribution systems, and related energy systems for human comfort. Prerequisites:sr st & Arch 303(P); or grad st. Last Taught:Spring 2017, Spring 2015. ","3"," Undergraduate/Graduate"
"ARCH 521G","Environmental Systems: Resources-Fluid Distribution Systems","Architecture (ARCH)","Water resources supplies and treatment, distribution and disposal systems. Atmospheric and thermal comfort. Air treatment, distribution systems, and related energy systems for human comfort. Prerequisites:sr st & Arch 303(P); or grad st. Last Taught:Spring 2017, Spring 2015. ","3"," Undergraduate/Graduate"
"ARCH 522","Environmental Systems: Lighting and Acoustical Design","Architecture (ARCH)","The development and application of visual/auditory comfort criteria, lighting and acoustical design, and their architectural design implications. Prerequisites:sr st & Arch 303(P); or grad st. Last Taught:Fall 2015, Spring 2013. ","3"," Undergraduate/Graduate"
"ARCH 522G","Environmental Systems: Lighting and Acoustical Design","Architecture (ARCH)","The development and application of visual/auditory comfort criteria, lighting and acoustical design, and their architectural design implications. Prerequisites:sr st & Arch 303(P); or grad st. Last Taught:Fall 2015, Spring 2013. ","3"," Undergraduate/Graduate"
"ARCH 534","Field Study:","Architecture (ARCH)","Theoretical developments and their historical contexts are explored in a particular setting. Focus and setting are announced in advance. Prerequisites:junior standing and ARCH 300(P). Last Taught:Fall 2024. ","Course Rules:May be retaken with change in topic to max of 6",""
"ARCH 534G","Field Study:","Architecture (ARCH)","Theoretical developments and their historical contexts are explored in a particular setting. Focus and setting are announced in advance. Prerequisites:junior standing and ARCH 300(P). Last Taught:Fall 2024. ","Course Rules:May be retaken with change in topic to max of 6",""
"ARCH 550","Seminar in Building Types and Settings","Architecture (ARCH)","Development and usage of various building types and settings based upon social, behavioral, political, and economic factors. Prerequisites:sr st, & Arch 300(P) or 302(P), or cons instr. Last Taught:Spring 2019, Summer 2017. ","3"," Undergraduate/Graduate"
"ARCH 550G","Seminar in Building Types and Settings","Architecture (ARCH)","Development and usage of various building types and settings based upon social, behavioral, political, and economic factors. Prerequisites:sr st, & Arch 300(P) or 302(P), or cons instr. Last Taught:Spring 2019, Summer 2017. ","3"," Undergraduate/Graduate"
"ARCH 551","American Vernacular Architecture","Architecture (ARCH)","Introductory seminar on the historical development of all forms of vernacular and popular architecture. Buildings are analyzed in detail within their cultural contexts. Prerequisites:sr st & Arch 300(P); or grad st. Last Taught:Summer 2016, Fall 2013. ","3"," Undergraduate/Graduate"
"ARCH 551G","American Vernacular Architecture","Architecture (ARCH)","Introductory seminar on the historical development of all forms of vernacular and popular architecture. Buildings are analyzed in detail within their cultural contexts. Prerequisites:sr st & Arch 300(P); or grad st. Last Taught:Summer 2016, Fall 2013. ","3"," Undergraduate/Graduate"
"ARCH 553","Vernacular Buildings and Groupings","Architecture (ARCH)","Study of the patterns and characteristics of human settlements and individual structures built according to local traditions. Prerequisites:sr st & Arch 302(P); or grad st. Last Taught:Spring 2018, Spring 2017. ","3"," Undergraduate/Graduate"
"ARCH 553G","Vernacular Buildings and Groupings","Architecture (ARCH)","Study of the patterns and characteristics of human settlements and individual structures built according to local traditions. Prerequisites:sr st & Arch 302(P); or grad st. Last Taught:Spring 2018, Spring 2017. ","3"," Undergraduate/Graduate"
"ARCH 560","Introduction to Historic Preservation","Architecture (ARCH)","Research, discussion and case study development to explore political, social/historical, economic and design/restoration issues of preservation and adaptive use of buildings. Prerequisites:senior standing and acceptance to level 2; or graduate standing. Last Taught:Fall 2024. ","3"," Undergraduate/Graduate"
"ARCH 560G","Introduction to Historic Preservation","Architecture (ARCH)","Research, discussion and case study development to explore political, social/historical, economic and design/restoration issues of preservation and adaptive use of buildings. Prerequisites:senior standing and acceptance to level 2; or graduate standing. Last Taught:Fall 2024. ","3"," Undergraduate/Graduate"
"ARCH 561","Measured Drawing for Architects","Architecture (ARCH)","History and theory of measured drawings, field measuring and recording techniques, and production of drawings based on procedures of the Historic American Building Survey. Prerequisites:sr st & Arch 301(P); or grad st. Last Taught:Fall 2024, Summer 2019. ","3"," Undergraduate/Graduate"
"ARCH 561G","Measured Drawing for Architects","Architecture (ARCH)","History and theory of measured drawings, field measuring and recording techniques, and production of drawings based on procedures of the Historic American Building Survey. Prerequisites:sr st & Arch 301(P); or grad st. Last Taught:Fall 2024, Summer 2019. ","3"," Undergraduate/Graduate"
"ARCH 562","Preservation Technology Laboratory","Architecture (ARCH)","Laboratory focusing on the historic preservation of architectural detail. Students will examine historic technologies, write papers on them, and execute them in detail. Prerequisites:sr st & Arch 301(P); or grad st. Last Taught:Summer 2017, Summer 2016. ","3"," Undergraduate/Graduate"
"ARCH 562G","Preservation Technology Laboratory","Architecture (ARCH)","Laboratory focusing on the historic preservation of architectural detail. Students will examine historic technologies, write papers on them, and execute them in detail. Prerequisites:sr st & Arch 301(P); or grad st. Last Taught:Summer 2017, Summer 2016. ","3"," Undergraduate/Graduate"
"ARCH 580","Graphic Techniques for Architects","Architecture (ARCH)","Architectural presentation techniques focusing on the application of various graphic media including color pencil, pastel, watercolor, marker, and air-brush. Prerequisites:sr st & acceptance to level 2; or grad st. Last Taught:Spring 2024, Fall 2023. ","3"," Undergraduate/Graduate"
"ARCH 580G","Graphic Techniques for Architects","Architecture (ARCH)","Architectural presentation techniques focusing on the application of various graphic media including color pencil, pastel, watercolor, marker, and air-brush. Prerequisites:sr st & acceptance to level 2; or grad st. Last Taught:Spring 2024, Fall 2023. ","3"," Undergraduate/Graduate"
"ARCH 583","Emerging Digital Technology:","Architecture (ARCH)","Laboratory focusing on the theory and application of emerging digital tools to contemporary problems of architectural design and professional practice. Proficiency in MicroStation, Rhino, formZ, or SketchUp required. Prerequisites:junior standing and acceptance to Level 2 or arch studies minor; or graduate standing. Last Taught:Spring 2024. ","Course Rules:May be retaken with change in topic to a max of 9",""
"ARCH 583G","Emerging Digital Technology:","Architecture (ARCH)","Laboratory focusing on the theory and application of emerging digital tools to contemporary problems of architectural design and professional practice. Proficiency in MicroStation, Rhino, formZ, or SketchUp required. Prerequisites:junior standing and acceptance to Level 2 or arch studies minor; or graduate standing. Last Taught:Spring 2024. ","Course Rules:May be retaken with change in topic to a max of 9",""
"ARCH 584","Urban Landscape Architecture","Architecture (ARCH)","Study of historic and contemporary exterior urban space, urban site planning methodology; design and detailing of exterior urban space; pedestrian and vehicular movement; use of plant materials. Prerequisites:sr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2020. ","3"," Undergraduate/Graduate"
"ARCH 584G","Urban Landscape Architecture","Architecture (ARCH)","Study of historic and contemporary exterior urban space, urban site planning methodology; design and detailing of exterior urban space; pedestrian and vehicular movement; use of plant materials. Prerequisites:sr st & acceptance to level 2 or arch studies minor; or grad st. Last Taught:Spring 2020. ","3"," Undergraduate/Graduate"
"ARCH 587","Post-Occupancy Evaluation of Built Environments","Architecture (ARCH)","Evaluation of built environments: technical, functional, and socio-behavioral factors; design of post-occupancy evaluation studies and instruments; and analysis of a built environment. Prerequisites:sr st & Arch 302(P); or grad st. Last Taught:Fall 2011, Fall 1994. ","3"," Undergraduate/Graduate"
"ARCH 587G","Post-Occupancy Evaluation of Built Environments","Architecture (ARCH)","Evaluation of built environments: technical, functional, and socio-behavioral factors; design of post-occupancy evaluation studies and instruments; and analysis of a built environment. Prerequisites:sr st & Arch 302(P); or grad st. Last Taught:Fall 2011, Fall 1994. ","3"," Undergraduate/Graduate"
"ARCH 600","Design Elective:","Architecture (ARCH)","Intermediate concepts and methods of architectural design relevant to contemporary theory and practice. Prerequisites:ARCH 312(420)(P). Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","Course Rules:Previously ARCH 650. May be retaken with change in topic to max of 24",""
"ARCH 601","Special Topics:","Architecture (ARCH)","Provides a format for the development and presentation of new material. Prerequisites:junior standing or architecture studies minor. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","Course Rules:Previously ARCH 390. May be retaken with change in topic to max of 12"," Specific credits and any additional prerequisites announced in the Schedule of Classes whenever course is offered"
"ARCH 602","Study Abroad Design Elective Studio","Architecture (ARCH)","Study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:consent of instructor. Course Rules:Repeatable to 18 credits max. ","6"," Undergraduate"
"ARCH 603","Study Abroad Architecture Special Topics","Architecture (ARCH)","Study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:consent of instructor. Course Rules:Repeatable to 21 cr max. ","3"," Undergraduate"
"ARCH 660","Topics in Architectural History & Theory:","Architecture (ARCH)","This variable content course will focus on the study of a particular architectural theory or the work of an individual architect and its theoretical base. Prerequisites:sophomore standing. Last Taught:Spring 2024, Fall 2023. ","Course Rules:May be retaken with change in topic to max of 9"," Previously ARCH 533"
"ARCH 685","Advanced Research Methods in Architecture","Architecture (ARCH)","Review of various data collection and analysis methods used in architectural research and design; exploration of the epistemological foundations of our knowledge about the built environment. Prerequisites:senior standing. Course Rules:Previously ARCH 585. Last Taught:Fall 2023, Spring 2023. ","3"," Undergraduate"
"ARCH 711","Graduate Design I","Architecture (ARCH)","This design studio introduces students to theories and methodologies of architectural design. Design projects explore various design procedures, graphic techniques, and building tectonics. Prerequisites:graduate standing. Course Rules:Previously ARCH 810. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","6"," Graduate"
"ARCH 712","Graduate Design II","Architecture (ARCH)","Design studio further develops the theories and methodologies of architectural design. Design projects emphasize specific issues of theory, structure, context, program, and graphic communication. Prerequisites:graduate standing andARCH 711(810)(P). Course Rules:Previously ARCH 820. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","6"," Graduate"
"ARCH 716","Art of Detailing","Architecture (ARCH)","Seminar/workshop dealing with creative aspects of architectural construction technology. Building details are analyzed with respect to technical appropriateness, durability, context and design consequences. Prerequisites:grad st; Arch 516(P) & 1 600 or above level studio; Arch 501(R) or 510(R). Last Taught:Spring 2024, Spring 2023, Spring 2022, Spring 2021. ","3"," Graduate"
"ARCH 718","Topics in Professional Practice","Architecture (ARCH)","Examines, critically appraises, and imagines expanded options for career development and professional practice in architecture and design. Prerequisites:graduate standing or consent of instructor. ","3"," Graduate"
"ARCH 721","Building Technology I","Architecture (ARCH)","The behavior of structures, structural materials and planning, and the principles and performance of building envelope systems. Prerequisites:graduate standing. Course Rules:Counts as a repeat of ARCH 301G. Last Taught:Fall 2024. ","3"," Graduate"
"ARCH 722","Building Technology II","Architecture (ARCH)","Study of the relationships between architectural design, illumination, visual tasks, energy conservation and daylighting design. Prerequisites:graduate standing andARCH 721(301G)(P). Course Rules:Previously ARCH 303G. Last Taught:Spring 2025, Spring 2012, Spring 1995. ","3"," Graduate"
"ARCH 723","Fundamentals of Ecological Architecture","Architecture (ARCH)","Investigation of the ecological issues affecting an architectural design process that aims to produce buildings, landscapes and cities with minimal demands on the environment. Prerequisites:grad st. Counts as repeat of ARCH 790 with same title. Last Taught:Fall 2023, Fall 2021, Spring 2020, Spring 2019. ","3"," Graduate"
"ARCH 741","Professional Practice I","Architecture (ARCH)","Review and analysis of building code and programming requirements in relation to building project goals, user requirements, socio-cultural determinants, design criteria, site selection and analysis, building type analysis, and cost projections. Prerequisites:graduate standing. Course Rules:Previously ARCH 586G. Last Taught:Spring 2025, Spring 2000, Spring 1998, Spring 1996. ","3"," Graduate"
"ARCH 742","Professional Practice II","Architecture (ARCH)","Principles of the professional production of architectural documents covering and the interface and workflow of Building Information Modeling software. Prerequisites:graduate standing. Course Rules:Previously ARCH 382G. Last Taught:Fall 2024. ","3"," Graduate"
"ARCH 743","Professional Practice III","Architecture (ARCH)","An introduction to architectural practice; content includes office procedures, contract management, legal constraints. Prerequisites:graduate standing. Course Rules:Counts as a repeat of ARCH 581G. Last Taught:Spring 2025. ","3"," Graduate"
"ARCH 749","Urban Design as Public Policy","Architecture (ARCH)","Orients students in urban planning to urban design problems as matters of public policy with focus on the analysis and implementation of urban design proposals rather than on the techniques used to generate such proposals. Prerequisites:grad st. Course Rules:Not open to students who have cr in UrbPlan 857 which is identical to Arch 749. Last Taught:Fall 2023, Fall 2021, Fall 2019, Fall 2015. ","3"," Graduate"
"ARCH 750","Proseminar in Environment Design Research","Architecture (ARCH)","Intensive review of important findings in environmental design from research and professional literature and analysis of impacts on the built environment. Prerequisites:grad st; Arch 585(C), or cons instr. Last Taught:Fall 2019, Spring 2019, Fall 2015, Spring 2015. ","3"," Graduate"
"ARCH 751","Survey of Architectural History & Theory","Architecture (ARCH)","Introduction to architectural history and its theoretical base. The course covers classical architecture to the present, focusing on the theories underlying architecture of a period. Prerequisites:graduate standing. Course Rules:Previously ARCH 300G. Last Taught:Fall 2024, Spring 2019, Spring 2016, Spring 2012. ","3"," Graduate"
"ARCH 752","History & Theory III","Architecture (ARCH)","Introduction to behavioral, social and cultural factors and their implications for the design and planning of the built environment. Prerequisites:graduate standing. Course Rules:Previously ARCH 302G. Last Taught:Spring 2025. ","3"," Graduate"
"ARCH 753","History & Theory IV","Architecture (ARCH)","Disciplinary methods and themes through rigorous readings of texts and objects concerning contemporary architectural criticism, and histories and theories of urban form and urban planning. Prerequisites:graduate standing. Course Rules:Counts as a repeat of ARCH 304G. Last Taught:Fall 2024. ","3"," Graduate"
"ARCH 760","History of Building Technology","Architecture (ARCH)","An examination of evolving technology in architecture from antiquity to the mid-twentieth century, concentrating on examples in the united states; includes field trips. Prerequisites:graduate standing. Last Taught:Spring 2024, Spring 2023, Spring 2021, Spring 2020. ","3"," Graduate"
"ARCH 771","Representation I","Architecture (ARCH)","Development of precise standards of drawing and the history and techniques of descriptive and analytical drawing. Prerequisites:graduate standing. Course Rules:Previously ARCH 782. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","3"," Graduate"
"ARCH 772","Representation II","Architecture (ARCH)","Exploration of the potential for representation to communicate generative, atmospheric, and presentational qualities. Prerequisites:graduate standing andARCH 771(782)(P). Course Rules:Previously ARCH 783. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","3"," Graduate"
"ARCH 780","The Built Environment and Real Estate Development","Architecture (ARCH)","A course providing an understanding of the relationships between economics and architectural design and skills in manipulation of variables in both areas on real projects. Prerequisites:grad st. Last Taught:Spring 2025, Fall 2023, Fall 2019, Fall 2018. ","3"," Graduate"
"ARCH 788","Green Building Seminar","Architecture (ARCH)","Investigation and research into the environmental and architectural opportunities and constraints of building and landscape materials. Prerequisites:grad st. Counts as repeat of ARCH 790 with same title. Last Taught:Spring 2024, Fall 2022, Spring 2020, Spring 2017. ","3"," Graduate"
"ARCH 791","Master's Level Directed Research","Architecture (ARCH)","Student participation in research projects under faculty supervision. Prerequisites:graduate standing and consent of instructor. Course Rules:Retakable to 3 cr max. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2023. ","1-3"," Graduate"
"ARCH 792","Master's Level Independent Studies and Research","Architecture (ARCH)","Independent investigation of issues related to architecture. Prerequisites:grad st; cons instr. Course Rules:Retakable to 3 cr max. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","1-3"," Graduate"
"ARCH 794","Pre-Thesis or Master's Project Research","Architecture (ARCH)","Background preparation and research completed prior to master's thesis or project. Prerequisites:grad st; eligibility for thesis or master's project next semester. Last Taught:Fall 2024, Fall 2023, Fall 2022, Spring 2022. ","3"," Graduate"
"ARCH 797","Study Abroad:","Architecture (ARCH)","Studio and/or field study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:graduate standing and acceptance to Study Abroad Program. Course Rules:Retakable to 12 cr max with change in topic. Last Taught:Fall 2024, Summer 2023, Summer 2022, UWinteriM 2020. ","3-12"," Graduate"
"ARCH 800","Design Elective:","Architecture (ARCH)","Advanced concepts and methods of architectural design relevant to contemporary theory and practice. Prerequisites:graduate standing. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","Course Rules:Retakeable with change in topic to max of 18"," Previously ARCH 850"
"ARCH 801","Special Topics:","Architecture (ARCH)","Development and presentation of new material on an experimental, one-term basis. Specific credits and any additional prerequisites announced in schedule of classes whenever course is offered. Prerequisites:graduate standing. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","Course Rules:Retakeable with change in topic to max of 24"," Previously ARCH 790"
"ARCH 802","Study Abroad Design Elective Studio:","Architecture (ARCH)","Study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:graduate standing and consent of instructor. Course Rules:Repeatable to 18 cr max. ","6"," Graduate"
"ARCH 803","Study Abroad Special Topics:","Architecture (ARCH)","Study designed to provide relevant course work for a study abroad program in architecture. Prerequisites:graduate standing and consent of instructor. ","Course Rules:Repeatable to 21",""
"ARCH 812","Graduate Design III:","Architecture (ARCH)","Advanced design studio emphasizing schematic design to detailed development of programmatic spaces, structural and environmental systems, life-safety provisions, wall sections, and building materials and assemblies. Prerequisites:graduate standing. Course Rules:Retakeable with change in topic to 12 cr max. Previously ARCH 825. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","6"," Graduate"
"ARCH 821","Building Technology III","Architecture (ARCH)","Statics, strength of materials and analysis of simple structural elements and systems. Design and economics of simple building structures. Prerequisites:graduate standing. Course Rules:Previously ARCH 510G. Last Taught:Spring 2025. ","3"," Graduate"
"ARCH 822","Building Technology IV","Architecture (ARCH)","Review and analysis of architectural construction systems in relation to building projects of various scales. Construction techniques and contract documentation are covered. Prerequisites:graduate standing. Course Rules:Counts as a repeat of ARCH 516G. Last Taught:Fall 2024. ","3"," Graduate"
"ARCH 823","Building Technology V","Architecture (ARCH)","The impact of visual and thermal comfort requirements on the design of building enclosures, lighting systems and HVAC systems. Prerequisites:graduate standing. Course Rules:Previously ARCH 520G. Last Taught:Spring 2025, Fall 2024. ","3"," Graduate"
"ARCH 860","Topics in Architectural History & Theory:","Architecture (ARCH)","This variable content course will focus on the study of a particular architectural theory or the work of an individual architect and its theoretical base. Prerequisites:graduate standing. ","Course Rules:May be retaken with change in topic to max of 9"," Previously ARCH 533G"
"ARCH 888","Candidate for Degree","Architecture (ARCH)","Available for graduate students who must meet minimum credit load requirements. Prerequisites:graduate standing Course Rules:Fee for 1 cr assessed; unit does not count towards credit load for Fin Aid. Repeatable to 3 cr max. Satisfactory/Unsatisfactory only. Last Taught:Fall 2020, Spring 2020, Fall 2019, Spring 2017. ","0"," Graduate"
