"course_code","course_title","department","description","credits"
"CHIN 2813Intermediate","Chinese II","Chinese (CHIN)","Prerequisites:CHIN 2713or equivalent proficiency. Description:Continuation ofCHIN 2713. Not for native speakers per University Academic Regulation 4.9. Previously offered as CHIN 2225. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Languages and Literatures ","3"
"CHIN 3343Business","Chinese","Chinese (CHIN)","Prerequisites:CHIN 2813or equivalent proficiency. Description:This course is designed to help students build upon their fundamental Chinese language communication skills by using professional and formal business tools such as letters, reports, news, and oral presentations in structured business environments. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Languages and Literatures ","3"
"CHIN 4713Advanced","Readings in Chinese","Chinese (CHIN)","Prerequisites:CHIN 2813or equivalent proficiency. Description:Development of student competence in reading a wide variety of materials by contemporary Chinese writers. Previously offered as CHIN 3133. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Languages and Literatures ","3"
"CHIN 4813Advanced","Chinese Conversation","Chinese (CHIN)","Prerequisites:CHIN 2813or equivalent proficiency. Description:Development of general oral and aural proficiency. Previously offered as CHIN 3013. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Languages and Literatures ","3"
"CIVE 2041Civil","and Environmental Engineering Seminar","Civil Engineering (CIVE)","Prerequisites:Sophomore standing or department permission required. Description:An introduction to the importance of communication, professional ethics, knowledge of contemporary issues, and the role these play in developing a broad education. Emphasis will be placed on understanding the impact of engineering solutions in a global and societal context. The various sub-disciplines within the fields of Civil and Environmental Engineering will also be presented. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","1"
"CIVE 2081Environmental","Chemistry for Engineers","Civil Engineering (CIVE)","Prerequisites:CHEM 1414with minimum grade of ""C."" Description:This course applies the material covered in a general chemistry course for engineers to the skills needed for environmental engineering. In achieving these objectives, this course also supports Outcome 1 of the BSCE degree program accreditation requirements. (1) an ability to identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","1"
"CIVE 3413Structural","Analysis","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" inENSC 2143. Description:Analysis of internal forces and deflections of structures subjected to static loading. Beams, trusses, and framed structures analyzed by appropriate classical methods. Classical methods and modern computer procedures for the analysis of statically indeterminate structures. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 3513Structural","Steel Design","Civil Engineering (CIVE)","Prerequisites:CIVE 3413with minimum grade of C. Description:Introduction to the design of structural steel members and connections in accordance with AISC specifications. May not be used for degree credit withARCH 3323. May not be used for degree credit withCIVE 5473andARCH 3323. Contact hours:Lecture: 2 Lab: 3 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 3523Reinforced","Concrete Design","Civil Engineering (CIVE)","Prerequisites:CIVE 3413with minimum grade of C. Description:Introduction to the design of reinforced concrete elements in accordance with the strength design requirements of the ACI Building code. May not be used for degree credit withARCH 4123. Contact hours:Lecture: 2 Lab: 3 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 3614Engineering","Surveying","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" required inMATH 2123orMATH 2144. Description:Principles and techniques of vertical and horizontal measurements related to engineering and construction projects. Linear and angular measurements, differential leveling, traverses, topographic surveys, construction surveying, horizontal and vertical curves, earthwork quantities and design of route systems. Contact hours:Lecture: 3 Lab: 3 Contact: 6 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","4"
"CIVE 3623Engineering","Materials Laboratory","Civil Engineering (CIVE)","Prerequisites:ENSC 2143with minimum grade of ""C."" Description:Introduction on material properties and related design criteria for common construction materials: structural steel, wood and timber, aggregates, portland cement and concrete, asphalt binder and concrete. Discussion on material specific topics on fabrication methods; mechanical and non-mechanical properties; use and applications; standards, testing and quality control measures; selection and design criteria. Laboratory exercises supplement lecture theory and provide ""hands-on"" experience in performing standard tests. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 3633Transportation","Engineering","Civil Engineering (CIVE)","Prerequisites:CIVE 3614with minimum grade of ""C"", and minimum grade of ""C"" inSTAT 4073orSTAT 4033or concurrent enrollment. Description:Planning, design and operations of transportation facilities. Vehicle characteristics and human factors in design. Traffic stream variables and their measurement techniques. Basic traffic flow models. Highway and street intersection capacity and level of service. Traffic control concepts. Transportation systems management. Application of statistical analysis and operations research to analyze transportation problems. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 3714Introduction","to Geotechnical Engineering","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" inENSC 2143, or department permission required. Description:Physical and mechanical properties of soils, including grain size analysis, plasticity, permeability, consolidation, and shear strength. Use of physical and mechanical properties to calculate stresses in a soil mass, lateral earth pressures and bearing capacity. Laboratory tests conducted to determine the physical and mechanical soil properties needed for application in geotechnical design. Course previously offered as CIVE 3713. Contact hours:Lecture: 3 Lab: 2 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","4"
"CIVE 3813Environmental","Engineering Science","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" in (CHEM 1414orCHEM 1515) andENSC 3233. Description:Engineering aspects of the life support system; the carbon-oxygen cycle; cycling of nitrogen, sulfur and phosphorus; and the hydrologic cycle. Concepts of environmental pollution and degradation. Techniques for mitigation; water and wastewater treatment, solid and hazardous waste management, and air pollution abatement. Calculation of pollution potential and treatment system parameters. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 3833Applied","Hydraulics","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" inENSC 3233, and (CHEM 1414orCHEM 1515). Description:Basic hydraulic principles and their application in civil engineering problems. Analyses of water distribution networks, open channels, storm-water management and wastewater collection systems, water pumps, hydraulic models, hydraulic measurements, treatment plant hydraulics and hydraulic structures. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 3843Hydrology","I","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" inENSC 3233and (CHEM 1414orCHEM 1515), and minimum grade of ""C"" inSTAT 4033orSTAT 4073. Description:Basic principles of surface groundwater hydrology and their application in engineering problems. The hydrologic cycle, weather and hydrology, precipitation, evaporation, transpiration, subsurface waters, stream flow hydrographs, hydrologic and hydraulic stream routing, probability of hydrologic events, application of hydrologic models. May not be used for degree credit withBAE 4314. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 3853Environmental","Engineering Laboratory","Civil Engineering (CIVE)","Prerequisites:CIVE 3813with minimum grade of ""C"". Description:Performance of experiments with benchscale environmental engineering unit operations, review of chemical principles and analyses important to the evaluation of these and other environmental engineering applications. Emphasis on the development of experimental results that can be used in the design of full-scale units. May not be used for degree credit withCIVE 5813. Contact hours:Lecture: 2 Lab: 3 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4010Civil","Engineering Research","Civil Engineering (CIVE)","Prerequisites:Senior standing or consent of instructor. Description:Research and investigation of civil engineering problems.



Offered for variable credit, 1-4 credit hours, maximum of 12 credit hours. Contact hours:Contact: 1-4 Other: 1-4 Levels:Undergraduate Schedule types:Independent Study Department/School:Civil & Environ. Eng ","1-4"
"CIVE 4013Aquatic","Chemistry","Civil Engineering (CIVE)","Prerequisites:Senior standing and minimum grade of ""C"" inCHEM 1414orCHEM 1515, and minimum grade of ""C"" inCIVE 3813. Description:Application of chemical principles to environmental problems. Chemical kinetics, chemical equilibrium, acid-base chemistry, development of pc-pH diagrams, and coordination chemistry. Precipitation and dissolution reactions and oxidation-reduction reactions. Course is a senior elective. May not be used for degree credit withCIVE 5013. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4033GIS","Applications for Water Resources","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:Application of theoretical and practical components of geographic information system for engineers. Digital mapping of water resources information, spatial coordinate systems and digital terrain analysis using digital elevation models. Analysis of a variety of spatial data in efficient and effective manner. Introduction of geospatial analytical algorithms to solve civil and environmental problems. Course is a senior elective. May not be used for degree credit withCIVE 5033. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4041Engineering","Practice","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:Topics relevant to the professional practice of civil and environmental engineering will be introduced, to include management principles, project management, and the laws that impact the practice of engineering, such as OSHA and ADA. Emphasis will be placed on written communication skills to include resumes, letters of introduction, and job interviews. The advantages of professional registration and technical/ professional society membership will be presented as well as discussions of professional ethics, income taxes and investments. Course previously offered as CIVE 4042. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","1"
"CIVE 4043Senior","Design","Civil Engineering (CIVE)","Prerequisites:Minimum grades of “C” in each:CIVE 3623andCIVE 3633andCIVE 3714andCIVE 3833; and within last two semesters of program completion. Minimum grade of ""C"" inCIVE 3513orCIVE 3523. Description:Major comprehensive design experience using the team approach. Industry practitioners provide design projects and analyze and critique results. Extends the undergraduate experience and provides the student with opportunities to analyze and design complex structures. Capstone course. May not be used for degree credit withCIVE 4143. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4050Special","Topics in Civil & Environmental Engineering","Civil Engineering (CIVE)","Prerequisites:Senior standing and within last 2 semesters of program completion. Description:New courses offered in CIVE that have yet to be assigned a permanent number.

Offered for variable credit, 1-4 credit hours, maximum of 8 credit hours. Contact hours:Contact: 1-4 Other: 1-4 Levels:Undergraduate Schedule types:Independent Study Department/School:Civil & Environ. Eng ","1-4"
"CIVE 4053Transportation","Geotechnics","Civil Engineering (CIVE)","Prerequisites:CIVE 3714minimum grade of ""C"". Description:This course focuses on the application of geotechnical engineering concepts to the analysis, design, and construction of transportation infrastructure. Topics covered include: soil classification systems, soil variability; subgrade evaluation procedures, repeated loading behavior of soils; soil compaction and field control; and subgrade stability for transportation facility engineering. May not be used for degree credit withCIVE 5053. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4063Introduction","to Railroad Engineering","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633wIth minimum grade of “C”. Description:This course provides civil engineering students a technical transportation course in Railroad Engineering. It covers a wide spectrum of railway engineering, including the basic principles, railroad design, construction, operation, evaluation and maintenance of rail infrastructure and networks. The students are expected to develop small group skills through team homework assignments and class interaction. May not be used for degree credit withCIVE 5063. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4083Applied","Statistics for Civil Engineers","Civil Engineering (CIVE)","Prerequisites:Senior standing, andCIVE 3633with minimum grade of ""C,"" andSTAT 4033orSTAT 4073with minimum grade of ""C."" Description:This course covers subjects including statistical fundamentals; continuous, count, discrete dependent variable models, random parameter models, and Bayesian modeling that are widely used in civil, particularly transportation engineering. Course is a senior elective. May not be used for degree credit withCIVE 5083. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4093Transportation","Safety and Analysis","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633with minimum grade of ""C"". Description:This course introduces fundamental concepts for performing traffic safety analyses, including safety management systems, different safety countermeasures, development of statistical models with countermeasures and their effectiveness, economic analyses, and crash investigation. Students should be prepared to apply these important safety concepts in professional practice. May not be used for degree credit withCIVE 5093. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4103Construction","Simulation","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 4273with minimum grade of ""C."" Description:This course introduces students to effective ways of modeling construction processes and technologies. It provides an investigation of quantitative methods used for the design and analysis of construction operations to maximize productivity and minimize resource idleness. It includes discussions on queueing theory, line-of-balance techniques, linear programming and simulation. Comprehensive group projects that involve modeling and analyzing actual construction operations will be integral parts of this course. Course is a senior elective. May not be used for degree credit withCIVE 5103. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4113Construction","Business Management","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:Fundamental theories and applied methods of financial management of construction companies. The spectrum of the present and future practice of business management at the construction company level. Basic construction business operations in the context of construction accounting, financial management, cash flow analysis, financial planning, and risk analysis. May not be used for degree credit withCIVE 5113. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4123The","Legal & Regulatory Environment of Civil Engineering","Civil Engineering (CIVE)","Prerequisites:Professional School. Description:The U.S. and Oklahoma court systems. Tort law and labor law having an impact on engineering and construction. Union organization and activities. Government contracting and the laws governing it. Discussions of the Occupation Safety and Health Act and Americans with Disabilities Act. In-Depth look at environmental policy, laws, and regulations affecting engineering, including NEPA, CWA, SDWA, RCRA, CERCLA and CAA Water law. May not be used for degree credit withCIVE 5123. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4133Construction","Contracts and Specifications","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:The nature of contracts. Contract documents. Master format. Principles of specification writing. Contract types. Bonds and insurance. Bidding. Subcontracting. Disputes and disputes resolution. Course is a senior elective. May not be used for degree credit withCIVE 5133. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4143Environmental","Engineering Design","Civil Engineering (CIVE)","Prerequisites:Minimum grade of ""C"" in each;CIVE 3714andCIVE 3833andCIVE 3853andCIVE 4833, and within last semester of program completion. Description:Actors involved in the design of engineered environmental systems. Solving “real world” environmental engineering problems. Design experience using decision-making techniques, integrating and expanding upon current knowledge, and defending decisions made. Economic, environmental, social, and regulatory aspects of environmental engineering design. Capstone course. May not be used for degree credit withCIVE 4043. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4153Contract","Administration","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:Methods and techniques of tracking and control of construction projects. Evaluation of current research findings to contract implementation. Course is a senior elective. May not be used for degree credit withCIVE 5153. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4163Construction","Equipment Management","Civil Engineering (CIVE)","Prerequisites:Senior standing. Description:Analysis of construction equipment. Performance under various operating conditions. Application of engineering fundamentals to construction methods. Selection and costs of equipment, prediction of equipment production rates, and unit costs of work in place. Course is a senior elective. May not be used for degree credit withCIVE 5163. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4183Construction","Estimating","Civil Engineering (CIVE)","Prerequisites:Senior standing, and concurrent prerequisiteCIVE 4273with minimum grade of ""C."" Description:The construction industry, its makeup, operation, estimating, and bidding procedures. Theory and practice of estimating materials, labor, equipment, and overhead costs for various types of construction. Emphasis on preliminary cost estimates during the conceptual design phase of a construction project. May not be used for degree credit withCIVE 5183. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4193BIM","for Construction","Civil Engineering (CIVE)","Prerequisites:Senior standing, and concurrent prerequisiteCIVE 4273with minimum grade of ""C."" Description:The course focuses on advanced information systems used to control and predict project performance (cost and schedule) in construction. Building information Modeling is examined as a systems approach of integrating design and construction for the benefit of developing construction work packages, 4D simulations, clash detection, and the process of implementing BIM on an enterprise to project level. May not be used for degree credit withCIVE 5193. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4243Use","and Design of Geosynthetics","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3714with minimum grade of ""C."" Description:Description of types of geosynthetics available for engineering uses. Pertinent engineering properties required to design for various functions, basic design methodology for geosynthetics for various functions, and construction and performance considerations. May not be used for degree credit withCIVE 5243. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4273Construction","Engineering and Project Management","Civil Engineering (CIVE)","Prerequisites:Senior standing andENGR 1412with minimum grade of ""C."" Description:Principles and practice of construction engineering and project management. Project planning, development of cost estimates and project schedules, construction methods and fundamental terminology used in the engineering and construction industry. May not be used for degree credit withCIVE 5073. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4283Numerical","Methods in Geotechnical Engineering","Civil Engineering (CIVE)","Prerequisites:CIVE Professional School andCIVE 3714with minimum grade of C. Description:The course covers a brief review of some fundamental principles of finite element method and its application to problems in geotechnical engineering. Students will use computer programs to perform analysis of geotechnical earth structures including flow through porous media, unsaturated and expansive soils. May not be used for degree credit withCIVE 5283. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4293Design","and Analysis of Earth Retaining Structures","Civil Engineering (CIVE)","Prerequisites:CIVE professional school andCIVE 3714minimum grade of C. Description:Lateral earth pressure theories. Use of earth retaining structures in civil engineering construction. Design and analysis of gravity, sheet pile, soil nail, and MSE walls by hand calculation and with a computer program. May not be used for degree credit withCIVE 5293. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4303Systems","Analysis for Civil Engineers","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Synthesis of systems modeling and simulation techniques, mathematical optimization procedures, and evaluation tools of multi-attributed systems including utility theory and decision analysis. Mathematical optimization techniques in the areas of resource allocation, transportation and water resources systems planning, structural design, construction management, and environmental and ecological problems. Course is a senior elective. May not be used for degree credit withCIVE 5303. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4313Highway","Traffic Operations","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Level of service, capacity and service volume concepts. Operational characteristics of uninterrupted-flow and interrupted-flow of traffic facilities. The 1985 HCM procedures for analyzing the capacity of freeways, multi-lane and two-lane rural highways, urban arterials, signalized and unsignalized street intersections, and transit and pedestrian facilities. Administrative and planning actions for congestion management. Design alternatives and improvement strategies for effective use of urban arterial street width. Course is a senior elective. May not be used for degree credit withCIVE 5313. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4323Civil","Infrastructure Systems","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633with minimum grade of “C”. Description:The course presents a unified approach to the management of civil infrastructure systems. Topics of discussion include various aspects of asset management analytical methods, data collection technologies, life cycle cost, prioritization and optimization, climate change and sustainability. Types of infrastructure considered in the course include pavements (roads and airports), bridges, drainage and sewer systems, water supply systems, and power supply facilities. May not be used for degree credit withCIVE 5323. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4343Urban","Transportation Planning","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Determinants of demand for transportation and models for demand forecasting. Performance characteristics of transportation systems and models for performance. Quantitative analysis of multimodal transportation networks including prediction of flow patterns and service quality. Evaluation of social, environmental, and political impacts of transportation decisions. Application of systems analysis techniques to the generation, evaluation, and selection of alternative transportation systems. Course is a senior elective. May not be used for degree credit withCIVE 5343. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4363Design","and Planning of Airports","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Nature of civil aviation. Aircraft characteristics and performance related to airport planning and design. Air traffic control and navigation systems. Basics of airport planning and airport demand forecasting. Analysis of airport capacity and delays. Runway length requirements. Configuration and geometric design of runways, taxiways, holding aprons, and landing areas. Airport lighting, marking, and signing. Drainage and noise control. Course is a senior elective. May not be used for degree credit withCIVE 5363. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4373Design","of Traffic Control Systems","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Traffic control systems design, available technological options, and range of agency needs. Design of vehicle detectors, controllers, communications links, signal display hardware, and wiring. Development of timing plans using computer simulation models. Freeway surveillance and control: ramp metering, incident detection, and motorist information systems. Preparation of contractual documents and construction supervision. Course is a senior elective. May not be used for degree credit withCIVE 5373. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4383Geometric","Design of Highways","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3633or concurrent enrollment. Description:Geometric, functional, and aesthetic aspects of roadway design. Alignment, sight distance, at-grade intersections, interchanges, and freeway systems. Design tools and techniques. Course is a senior elective. May not be used for degree credit withCIVE 5383. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4403Advanced","Strength of Materials","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3413with minimum grade of ""C"". Description:General states of stress and strain, theories of failure, energy principles, beam bending, shear center, torsion of prismatic shafts, beams on elastic foundations, plates and shells, elastic stability. May not be used for degree credit withCIVE 5403. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4413Classical","and Matrix Methods of Structural Analysis","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3413with minimum grade of ""C"". Description:Advanced analysis of indeterminate frames, trusses and arches by classical, numerical, energy, and stiffness methods with emphasis on methods with emphasis on methods for hand computations and development of matrix analysis. May not be used for degree credit withCIVE 5413. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4483Concrete","Testing and Monitoring Methods","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3623with minimum grade of ""C,"" orCIVE 3523with minimum grade of ""C."" Description:Standard and advanced concrete testing and monitoring methods used for strength assessment of concrete, along with other various material properties and integrity issues in the laboratory and in the field. Principles, applications and limitations, procedures, equipment operation and result interpretation are discussed for each destructive and non-destructive evaluation technique reviewed:  mechanical, chemical, electrical, ultrasonic and acoustics, thermography, radiography. This course includes a laboratory session to develop manipulation skills and review concepts presented in lectures. Course is a senior elective. May not be used for degree credit withCIVE 5483. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4493Infrastructure","Condition Assessment and Repair","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3623with minimum grade of ""C,"" andCIVE 3523with minimum grade of “C.” Description:The course provides guidelines on how to conduct a practical condition assessment of reinforced concrete infrastructure, which includes discussions on performing condition surveys, preliminary and detailed investigations; along with concrete properties, distress features and associated causes, diagnostics testing; reporting findings and recommendation. It also includes a discussion in basic repair methods and materials. Course is a senior elective. May not be used for degree credit withCIVE 5493. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4513Advanced","Reinforced Concrete Design","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3523with minimum grade of ""C"". Description:Advanced topics in reinforced concrete design with emphasis on frames, slabs and earthquake resistant structures. May not be used for degree credit withCIVE 5513. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4523Advanced","Steel Structure Design","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3513with minimum grade of ""C"". Description:Advanced topics in steel design such as plastic design, plate girders, composite design, fatigue and fracture, stability and bracing design. May not be used for degree credit withCIVE 5523. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4533Prestressed","Concrete","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3523with minimum grade of “C”. Description:Design of simple and continuous prestressed concrete beams. Behavior under overload. Calculation of prestress losses and deflections. May not be used for degree credit withCIVE 5533. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4563Structural","Dynamics","Civil Engineering (CIVE)","Prerequisites:Senior standing and minimum grade of ""C"" inCIVE 3413andENSC 2123. Description:Analysis of linear, elastic damped and undamped systems with single and multiple degrees of freedom undergoing free forced vibration. Lumped and distributed mass systems. Computational techniques to numerically integrate the equations of motion. May not be used for degree credit withCIVE 5563. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
"CIVE 4573Timber","Design","Civil Engineering (CIVE)","Prerequisites:Senior standing andCIVE 3513orCIVE 3523with minimum grade of ""C."" Description:Design of structural timber members, assemblies, and connections in accordance with ANSA/AF&PA, NDS specifications. Design, build, and test timber structure. Course is a senior elective. May not be used for degree credit withCIVE 5573. Contact hours:Lecture: 2 Lab: 2 Contact: 4 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Civil & Environ. Eng ","3"
"CIVE 4583Advanced","Construction Materials","Civil Engineering (CIVE)","Prerequisites:CIVE Professional School andCIVE 3623with minimum grade of “C.” Description:Undergraduate elective course addresses advanced topics on fundamental material properties and related design criteria for products commonly used in civil construction:  timber and engineered wood products, metals and alloys, polymers and fiber reinforced composites; and glass. Lectures will include material specific topics on:  physical, chemical and mechanical properties; fabrication methods; use and applications; standards, testing and quality control measures; selection and design criteria. May not be used for degree credit forCIVE 5583. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Civil & Environ. Eng ","3"
