Course Code,Course Name,Description
CAS CS 930,Directed Study: Algorithmic Information Theory,Graduate-level directed study in a topic in algorithmic information theory.
CAS CS 931,Directed Study: Algorithmic Information Theory,Graduate-level directed study in a topic in algorithmic information theory.
CAS CS 932,Directed Study: Algorithms,Graduate-level directed study in a topic in algorithms.
CAS CS 933,Directed Study: Algorithms,Graduate-level directed study in a topic in algorithms.
CAS CS 935,Directed Study: Complexity,Graduate-level directed study in a topic in complexity.
CAS CS 936,Directed Study: Complexity,Graduate-level directed study in a topic in complexity.
CAS CS 937,Directed Study: Cryptography,Graduate-level directed study in a topic in cryptography.
CAS CS 940,Directed Study: Artificial Intelligence,Graduate-level directed study in a topic in artificial intelligence.
CAS CS 941,Directed Study: Artificial Intelligence,Graduate-level directed study in a topic in artificial intelligence.
CAS CS 950,Directed Study: Computational Architecture,Graduate-level directed study in a topic in computational architecture.
CAS CS 951,Directed Study: Computational Architecture,DRS-COMP ARCH
CAS CS 952,Directed Study: Operating Systems,Graduate-level directed study in a topic in operating systems.
CAS CS 953,Directed Study: Operating Systems,Graduate-level directed study in a topic in operating systems.
CAS CS 960,Directed Study: Database Management Systems,Graduate-level directed study in a topic in database management systems.
CAS CS 961,Directed Study: Database Management Systems,Graduate-level directed study in a topic in database management systems.
CAS CS 979,Directed Study: Computer Graphics,Graduate-level directed study in a topic in computer graphics.
CAS CS 980,Directed Study: Computer Graphics,Graduate-level directed study in a topic in computer graphics.
CAS CS 995,Directed Study: Computer Science,Graduate-level directed study in a topic in computer science.
CAS EC 101,Introductory Microeconomic Analysis,"The first semester of a standard two-semester sequence for those considering further work in management or economics. Coverage includes economics of households, business firms, and markets; consumer behavior and the demand for commodities; production, costs, and the supply of commodities; price determination; competition and monopoly; efficiency of resource allocation; governmental regulation; income distribution; and poverty. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Critical Thinking. In 2019-20 this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Ethical Reasoning, Critical Thinking.
BU Hub Learn More"
CAS EC 102,Introductory Macroeconomic Analysis,"The second semester of a standard two-semester sequence for those considering further work in management or economics. National economic performance; the problems of recession, unemployment, and inflation; money creation, government spending, and taxation; economic policies for full employment and price stability; and international trade and payments. Carries social science divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Social Inquiry I. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS EC 201,Intermediate Microeconomic Analysis,"Undergraduate Prerequisites: (CASEC101) and (CAS MA 121 or CAS MA 123) or equivalent. - Determination of commodity prices and factor prices under the differing market conditions of competition and monopoly. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 202,Intermediate Macroeconomic Analysis,"Undergraduate Prerequisites: (CASEC102) - Determination of aggregate income and employment. Analysis of fiscal and monetary policy. Inflation and income policy. Problems of the open economy. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 203,Empirical Economics 1,"Undergraduate Prerequisites: (CASEC101 & CASEC102) - First semester of a two-semester sequence of empirical techniques used in economic analysis. Statistical concepts are presented and applied to a variety of economics problems. Extensive use of the statistical software package STATA will be made. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Quantitative Reasoning I.
BU Hub Learn More"
CAS EC 204,Empirical Economics 2,"Undergraduate Prerequisites: (CASEC101 & CASEC102) and CAS EC203 (or equivalent). - Second semester of a two-semester sequence of empirical techniques used in economic analysis. Statistical concepts are presented and applied to a variety of economics problems. Extensive use of the statistical software package STATA will be made. Builds on the material in EC203, developing more complex statistical techniques and applications. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Quantitative Reasoning II. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Research and Information Literacy.
BU Hub Learn More"
CAS EC 221,Intermediate Microeconomic Theory,"Undergraduate Prerequisites: (CASEC101 & CASEC102 & CASMA225) - A mathematically rigorous approach to intermediate microeconomic theory. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 222,Intermediate Macroeconomic Theory,"Undergraduate Prerequisites: CAS EC 101, CAS EC 102, CAS MA 225, as well as CAS EC 221. - A mathematically rigorous approach to intermediate macroeconomic theory. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 223,Statistical Analysis,"Undergraduate Prerequisites: (CASEC101 & CASEC102 & CASMA225) - This is an introductory mathematical statistics course, covering probability theory, statistical inference and an introduction to regression analysis. The course aims at providing students with the necessary background to progress to higher level econometrics and applied economics courses. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Critical Thinking.
BU Hub Learn More"
CAS EC 224,Econometric Analysis,"Undergraduate Prerequisites: (CASEC101 & CASEC102 & CASEC223 & CASMA225 & CASMA242) - Standard econometric methods for empirical economic research, developed in a mathematically rigorous framework using linear algebra. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Critical Thinking.
BU Hub Learn More"
CAS EC 320,Economics of Less-Developed Regions,"Undergraduate Prerequisites: (CASEC101 & CASEC102) - Theoretical and empirical examination of the structural changes associated with the process of economic development; special reference to poor regions and countries; rigorous analysis of criteria for policy judgments in developing planning and programming. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Social Inquiry II.
BU Hub Learn More"
CAS EC 323,Behavioral Economics,"Undergraduate Prerequisites: (CASEC201 & CASEC203) - Introduction to a new field in economics that challenges the traditional model of rational decision-making and uses research in psychology to construct alternative models. Covers the theory of choice under certainty, uncertainty, and temptation; biases in judgment; social preferences. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 325,The Economics of Poverty and Discrimination in the United States,"Undergraduate Prerequisites: (CASEC201 & CASEC305) (or CASEC203 or CASEC303). - Examines who is poor in the United States and how the evidence of poverty has changed over time. Various economic theories for the causes of poverty and discrimination are presented for examination and discussion. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Quantitative Reasoning II, Critical Thinking.
BU Hub Learn More"
CAS EC 328,Urban and Regional Economics,"Undergraduate Prerequisites: (CASEC201 & CASEC203) - Provides a broad introduction to modern regional and urban economics. In the first part of the course, we attempt to understand how and why cities grow and develop. In the second part of the course, we try to analyze why cities adopt different policies. In the third part of the course, we overview the issues of neighborhood inequality and segregation. If time remains, we will overview several other recent topics about urban and regional economics. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II.
BU Hub Learn More"
CAS EC 332,Market Structure and Economic Performance,"Undergraduate Prerequisites: (CASEC201) - Structure of the American economy. The theory of imperfect competition. Topics include firm concentration and conglomeration, consumer ignorance and market failure, and advertising and technological change as part of market performance. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 333,Market Organization and Public Policy,"Undergraduate Prerequisites: (CASEC201 OR CASEC332) - Introduction to antitrust and regulatory policy. Studies sources of market inefficiency and historical and current policy towards topics such as collusion, merger, monopolization, and regulatory treatment of competition issues. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Historical Consciousness, Critical Thinking.
BU Hub Learn More"
CAS EC 337,Economic Analysis of Legal Issues,"Undergraduate Prerequisites: (CASEC201) First Year Writing Seminar (e.g., WR 100 or WR 120) - Economic analysis of current important legal issues. Contributions of economics to analysis of contracts, torts property, and crime. Effects of property rights on allocation of resources and distribution of income. Market and nonmarket schemes of regulating the environment. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Ethical Reasoning, Research and Information Literacy.
BU Hub Learn More"
CAS EC 341,Monetary and Banking Institutions,"Undergraduate Prerequisites: (CASEC202) - Survey of commercial and central banking institutions. Examination of macro relations between financial organizations and principal objectives of stabilization policy. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Critical Thinking.
BU Hub Learn More"
CAS EC 342,Monetary and Banking Theory,"Undergraduate Prerequisites: (CASEC341) or consent of instructor. - After a brief survey of the development of modern monetary theory, concentration on selected theoretical aspects of monetary economics and financial organization covered in CAS EC 341. Additional emphasis on capital theory and macroeconomic models. Research paper required. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry II, Research and Information Literacy.
BU Hub Learn More"
CAS EC 348,Dynamic Macroeconomics,"Undergraduate Prerequisites: (CASEC202) - Studies macroeconomics as a process evolving over time with applications to the dynamics of growth, recessions, fiscal policy, inflation, international trade and banking."
CAS EC 356,Economics of the Labor Market,"Undergraduate Prerequisites: (CASEC201) - Application of current theories of labor supply and demand, wages, education and experience, immigration, labor efficiency, discrimination, and unemployment. Appraisal of the effects of government policies on labor markets. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II.
BU Hub Learn More"
CAS EC 358,Economics of Education,"Undergraduate Prerequisites: (CASEC201 & CASEC204) or equivalent, or consent of the instructor. - Uses economic models to understand individuals' decision to invest in education, analyzes the effect of education, and examines policies impacting K-12 and higher education in the US. A variety of econometric methods are utilized throughout the course. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II.
BU Hub Learn More"
CAS EC 363,Race and the Development of the American Economy: A Global Perspective,"Undergraduate Prerequisites: (CASEC101) or consent of instructor. - (Meets with CAS AA 363.) Surveys the economic history of African Americans within the context of the long run development of the American and global economies. Topics include basic features of American economic growth in the long run; the economics of slavery; the Civil War and the aftermath of slavery; the evolution of racial inequality from the end of the Civil War to the present. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Social Inquiry II.
BU Hub Learn More"
CAS EC 365,Economic Institutions in Historical Perspective,"Undergraduate Prerequisites: CASEC 201 and CASEC 202. - Historical development of state finance since antiquity. Topics include the impact of geography and climate, the interaction of political and economic interests, income distribution, and ideological support for economic policies. Some comparisons will be made between developments in the East and West. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness , Quantitative Reasoning I.
BU Hub Learn More"
CAS EC 367,Economics of the Public Sector,"Undergraduate Prerequisites: (CASEC201) - Basic principles of public finance; consideration of classical and modern attitudes toward government revenues and expenditures. Survey of problems related to public debt and budget making. Evaluation of fiscal policy as an instrument of control. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II.
BU Hub Learn More"
CAS EC 368,Contemporary East Asian Economics,"Undergraduate Prerequisites: (CASEC101 & CASEC102) - Meets with CAS IR 368. An introduction to the economic history and institutions of Japan, Korea, Taiwan, and China. Topics include structural change, trade, labor markets, corporate organization, financial systems, and macroeconomic and industrial policy. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS EC 369,Economic Development of Latin America,"Undergraduate Prerequisites: (CASEC101 & CASEC102) - Contemporary issues of economic and social policy. Macroeconomic issues: inflation, stabilization, and the debt crisis. Foreign trade and economic restructuring. Poverty and income distribution. Role of the state. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness, Critical Thinking.
BU Hub Learn More"
CAS EC 370,The Chinese Economy,Undergraduate Prerequisites: (CASEC201 & CASEC202 & CASEC203) - Introduces the working of the Chinese economy. Combines historical-institutional and theoretical- quantitative approaches to study the transformation of China's economy into a market economy with special characteristics.
CAS EC 371,Environmental Economics,"Undergraduate Prerequisites: (CASEC201) - Role of economics in environmental planning. Economic analysis of the causes of pollution and its control through taxes, the use of property rights, and standards. Application of cost-benefit models as an aid in policy decisions affecting the environment. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Global Citizenship and Intercultural Literacy, Teamwork/Collaboration.
BU Hub Learn More"
CAS EC 377,"Government, Business, and Labor","Undergraduate Prerequisites: (CASEC201) - Examines economic growth from the perspective of the structure, conduct, and performance of business. Combines economic theories of conduct and strategy with industry case studies and evaluates the effect of government policy toward business and labor on the performance of the economy."
CAS EC 379,"Firms, Markets, and Economic Development","Examines the interlinked roles of business and politics in the process of economic development, with the objective of providing a framework for understanding how the private and public sectors work together to help (or impede) economic growth."
CAS EC 385,Economics of Sports,"Undergraduate Prerequisites: (CASEC201 & CASEC203) - Applies the tools of microeconomic theory and empirical methods to study such questions as the optimal design of sports leagues, the impact of new stadiums on a local economy, fan (customer) discrimination, and salary differentials between players. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 387,Introduction to Health Economics,"Undergraduate Prerequisites: (CASEC201) - Concepts of health economics for US and international settings. Topics include models and empirical analyses of moral hazard, adverse selection, health care systems, health insurance, hospital and physician behavior, pharmaceutical markets, consumer demand, alternative payment systems, risk, fairness, imperfect information, and topics in experimental and behavioral economics. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Social Inquiry II.
BU Hub Learn More"
CAS EC 390,Special Topics in Economics,Topics and pre-requisites vary. May be repeated for credit if topic is different. One topic is offered in Spring 2024. Section A1: Political Economy. Studies models of political competition to understand how societies decide on public policies. Discusses the idea of rational choice for a society when the members of that society differ in how they rank different alternatives. Models are applied to public policy issues such as income redistribution and political corruption.
CAS EC 391,International Trade,"Undergraduate Prerequisites: (CASEC201) - Why do countries trade with each other? Who gains and who loses from international trade? What effect does trade have on consumer prices, wages, profits, income inequality, economic growth, and the environment? What are the costs and benefits of tariffs and other trade barriers? How have NAFTA and the European Union affected trade patterns, income distribution, and economic development? What effects do capital flows and migration have on sending and receiving countries? This course will use economic analysis to discuss these and other current international economic polies. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Social Inquiry II.
BU Hub Learn More"
CAS EC 392,International Macroeconomics,"Undergraduate Prerequisites: (CASEC202 & CASEC203) or equivalent. ; Undergraduate Corequisites: (CASEC204)or equivalent. - This course analyzes what determines exchange rates, including interest rates, fiscal and monetary policies, GDP growth, inflation, and other factors. We will examine the causes of exchange rate crises, the functioning of fixed and flexible exchange rate systems, the effect of the worldwide saving imbalance, the crisis in the euro zone, as well as other current topics. We will also study hedging and speculating in foreign exchange markets by using futures and forward contracts and options. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Social Inquiry II.
BU Hub Learn More"
CAS EC 401,Senior Independent Work,Undergraduate Prerequisites: CAS EC 305 or MA 214 strongly recommended - SR INDEP WORK
CAS EC 402,Senior Independent Work,Undergraduate Prerequisites: CAS EC 305 and MA 214 strongly recommended. - SR INDEP WORK
CAS EC 403,Game Theory,"Undergraduate Prerequisites: CAS EC 201 and (CASMA121 or CASMA123 or CASMA127); or consent of inst ructor. - Models of decision-making in which the choices of different individuals interact: basic equilibrium notions in normal-form and extensive-form games, including signaling games and repeated games. Applications may include oligopolies, auctions, foreign policy, takeover bids, entry deterrence, cooperation and conflict, financial markets, and public goods. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 404,Economics of Information,"Undergraduate Prerequisites: (CASEC201) and one of CAS MA 121, 122, 123, 124, 127 or 129, or consent of instru ctor. Recommended: CAS EC 403. - Introduction to the field of information economics and its applications. Covers a wide range of situations in which players have access to different private information and this private information differently affects their incentives and strategic behavior. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 405,Applied Econometrics: Time Series,"Undergraduate Prerequisites: CASEC 201 (or EC 221), CASEC 202 (or EC 222), and CASEC 204 (or EC 224). - Studies commonly used econometric models used with cross-sectional and panel data. Covers binary response models (Logit, Probit), panel data methods and instrumental variables estimation. The emphasis is on applications and data analysis using Stata. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Quantitative Reasoning II, Research and Information Literacy.
BU Hub Learn More"
CAS EC 406,Applied Econometrics: Cross-Sectional,"Undergraduate Prerequisites: CASEC 201 (or EC 221), CASEC 202 (or EC 222), and CASEC 204 (or EC 224). - Studies commonly used econometric models used with cross-sectional and panel data. Covers binary response models (Logit, Probit), panel data methods and instrumental variables estimation. The emphasis is on applications and data analysis using Stata.. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive, Quantitative Reasoning II, Research and Information Literacy.
BU Hub Learn More"
CAS EC 411,Economics Practicum 1,Undergraduate Prerequisites: students required to find internships independently and then locate an Economics advisor to instruct the practicum. Consent of faculty requi red. - For students who wish to receive credit towards graduation for internships related to economics. Studies the interaction of academic studies and work experience.
CAS EC 412,Economics Practicum 2,Undergraduate Prerequisites: students required to find internships independently and then locate an Economics advisor to instruct the practicum. Consent of faculty requi red. - For students who wish to receive credit towards graduation for internships related to economics. Studies the interaction of academic studies and work experience.
CAS EC 436,Economics of Corporate Organization,"Undergraduate Prerequisites: CASEC201; and CASMA121 or CASMA123 or CASMA127; and CASEC305 or CASMA2 13; and CASMA214, or SMGSM221. - Economic analysis of the architecture of firms and other organizations. Topics include firm boundaries, the allocation of ownership and control, integration and outsourcing, corporate governance, performance evaluation, and compensation. Effective Spring 2024, this course fulfills a single unit in each of the following BU HUB areas: Quantitative Reasoning II, Social Inquiry II, Critical Thinking.
BU Hub Learn More"
CAS EC 445,Economics of Risk and Uncertainty,"Undergraduate Prerequisites: (CASEC201 & CASEC202 & CASEC203 & CASEC204) and CAS MA 121 or CAS MA 123 (or equivalent). - For advanced undergraduates. Economics of risk, with a focus on financial markets. Topics include expected utility, portfolio choice and the capital asset pricing model, interest rates and monetary policy, the relation between the real economy and the stock market. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Social Inquiry II.
BU Hub Learn More"
CAS EC 490,Special Topics in Economics,"May be repeated for credit as topic varies. Topic for Fall 2021, Section A1: Applied Econometrics: Time Series. Studies time series modeling and its applications. Covers estimation, inference and forecasting in univariate and multivariate models for times series data. The emphasis is on real data applications to finance markets, economic growth, and detecting recessions using Stata."
CAS EC 491,Directed Study in Economics,DIRECTED STUDY
CAS EC 492,Directed Study in Economics,DIRECTED STUDY
CAS EC 501,Microeconomic Theory,"Undergraduate Prerequisites: CASEC201 or equivalent, and either CASEC505 or CASMA225, or consent of instructor. - Covers the basic concepts and mathematical methods of microeconomic theory. Topics include consumer demand and its foundation on preferences and budget constraints, economics of uncertainty and imperfect information, production theory, applied competitive equilibrium analysis, elementary game theory, and imperfect competition."
CAS EC 502,Macroeconomic Theory,"Undergraduate Prerequisites: CAS EC 202 or equivalent, or consent of instructor. - Graduate Prerequisites: EC 202 or equivalent, or consent of instructor. - Brief overview of macroeconomics, leading to mathematical models on long-run economic growth and inflation, and on short-run fluctuations with emphasis on the role of fiscal and monetary policy. Readings from research journals; introduction to analysis of macroeconomic data."
CAS EC 505,Elementary Mathematical Economics,"Undergraduate Prerequisites: (CASMA121) or consent of instructor. - Graduate Prerequisites: (CASMA121) or consent of instructor. - Stresses the formulation of economic problems in mathematical terms. Topics covered include partial derivation, total differentials, constrained maximization, matrix algebra, dynamic analysis, and discounting. Cannot be taken for credit by concentrators in Mathematics or Economics and Mathematics."
CAS EC 507,Statistics for Economists,"Undergraduate Prerequisites: (CASEC203 OR CASEC303) or equivalent and elementary calculus. - Graduate Prerequisites: (CASEC203 OR CASEC303) Elementary Calculus. - Covers descriptive statistics, measures of association, dispersion, frequency distribution, probability, sampling distributions, estimation, and hypothesis tests. Introduces multivariate regression analysis, with emphasis on specification, testing, and interpretation of econometric models. Requires working with data and use of statistical software."
CAS EC 508,Econometrics,"Undergraduate Prerequisites: (CASEC507) and for undergraduate students only, (CASEC204 or CASEC304). - Graduate Prerequisites: (CASEC507) - Standard econometric methods for empirical economic research in academic or business settings. Basic concepts: quantification of uncertainty using confidence intervals, inference of causal relationships in regressions, and prediction based on regression estimates. Working with data and use of statistical software."
CAS EC 513,Game Theory,"Undergraduate Prerequisites: (CASMA121 OR CASMA122 OR CASMA123 OR CASMA124 OR CASMA127 OR CASM A129) or instructor's permission. - Mathematical models of decision-making and strategic interactions: basic equilibrium notions in normal form games, including signaling games and repeated games. Applications include auctions, foreign policy, takeover bids, entry deterrence, cooperation and conflict, financial markets, and public goods."
CAS EC 515,Economics of Information,"Undergraduate Prerequisites: (CASEC201) and one of CAS MA 121, 122, 123, 124, 127 or 129, or consent of instru ctor. Recommended: CAS EC 403. - Introduction to mathematical models of information economics and their applications. Covers a wide range of situations in which players have access to different private information and this private information differently affects their incentives and strategic behavior."
CAS EC 521,Development Policy,"Undergraduate Prerequisites: (CASEC201 & CASEC202) - Graduate Prerequisites: (CASEC303 & CASEC304) - Rigorous and quantitative analysis of the problems of economic development, with emphasis on economic growth, macroeconomic stability, income distribution, and structural change. In a case study using historical data, students analyze a current problem and policy measures that might address it."
CAS EC 523,Economics and Psychology,"Prerequisites: CASEC201 or EC221 or EC501. - Introduction to a field of economics that challenges the traditional model of rational decision-making and uses research in psychology to construct alternative models. Covers the theory of choice under certainty, uncertainty, and temptation; biases in judgment; social preferences."
CAS EC 531,Market Structure and Industrial Organization,"Undergraduate Prerequisites: (CASMA121) or a more advanced calculus course) and CASEC201 (or a more advanced m icroeconomics course), or consent of instructor. - Mathematical models and quantitative analysis of the main interactions between firms and consumers under different market conditions and market structures. Among the issues discussed: profit maximization, monopoly power, price discrimination, bundling, oligopoly and imperfect competition, entry deterrence, quality choice, and advertising."
CAS EC 536,Economics of Corporate Organization,"Mathematical models and quantitative analysis of the architecture and performance of firms and other organizations. Topics include firm boundaries, the allocation of ownership and control, integration and outsourcing, corporate governance, performance evaluation, and compensation. May not be taken for credit in addition to CAS EC 436."
CAS EC 541,Topics in Monetary Theory and Macroeconomics,"Undergraduate Prerequisites: consent of instructor. - Combines monetary economics, macroeconomics, and finance. Mathematical models and quantitative analysis of the interactions among money, interest rate, and consumption and their consequences for monetary policy and asset prices (bonds, stocks, and currencies). Real-world data and econometric methods are also used."
CAS EC 542,Money and Financial Intermediation,"Undergraduate Prerequisites: (CASEC341 OR CASEC342) or consent of instructor. - Graduate Prerequisites: (CASEC341 OR CASEC342) or consent of instructor. - Quantitative analyses of the role of money in the economy, financial institutions, the money supply process, models of money demand, financial markets, interest rates, asset prices. Study of monetary policy transmission, financial intermediary management and regulation, derivatives and risk management."
CAS EC 544,Introduction to Economic Dynamics,"Undergraduate Prerequisites: CASEC201 or EC501, or equivalent; and CASEC202 or EC502, or equivalent ; and CASMA121 or MA123 or MA127 or EC505, or equivalent; and CASEC507 , or equivalent. - An introduction to the theory and applications of dynamic optimization and equilibrium analysis in discrete time. Focuses on numerical methods for solving many economic problems. Topics include difference equations, dynamic programming, and business cycle models."
CAS EC 545,Financial Economics,"Undergraduate Prerequisites: (CASEC201 & CASEC202) and (CASEC203 or CASEC303) and one approved Calculus Course (CASMA121, 122, 123, 124, 127, or 129) or consent of instructor. - Provides a sound understanding of the economic principles of finance, including the financial decisions and capital structure of a corporation, and its relation to capital markets. Models of capital asset pricing and investors' behavior are also discussed."
CAS EC 551,Economics of Labor Markets,"Undergraduate Prerequisites: (CASEC201 & CASEC202) or consent of instructor. - Economic behavior of labor markets and labor market institutions in the United States. Wage determination, labor allocation, discrimination, economics of trade unions, and industrial relations. Implications of labor market behaviors for public policy."
CAS EC 561,Public Economics I,"Undergraduate Prerequisites: (CASEC201) or consent of instructor. - Quantitative and microeconomic analysis of public-policy decisions worldwide, by means of applied welfare economics or cost-benefit analysis. Applications include project evaluation, taxation, regulation, shadow pricing, privatization, policy impact analysis, and valuation of external effects such as pollution and congestion."
CAS EC 563,Race and the Development of the American Economy: A Global Perspective,"Undergraduate Prerequisites: (CASEC101) - Surveys African-American economic history in the context of the development of American and global economies, using available data and econometrics methods. Topics include: economics of slavery; race and industrialization; the Great Migration; anti-discrimination legislation; historical origins of contemporary racial inequalities. (Meets with CAS AA 563.)
BU Hub Learn More"
CAS EC 565,Economic Institutions in Historical Perspective,"Undergraduate Prerequisites: (CASEC101) - Graduate Prerequisites: (CASEC101) - Historical development and role of institutions underlying market economies. Topics include contract enforcement and trading institutions, financial institutions, property rights in land, environmental resources such as water management and fisheries, economic infrastructure, regulation of labor, and capital markets.
BU Hub Learn More"
CAS EC 571,Energy and Environmental Economics,"Undergraduate Prerequisites: (CASEC201 OR CASEC501) - Graduate Prerequisites: (CASEC201 OR CASEC501) - Environmental resources and markets characterized from physical, economic, and legal standpoints. Welfare arguments for public sector intervention. Methodologies for policy assessment and simulation analyzed, including project analysis, new technology, evaluation models, deterministic and econometric models."
CAS EC 572,Public Control of Business,"Undergraduate Prerequisites: (CASEC201 OR CASEC501) - Examines economic theory and case studies of antitrust policy, government regulation of private industry and operation of state owned enterprises. Case studies are drawn from both industrialized and developing countries."
CAS EC 581,Health Economics I,"Undergraduate Prerequisites: (CASEC501) or consent of instructor. - Graduate Prerequisites: (CASEC501) or consent of instructor. - Quantitative analyses of demand for insurance and healthcare, moral hazard, adverse selection, healthcare supply, quality and price competition. Physician agency, payment systems, capitation, risk management and managed care. Emphasis is on U.S. institutions, but concepts and methodology are applicable worldwide."
CAS EC 590,Special Topics in Economics,ay be repeated for credit as topics vary. One topic is offered in Fall 2024. Section AA: Political Economy. Studies game theoretical models of political competition to understand how societies decide on public policies. Discusses the idea of rational choice for a society when the members of that society differ in how they rank different alternatives. Models are applied to public policy issues such as income redistribution and political corruption.
CAS EC 591,International Economics,"Undergraduate Prerequisites: (CASEC304 & CASEC391) - Graduate Prerequisites: (CASEC303 & CASEC304) - Quantitative theory of international trade; empirical evidence from both industrialized and developing economies. Factor content of trade, technology and trade patterns, scale economies and imperfect competition, economic geography. Policy interventions: tariffs, exchange rates, trading blocs, and political economy of reform."
CAS EC 595,International Finance,"Undergraduate Prerequisites: (CASEC502) or consent of instructor. - Graduate Prerequisites: (CASEC502) or consent of instructor. - Applies economic tools to open-economy macroeconomics. Topics include the determinants of the current account, exchange rate management, international capital markets, and growth in the world economy. Topical issues: the formation of the Euro; debt and financial crisis in developing countries."
CAS EC 598,The Economics of Globalization,"Undergraduate Prerequisites: CASEC201 or EC501, or equivalent; CASEC203 or EC303 or EC507, or equi valent; CASEC391 or EC591, or equivalent; CASMA121 or MA123 or CASMA12 7 or EC505, or equivalent; or consent of instructor. - Analyzes various facets of globalization from both theoretical and empirical perspectives, using tools from international trade theory. Topics include firm-level trade patterns, multinational production, foreign direct investment, the creation of global vertical supply chains, outsourcing, and offshoring."
CAS EC 701,Microeconomic Theory 1,"Graduate Prerequisites: consent of instructor. - Neoclassical general equilibrium theory. Topics covered include consumption, production, existence of competitive equilibrium, fundamental welfare theorems, externalities, and uncertainty."
CAS EC 702,Macroeconomic Theory 1,Graduate Prerequisites: consent of instructor. - Introduction to topics and tools in macroeconomics. Dynamic programming and rational expectations; neoclassical growth and real business cycle models; investment and financial markets; analysis of frictional labor markets.
CAS EC 703,Microeconomic Theory 2,"Graduate Prerequisites: consent of instructor. - Noncooperative game theory. Economics of information: adverse selection, signaling, principal agent problem, moral hazard and introduction to mechanism design."
