"code","level","title","department","description"
"LANDARCH-591I","Graduate","Seminar- Sustaining Green Infrastructure Planning and Design","Landscape Architecture","Green infrastructure planning requires a systems approach to improving ecological function while providing vital ecosystem services for human populations. This course will introduce students to the concepts, theories, and applications of green infrastructure planning at multiple scales, including the site-level, neighborhood, and regional scales. Topic areas include hydrology, ecology, . transportation, and other systems. Case studies will be used to examine green infrastructure projects both domestically and internationally from a planning and policy perspective, as well as implementation. An integrated final project will allow students to apply course material for a green infrastructure plan."
"LEGAL-250","Undergraduate","Intro Legal Studies","Legal Studies","Interdisciplinary exploration of basic issues of law&#039;s relationship to contemporary society, in which law affects almost all human activity. Topics include the nature as well as historical and social functions of law; the culture and role of major actors in the legal system (lawyers, judges, juries, police, technology); tension between ideals and realities in law; role of law in addressing contemporary social problems. This general education course, based on the assumption that &quot;law is too important to be left to lawyers,&quot; is intended to foster analytical and critical skills and to discuss broad, interdisciplinary questions of individual responsibility, social morality, and justice. (Gen.Ed. SB, DU)"
"LEGAL-375","Undergraduate","Human Rights &amp; Wrongs","Legal Studies","Introduction to humanitarian law. Topics include theory and history of international human rights law, growth and nature of human rights organizations, regional human rights schemes, cross-cultural contexts and meanings for human rights, the politics and law of immigration and refugees, international criminal law and other mechanisms for humanitarian intervention. Prerequisite: course in Legal Studies or international politics. Satisfies the Integrative Experience requirement for BA-Legal major."
"LINGUIST-190D","Undergraduate","Data Science for Linguistics","Linguistics","This course presents an overview of the field of data science, with specific attention given to how data science can be applied to language. Participants will learn how to use identify and visualize patterns in data, use statistics to draw reliable conclusions, and make predictions about unobserved data. Emphasis throughout the course will be on students performing hands-on assignments that allow them to practice and demonstrate mastery of the skills covered in class."
"LINGUIST-201","Undergraduate","How Language Works: Introduction to Linguistic Theory","Linguistics","Introduction to the basic methodology and results of modern linguistics. Focus on developing, evaluating, and improving hypotheses concerning the structure of the language user&#039;s unconscious linguistic knowledge. Investigation of sentence structure (syntax), sound structure (phonology), word structure (morphology), and meaning (semantics). (Gen.Ed. R2)"
"LLAMS-1","Non-credit","Introduction to Arts Management","Arts Management (Non-Credit)","Arts Managers perform the work that is required to bring the arts and cultural programs to audiences, organizing programs such as festivals and exhibits, performing arts events and film screenings. This course will introduce you to the business of the arts, providing you with an overview of the careers in arts management, the types of work that arts managers do, and the current issues and trends now affecting arts management professionals. This course is designed for individuals who are new to the field of arts management, are considering an arts management career, or are interested in arts management principles for the purposes of starting one&#039;s own nonprofit. This course is a requirement for all UMass students joining the Arts Management program who do not have a minimum of three years in an arts management leadership position in a nonprofit arts institution or a State, Regional or National arts agency."
"LLAMS-13","Non-credit","Arts Marketing","Arts Management (Non-Credit)","&quot;Marketing is the most important tool to build awareness of your programs and services, and?if properly planned?can help you to reach new audiences and cultivate loyalty in your current audiences. This course will introduce you to the fundamentals of marketing for arts and cultural programs. You will learn basic marketing concepts, such as understanding the marketing mix, utilizing environmental analysis, developing positioning statements and branding an organization to help you formulate effective marketing strategies. Emphasis will be placed on understanding audiences and building participation in your programs and services. Assignments will culminate in the development of a marketing plan for your own nonprofit or a case study organization of your choosing. This course is designed for individuals with all levels of marketing experience in arts organizations and nonprofit agencies."
"LLAMS-21","Non-credit","Foundations in Arts Entrepreneurship","Arts Management (Non-Credit)","This non-credit course is designed as a primer in entrepreneurship for arts students and those in cognate fields. Students will examine the breadth of professional opportunities available in the Creative Economy and explore strategies for pursuing them. Based on these examinations, students will construct a personal mission statement, build an individualized portfolio of materials appropriate for professional development purposes, and begin a journal to formulate, collect, and grow creative venture ideas. Topics will include creative visioning, an introduction to the for-profit and non-profit economies, and relevant arts policy."
"LLC-321","Undergraduate","The Practice of Teaching English to Speakers of Other Languages","Languages, Literature and Culture","This course provides an introduction to practice of teaching English as an additional language. The focus throughout the course will be on how aspects of language teaching can be realized in practice, in a range of contexts or educational settings, and for learners of various proficiency levels and backgrounds. Students will gain experience creating lesson plans, classroom materials, and assessments. A significant component of the course consists of practicum-related tasks, such as classroom observations, teaching evaluations, tutoring and teaching demonstrations/practice."
"LLC-401","Undergraduate","Introduction to Translation","Languages, Literature and Culture","This course introduces students to translation history, theories, and practice. Coursework includes glossary development, applied translation strategies and techniques, translation of texts in different fields, reflection on translation performance, and exploration of different online and traditional research methods for source and target language terms. Course content also encompasses discussions of equivalence, linguistic and cultural considerations, an understanding of the translator as a social being, and translation as cultural mediation in a globalized world. By the end of the course, students will build a translation portfolio."
"LLC-402","Undergraduate","Fundamentals of Interpreting","Languages, Literature and Culture","This course introduces the complex task of spoken language interpreting, with a focus on developing critical-thinking, decision-making, cognitive skills related to interpreting, and basic interpreting skills. Coursework includes a historical overview of interpreting, typical settings, legal frameworks in different countries, codes of ethics and standards of practice in different subdomains, professional organizations, various theories and research in the field, role-play practice, and self-assessment."
"LLC-501","Graduate","Translation and Interpreting Ethics and Standards","Languages, Literature and Culture","This course introduces ethical considerations as they apply to the human activity of translation and interpreting. Coursework includes readings on ethical behavior and morality, discussions of accountability, professional translator and interpreter professional codes of ethics and standards of practice. Content also includes case studies involving controversial translation and interpreting practices, activism, translators and interpreters in conflict, and the advent of technologies and their impact."
"LLC-510","Graduate","Legal Interpreting","Languages, Literature and Culture","This course introduces students to interpreting in the legal setting and offers an overview of the requirements for certification. Coursework covers discussions regarding different types of courts and cases tried in courts. The course also introduces students to legal vocabulary and legal settings outside the courtroom."
"LLC-511","Graduate","Interpreting in Mental Health","Languages, Literature and Culture","Spoken language interpreters in mental health often make use of simultaneous interpreting as a mode that best provides language mediation in settings such as group therapy. Like other common modes of interpreting, simultaneous has a specific set of skills and strategies that interpreters need to develop. Coursework includes theoretical discussions of simultaneous interpreting and strategies, mental health diagnosis/treatment terminology, and practice."
"LLLAN-70","Non-credit","Beginning Italian Conversation","Languages (Non-Credit)",""
"LLLAN-84","Non-credit","Intermediate Italian Conversation","Languages (Non-Credit)",""
"LLMUS-100","Non-credit","Professional Performance Certificate","Music (Non-Credit)","This program, administered by the Department of Music and Dance, offers young performing musicians in the early stages of their careers the opportunity for private instruction with the faculty members of UMass Music Department and for participation in the many small and large ensembles of the UMass Music Departments. The prerequisite for participation in this program is an undergraduate degree in music or demonstrated equivalent musical training. The purpose of the Certificate program is to provide a concentrated year of artistic development, career preparation, and work experience for aspiring professional musicians."
"LLSC-123","Non-credit","Writing the College Application Essay","Summer College (Non-Credit)",""
"LLSTU-101","Non-credit","MTEL Prep Workshop Overview","Study Skills and Test Taking (Non-Credit)","In 2? hours we will familiarize you with the structure of the Communication and Literacy Skills (CLS) portion of the Massachusetts Test for Educator Licensure (MTEL), go over our proven strategies to help manage your time and test anxiety, and give you plenty of practice items. If your skills are strong, but you want to be well prepared for this demanding, high-stakes test, this workshop will give you the confidence and strategies you need to pass. Students cannot register or self-register through CPE for MTEL Workshops. Please contact the Educator Licensure Office to register at 413-545-2701."
"LLSTU-102","Non-credit","MTEL Prep Workshop Saturday","Study Skills and Test Taking (Non-Credit)","An alternative to our multi-session workshop for the Communication and Literacy Skills (CLS) portion of the Massachusetts Test for Educator Licensure (MTEL), this intensive daylong workshop takes place on Saturday. Come prepared for an in-depth review of written mechanics, grammar, writing, and reading comprehension. Lots of guided practice, practical advice about the structure of the test, and our unique strategies will ensure that you go into this test prepared and confident that you will pass. Students cannot register or self-register through CPE for MTEL Workshops. Please contact the Educator Licensure Office to register at 413-545-2701."
"LLSTU-103","Non-credit","MTEL Prep Workshop Multisession","Study Skills and Test Taking (Non-Credit)","In this intensive workshop of four 2-hour sessions we will cover the basics of writing an effective summary and essay which the Communication and Literacy Skills (CLS) portion of the Massachusetts Test for Educator Licensure (MTEL) requires under timed conditions. The instructor will provide you with individualized feedback so you will go into the test well prepared and knowing what to expect. You will learn the structure of the test and essential time management strategies. Students cannot register or self-register through CPE for MTEL Workshops. Please contact the Educator Licensure Office to register at 413-545-2701."
"M&amp;I-ENG-585","Graduate","Engineerng Law&amp;Ethcs","Mechanical and Industrial Engineering","Defines the nature of the law and legal system and considers its interaction with and impact on technical issues germane to engineers and scientists. Adresses ethical issues from the practice of engineering and science."
"M&amp;I-ENG-622","Graduate","Predictive Analytics and Statistical Learning","Mechanical and Industrial Engineering","Data analytics, statistical/machine learning, and predictive modeling are now used widely in all fields. The purpose of this course is to provide introductory knowledge that will help students understand the fundamentals of the field and use software packages to solve problems. The emphasis will be on applying the statistical methods to real data sets. The 600-level class will require students to explore topics in more depth. The computational assignments, which comprise 65% of the course, will test advanced concepts in statistical learning and predictive analytics in the higher-level offering."
"M&amp;I-ENG-623","Graduate","Prescriptive Analytics","Mechanical and Industrial Engineering","Prescriptive analytics is the process of utilizing and analyzing data to make &quot;optimal&quot; decisions. In this course we will build optimization tools for data-driven decision making using Python along with the Gurobi optimizer (available freely for teaching purposes). This course will start with an introduction to both Python and optimization modelling. We will rapidly progress to building large linear programming and mixed integer programming models that are often used for decision making in data-intensive businesses. Projects and case studies will introduce real-world data-rich settings to model and solve through Python-Gurobi. We will discuss how to interpret the solutions that are provided by the software and how to modify the models to accommodate a variety of practical scenarios. By the end of the course, students are expected to have a good grasp of modelling real-world, data-intensive optimization problems, and using Python-Gurobi to solve these problems."
"M&amp;I-ENG-645","Graduate","Project Budgeting and Finance for Engineers","Mechanical and Industrial Engineering","This course provides an overview of the fundamental concepts of basic accounting and finance, focusing on their application to managing engineering projects and organizations. Key topics covered include basic accounting terminology and methods, financial statements and how to interpret them, sources of finance available to businesses, engineering project accounting and financing, and personal and corporate financing basics."
"M&amp;I-ENG-646","Graduate","Fundamentals of Systems Engineering","Mechanical and Industrial Engineering","This course offers an examination of the principles of systems engineering (SE) and their application within engineering management contexts. Students will be introduced to the vocabulary and the core concepts and techniques (tools) of SE. Of particular focus is exploring how systems thinking, as a perspective, offers a valuable capability for holistically understanding and dealing with engineering management problems and challenges."
"M&amp;I-ENG-664","Graduate","Engineering Leadership and Entrepreneurship","Mechanical and Industrial Engineering","This course prepares engineers to be leaders in organizations of varying size by simulating the planning, decision-making, and communication needed to take an idea from germination to execution and delivery, scaling a team from a few people to a ~200 person organization. You will be the VP of Engineering of your own startup where you will pitch an idea, develop it, plan the resources needed to deliver it, hire a team, and manage the organization. You will learn the entrepreneurial skills needed to harness innovation and discover customer needs, and the leadership skills needed to hire and manage an organization as it grows. You will learn the skills for effective and appropriate communications as you progress through the leadership pipeline."
"M&amp;I-ENG-671","Graduate","Product Management","Mechanical and Industrial Engineering","Product management has evolved into a critical function for modern organizations ranging from small startups to large corporations. The Product Management course focuses on deciding which product to build, creating a business case, working with engineering, and bringing it to market. It will provide current and aspiring product managers with practical advice on how to successfully define, develop, launch, and market new products. The course is intended for students with no prior product management experience who want to work in that role in a tech company or startup after graduation, as well as aspiring founders who want to learn more about the product development process. It will walk you through the product life cycle, from concept ideation to design and launch, while taking customer feedback into account and utilizing effective tools, processes, and determination to create a scalable product and manage it all the way to its end of life. It explains the product life cycle, market research, competitive analysis, market and pricing strategy, product roadmaps, the people skills required to effectively influence and negotiate, and much more. It will provide real-world, practical advice on how to create and capture value as a Product Manager, concentrating on the fundamental principles that underpin successful product innovation and management across a wide range of industries and individual organizations."
"MANAGMNT-301","Undergraduate","Principles of Management","Management","Overview of organizational behavior, operations management, and strategy/entrepreneurship. Topics include: Behavioral background of formal organizational life, organizational design, integrating factors in collective behavior, organizational change, systems analysis, techniques of decision making and control, the organization and its environment, and the nature of management theory. Topics grouped in modules of organizational behavior, operations management, and strategy/entrepreneurship. Prerequisite: junior standing."
"MANAGMNT-314","Undergraduate","Human Resource Management","Management","Theory and practice of human resource management. Topics include: recruitment and hiring, training and development, compensation, motivation, and employee services. Current issues in equal employment opportunity."
"MANAGMNT-331","Undergraduate","Organization Design and Change","Management","This course is part of the Management Department curriculum where the broad focus is on the reality of change. Our specific focus is on forming and transforming organizations. Topics include: varieties of organization structure and design, the challenges of organizational change, and understanding power and conflict in organizations. A recurring question in the course is &quot;what is a `good&#039; organization?&quot; (MANAGMNT 330 is a micro approach, focusing on individual and small groups; MANAGMNT 331 is a macro approach focusing on groups and organizations as a system in an environment.)"
"MANAGMNT-366","Undergraduate","Foundations of Sustainable Enterprise","Management","Examines current threats to the sustainability of the global economy, the environmental and social impacts of current business practices, and how both governmental regulations and for profit business initiatives are needed to address these issues."
"MANAGMNT-378","Undergraduate","Introduction to Global Business","Management","This course is intended to broaden knowledge and understanding of globalization, international trade and finance, economic integration, global strategy, and world culture. Students will get an overview of the environments, markets, institutions, challenges, strategies, and operations of international and cross-cultural business. The globalization of business and associated challenges posed for the competitiveness of the modern enterprise will be covered. Additionally, the orientations, strategies, and tactics appropriate for international business success will be explored. Students will develop an understanding of the ways that culture impacts commercial enterprise. The major trends and challenges to global business today will be a focus. In addition to this core material, students will have opportunities to explore topics of their own interest through readings, case studies and individual projects."
"MANAGMNT-494BI","Undergraduate","Business Policy and Strategy","Management","This course is designed to be highly integrative in that students use knowledge and tools from all functional areas of business to develop a &quot;whole organization&quot; perspective. In addition, they integrate by examining these functions within the context of business and societal environments, such as the competitive, political/legal, socio-cultural, technological, and economic. Furthermore, they integrate and further develop general education knowledge and skills, such as written and oral communications in each course assignment. Finally, the course includes a highly sophisticated online Capstone Simulation &quot;game&quot; whereby students (in teams of four) put their knowledge and skills obtained in all UMass courses and even life experiences into practice by operating a company over an 8-year period and competing with other firms (other teams of students). Students conduct professional business meetings, make professional presentations, and prepare strategic plans for their &quot;simulated&quot; companies. Satisfies the Integrative Experience requirement for BBA-Acctg, BBA-Finan, BBA-OpInfo, BBA-Mgt, and BBA-Mktg majors."
"MANAGMNT-534","Graduate","Strategic Compensation","Management","This course explores the objectives, procedures, and problems involved in the establishment and administration of employee and executive compensation plans. The focus is on how managers can use compensation strategy to attract, retain, and motivate valued employees, while controlling labor costs."
"MARKETNG-301","Undergraduate","Fundamentals Of Marketing","Marketing","Introduction to marketing; survey of topics relevant to comprehensive study of marketing. Emphasis on describing the marketing process and on stressing the implications of these activities for society."
"MARKETNG-412","Undergraduate","Marketing Research","Marketing","Introduces primary and secondary data collection and analysis as a means to assess consumer behavior and develop effective marketing strategies; incorporates the use of technology in data collection and analysis. Prerequisites: MARKETNG 301; STATISTC 140 or 141 or RES-ECON 211 or 212."
"MARKETNG-437","Undergraduate","International Marketing","Marketing","The cultural, economic, social, legal, political, or organizational forces that influence multinational marketing operations. Prerequisite: MARKETNG 300 or 301."
"MATH-100","Undergraduate","Basic Mathematics Skills for the Modern World","Mathematics","Topics in mathematics that every educated person needs to know to process, evaluate, and understand the numerical and graphical information in our society. Applications of mathematics in problem solving, finance, probability, statistics, geometry, population growth. Note: This course does not cover the algebra and pre-calculus skills needed for calculus. (Gen.Ed. R1)"
"MATH-127","Undergraduate","Calculus for the Life and Social Sciences I","Mathematics","Basic calculus with applications to problems in the life and social sciences. Functions and graphs, the derivative, techniques of differentiation, curve sketching, maximum-minimum problems, exponential and logarithmic functions, exponential growth and decay, and introduction to integration. Prerequisite: proficiency in high school algebra, including word problems. Honors sections available. (Gen.Ed. R2) [Note: Because this course presupposes knowledge of basic math skills, it will satisfy the R1 requirement upon successful completion.]"
"NRC-235","Undergraduate","Sensible Pruning for Beginners &amp; Experts","Natural Resources Conservation","Planted along roads or in yards, community trees provide many benefits; for every dollar invested in their care, trees provide up to five dollars in benefits. In this class, we will discuss all aspects of pruning - how-to, timing, tools, types, objectives - and how trees respond to pruning. The course is suitable for all levels of experience and does not require any previous knowledge of tree biology."
"NRC-310","Undergraduate","Community Forestry","Natural Resources Conservation","Management principles of municipal and utility tree care, land use problems, tree laws and ordinances."
"NURSING-210","Undergraduate","Human Development Throughout the Life Cycle","Nursing","The study of human growth and development from a lifespan perspective, emphasizing the evolution of the whole individual. Gross and fine motor development, cognitive growth, language development, and social growth at each age level. The interaction of such variables as culture, ethnicity, class, and gender. Major trends and issues with a focus on individual, institutional, contextual, and cultural influences and effects. Open to non-majors."
"NURSING-334","Undergraduate","Pathophysiology/Pharmacology in Nursing Part II","Nursing","This course explores major elements of specified disease processes at the cellular, tissue, and organ levels and the pharmacological agents used to treat, prevent or cure diseases across the lifespan. Students examine processes that interfere with human health and underlie disease, address pathological changes in the body, and integrate this knowledge with pharmacological therapy and safe medication management. Nurses must have an understanding of pathophysiology and a current knowledge of pharmacology in order to optimally provide for the health needs and safety of patients."
"NURSING-408","Undergraduate","Issues in Women&#039;s Health","Nursing","Students will explore the health needs of women across the lifespan and within the social context of health determinants that affect the life and health of women across cultures."
"NURSING-409","Undergraduate","Nursing Care in the Neonatal Intensive Care Unit","Nursing","This course introduces students to neonatal nursing (neonates born prematurely/ill and requiring NICU care). Students will examine the pathophysiology of the premature/ill neonate and management of the neonate and family."
"NURSING-436","Undergraduate","Comprehensive Nursing","Nursing","This required theory course focuses on concepts of restorative nursing care of adults."
"NURSING-437","Undergraduate","Comprehensive Nursing: Practicum","Nursing","This course focuses on the role and responsibilities of the nurse in assisting clients of all ages and their families in management of human responses to complex health disruptions. Selected nursing diagnoses are used to organize and delineate the content. Clinical practice will take place in hospital and community settings."
"NURSING-438","Undergraduate","Professional Role in Nursing","Nursing","Theory course focusing on historical, ethical, legal, political, societal and organizational issues to analyze professional nursing roles. The process of change within organizations, communities and health systems will be explored."
"NURSING-439","Undergraduate","Community Health Nursing IVA: Community","Nursing","Synthesis of public health theory, epidemiology, theories of health promotion, and nursing theory enable students to identify health concerns and become involved in promoting health and wellness in selected communities, while emphasizing diversity. Concurrent with NURSING 489. Prerequisite: successful completion of Level I, II, and III nursing courses."
"NURSING-498T","Undergraduate","Practicum- Community Health Nursing","Nursing","The purpose of this clinical practicum is to provide the student with the opportunity to plan and provide community based nursing care and a population based intervention."
"NURSING-540","Graduate","Epidemiology for Clinicians","Nursing","This course provides in-depth theoretical knowledge on concepts and principles of epidemiology and its application in health promotion and disease prevention. Its focus will be on key areas of epidemiology."
"NURSING-560","Graduate","Simulation in Healthcare Education","Nursing","Critique theories associated with simulation, communication and evaluation of student outcomes. Reviews care of simulation equipment and software and how to create and facilitate simulations culminating with a developed simulation."
"NURSING-580","Graduate","Integrative Therapies in Health Care","Nursing","This course will examine integrative health therapies including the cultural contexts of health and health care, telehealth, dynamics of systems and individual change, and evidence-based analysis of therapeutic effectiveness."
"NURSING-590STA","Graduate","Portraying Simulated Health Disruptions","Nursing","This course is designed to prepare students to portray patients with common health disruptions during health care simulations, a primary teaching mechanism in academic programs and health care facilities."
"NURSING-614","Graduate","Advanced Health Assessment and Clinical Reasoning","Nursing","Classroom and laboratory practice and case-based approaches to health assessment and differential diagnosis of common health problems for diverse groups provide the context for advanced health assessment and clinical reasoning."
"NURSING-620","Graduate","Primary Health Care of Adults","Nursing","This course examines the role of the advanced practice nurse in the delivery of primary health care to adults and families from diverse backgrounds. Adult physical and psychosocial development, aging, family, health promotion, evidence- based practice and cost-effective management of common health problems are emphasized."
"NURSING-621","Graduate","Advanced Direct Care for Nurse Educators","Nursing","This supervised clinical practicum affords graduate students the opportunity to practice direct nursing care of diverse clients with varied needs in an identified area of nursing practice at an advanced level while collaborating with an interprofessional team."
"NURSING-622","Graduate","Advanced Practice Psychiatric-Mental Health Nursing with Adults and Older Adults","Nursing","This course prepares psychiatric mental health nurse practitioner (PMHNP) students to achieve competencies in the assessment, diagnosis and treatment of psychiatric disorders common in adult and older adults. Content focuses on etiology and symptomatology of disorders, including common physical disorders that may be present with psychiatric symptoms. The course fosters the development of skills in assessment, problem identification and decision-making with adults and older adults."
"NURSING-630","Graduate","Res Meth In Nursing","Nursing","Relationship between research and theory development and clinical practice in nursing. Includes research design, methods of data collection, and a variety of analytical procedures for interpreting results."
"NURSING-641","Graduate","Curriculum Development and Evaluation Process in Nursing","Nursing","This course focuses on developing the knowledge and skills of nurse educators in applying principles of curriculum development, evaluation and related processes in nursing education."
"NURSING-670","Graduate","Family Systems and Interventions in Nursing","Nursing","Selected concepts, theories, and research related to family dynamics and family coping. Strategies for advanced practice nurses to support family well being and mental health will be addressed."
"NURSING-698AD","Graduate","Practicum- Advanced Practice Psychiatric Mental Health Nursing with Adults &amp; Older Adults","Nursing","This course will consist of a supervised clinical practicum experience in a community based health care agency/facility providing advanced practice psychiatric-mental health care to adults and older adults."
"NURSING-698T","Graduate","Practicum- Teaching In Nursing","Nursing",""
"NURSING-698X","Graduate","Prc-Pc Adults:Sem II","Nursing","Contact department for description."
"NURSING-701","Graduate","Healthcare Quality","Nursing","This course will provide an overview of the history of the quality of care, with particular attention to the evolution of quality assessment, assurance, improvement, measurement, management, finance and research."
"NURSING-703","Graduate","Pharmacotherapy Management","Nursing","This case-based course integrates principles of pharmacology to construct, implement and evaluate optimal pharmacotherapeutic regimens commonly observed in various healthcare settings to prepare the practitioner for prescriptive authority."
"NURSING-704","Graduate","Health Disparities &amp; Social Justice","Nursing","Using group discussion, research, and community-based assignments, students will gain knowledge regarding the historical dimensions leading to health disparities, social injustice, and concepts of marginalization, poverty, race, class, and gender."
"NURSING-715","Graduate","Intermediate Biostatistics","Nursing","This course focuses on statistiacl techniques frequently used in health sciences research and on the use of analytic software to create, manage and analyze data on personal computers"
"NURSING-750","Graduate","Advanced Public Health Nursing II","Nursing","Examination of the theories, models and process of public heatlh program planning, with a focus on designing, implementing, monitoring, and evaluating population-based public health programs, including effective grant writing strategies."
"NURSING-798LL","Graduate","P-Adv Pub Hlth Nursng Pract II","Nursing","Description not available at this time"
"NURSING-798U","Graduate","Capstone II: DNP Project Proposal Development","Nursing","This course focuses on initial discussion of and assignments regarding health intervention planning, implementation, and evaluation for the development of the DNP Capstone Project Proposal."
"NURSING-898A","Graduate","Practicum- Capstone V: DNP Project Completion, Evaluation, and Dissemination","Nursing","Description not available at this time"
"NURSING-898D","Graduate","DNP Practicum: Direct Care Residency","Nursing","This practicum provides an intensive immersion opportunity for students to further enhance and integrate their prior learning and to gain experience with designated DNP essentials and specialty competencies."
"NUTRITN-130","Undergraduate","Nutrition for a Healthy Lifestyle","Nutrition","Introduction to the science of human nutrition and the relationship of food and nutrients to health and disease. Topics covered include digestion, and functions of macro and micro nutrients as well as current recommendations for nutrient intake. We will also discuss energy balance and weight control. (Gen.Ed. BS)"
"NUTRITN-140","Undergraduate","Nutrition, Health, and Fitness","Nutrition","Concepts in basic nutrition, healthy weight and fitness. Topics include: dietary guidelines, meal planning, obesity and weight management, eating disorders, vegetarianism, sports nutrition, weight reduction diets, dietary supplements. (GenEd. BS)"
"NUTRITN-572","Graduate","Community Nutrition","Nutrition","This course is designed to build skills and techniques required to effectively plan, implement and evaluate nutrition education in diverse communities. This course is also a Service Learning course, and as such provides an opportunity for students to apply nutrition knowledge through team-based projects, in collaboration with community partners."
"NUTRITN-640","Graduate","Public Health Nutrition","Nutrition","A practice-based approach to public health nutrition processes through readings, lectures and active participation; assessing community needs, priorities and goals; implementing nutrition interventions; designing nutrition plans; building coalitions; and preparing grant applications."
"NUTRITN-696","Graduate","Independent Study","Nutrition","Mainly for candidates for the Master of Science degree who do not write a thesis. Original research expected. Two bound copies of a written report of the study required by the department. Credit, 3-6."
"NUTRITN-698B","Graduate","Prac: Di Part II","Nutrition","Contact department for description."
"OIM-210","Undergraduate","Introduction to Business Information Systems","Operations and Information Management","Examines information technology from a business enterprise perspective. Topics include: the components and development of business information technology systems, their use in enhancing and facilitating management practices and decision making and their impact on management decisions."
"OIM-240","Undergraduate","Business Data Analysis","Operations and Information Management","This course introduces fundamental concepts and computations for statistical analysis of business data and real-world problems with an emphasis on understanding and interpreting statistical information, and using it to form sound judgments in business situations. The course covers basic descriptive statistical methods, sampling methodology, how to draw inferences from samples to larger populations and how to make predictions based upon historical relationships between variables. Theoretical background in descriptive and inferential statistical methods will be used support knowledge of the appropriate statistical test to perform in a given situation. The statistical methods that are covered in the course equip the student with the analytic reasoning and quantitative arguments that applies to all areas of business and management."
"OIM-451","Undergraduate","Information &amp; Project Management","Operations and Information Management","Provides an introduction to project management, focusing on the integration of business operations and information management, and techniques to effectively manage the implementation of such projects."
"PHIL-100","Undergraduate","Introduction To Philosophy","Philosophy","The goals of this course are two-fold: to develop and hone students&#039; analytical skills and to look at a number of the central issues in philosophy. Crucial to doing and understanding philosophy is an ability to present, explain, and evaluate arguments; throughout the course we will refine these abilities. By way of an introduction to a number of core philosophical issues we will take an in-depth look at one of the greatest works of philosophy of all time, Descartes&#039;s Meditations on First Philosophy. In it we will encounter skeptical arguments, arguments for the existence of God, and an argument for mind-body dualism. We will grapple with these issues in addition to questions about free will and ethics. (Gen. Ed. AL)"
"PHIL-105","Undergraduate","Practical Reasoning","Philosophy","This course covers methods for understanding and evaluating reasoning, arguments and inferences, of the sort found in daily life, political speeches, academic writing and beyond. We address such questions as: What is the structure of an argument? What considerations are relevant for determining its strength and cogency? What sorts of appeals to quantitative and scientific data are appropriate, and what sorts aren&#039;t? How can we understand and overcome cognitive biases?"
"PHIL-164","Undergraduate","Medical Ethics","Philosophy","This class will provide an introduction of ethics, and its application to various issues in medicine, health care, and the use of pharmaceuticals. Topics may include: abortion, euthanasia, medical paternalism, medical experimentation, access to drugs, access to medical procedures, and the allocation of medical resources. (Gen. Ed. SB)"
"PHIL-180","Undergraduate","Death and the Meaning of Life","Philosophy","Introduction to theories and perspectives on death and the meaning of life as well as their implications for individuals and society. (Gen. Ed. SB, DG)"
"POLISCI-201","Undergraduate","American Politics Through Film","Political Science","Movies are used to explore the development of American politics. The forces that shaped our politics early in the century (immigration, reform, religion), the rise of &quot;big&quot; government in the depression and World War II years (the new roles of the federal government, the enhanced presidency, internationalism, and anti-communism), and selected issues (race, gender, modern campaigns) prominent since the 1960s. The meaning of political democracy in America and how our understanding of it has adapted to changing times and conditions. (Gen.Ed. HS)"
"POLISCI-391PS","Undergraduate","Seminar- Peace and Security: From Preventive Diplomacy to Humanitarian Intervention","Political Science","This course studies the theory and practice of international peace and security, causes of conflict and responses to the challenges of war. Based on case studies, the evolution of conflict prevention and peace enforcement methodologies is examined. Prospects of preventive diplomacy to head off international conflicts and disasters in an age of terrorism and genocide are explored. The course discusses cases of humanitarian crises and the feasibility of interventions in these complex emergencies."
"POLISCI-394DI","Undergraduate","Protest &amp; Dissent","Political Science","This course explores ideas and practices of political protest and dissent through a range of cases drawn from around the globe and utilizing the comparative method. We will explore such questions as, why do people protest? Against whom or what is protest directed? To achieve what ends? What forms of protest are employed? While political activism, marches, riots, strikes, and other tried-and-true forms of protest are easily recognizable, what are the other ways in which individuals and groups might register or express political dissent? What makes a particular act of protest or dissent political? We will utilize a wide range of sources, including scholarly writings, memoirs, primary documents, films, art, and more, to examine protest and dissent activities in a wide range of contexts. Satisfies the Integrative Experience requirement for BA-PolSci majors."
"PSYCH-100","Undergraduate","Introductory Psychology","Psychology and Brain Sciences","Overview of the field. The natural and social science sub-areas of psychology; includes biological psychology, cognitive psychology, social psychology, developmental psychology, and clinical psychology. Relating research and theories to contemporary issues and problems in day-to-day life. (Gen.Ed. SB)"
"PSYCH-240","Undergraduate","Statistics In Psychology","Psychology and Brain Sciences","Basic conceptual knowledge of statistical reasoning, skill in applying common statistical techniques. Topics include probability; measures of central tendency, variability, and correlation; and statistical inference involving one- and two-group means. (Gen.Ed. R2)"
"PSYCH-281","Undergraduate","Eating Disorders","Psychology and Brain Sciences","This course provides an introduction to the characteristics and criteria associated with a variety of forms of disordered eating. This course covers key features of the causes, presentation, and treatment of pica, avoidant restrictive food intake disorder, anorexia nervosa, bulimia, binge eating disorder, and compulsive overeating, among others. Attention is given to critical factors in the development and maintenance of eating disorders, including personality features, family characteristics, sexual orientation, sociocultural environment, and genetic influences. Special attention is dedicated to understanding eating disorders in women, men, athletes, and multicultural populations. The medical and physiological consequences of eating disorders are covered. Treatment strategies for those with eating disorders are reviewed, including nutritional, psychological and pharmacological forms of treatment. Strategies for preventing eating disorders are explored."
