course_name,department,college,subject,description
Graduate Research–Polizzi Lab,BBS 356DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Cui Lab,BBS 357DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Hwang Lab,BBS 358DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research –Myong Lab,BBS 359DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Chaikof Lab,BBS 361DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Burns Lab,BBS 362DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Bhattacharyya Lab,BBS 363DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Graduate Research – Gutierrez-Arcelus Lab,BBS 364DR,FAS,Medical Sciences,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.
Identification of new protein targets and small-molecule modulators of malignancy,BBS 365,FAS,Medical Sciences,
Statistical methods for cancer epigenetics,BBS 366,FAS,Medical Sciences,
Behavioral Pharmacology,BCMP 213,FAS,Medical Sciences,"This course serves as an introduction to the behavioral pharmacology of psychoactive drugs (e.g., stimulants, cannabinoids, opioids, psychedelics, anxiolytics, antipsychotics).  It is organized in a seminar format with emphasis on behavioral methodology (i.e., model and assay development) and pharmacological analysis (i.e., receptor selectivity and efficacy).  Special attention is paid to the behavioral processes involved in tolerance, drug dependence, addiction, and treatment."
Cellular Metabolism and Human Disease,BCMP 234,FAS,Medical Sciences,"Cellular and organismal metabolism, with focus on interrelationships between key metabolic pathways and human disease states. Genetic and acquired metabolic diseases and functional consequences interactive lectures and critical reading conferences are integrated with clinical encounters."
Principles of Drug Action in People,BCMP 236,FAS,Medical Sciences,"This course will discuss principles of early drug discovery, drug modalities, and drug pharmacology. In the first part of the course, fundamental aspects of receptor and enzyme targeting agents, drug mechanism, drug metabolism, pharmacokinetics and pharmacodynamics will be described. Selected examples of small molecule drugs, biologics, gene and cell therapies will be utilized through the course. In the second part of the course, the pharmacology of therapeutics that act on selected human physio"
Biophysical and Biochemical Mechanisms of Protein Function,BCMP 250,FAS,Medical Sciences,"Biophysical and Biochemical Mechanisms of Protein Function focuses on the molecular mechanisms that underlie essential biochemical processes such as signal transduction.  Major topics include biochemical thermodynamics and conformational equilibria, protein structure and folding, receptor pharmacology, allostery, and enzymatic mechanisms of signaling.  The course includes both content lectures and research frontiers seminars focused on current research in biochemistry with an emphasis"
Translational Pharmacology: The Science of Therapeutic Discovery and Development,BCMP 301,FAS,Medical Sciences,"This intensive course, held during three weeks in January (13 class days), covers principles of pharmacology and their translation into new drug discovery and development. Students participate in project groups, composed primarily of graduate students, to propose a drug development strategy from target choice through clinical trials. Most sessions include lectures, panel discussions, and/or case studies presented by Harvard faculty and faculty experts from the pharmaceutical and biotechnology in"
Study human microbiome using small molecules,BCMP 308L,FAS,Medical Sciences,
Molecular and Cellular Mechanisms of Insulin Action,BCMP 310,FAS,Medical Sciences,
Structure and Dynamics of Macromolecular Assemblies,BCMP 311,FAS,Medical Sciences,
Repair of Double stranded DNA breaks-pathway choices and more,BCMP 312,FAS,Medical Sciences,
Biochemistry of transmembrane receptors and signaling,BCMP 313,FAS,Medical Sciences,
Protein NMR Spectroscopy of Membrane Protein,BCMP 314,FAS,Medical Sciences,
Signal Transduction and Phosphorylation in Heart Disease,BCMP 316,FAS,Medical Sciences,
Signal Transduction and Related Molecular Pathophysiology,BCMP 317,FAS,Medical Sciences,
Molecular mechanism of the immune system,BCMP 318,FAS,Medical Sciences,
Histone Variants and Chromosome Biology,BCMP 319,FAS,Medical Sciences,
Systems and Synthetic Biology,BCMP 320,FAS,Medical Sciences,
Structure and Function of ATP-dependent Chromatin Regulators in Human Cancer,BCMP 321,FAS,Medical Sciences,
Structure and Replication of DNA,BCMP 324,FAS,Medical Sciences,
Genomic Instability and Cancer Susceptibility,BCMP 325,FAS,Medical Sciences,
Computational Analysis of Sequence Variation and Divergence,BCMP 328,FAS,Medical Sciences,
Structure Biology of Cytoplasmic Signal Transduction,BCMP 329,FAS,Medical Sciences,
Protein aggregation and synaptic dysfunction,BCMP 330L,FAS,Medical Sciences,
Biochemistry and Biology of Neurodegenerative Diseases,BCMP 331,FAS,Medical Sciences,
Structural Biology of Mechanisms in Gene Regulation,BCMP 333,FAS,Medical Sciences,
Biochemical and Genetic Analysis of Eukaryotic Gene Expression,BCMP 335,FAS,Medical Sciences,
Molecular mechanisms of transmembrane signaling,BCMP 336,FAS,Medical Sciences,
Drosophila Molecular Genetics,BCMP 337,FAS,Medical Sciences,
Gene Regulation in Yeast and Cancer,BCMP 338,FAS,Medical Sciences,
Biologically Active Small Molecules,BCMP 340,FAS,Medical Sciences,
Molecular Pharmacology of Excitable Membranes,BCMP 344,FAS,Medical Sciences,
Transcription Factors in Hematopoiesis and Leukemogenesis,BCMP 345,FAS,Medical Sciences,
Targeting Deregulated Apoptotic and Transcriptional Pathways in Cancer,BCMP 349,FAS,Medical Sciences,
Epigenomics and Chromatin Systems Biology,BCMP 353,FAS,Medical Sciences,
Transcriptional Control of Hematopoiesis and Leukemia,BCMP 355,FAS,Medical Sciences,
Targeting Apoptosis Regulation in Cancer,BCMP 358,FAS,Medical Sciences,
Regeneration of Cartilage and Skeletal Muscle,BCMP 360,FAS,Medical Sciences,
X-Ray Crystallographic Studies of Viruses and Proteins,BCMP 361,FAS,Medical Sciences,
Eukaryotic Survival Decisions,BCMP 362,FAS,Medical Sciences,
Normal cell division mechanisms and cell division defects in cancer,BCMP 363,FAS,Medical Sciences,
Stem Cells in Disease and Development,BCMP 366,FAS,Medical Sciences,
Maintenance of genome stability in S phase,BCMP 371,FAS,Medical Sciences,
Literature after the Arab Spring,COMPLIT 140Y,FAS,Comparative Literature,"This course offers an introduction to contemporary Arabic literature focusing on developments after the seismic period of regional transition within North Africa and the Middle East known as the “Arab spring” (2011). Course readings will include critical essays and literary texts that reflect the forms of cultural reckoning that anticipated and followed the popular uprisings of the period, drawing principally from literary figures across Algeria, Egypt, Libya, Syria, and Tunisia. The"
"Prize-Winning Translations, 2010-2020",COMPLIT 145,FAS,Comparative Literature,"In this course, students will read English translations of novels that have won major prizes. In addition to exploring themes of contemporary literature from around the world, special attention will be paid to the role of translation in shaping the work and its reception, and to the question of what makes for a prize-winning translation. Each week students will read a prize-winning translation alongside reports from the prize committee, reviews of the translation, and what the translators say ab"
The Cinema of Stanley Kubrick,COMPLIT 153X,FAS,Comparative Literature,"This course reviews the influential major films of Stanley Kubrick—Paths of Glory (1957), Lolita (1962), Dr. Strangelove (1964), 2001: A Space Odyssey (1968), A Clockwork Orange (1971), Barry Lyndon (1975), The Shining (1980), Full Metal Jacket (1987), and Eyes Wide Shut (1999), among other earlier films and his unfinished project A.I. Artificial Intelligence (dir. Spielberg 2001). The films will be considered in their historical, cultural, and f"
Songmaking and the Idea of Lyric,COMPLIT 156,FAS,Comparative Literature,"A re-examination of “Lyric” as occasion as well as genre. Central questions to be explored will include: how do the “lyrics” of composed song come alive in performance? For example, how do the two librettists of Puccini’s opera La Bohème contribute to the making of a masterpiece in song? Shared readings include The Lyric Theory Reader: A Critical Anthology, edited by Virginia Jackson and Yopie Prins. Students are free to select as their focus of research any"
From Type to Self in the Middle Ages,COMPLIT 157,FAS,Comparative Literature,"It has been argued that the poetic ""I"" in premodern literatures is not a vehicle for self-representation, but an archetype of the human. The course will examine this thesis against the rise of autobiographical writing in medieval and early modern Europe. Readings include spiritual autobiographies (Augustine, Kempe, Teresa of Ávila), letter collections (Abelard and Heloise), Arabic and Hebrew maqama literature, Provençal troubadour lyric, Hispano-Jewish poetry (Samuel ha-Nagid, Judah Halevi, Solo"
Calvino and Computation,COMPLIT 166X,FAS,Comparative Literature,"Using as its point of departure Italo Calvino's essay Cybernetics and Ghosts, the course explores combinatorial and computational approaches to creative practice in the context of Surrealism, Oulipo, and the Programmed Art movement of the 1960s and 1970s. The central focus will be on Calvino's own experiments from The Castle of Crossed Destinies (1969) to Invisible Cities (1972), but readings will also include selections from the Italian Structuralist canon like Umberto Eco's The Absent Str"
Global Media,COMPLIT 183,FAS,Comparative Literature,"In this course we will examine how media and communication technologies both drive and depict the complex set of processes known as globalization. We will explore case studies from sixteenth century maps to twenty-first century supply chains, as well as Huallywood, Hollywood, Bollywood, and Nollywood films. In the process, we will grapple with major questions and tensions that have defined the modern era. Why have human societies become more closely connected over the past few centuries than at"
Translation and the Craft of Reading Carefully: A World Literature Introduction,COMPLIT 190X,FAS,Comparative Literature,"We read a range of historically important works of literature from around the world—twice! We read everything carefully in more than one translation to learn the art of rereading, as well as how to enjoy and critique translations, not just read “through” them. We also learn about the structure of a range of languages, and think about how those languages shape their literatures. This is a great class to take if you’re thinking about learning a new language in the future. It’s also a good entryway"
Writing Workshop,COMPLIT 204X,FAS,Comparative Literature,"This bi-weekly writing workshop is designed as a space to practice writing and presenting in different academic genres: such as journal articles, job market materials, conference presentations, or job talks. We will have each participant submit one chosen piece each semester, and discuss two pieces at each session; written texts will be circulated beforehand, and talks can be presented during the session. Everyone will offer feedback for each other’s work, which we will discuss during our meetin"
I Forget: Memory Studies and Cold War Literature,COMPLIT 221X,FAS,Comparative Literature,"Remembering and forgetting, evoking and overlooking: they are parts of our everyday life, as well as practices that cement cultures, traditions, and our ideas of self. This course explores the connections between literature and memory. It looks at a period of particular global conflict over memory, when after the end of World War II, the world moves into the decades of the Cold War. We ask how literature participates in the construction of memory and how it sheds light on different sorts of vuln"
Pioneers of Desolation: Eileen Chang and Katherine Mansfield,COMPLIT 233X,FAS,Comparative Literature,"Eileen Chang (1920-1995), dubbed “the Greta Garbo of modern Chinese letters” and “the pioneer of desolation”, is known for her acerbic psychological forays into her characters’ inner turmoil during times of war and upheaval. This course pairs Chang with the New Zealand writer Katherine Mansfield (1888-1923), known for her strikingly modernist short stories and poems delving into her characters’ inner psychology. Though the two never met in person, Chang had likely encountered Mansfield’s wo"
On Imagination: From Plato to postmodernism,COMPLIT 244,FAS,Comparative Literature,"This seminar explores the development of the concept of imagination in diverse premodern and modern philosophical/theoretical and literary contexts. Emphasis will be placed on Plato, Aristotle, the Neoplatonic philosophers, medieval Christian readers of antiquity, Kant, Fichte, the Romantics, Lacan, Iser, Todorov, and Castoriadis. This seminar will also develop an interdisciplinary approach to the topic by drawing on cognitive sciences and cognitive anthropology."
"Law, Literature, and Media",COMPLIT 290X,FAS,Comparative Literature,
Comparative Literature in Theory and Practice,COMPLIT 299AR,FAS,Comparative Literature,"An introduction to the discipline of comparative literature, looking at major issues in the history and current practice of the discipline as practiced in the USA, with special emphasis on seeing how comparatists enter into ongoing debates concerning theory and method. Several of our faculty will join us for the discussion of their work. Additional readings will include selections from Herder, de Staël, Adorno, Auerbach, de Man, Glissant, Said, Spivak, Apter, Venuti, and Heise."
Professing Literature 1,COMPLIT 343AB,FAS,Comparative Literature,This course focuses on professional development and preparation for academic careers in literature and related fields as well as positions outside academe. Part two of a two-part series. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.
Professing Literature 2,COMPLIT 343BB,FAS,Comparative Literature,This course focuses on professional development and preparation for academic careers in literature and related fields as well as positions outside academe. Part two of a two-part series. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.
Professing Literature 3,COMPLIT 343CB,FAS,Comparative Literature,This course focuses on professional development and preparation for academic careers in literature and related fields as well as positions outside academe. Part two of a two-part series. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.
Preparation for General Examinations,COMPLIT 396,FAS,Comparative Literature,
Direction of Doctoral Dissertations,COMPLIT 397,FAS,Comparative Literature,
Reading and Research,COMPLIT 399,FAS,Comparative Literature,Candidates for the doctoral degree in Comparative Literature may pursue advanced studies under the individual supervision of these instructors.
Great Ideas in Computer Science,COMPSCI 1,FAS,Computer Science,"An introduction to the most important discoveries and intellectual paradigms in computer science, designed for students with little or no previous background. Explores problem-solving and data analysis using Python, a programming language with a simple syntax and a powerful set of libraries. This course covers basic data types and collections (lists, dictionaries, tuples, and sets), control flow, recursion, supervised machine learning via regression, visualization, information hiding and en"
Physical Chemistry,CHEM 325,FAS,Chemistry & Chemical Biology,
Physical Chemistry and Atomic Physics,CHEM 326,FAS,Chemistry & Chemical Biology,
Physical Chemistry,CHEM 330,FAS,Chemistry & Chemical Biology,
Physical and Inorganic Chemistry and Materials Science,CHEM 336,FAS,Chemistry & Chemical Biology,
Inorganic Chemistry,CHEM 340,FAS,Chemistry & Chemical Biology,
Inorganic Chemistry,CHEM 342,FAS,Chemistry & Chemical Biology,
Inorganic and Materials Chemistry,CHEM 344,FAS,Chemistry & Chemical Biology,
Materials Chemistry,CHEM 346,FAS,Chemistry & Chemical Biology,
Theoretical Physical Chemistry,CHEM 350,FAS,Chemistry & Chemical Biology,
Theoretical and Computational Quantum Chemistry,CHEM 351,FAS,Chemistry & Chemical Biology,
Chemical Biology,CHEM 360,FAS,Chemistry & Chemical Biology,
Organic Chemistry & Chemical Biology,CHEM 362,FAS,Chemistry & Chemical Biology,
Theoretical Chemistry,CHEM 386,FAS,Chemistry & Chemical Biology,
Organic Chemistry,CHEM 387,FAS,Chemistry & Chemical Biology,
Organic Chemistry,CHEM 388,FAS,Chemistry & Chemical Biology,
Organic Chemistry and Chemical Biology,CHEM 390,FAS,Chemistry & Chemical Biology,
Physical Chemistry,CHEM 391,FAS,Chemistry & Chemical Biology,
Physical Chemistry,CHEM 393,FAS,Chemistry & Chemical Biology,
Organic Chemistry,CHEM 396,FAS,Chemistry & Chemical Biology,
Organic Chemistry,CHEM 397,FAS,Chemistry & Chemical Biology,
Organic and Organometallic Chemistry,CHEM 398,FAS,Chemistry & Chemical Biology,
Introduction to Chemical Biology Research,CHEMBIO 300HFB,FAS,Chemical Biology,Lectures introduce the research areas of current program faculty in Chemical Biology. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit.
Graduate Research,CHEMBIO 350,FAS,Chemical Biology,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.
Laboratory Research,CHEMBIO 399,FAS,Chemical Biology,This course is intended for Chemical Biology lab rotations.
Tools and Methods in Chemical Biology,CHEMBIO 2200,FAS,Chemical Biology,"This course will provide a survey of major topics, technologies, and themes in Chemical Biology, with hands-on exposure to a variety of experimental approaches."
Elementary Modern Chinese,CHNSE BA,FAS,East Asian Langs & Civ,"Non-intensive introduction to modern Chinese pronunciation, grammar, conversation, reading, and writing."
Elementary Modern Chinese,CHNSE BB,FAS,East Asian Langs & Civ,"This is a continuation (second semester) of the Elementary Modern Chinese. It is designed for students who have completed the first semester of Elementary Modern Chinese I (Chinese Ba) or the equivalent. The course will further develop students’communicative skills in the listening and speaking modalities, and at the same time shift the focus of instruction gradually towards reading and writing. It provides more practice on syntactic structures, usage and"
Elementary Chinese for Advanced Learners,CHNSE BX,FAS,East Asian Langs & Civ,"For students with significant listening and speaking background. Introductory Modern Chinese language course, with emphasis on reading and writing. Covers in one term the equivalent of Chinese Ba and Bb."
Introduction to Literary Sinitic,CHNSE 106B,FAS,East Asian Langs & Civ,Introduction to pre-Qin philosophical texts.
Intermediate Literary Sinitic,CHNSE 107B,FAS,East Asian Langs & Civ,"A continuation of Chinese 107a, introducing more prose styles as well as poetry and lyric."
Intermediate Modern Chinese,CHNSE 120A,FAS,East Asian Langs & Civ,"This course focuses on the consolidation of the foundational skills acquired in Ba-Bb, introduces more complex grammatical structures, and develops students’ understanding and knowledge of Chinese culture."
Intermediate Modern Chinese,CHNSE 120B,FAS,East Asian Langs & Civ,"Continuation of Chinese 120a. This course focuses on the consolidation of the foundational skills acquired in Ba-Bb, introduces more complex grammatical structures, and develops students' understanding and knowledge of Chinese culture."
Intermediate Modern Chinese for Advanced Learners,CHNSE 123XB,FAS,East Asian Langs & Civ,Continuation of Chinese Bx. Covers in one term the equivalent of Chinese 120a and 120b.
Pre-Advanced Modern Chinese,CHNSE 130B,FAS,East Asian Langs & Civ,"Continuation of Chinese 130a. The aim of this course is to further develop students’ Chinese proficiency in both spoken and written language. By reading texts based on current issues and cultural phenomena and engaging in in-depth class discussions, students will continue to expand their vocabulary, master more complex grammatical structures, and develop an ability to perform tasks involving description, narration, and argumentation at the discourse level."
Pre-Advanced Modern Chinese for High-Proficiency Learners,CHNSE 130XB,FAS,East Asian Langs & Civ,"Designed for students whose Chinese speaking and listening skills are near-native, but whose reading and writing skills are at a high-intermediate level. This course focuses on reading texts based on current issues and cultural phenomena, and then applying complex grammar structures acquired to students’ own writing. Covers the equivalent of Chinese 130b and other materials for reading and writing."
Advanced Modern Chinese,CHNSE 140B,FAS,East Asian Langs & Civ,"Continuation of Chinese 140a.  This course aims at further developing students’ ability to use Chinese at a more advanced level. Students will engage in in-depth readings and discussions of various genres and writing styles, including argumentative essays, narratives, journalistic articles, and descriptive and literary writing. Emphasis is placed on reading and writing to specific audiences, and the use of complex structures and advanced vocabulary in formal speech and writing."
Advanced Modern Chinese for High-Proficiency Learners,CHNSE 140XB,FAS,East Asian Langs & Civ,"Continuation of Chinese 140xa. This course aims at further developing students’ ability to use Chinese in a more advanced way. Students will be introduced to a wide variety of topics and literary genres through in-depth reading and focused discussion of classical works of Chinese literature. The course will focus on accurate comprehension of texts, expansion of vocabulary for expressing more refined and sophisticated ideas, and development of ability to p"
Advanced Conversational Chinese on Social Media,CHNSE 142B,FAS,East Asian Langs & Civ,"Continuation of 142a.  This course builds on the foundation that students have gained through prior Chinese coursework, with a focus on improving oral expression. Classes take the form of presentations, discussions, debates, and other activities designed to strengthen both extemporaneous and prepared speaking ability."
Odyssey Beyond Language,CHNSE 143R,FAS,East Asian Langs & Civ,"This course provides advanced language practice using adapted authentic texts and videos (e.g., history, business, international relations, and current affairs). It focuses on understanding Chinese cultural phenomena, practices and perspectives through interpretive, interactional and presentational communication with an interdisciplinary perspective.Fall 2025 Topic: Entrepreneurship & Innovation: Chinese Cases"
Topics in Chinese Culture and Society,CHNSE 150B,FAS,East Asian Langs & Civ,Continuation of Chinese 150a. The course seeks to consolidate and hone students’ advanced Chinese ability through in-depth examination of Chinese society and culture.
Business Chinese,CHNSE 163,FAS,East Asian Langs & Civ,"Designed for students interested in international business, employment or internships in Chinese-speaking communities (China, Taiwan, Singapore), or for students who simply want to improve their Chinese proficiency with a focus on authentic social and professional interactions. Students will develop their professional communication skills (both spoken and written), as well as gaining a broad business vocabulary. No specific background in business or economics is required."
Chinese in the Humanities,CHNSE 166R,FAS,East Asian Langs & Civ,"Advanced language practice through the reading and analysis of authentic academic texts in humanities disciplines (e.g., art, literature, cinematic studies). May be offered independently in Chinese, or linked with an English-language content course.  Specific content varies by year."
Art and Violence in the Cultural Revolution,CHNSE 187,FAS,East Asian Langs & Civ,"Examines the cultural implications of the Cultural Revolution (1966-1976). We will examine how art was violent towards people and how violence was turned into an art. We will also consider the link between violence, trauma, memory and writing. Materials include memoir, fiction, essay, ""revolutionary Peking Opera,"" and film."
Reading and Research,CHNSE 300,FAS,East Asian Langs & Civ,
"The Mongol Empire and World History: From Steppe Confederation to Eurasian Empire, c.1206-1368",CHNSHIS 135,FAS,East Asian Langs & Civ,"This course seeks to provide a comprehensive introduction to the study of Mongol Eurasia anchored by the theme of globalization. The Mongol Empire has variously been credited with the inaugural establishment of a globalized world with unprecedented religious toleration and socio-economic exchange. Yet, the Mongols have also been maligned for the mass slaughter of their conquests, brutal deportation policies as well as destruction of Islamic and Chinese urban societies. Between the twin poles of"
The Modern History of Rural China,CHNSHIS 146,FAS,East Asian Langs & Civ,"It’s only in the last twenty years that China has become known as a place of cities and factories.  Before then, the majority of Chinese people lived not in cities but in villages in the countryside, and made their living from agriculture.  This lecture/discussion course, intended mainly for undergraduates, will introduce you to the modern history of rural China.  We’ll approach that history chronologically, thematically, and historiographically. No background knowledge of China i"
Reading Local Documents for Ming-Qing History,CHNSHIS 230R,FAS,East Asian Langs & Civ,"This seminar introduces students to the different genres of documents that are found in private hands in villages, and explores how these materials can be used for historical research.  Reading knowledge of modern and literary Chinese required.  Topic for Fall 2022: land and property deeds"
Topics in Han History: Seminar,CHNSHIS 232R,FAS,East Asian Langs & Civ,Examines various topics in the history of the Han Dynasty.
"Public and Private Institutions in Theory and Practice, 14th -17th Century China",CHNSHIS 272,FAS,East Asian Langs & Civ,"This course examines major works on public and private institutions from the 14th to the 17th century. It will cover programs for ordering society through state policy and private initiatives and introduce major works on statecraft, programs for local government, and formation of new literati political associations."
China's Banned Book: Reading Jin Ping Mei (Conference Course),CHNSLIT 236,FAS,East Asian Langs & Civ,"This course will introduce students to the controversial masterpiece of Chinese fiction, The Plum in the Golden Vase (Jin Ping Mei). Censored for its erotic content, this sensational book had a profound impact on the development of Chinese fiction. A landmark in the history of the novel, The Plum in the Golden Vase shifts attention away from worthy heroes to examine the everyday exploits and desires of ordinary people. The work of an anonymous author, The Plum in the Golden Vase revels in sensor"
Topics in Sinophone Studies - Modern Chinese Fiction on the Periphery,CHNSLIT 245R,FAS,East Asian Langs & Civ,"Survey of modern Chinese fiction and narratology from Taiwan, Hong Kong, and the Chinese Diaspora: polemics of the canon, dialogues between national and regional imaginaries, and literary cultures in the Sinophone world."
"The Politics of Sound: Ethnicity, Gender, and Identity in Chinese Songscape",CHNSLIT 250,FAS,East Asian Langs & Civ,"This course examines Chinese songs, and comments on songs, throughout history. It considers how the elite’s collection and reception of popular songs, and their own composition of them, are framed by, negotiate with, and often exceed the ideology of poetry and music rooted in the early classics and Confucian political-cultural theory. It also considers issues of ethnicity, gender, identity, and politics embroiled in popular songs.Readings include songs in “The Music Monograph” in the fifth-centu"
Chinese Aesthetic and Literary Thought,CHNSLIT 253,FAS,East Asian Langs & Civ,"This course will introduce students to key concepts in Chinese aesthetic and literary thought through close analysis of primary texts. The goal is to understand the functions of keywords such as wen 文, zhi 志, qing 情, shen 神, yi 意, or qi 氣 in the contexts of broader arguments about tradition, language, socio-political order, and human nature. We will explore the meanings of authorship, intention, expression, communication, and interpretation in the Chinese tradi"
Elementary Classical Hebrew II,CLAS-HEB AB,FAS,Near Eastern Languages & Civ,"Continuation of Classical Hebrew AA. A thorough and rigorous introduction to Biblical Hebrew, with emphasis on grammar in the first term, and translation of biblical prose in the second. Daily preparation and active class participation mandatory."
Intermediate Classical Hebrew II,CLAS-HEB 120B,FAS,Near Eastern Languages & Civ,"This course is centered on the close reading of select poetic texts from Isaiah, Proverbs, and Psalms in Hebrew, with a focus on deepening one’s knowledge of morphology and syntax, broadening one’s vocabulary base, and understanding how Hebrew poetry works."
Rapid Reading Classical Hebrew II,CLAS-HEB 130BR,FAS,Near Eastern Languages & Civ,"This course is designed to help students increase reading fluency and speed in Classical Hebrew poetry. To this end, the course will consist of a close reading of the Book of the Twelve (Hosea–Malachi), paying particular attention to the areas of phonology, morphology, and syntax. Given its internal linguistic diversity, the Book of the Twelve offers the unique advantage of exposing students to the diachronic (e.g., Standard vs. Late Biblical Hebrew) and stylistic dimensions of Biblical Hebrew."
Classical Archaeology: A History of the Discipline,CLASARCH 125,FAS,"Classics, The",
Hellenistic Sculpture,CLASARCH 225,FAS,"Classics, The","Greek sculpture of the Hellenistic period (i.e. from the end of the 4th to the 1st century BC) has become again, in recent years, an exciting area of research with a renewed focus on questions of the spatial setting and staging of sculpture, the involvement of the beholder, the manipulation of the experience of perception through specific artistic means that play with appearance and reality, with mimetic illusion and deception, and with new modes of expression and visual narration, which respond"
Advanced Tutorial for Credit,CLASSIC 93,FAS,"Classics, The",Tutorial instruction for course credit open to candidates for honors who are qualified to do special reading projects in Greek and/or Latin.
Tutorial - Junior Year,CLASSIC 98,FAS,"Classics, The","Close study of a topic in Greco-Roman civilization and/or literature, culminating in the preparation of a substantial research paper (ca. 20 pages).  This is a junior tutorial."
Tutorial - Senior Year,CLASSIC 99B,FAS,"Classics, The",Tutorial instruction for course credit (in addition to ordinary tutorial instruction) is open only to candidates for honors writing a thesis in their senior year whose applications for such instruction have been approved by the Director of Undergraduate Studies. Part two of a two part series.
Direction of Doctoral Dissertations,CLASSIC 300,FAS,"Classics, The",
Special Examinations Direction,CLASSIC 302,FAS,"Classics, The",
Research and Teaching,CLASSIC 303,FAS,"Classics, The",
Introduction to the Ancient Roman World,CLS-STDY 97B,FAS,"Classics, The","This course provides a comprehensive exploration of Roman history, culture, and research methodologies. It consists of three key components: a chronological survey of Roman history, beginning with the founding of Rome in the mid-8th century BCE and concluding with the dissolution of the Western Empire in the late 5th century CE; thematic examinations of crucial aspects of Roman culture and daily life, encompassing topics such as religion, economy, law and administration, technological advancemen"
Greek Religion,CLS-STDY 108,FAS,"Classics, The",
Regional Study: Sicily,CLS-STDY 112,FAS,"Classics, The","The advanced undergraduate seminar Classical Studies 112: Regional Study is a capstone course required of concentrators in Classical Civilizations and Ancient History (Greek and Roman). It will explore in depth the cultural, political, and social histories of ancient Sicily, from the Bronze Age to the Norman period, drawing together the different skills and knowledge that you will have acquired during your time as a concentrator.Through the study of sites, objects, and texts, the course will exa"
Roman Freedpersons,CLS-STDY 174,FAS,"Classics, The",
The Economy of Roman Alexandria,CLS-STDY 182,FAS,"Classics, The","This course explores the vibrant and interconnected economy of Roman Alexandria, emphasizing its role as both a producer of goods and knowledge, as well as a central player in long-distance trade. Students will delve into the city’s diverse industries, including the production of textiles, fine arts, and jewelry, alongside the redistribution of essential goods such as grain, rope, and luxury imports like pepper. The course will also examine Alexandria’s significant contributions to science, medi"
Sports and Athletics in Ancient Greece and Rome,CLS-STDY 194,FAS,"Classics, The","A study of athletics and sport in the ancient Greek and Roman worlds. Through a close study of primary sources (in English), modern secondary literature, and ancient archaeological evidence, the course explores the origins and development of the major ancient athletic contests (particularly the Olympic Games); the theory and practice of athletic training; the relationship between athletics and other forms of bodily care, such as medicine; and the changing relationship of athletics and education"
Supervised Reading and Research,COMPLIT 91R,FAS,Comparative Literature,"A graded, supervised course of reading and research to be conducted by a person approved by the Director of Undergraduate Studies."
Tutorial - Sophomore Year,COMPLIT 97,FAS,Comparative Literature,"If you’re taking this course, it means Comparative Literature is your concentration or your secondary field. Welcome to the discipline! But what does it mean to be a comparatist? This spring, we will wander together through the different paths Comparative Literature offers.This is a course on history and methods. We will trace how the understanding of what it means to compare has changed through time and space. We will examine the sociopolitical roots of the discipline and think togeth"
Tutorial - Junior Year,COMPLIT 98B,FAS,Comparative Literature,"A continuation of Literature 98a, focusing on the student's special field of study. Open to concentrators only.  This is a junior tutorial."
Tutorial - Senior Year,COMPLIT 99B,FAS,Comparative Literature,"A continuation of Literature 99a, including preparation for the oral examinations. Open to concentrators only."
Contemporary Southeast Asia through Literature and Film,COMPLIT 100,FAS,Comparative Literature,"This course will explore contemporary literature and cinema across Southeast Asia, focusing on regional developments after the Asian financial crisis of 1997 through the present. Themes discussed include literature’s relationship to economic turmoil and political change; questions of class and social mobility; anti-authoritarian writing and issues of censorship; literature, youth culture, and new media landscapes; and literary explorations of gender and sexuality. Readings will include a s"
"Introduction to German Literature, History, and Thought",COMPLIT 100X,FAS,Comparative Literature,"A survey course on major works in German literature, philosophy, and critique from the mid-eighteenth century to the twentieth century. Close reading of representative texts opens onto broader ramifications in cultural and intellectual history with further consideration of societal and political tensions."
What Is a Novel?,COMPLIT 110X,FAS,Comparative Literature,"The novel has been described as the quintessential literary form of modernity, but do we know what a novel actually is? And is it just a modern form? In this seminar we will look at a range of pathbreaking works that have bent the norms of prose fiction and have opened up new ways of understanding the world, from antiquity to the present. Readings will include selections from The Odyssey, The Tale of Genji, and Don Quixote, together with a range of modern novels, informed by several im"
