"code","title","description","credits","instructor"
"ANTH 171","Materials and Methods in Historical Archaeology","In this intensive, hands-on course, students learn the step-by-step processes involved in conducting laboratory research on historic artifacts. Students study the ins and outs of analyzing, cataloging, and dating historic artifacts.","5",""
"ANTH 172","Archaeological Research Design","Develops practical skills for connecting archaeological theory and methods to grant writing, final reports and presentations. Examines elements of good research design, including the logic of scientific inquiry, ethics, project conceptualization, measurement, sampling, data analysis, and effective writing.","5",""
"ANTH 173","Origins of Farming","Survey of the ecological and archaeological evidence for the origins of plant and animal domestication in Africa, Eurasia, and the Americas. Discussion will center on the preconditions of this drastic alteration in human ecology and its consequences in transforming human societies. Open to nonmajors. Students cannot receive credit for this course and ANTH 273.","5",""
"ANTH 174","Origins of Complex Societies","Deals with evidence and theories concerning the origins of complex society; the transition from egalitarian, foraging societies to the hierarchical, economically specialized societies often referred to as civilizations. Focuses on both Old World and New World cultures. Students cannot receive credit for this course and ANTH 174.","5",""
"ANTH 175","African Archaeology","Introduces the evolution of African kingdoms and states from the emergence of farming communities to initial contact with Europe. Particular attention paid to the origins of social inequality and the evolution of centralized polities. Students cannot receive credit for this course and ANTH 275. (Formerly African Complex Societies.)","5",""
"ANTH 176A","North American Archaeology","Development of Native cultures in North America. Topics include peopling of the New World, early foragers, spread of agriculture and complex societies in the Southwest and Eastern Woodlands, and review of cultural developments in the West and Far North.","5",""
"ANTH 176B","Meso-American Archaeology","Review of the archaeological and ethnohistorical evidence for the origins and development of pre-Columbian civilizations in Meso-America including the Olmec, Maya, Zapotec, Mixtec Teotihuacan, Toltec, Tarascan, and Aztec. Students cannot receive credit for this course and ANTH 276B.","5",""
"ANTH 176C","Archaeology of the American Southwest","Outlines the development of native cultures in the American Southwest from Paleo-Indian times (Ca. 11,5000 B.C.) through early European contact (ca. A.D. 1600). Topics include the greater environment; early foraging culture; the development of agriculture and village life; the emergence and decline of regional alliances; abandonment and reorganization; and changes in social organization, external relations, and trade.","5",""
"ANTH 176D","Colonial Encounters in the Americas","Uses archaeological case studies to explore processes of cultural confrontation, resistance, and transformation among Native American groups in the wake of European colonial expansion in the Western Hemisphere during the late 15th through mid-19th centuries.","5",""
"ANTH 176E","Archaeology of the Pacific Northwest","Explores some of the important issues surrounding the anthropological and archaeological study of the Pacific Northwest Coast--a roughly 1,800-kilometer-long shoreline that stretches from Yakutat Bay in Alaska to Cape Mendocino in California.","5",""
"ANTH 176F","California Archaeology","Introduces the Native peoples of California from an archaeological perspective. Covering the past 13,000 years, a variety of geographic and temporal settings are examined as well as current research in California archaeology.","5",""
"ANTH 177","Environmental Archaeology","Introduces students to methods and theories in the study of past human-environment interactions. Examines the use of archaeological environmental data (geological, botanical, faunal, chemical) and explores topics, such as megafaunal extinctions, domestication, and human impacts on environments.","5",""
"ANTH 178","Historical Archaeology: A Global Perspective","Introduces the archaeology of European colonialism and the early-modern world. Topics include historical archaeological methods; the nature of European colonial expansion in New and Old Worlds; culture contact and change; and power and resistance in colonial societies. Students cannot receive credit for this course and ANTH 278.","5",""
"ANTH 180","Ceramic Analysis in Archaeology","Focuses on theories and techniques used by archaeologists to bridge the gap between the recovery of ceramic materials and their interpretation within cultural contexts. Topics include the origins of pottery, production methods, classification and typology, seriation, functional analysis, materials analysis and description, organization of production, trade, and the analysis of style. Students cannot receive credit for this course and ANTH 280.","5",""
"ANTH 181X","Special Topics in Archaeology","Taught annually on a rotating basis by various faculty members. Precise focus of each year's course varies according to the instructor and is announced by the department.","5",""
"ANTH 183","Introduction to Geographic Information Systems for Anthropology","Practical laboratory in geographic information systems with a specific focus on anthropological questions and development. Students learn basic spatial analyses and carry them out on research datasets. This course also emphasizes the incorporation of spatial modeling in research design. To participate, students are required to sign up for an account in ESRI (freely available to all UCSC students).","5",""
"ANTH 184","Zooarchaeology","Animals play many different roles in our lives, including as food, pets, tools, and symbols. This class introduces the study of animal remains retrieved from archaeological sites. Students learn about zooarchaeology through readings, lectures, and in-class laboratory sessions. Course explores a wide range of topics, including functional morphology, vertebrate taphonomy, reconstruction of human diet and behavior from faunal remains, data collection and management, and methods of quantitative analysis.","5",""
"ANTH 185","Osteology of Mammals, Birds, and Fish","Practicum in archaeological faunal analysis. Students learn to identify bones of all larger mammal species of central California plus selected bird and fish species. Students cannot receive credit for this course and ANTH 285. Prerequisite(s): ANTH 184 or ANTH 102 or BIOL 138 & BIOL 138L or EART 100 or ENVS 105 & ENVS 105L, and permission of instructor.","5",""
"ANTH 187","Cultural Heritage in Colonial Contexts","Critical examination of the definitions of cultural heritage, its development as a concept, and the various laws, charters, and conventions that shape our management of the past in the present. The focus is on heritage in comparative colonial contexts.","5",""
"ANTH 187B","Cultural Resource Management","Explores how the past is managed or cared for in the present, especially in the context of the United States.","5",""
"ANTH 188A","Practicum in Archaeology A","Introduces practical skills in archaeological materials identification of stone, shell, bone, and other materials, curation, and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and instructor consent. All three courses in sequence (ANTH 188A, ANTH 188B, ANTH 188C) required to count for the anthropology major or minor.","2",""
"ANTH 188B","Practicum in Archaeology B","Introduces practical skills in archaeological materials identification of stone, shell, bone, and other materials, curation, and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and instructor consent. All three courses in sequence (ANTH 188A, ANTH 188B, ANTH 188C) required to count for the anthropology major or minor.","2",""
"ANTH 188C","Practicum in Archaeology C","Two-credit course introducing practical skills in archaeological materials identification of stone, shell, bone, and other materials; curation; and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3. All three courses in sequence (ANTH 188A, ANTH 188B, ANTH 188C) required to count for the anthropology major or minor.","2",""
"ANTH 189","Archaeology Field Methods","Lecture, laboratory, and fieldwork sessions on archaeological field methods including survey, mapping, excavation, record and database maintenance, artifact accessioning, curation, and analysis on the UCSC campus. Students attend lectures/laboratories two evenings each week and do fieldwork all day on Saturdays. Enrollment by instructor consent. Prerequisite(s): course 3 and application letter. Students who have done no previous fieldwork in archaeology have priority.","5",""
"ANTH 189A","Archaeological Field Techniques","Focuses on fundamental site identification, recording, and reporting efforts in archaeologyâthe daily grind in archaeological research and cultural resource management (CRM)âthat take place before any ground disturbance happens (usually as part of excavation). Class discussions of relevant readings, independent and group work, and hands-on exercises in the field (on campus) provide students with a working knowledge of everyday archaeological techniques, as well as familiarity with some of the important tools archaeologists use to identify and produce a record of cultural sites. Prerequisite(s): ANTH 3. Enrollment is by permission of the instructor. Enrollment is restricted to anthropology majors.","5",""
"ANTH 190X","Special topics in Biological Anthropology","Taught annually on a rotating basis by various faculty members. Precise focus of each year's course varies according to the instructor and is announced by the department. (Formerly Special topics in Archaeology-Physical Anthropology.)","5",""
"ANTH 194A","Anthropology of Dead Persons","Explores the cultural meanings of dead bodies and dead persons, including memorialization; the body in the United States legal system; cadavers in education and research; dead persons in mass disasters and human-rights cases; and repatriation of the dead. Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements, and ANTH 1, ANTH 2, and ANTH 3. Enrollment restricted to senior anthropology and  Earth sciences/Anthropology combined majors. Enrollment by permission of instructor.","5",""
"ANTH 194B","Chimpanzees: Biology, Behavior, and Evolution","Explores studies on wild and captive chimpanzees with reference to other apes and humans. Topics include sociality, tool using, locomotion, traditions, and life history; social and physical dimensions of growth and development; language studies, genetics, and applications to human evolution.","5",""
"ANTH 194C","Feminist Anthropology","Considers feminist perspectives on the human past, archaeologists' perspectives on feminist theory, and the impact of gender, feminist, and critical social theory on archaeology as a profession. Students cannot receive credit for this course and ANTH 279.","5",""
"ANTH 194D","Tribes/Castes/Women","Examines historical constructions and contemporary deployments of the categories that have structured popular and anthropological understandings of social life in South Asia, particularly those of tribe, caste, and women. Students gain familiarity with the mobilization of these categories in contemporary political movements across India.","5",""
"ANTH 194E","Belief","Focuses on problems and opportunities raised by the concept of belief. Students work to develop an anthropological understanding of belief as practiced, then put it to use in analyzing episodes from the NPR series This I Believe.","5",""
"ANTH 194F","Memory","Intensive and fast-paced seminar focusing on theoretical and ethnographic studies of memory as a means for dealing with the past.  Examines how ordinary people and societies have coped with the past through acts of selective remembering and forgetting.","5",""
"ANTH 194G","Politics and Secularism","Examines secularism as political doctrine and practice of government. Topics include: transformation of religion by secularization; forms of inclusion/exclusion enacted by secularism; relationship between secularism and colonial rule. Case studies drawn from Europe, South Asia, United States, and the Middle East.","5",""
"ANTH 194H","Paleoanthropology","Detailed overview of the evidence for the origin and evolution of humans with emphasis on reconstructing the paleobiology of extinct hominids. Discussion of individual groups of ancient hominids from the Miocene apes to anatomically modern humans.","5",""
"ANTH 194I","Consumption and Consumerism","Investigates cultural analysis of consumer society, commodities, and consumer practices. Students develop their own research projects. Themes include: critiques of consumer society; symbolic analysis of goods, consumption as resistance, anthropologies of marketing, culture jamming; consumption and (post) colonialism.","5",""
"ANTH 194J","Histories of Forests and Other Wild Places","Wild Nature has a history.  This class offers tools for understanding the social and natural construction of wild nature.  We will learn to read rural landscapes--ethnographically, biologically, historically, creatively, and politically.","5",""
"ANTH 194K","Reading Ethnographies","Explores issues in the representation of culture through reading and discussing ethnographies. Recent experimental ethnographies open topics including the relation between fieldwork and writing, textual strategies, and the politics of ethnographic writing and research.","5",""
"ANTH 194L","Archaeology of the African Diaspora","Senior seminar on African diaspora archaeology. Draws on archaeological, historical, and anthropological perspectives to examine the cultural, social, economic, and political lives of Africans and their descendants in the New World and West Africa from the 15th through 19th centuries.","5",""
"ANTH 194M","Medical Anthropology","Focuses on critical issues in the social sciences of health and healing. Designed for students pursuing graduate work in medical anthropology and/or public health.","5",""
"ANTH 194N","Comparison of Cultures","Seminar for upper-division students interested in theories and methodology of social and cultural anthropology. Devoted to critical discussion of different methods of comparison practiced in anthropology.","5",""
"ANTH 194O","Masculinities","Considers the social construction of men and masculinities in a variety of ethnohistorical contexts as well as the unique contribution enabled by anthropological methods, particularly ethnographic fieldwork, to the study of gender and power.","5",""
"ANTH 194P","Space, Place, and Culture","Examines ways anthropologists have studied relationship between space, place, and culture. Covers early formulations acknowledging people in different cultural contexts ascribe particular meanings to places and to the concept of space and then traces the ways these questions have come to the fore in more recent scholarship.","5",""
"ANTH 194Q","Race, Ethnicity, Nation","Provides students with theoretical and methodological approaches to studying the relationships between race, ethnicity, and nation, with a comparative focus on the United States, Latin America, and Europe. Students use ethnographic methods and/or discourse analysis to develop individual research projects.","5",""
"ANTH 194R","Religion, Gender, Sexuality","Examines religion in relation to gender and sexuality. Examines how gender, sexuality, and religion intersect in notions of civilization, progress, and modernity in the contemporary and colonial periods. Particular attention paid to Islam, Christianity, and Hinduism.","5",""
"ANTH 194S","Hearing Culture: The Anthropology of Sound","Explores relationships between culture and acoustic worlds--environmental, verbal, and musical--within which we live. How sound is shaped by human belief and practice and the role sound plays in cultural and social life, both past and present.","5",""
"ANTH 194T","Poverty and Inequality","Through ethnographies about homelessness, food deprivation, and unemployment, examines the institutions through which poverty is recognized, the systems of morality shaping debates about need and appropriate behavior, and the effects of community responses to poverty.","5",""
"ANTH 194U","Environmental Anthropology: Nature, Culture, Politics","Presents key readings in environmental anthropology focusing on environmental conflicts. Students guided in developing research paper on a society environment topic of their choice. Class is writing intensive with in-class discussion and final presentations.","5",""
"ANTH 194V","Who Owns the Past? Ethical and Political Dimensions of Contemporary Archaeology","Considers the various stakeholders in archaeological practice. Students identify and evaluate the ethical and political issues involved in the study, interpretation, presentation, and conservation of the archaeological past through weekly readings, discussions, and case studies.","5",""
"ANTH 194W","The Anthropology of Social Movements","Focuses on the anthropology of social movements, especially the impact that global capital provokes on peripheral Latin American societies and the ways these respond through the organizing of social movements validating alternative worldviews that coalesce around issues pertaining to indigeneity, the environment, gender, and concepts of human dignity.","5",""
"ANTH 194X","Women in Politics: A Third World Perspective","Focuses cross-culturally on the status of women in the Third World and their formal and informal participation in politics. Also discussed are organized efforts, through participation in both national and autonomous movements, for women's rights.","5",""
"ANTH 194Y","Archaeologies of Space and Landscape","Examines contemporary archaeological perspectives on space and landscape. Focuses on how archaeology can contribute to an appreciation of the economic, cultural, and political factors that shape human perception, use, and construction of the physical world.","5",""
"ANTH 194Z","Emerging Worlds","Addresses encounters and contact zones between cultures that give rise to emerging worlds. Emerging worlds refers to the cultural heterogeneity and diversity created within world-making networks, geographies, innovations, and meanings, moving us beyond ideas about vanishing, autonomous cultures.","5",""
"ANTH 195A","Biological Anthropology Senior Thesis Series: Research Design","Introduces students to the principles and methods by which research projects in biological anthropology and data-based archaeology are devised and executed. Students design their senior thesis research projects, write research proposals, recapitulate laboratory methods, and engage in the discussion of quantitative and mixed-methods research in anthropology. Students must have already discussed research opportunities for their thesis with principle investigators who have agreed to sponsor a potential research project. Enrollment is restricted to senior anthropology majors and by permission of the instructor. Students cannot receive credit for this course and ANTH 295A. (Formerly Senior Thesis Seminar.)","5",""
"ANTH 195B","Biological Anthropology Senior Thesis Series: Guided Laboratory Research","Guides students as they conduct the research projects proposed in ANTH 195A and is intended to promote a collaborative laboratory environment where students can share their progress and discuss problems and results with the group of other participating students and the instructor. This course reinforces the continuous exchange of ideas between students, ensuring that students do not work on individual projects in complete isolation. (Formerly Senior Thesis Research.)","2",""
"ANTH 195C","Biological Anthropology Senior Thesis Series:  Thesis Writing","Emphasizes structured writing lead by manuscript guidelines with scheduled chapter drafts to be presented at specific times in the quarter. Students meet twice a week for seminars in which they present and discuss their results and writing progress with their peers and the instructor. Students are also introduced to the publishing landscape in the sciences, and trained in other forms of scientific research presentation (e.g. research posters, community meetings). (Formerly Senior Thesis Capstone.)","5",""
"ANTH 195S","Senior Thesis","Produce a quality research paper focusing on an anthropological topic of interest to you and that builds upon your experience in the major. Develop effective writing strategies and research skills to assist in professional development.","5",""
"ANTH 196C","Traveling Cultures","Considers why traveling cultures have posed a threat, often met with violence, to regimes of rule, particularly modern nation-states. Also explores the unique problems that conducting research with mobile communities poses for the ethnographer.","5",""
"ANTH 196D","Food and Medicine","Examines the intersections of food, medicine, and culture with special focus on nutrition, cultural knowledge, industrial foodways, genetically modified organisms (GMOs), ethnopharmacology, food safety, and biosecurity.","5",""
"ANTH 196E","Pastoralists Past and Present","Senior seminar treating the history and modern situation of the world's herding peoples. Readings draw on ethnographic, historical, archaeological, and ecological literatures. Students are coached in writing a 25-page research paper on a topic related to this theme.","5",""
"ANTH 196F","The Anthropology of Things: Gift, Sign, Commodity, Tool","Examines some approaches used by anthropologists and other thinkers to bring things into focus: as gifts, signs, commodities, and tools. Explores whether, by taking things seriously, anthropologists might learn to be empirical in new ways. Students cannot receive credit for this course and ANTH 225.","5",""
"ANTH 196G","Queer Worlds: Sexuality, Intimacy and Power in Contemporary Ethnography","How do we read, write, and recognize the queer body? How is it marked in politics, in intimate spaces, and in the ethnographic text? Drawing on ethnic studies and black queer studies, this seminar engages contemporary anthropological approaches to sexuality.","5",""
"ANTH 196H","Global History and the Longue Duree","Emerging anthropological approaches to global history, with an eye to historical frameworks of 500 years or more. Course requires engagement with advanced theoretical concepts and challenging historical texts. Intensive seminar format. Students cannot receive credit for this course and ANTH 269.","5",""
"ANTH 196I","Hard Problems","Explores interrelated, long-standing, difficult problems in human theory. Considers why these problems are so forbidding; what makes them significant; why they are hard; and whether hard problems come in different varieties or strengths.","5",""
"ANTH 196J","Imagining America","Explores sites of heritage and the politics of cultural memory in the American context. Focuses on public representation and interpretation at places where multiple views of history come into conflict.","5",""
"ANTH 196K","Settler Colonialism","Provides seniors in anthropology a capstone experience. Settler colonialism is an all-encompassing, land-centered project that revolves around the elimination of the Native. This course revolves around a series of ethnographies and histories about settler colonialism.","5",""
"ANTH 196L","Archaeology of the American Southwest","Outlines the  development of native cultures in the American Southwest from Paleo-Indian times (ca. 11,500 B.C.) through early European Contact (ca. A.D. 1600).","5",""
"ANTH 196M","Modernity and its Others","Examines how Western modernity has interpreted various forms of radical difference, beginning with the 15th-century conquest of the New World. Considers historical and contemporary examples of how Western thinkers have explained irrational beliefs and practices (e.g., witchcraft, human sacrifice, devil-worship).","5",""
"ANTH 196N","The Body, Narrative, and Creative Practice","Seminar proposing that arts, such as dance, weaving, and creative writing, and the cultivation of more traditional scholarly works can and should be pursued together. The pursuit of such research-creation is a social justice practice that values many ways of knowing and can lead to emotionally compelling and politically effective communication. Students are introduced to concepts and debates from crip theory, feminist, queer, and critical race studies, performance studies, and narrative theory. They also participate in workshops using body-centered writing, moment work, visual arts, and embodied listening to produce creation-scholarship in a medium of their choice. Taught in conjunction with ANTH 296N; students cannot receive credit for this course and ANTH 296N. Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors and by permission of instructor.","5",""
"ANTH 196O","Gender and Politics","Analyzes how gender defines those who participate in the public sphere and circumscribes their actions, with particular attention to individuals who identify as female and are engaged in political activities.","5",""
"ANTH 196P","Disability and Difference","Challenges limiting conceptions of what it means to be human in a range of arenas, from our understandings of culture to our conceptions of built space to our assumptions about citizenship, asking why disability makes people nervous.","5",""
"ANTH 196Q","Property","Analyzes and denaturalizes property as a key aspect of social life and power relations. Students develop their own research projects. Themes include: concepts of property; politics of private property, home and rent; racialized dispossession; and cultural appropriation.","5",""
"ANTH 196R","Design Anthropology","Senior seminar introduces students to principles, approaches, methods, and professional dimensions of design anthropology. Emphasizes collaborative methods and development of new methods for ethnographic research, analysis, and communication. Through a quarter-long research project, students develop professional skills and portfolio materials. Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Enrollment restricted to senior anthropology majors and is by permission. Students cannot receive credit for this course and ANTH 208C.","5",""
"ANTH 196T","Archaeology of Technology","Examines approaches mobilized by archaeologists to reconstruct ancient technologies and to explore how technological practices are implicated in processes of social formation and change. Approaches that engage technology as embodied technique and situated cultural practice are emphasized.","5",""
"ANTH 196U","Historical Anthropology","Provides seniors in anthropology a capstone experience. Involves critical engagement with archaeological, ethnohistorical, ethnographic, and oral line of evidence to evaluate the outcomes of indigenous people's interactions with different forms of missionary, settler, and mercantile colonialism.","5",""
"ANTH 196V","Radical Craft","Examines how making and artisanship can be harnessed to solve challenging social, political, and environmental issues. Examines anthropology's historical role in creating a dichotomy between ""art"" and ""craft,"" as well as contemporary ethnographic work that examines craft practices from weaving to pottery to the creation of mask trees for mutual aid during a time of global pandemic. Weekly topics include research-creation, ""craftivism,"" speculative design, Indigenous art worlds, and responses to the environmental and social ravages of fast fashion. Students select a pressing social problem and then complete a hands-on, craft-based project of their choice; no prior skills or talents are required.","5",""
"ANTH 196W","Anthropology of Weather and Exposure","Students discuss how differing approaches to weather and exposure generate different approaches to culture, science, and politics; identify key moments in cultural anthropology's engagement with environmental and climactic questions; and delineate new areas of research.","5",""
"ANTH 196X","Medicines for the Soul","Examines the soul as an act of being, as motion, and as a figure that comes to stand between immaterial and material, psyche and body, memory and imagination, life and death, madness and prophecyâall in order to consider larger anthropological questions of cultural and historical transmission. Course explores descriptions of the soul as found in early 20th century anthropological and ethnographic texts and its reappearance in psychology and psychological anthropology and, too, its haunting absence in contemporary anthropological texts.","5",""
"ANTH 197","Laboratory Tutorial","Independent laboratory research on selected topics in archeology and physical anthropology. Interview with appropriate instructor required.","5",""
"ANTH 197F","Laboratory Tutorial","Independent laboratory research on selected topics in archaeology and physical anthropology. Interview with appropriate instructor required. Enrollment restricted to anthropology majors.","2",""
"ANTH 198","Independent Field Study","Off-campus field study. Students submit petition to sponsoring agency.","5",""
"ANTH 198F","Ind Field Study","Ind Field Study","2",""
"ANTH 198G","Independent Field Study","Off-campus field study. Students submit petition  to sponsoring agency.","3",""
"ANTH 199","Tutorial","Students submit petition to sponsoring agency.","5",""
"ANTH 199F","Tutorial","Tutorial","2",""
"ANTH 200","Theoretical Foundations of Physical Anthropological Research","Provides historical and theoretical foundation of physical anthropology. Grounds students in the changing frameworks and perspectives during the last 150 years regarding questions in human biology, evolution, nature, and culture, by examining texts and scientific journals.","5",""
"ANTH 200A","Cultural Graduate Core Course","Introduces history, ethnography, and theory of cultural anthropology with emphasis on awareness of construction of anthropological canon and areas of conflict within it, leading up to contemporary debates on a variety of issues. Two-term course: students must enroll in both quarters.","5",""
"ANTH 200B","Cultural Graduate Core Course","Introduces history, ethnography, and theory of cultural anthropology with emphasis on awareness of construction of anthropological canon and areas of conflict within it, leading up to contemporary debates on a variety of issues. Multiple-term course; students must enroll in both quarters to receive academic credit.","5",""
"ANTH 201","Human Evolution","Provides an overview of the first five million years of human evolution and a framework for studying evolution and reconstructing the human past. Emphasizes that all lines of evidence must be included: hominid fossils, archaeology, paleoecology, and molecular data.","5",""
"ANTH 202A","Skeletal Biology","Focuses on human skeletal biology, the identification of elements, physiology of hard tissue formation, growth, and maintenance. Students are required to show competence in skeletal identification to pass this class.","5",""
"ANTH 208A","Ethnographic Practice","Introduces graduate students to the practice of fieldwork. Students design and carry out a quarter-long research project exploring a range of methods and producing an analytical case study. Readings and discussion emphasize both methodological critique and successful implementation.","5",""
"ANTH 208C","Design Anthropology","Introduces the principles, approaches, methods, and professional dimensions of design anthropology. Emphasis is on collaborative methods and development of new methods for ethnographic research, analysis, and communication. Through a quarter-long research project, students develop non-academic professional skills, including portfolio materials. Students cannot receive credit for this course and ANTH 196R.","5",""
"ANTH 210R","Religion in American Politics and Culture","Introduces dominant discourses about major American religions and their role in public life with particular attention to intersecting differences, such as race, sex/gender, and disability and to shifting religious/political boundaries. Visual and textual media, political commentary, and popular ethnographies are analyzed.","5",""
"ANTH 211","Human Ecology","Reviews environmental, physiological, behavioral, and cultural ways that humans interact with their physical surroundings. Effects of human culture on the environment, and of the environment on the shape of human culture will be emphasized.","5",""
"ANTH 212","The Human Life Cycle","Examines the human life cycle using an evolutionary framework. Examines key aspects of the human life stages using findings and concepts from developmental biology, physiology, nutrition, evolutionary ecology, and life history theory. These stages include: gestation, infancy, childhood, juvenile and adolescent periods, and senescence. Each stage of the life cycle is compared and contrasted with the developmental life of nonhuman primates and mammals. Other related topics include developmental plasticity and epigenetics.","5",""
"ANTH 214","Culture and Power","Takes the many strands of scholarship on power relations between individuals within the context of institutions and conceptualizes how individuals come to exist through power relations, and how power is fundamental to social being.","5",""
"ANTH 216","Methods in Biological Anthropology","Deepens students' understanding of methods applied in biological anthropology research. (Formerly Methods in Physical Anthropology.)","5",""
"ANTH 219","Religions, States, Secularities","Examines theories and case studies at the intersection of religion, states, and secularity. Topics include: secularism as a political doctrine; state and social regulation of religion and religious normativity; secular cultural practices; and lines of secular/religious entanglement and conflict.","5",""
"ANTH 220","Cartographies of Culture","Examines, theoretically and ethnographically, how societies and their cultures are created and reified through spatializing practices, including border-making, mapping, landscape aesthetics, globalization, time/history/memory, movement, and other locating activities.","5",""
"ANTH 224","Anthropology of Secularism","Examines secularism as a practice of government with a concomitant set of ethics. Topics include: the notion of religion necessary for secularism; forms of moral and political inclusion/exclusion enacted by secular governance; and the kind of ethical subject secularism engenders. (Formerly course 255.)","5",""
"ANTH 225","The Anthropology of Things: Sign, Gift, Commodity, Tool","Examines some approaches used by anthropologists and other thinkers to bring things into focus: as gifts, signs, commodities, and tools. Explores whether, by taking things seriously, anthropologists might learn to be empirical in new ways. Students cannot receive credit for this course and ANTH 196F.","5",""
"ANTH 228","Grant Writing","Devoted entirely to writing grant proposals. Students either work on their graduate education fellowships or their doctoral dissertation grants or both. Reading materials consist of granting agency documents plus examples of successful applications.","5",""
"ANTH 229","Constructing Regions","Discusses centrality of the idea of regions in studies of culture, the history of locating social theory, and debates about area studies. Students develop area of transregional bibliographies. Primarily for second- or third-year anthropology graduate students reading area literatures.","5",""
"ANTH 230","Bodies, Images, Screens","Visuality as epistemology, image-consumption, and the political and representational possibilities stemming from digitization and the World Wide Web are increasingly important issues in the humane sciences. Offers historical and critical background and the possibility of hands-on practice using visual material in current research.","5",""
"ANTH 231","Intimacy and Affective Labor","Examines recent work on the role of intimacy and affective labor in value production, political mobilization, and transnational capital linkages. Special attention given to how these terms are invoked to answer methodological and narrative concerns in ethnographic writing.","5",""
"ANTH 232","Bodies, Knowledge, Practice","Contemporary social theory and science both focus on bodies as critical sites of inquiry and the production of knowledge. Explores these theoretical intersections and constructions of the body with new ethnographic works. Questions how race, gender, and culture are inscribed through bodily practice, imagery, and phenomenology.","5",""
"ANTH 233","Politics of Nature","Advanced graduate seminar in environmental anthropology and science and technology studies, focusing on how nature is produced in the modern world and what political and practical significance this has in different contexts.","5",""
"ANTH 234","Feminist Anthropology","Examines how feminist anthropology creates its objects of knowledge by focusing on questions of method and representation. The class reads across these traditional objects--women and gender, for example--to highlight the epistemological and political stakes of feminist work in anthropology.","5",""
"ANTH 235","Language and Culture","An examination of language system and language use in relationship to cultural contexts of communication in Western and non-Western societies. Also examines the complex role which linguistic inquiry and models have played in broader theories of culture.","5",""
"ANTH 238","Advanced Topics in Cultural Anthropology","Advanced topics in cultural anthropology. Current topics in anthropological theory and ethnography taught on a rotating basis by various faculty members. Precise focus of each seminar varies and will be announced by the department.","5",""
"ANTH 241","Social Justice","Explores theoretical and methodological issues in the field of social justice with an emphasis on ethnographic analysis. Topics include: rights, obligations, justice, equality, compensation, and ethics.","5",""
"ANTH 243","Cultures of Capitalism","Introduction to selected themes in political economy, stressing the work of Marx. Topics include the development of capitalism, colonialism, dependency, world systems, state formation, class consciousness, commodity fetishism, the nature of late capitalism, post-modernism, and the aesthetics of mass culture. Through political economy's interlocutors, raises questions about gender, race and ethnicity, and post-structuralist critiques.","5",""
"ANTH 246","Advanced Readings in Environmental Anthropology","Survey of history and topics of contemporary interest in environmental anthropology, including political ecology, environmental history, ethnoecology, and multi-species anthropology. Additional advanced readings on contemporary environmental anthropology research. Students cannot receive credit for this course and ANTH 146.","5",""
"ANTH 247","Critical Perspectives on Nutrition","Examines emerging critiques on the science, communication, and practice of nutrition using multidisciplinary approaches. Special attention is given to the effects of modern nutrition.","5",""
"ANTH 248","Shadowy Dealings: Anthropology of Finance, Money, and Law","Moves from a brief introduction to classic economic anthropology to recent work on histories of money and capitalism and cultures of financial markets, of accounting, and of legal and illegal trading practices","5",""
"ANTH 249","Ecological Discourses","Explores narratives of nature and their practical consequences in contests over wild places and their resources. Readings focus on the histories of forests and on analytic frameworksâecology, social history, interpretation, cultural studiesâwith which to investigate competing constructions of the environment.","5",""
"ANTH 252","Survey of Cultural Anthropological Theory","Major figures, ideas, and writing in 19th- and 20th-century cultural anthropology surveyed. Students cannot receive credit for this course and ANTH 152.","5",""
"ANTH 253","Advanced Cultural Theory","Examines cultural anthropology's interdisciplinary practices of knowledge formation at an advanced level. Drawing on various types of theoretical texts, the course elaborates on the relationship between culture and power, taking up different themes each time it is taught.","5",""
"ANTH 254","Medicine and Culture","Surveys medicine cross-culturally, with particular focus on power, tradition, and theories of embodiment. Students cannot receive credit for this course and ANTH 134.","5",""
"ANTH 255","Regulating Religion/Sex","First examines the regulation of religion and the normalization of sex/sexuality as parallel modalities of secular rule in the production of modern citizens and subjects. Ultimately inquires into the relationship between proper religion and proper sexuality in secular state formations. (Formerly course 259.)","5",""
"ANTH 258","Experimental Cultures","Addresses the use of experiments in anthropological research, theory, and writing.","5",""
"ANTH 259","Race in Theory and Ethnography","Explores theoretical and methodological approaches to the cross-cultural study of race, with an emphasis on historical and ethnographic analysis. Main approaches considered include Foucauldian, Gramscian, diaspora theory, and the everyday poetics and politics of race. (Formerly course 246.)","5",""
"ANTH 260","Anthropology of Freedom","Examines conceptualizations and practices of freedom across geographical space and historical time. Readings drawn from Greek philosophy, Islamic, Christian, and Buddhist religious traditions. Enlightenment philosophy, liberal and neo-thought, and contemporary ethnographies.","5",""
