department,course_code,course_title,course_description,course_credits
DANC - Dance,Dance Science,DANC 3320,"Fundamentals of physiology, kinesiology, biomechanics, physical conditioning and injury prevention as they apply to dance techniques and training.",3
DANC - Dance,Intermediate Ballet - Three Credit Hour,DANC 3341,Continuing study of fundamentals of ballet technique. May be repeated for credit.,3
DANC - Dance,Intermediate Contemporary Dance - Three Credit Hour,DANC 3345,Continuation of study of fundamentals in contemporary dance techniques. May be repeated for credit.,3
DANC - Dance,Intermediate Mexican Folklorico Dance - Three Credit Hour,DANC 3349,Continuation of study of fundamentals in Mexican folklorico dance techniques. May be repeated for credit.,3
DANC - Dance,Intermediate Spanish Dance - Three Credit Hour,DANC 3353,Continuation of study of fundamentals in Spanish dance techniques. May be repeated for credit.,3
DANC - Dance,Advanced Ballet - Two Credit Hour,DANC 4242,Continuation of study of ballet technique with a strong emphasis on performing skills and styles. May be repeated for credit.,2
DANC - Dance,Advanced Contemporary Dance - Two Credit Hour,DANC 4246,Continuation of study in contemporary dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,2
DANC - Dance,Advanced Mexican Folklorico Dance - Two Credit Hour,DANC 4250,Continuation of study in Mexican folklorico dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,2
DANC - Dance,Advanced Spanish Dance - Two Credit Hour,DANC 4254,Continuing study of Spanish dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,2
DANC - Dance,Senior Project,DANC 4302,The production of senior choreographic work for formal presentation or a research project.,3
DANC - Dance,Dance Theory,DANC 4309,Technical and aesthetic theories and practices related to the training of dancers.,3
DANC - Dance,Dance in the Public Schools,DANC 4313,"Field-based experiences in program planning for dance in secondary schools, including unit instruction, lesson planning, class organization and materials sources. Laboratory experiences to be arranged.",3
DANC - Dance,Advanced Ballet - Three Credit Hour,DANC 4341,Continuation of study in ballet technique with a strong emphasis on performing skills and styles. May be repeated for credit.,3
DANC - Dance,Advanced Contemporary Dance - Three Credit Hour,DANC 4345,Continuation of study in contemporary dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,3
DANC - Dance,Advanced Mexican Folklorico Dance - Three Credit Hour,DANC 4349,Continuation of study in Mexican folklorico dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,3
DANC - Dance,Advanced Spanish Dance - Three Credit Hour,DANC 4353,Continuation of study in Spanish dance techniques with a strong emphasis on performing skills and styles. May be repeated for credit.,3
DMEI - Defense Manufacturing Engineering,Defense Manufacturing Experiential Project,DMEI 3101,"This course is for defense manufacturing internships, defense manufacturing co-operatives, or faculty-led defense research projects. This course may be repeated for credit up to three times.",1
DMEI - Defense Manufacturing Engineering,Introduction to Defense Manufacturing Innovation,DMEI 3301,"Introduction to Defense Manufacturing Innovation will provide students with the fundamentals of the defense manufacturing sectors, and the complexity required for US defense manufacturing.",3
DMEI - Defense Manufacturing Engineering,Defense Manufacturing Capstone Design,DMEI 4301,"This course is a capstone design experience for defense manufacturing, drawing from all previous coursework, and involves problem definition, assumptions, methods of analysis, testing, and reporting of results for defense manufacturing problems.",3
DMEI - Defense Manufacturing Engineering,Defense Manufacturing Seminar,DMEI 4303,Presentations of special topics and current research in defense manufacturing. Acquaints students with research activities and procedures in conducting research.,3
DMEI - Defense Manufacturing Engineering,Principles of Additive Manufacturing and Innovation,DMEI 4305,"Additive manufacturing (AM) is a process for producing three-dimensional solid objects directly from a digital model. AM is considered by global Manufacturers as the key technology that drives innovation. This course introduces from technical perspectives, the principle of AM process and 3D printing technologies, and their applications in defense manufacturing. Advantages and disadvantages for each process and its best applications will be discussed. Material properties and their effects on the final quality of fabricated products will be investigated. Innovations enabled by AM and 3D printing, especially in the defense sectors will be discussed. The last part of the class is centered on the current development and future of AM.  Guest lectures will be provided by Honeywell and Raytheon, where AM is supporting key innovation in their product design and manufacturing.",3
DMEI - Defense Manufacturing Engineering,Artificial Intelligence for Additive Manufacturing,DMEI 4306,Application of artificial intelligence techniques ranging from expert systems to deep learning applications to the design and production of additive manufacturing parts,3
DMEI - Defense Manufacturing Engineering,Defense Manufacturing Processes,DMEI 4307,"This course addresses the design and process issues associated with precision manufacturing for defense systems. A knowledge of basic and precision manufacturing including topics such as requirements for machine design for precision manufacturing, precision machining processes, fundamentals of metrology and the techniques of measurement, sensors applications for precision manufacturing, process planning, applications and challenges, and finally, the future of precision manufacturing.",3
DMEI - Defense Manufacturing Engineering,Internet of Things for Defense Manufacturing,DMEI 4308,The Internet of Things (IOT) is the concept of connecting devices and people to the internet to create a network of interconnected people and things. Devices must integrate sensors that can share information over the internet. The use of digital twins to virtually represent an internet of things or manufacturing process will be investigated.,3
DMEI - Defense Manufacturing Engineering,Material Engineering for Defense Innovation,DMEI 4309,This course provides an introduction (principle and practice) to the experimental and theoretical aspects of advanced materials engineering with specialized in surface and interfacial interaction of materials for the defense industrial application to solve scientific and engineering problems at a cost and quality efficient approach. Students will conceptualize and design systems to fulfill needs in the manufacturing industry.,3
DMEI - Defense Manufacturing Engineering,Friction Stir Processing,DMEI 4311,"Friction stir welding and Friction stir additive manufacturing processes (FSP) join materials or produce three-dimensional solid objects. FSP is a key manufacturing innovation technology since its invention in 1991 at Cambridge University. FSP is now widely used in shipbuilding, aerospace, and defense industry. This course is designed to introduce from technical perspectives, the principle of FSP process, and their applications in defense manufacturing. Advantages and disadvantages for each process and its best applications will be discussed. Material properties and their effects to the final quality of fabricated products will be investigated. Innovations enabled by FSP, especially in the shipbuilding sectors, will be reviewed.",3
DMEI - Defense Manufacturing Engineering,Machine Learning for Product and Process Design,DMEI 4313,"Machine learning is a subset of artificial intelligence that seeks to learn by itself. A particularly promising component of machine learning is deep learning that attempts to learn complex mathematical relationships with a high degree of accuracy. The suitability of data from a variety of sources including data mining, experimentation, internet of things and digital twins for machine learning will be investigated.",3
DMEI - Defense Manufacturing Engineering,Sensor and Smart Devices for Defense Applications,DMEI 4314,"Condition-monitoring and maintenance decision-making is one of the crucial activities in manufacturing. It can be viewed as an activity in which raw data from sensors are transformed into useful information about the condition of the underlying equipment and further into optimal decisions on what to do with it to maintain functional operations of that piece of equipment and the overall manufacturing system (repair, replacement, system reconfiguration). The course will cover a range of concepts and methods that enable such transformations of data into useful information and decisions. Numerous examples of applying the aforementioned concepts will be presented, including monitoring of belt tension and alignment in material handling devices, vibration-based monitoring of valves and seals in an automation system, automotive engine diagnostics, as well as system-level maintenance and operational decision-making based on the equipment level condition information.",3
DMEI - Defense Manufacturing Engineering,Alloys for Defense Manufacturing,DMEI 4315,"The study of metallurgy and materials science is crucial for developing advanced materials for diverse applications. This course covers recent developments and current status of various materials, designs, and manufacturing practices which together contribute towards weight reduction of systems used in defense, aerospace, and automotive sectors. The topics covered range from new manufacturing methods such as additive manufacturing (AM), inter-metallics, aluminum-based solutions, near net-shaped processes, ultra-light weight metal foam and honeycomb-based sandwich structures, advanced high strength steels, and magnesium alloy castings. This course also covers specific manufacturing and characterization techniques, property variability and reliability of light weight components.",3
DMEI - Defense Manufacturing Engineering,Special Topics in Defense Manufacturing Engineering and Innovation,DMEI 4399,Topics selected from current issues of concern in defense manufacturing industries. May be repeated for credit when topics change.,3
ECED - Early Childhood Education,"Knowledge & Skills of Preschool Teachers: Profession, Standard, & Ethics",ECED 3307,"This course provides a broad overview of the history and knowledge base of the early childhood profession and field, national, state, and regional standards and guidelines, early childhood educator code of ethical conduct and the multiple influences of diverse family and community contexts on child development and learning. The course emphasizes reflective teacher practice and professional involvement/engagement in the early childhood field.",3
ECED - Early Childhood Education,Quality Programs for Infants & Toddlers,ECED 3310,"This course will introduce students to indicators of high-quality care for infants and toddlers. Topics in this course will include the historical and theoretical basis influencing models for programs, the role of caregivers and parents, designing and managing experiences for developmental domains of infants and toddlers, and the importance of in-doors environments.",3
ECED - Early Childhood Education,Administration of Child Development Centers,ECED 4312,"This course aligns with NAEYC's Code of Ethical Conduct for Administrators and Program Administrators Competencies. Study topics will include leadership and management, program marketing, professional ethics, fiscal, personnel and facilities management, and law and licensing regulations. Prospective and in-service program owners/administrators will learn to plan for, implement, manage, market, and evaluate programs serving all young children from 0 to 5.",3
ECED - Early Childhood Education,Dynamics of Play and Play Environments in Childhood,ECED 4314,"This course provides an overview of play theories as they apply to the total development of the child. Examines the art and science of critical thinking, including analysis, synthesis, and evaluation in the fields of play, play theories, and outdoor environments through a variety of pedagogies. Special attention is given to organized play experiences through arranging and scheduling developmentally appropriate learning centers for children in the public school setting. Field experiences may be required.",3
ECED - Early Childhood Education,Linguistically-Diverse Early Childhood Students,ECED 4315,"In this course, students will study methods, instructional strategies, and materials for teaching early childhood students with linguistically diverse backgrounds. This course will also focus on planning, implementing, and assessing developmentally appropriate instruction in linguistically and culturally responsive classrooms. Field experiences may be required.",3
ECED - Early Childhood Education,Field Experience Childhood Settings,ECED 4380,A specialized workplace experience designed to strengthen a student's job skills by providing an opportunity to use acquired skills and techniques with young children.,3
ECED - Early Childhood Education,Foundations of Early Childhood Education,ECED 4391,"This course addresses the theory of education of young children, issues and trends in early childhood education, including changing beliefs regarding pre-kindergarten and kindergarten programs, and relevant state and federal mandates regarding programs for young children. Field experiences may be required.",3
ECED - Early Childhood Education,Guidance of Young Children,ECED 4392,"This course examines theoretical approaches to guidance practices appropriate to early childhood settings pre-kinder through 3rd grade. Age-appropriate intervention strategies, observation techniques, and group management skills will be studied. Emphasis is on the positive development of a child's self esteem and positive communications with families. Field experiences may be required.",3
ECED - Early Childhood Education,Principles of Curriculum Design in Early Childhood,ECED 4394,"This course combines a theoretical and experiential investigation of curriculum for children from birth through 8 years, with primary emphasis on prekindergarten through elementary grades. Curriculum planning and implementation; overview of research and theory related to teaching and learning of specific content areas with an emphasis on integrated approaches to early childhood curriculum will be addressed. Field experiences may be required.",3
ECED - Early Childhood Education,"Science, Technology, Engineering, Arts, and Math for Young Children",ECED 4395,"This course will focus on the integration of developmentally appropriate science, technology, engineering, art, and math (STEAM) curriculum and instructional resources for early childhood education programs serving young children ages birth to eight. Prospective early childhood educators will analyze curriculum standards from NSTA, NCTM, and NAEYC as the basis for creating appropriate interdisciplinary experiences using the arts for all young children. The principles, methods, and materials for teaching young children STEAM concepts will be emphasized as significant for creating effective high quality learning environments for young children.",3
ECON - Economics,Introduction to Economics,ECON 1301,"Uses economic analysis to examine a variety of past and current economic, social and political issues/problems. While the focus will be on the United States, international issues will also be considered. In particular, the student will have the opportunity to develop an understanding of how economic, social and political systems, through their institutions and structures, affect a variety of issues related to the economy and society.",3
ECON - Economics,Principles of Macroeconomics,ECON 2301,"Provides an introduction to the economy as a whole. Topics include national income and output, unemployment, inflation, market forces and economic growth, international linkages (such as trade deficits), and economic, social and political structures and institutions (such as fiscal and monetary policies and the Federal Reserve System).",3
ECON - Economics,Principles of Microeconomics,ECON 2302,"Introduction to the economic problem and the fundamentals of microeconomics. Analysis of the market system (including market failure), consumer demand, the firm's supply decision, product and resource markets, resource allocation and efficiency and international linkages (such as comparative advantage).",3
ECON - Economics,Internship in Economics,ECON 3300,"Provides students the opportunity to gain real world experience in their chosen economics career field by working with a participating employer or organization. The students will be supervised by a faculty member acting as a liaison between the employing organization and the academic department to assure compliance with specific learning and experience requirements for the assignment. The employment can be either paid or unpaid, and must include at least 10 hours of work each week over the period of one academic term.",3
ECON - Economics,Econometrics,ECON 3341,"Studies standard regression procedures of parameter estimation and hypothesis testing in economics. This course covers basic probability concepts, the linear regression model, the properties of the least squares estimators, hypothesis testing, functional form, heteroskedasticity, autocorrelation, and the basics of panel data estimation and simultaneous equation.",3
ECON - Economics,Business and Economics Forecasting,ECON 3342,"Studies forecasting techniques as they apply to finance and economics. The course covers graphical analysis, modeling and forecasting trends, seasonality adjustment, stationarity, MA, AR, ARMA, ARIMA, unit roots, forecasting with regression models, and forecast evaluation.",3
ECON - Economics,Economics of the Government Sector,ECON 3343,"Economic roles of the government, public sector economic decision making, and the effects of government expenditures and taxation on resource allocation, income distribution and economic growth. Also includes topics such as pollution control, education, deregulation, and income security programs.",3
ECON - Economics,Macroeconomic Theory,ECON 3351,"Provides an analysis of the construction, character and operational uses of the macroeconomic models of classical, Keynesian, Monetarist and Neoclassical schools of thought. Applications of the foregoing models to such issues as inflation, unemployment, economic growth, interest rates, and investment in the U.S. economy are emphasized.",3
ECON - Economics,Microeconomic Theory,ECON 3352,Provides an in-depth study of the theory of consumer demand and the theory of the firm. Supply and demand analysis and different market structures are also discussed.,3
ECON - Economics,International Trade,ECON 3353,"Provides an analysis of the mechanism of international trade and its effects on the domestic economy. Emphasis is placed on the issues of comparative advantage, trade barriers, international factor mobility (including foreign direct investment) and trade agreements.",3
ECON - Economics,Development Economics,ECON 3355,"Presents an overview of the field of Development Economics. It aims to demonstrate the application of economic theory to the problems of economic development inless developed countries. Topics covered include: economic growth, economicinequality, poverty, malnutrition, health, education, microfinance,gender, population growth, migration, and the rural economy.",3
ECON - Economics,Labor Economics,ECON 3358,"Provides an in-depth analysis of labor market structures and processes, patterns and determinants of employment and wages, labor force participation, unemployment, discrimination and human capital.",3
ECON - Economics,Managerial Economics,ECON 3360,"Applies economic reasoning to entrepreneurial decision making. The course covers topics such as personnel economics, production theory, pricing policies and investment planning.",3
ECON - Economics,Money and Banking,ECON 3381,"Surveys the components, nature, functions, creation and destruction of money and credit. Other topics include financial institutions and their functions and an introduction to monetary theory and policy.",3
ECON - Economics,Introduction to Mathematical Economics,ECON 4340,"Introduction to quantitative methods used to analyze a variety of macroeconomic and microeconomic issues, including the role of fiscal and monetary policies in the macroeconomy, markets, production costs, profit maximization and utility maximization. Methods discussed include structural models, matrix algebra, comparative statics and unconstrained and constrained optimization.",3
ECON - Economics,Studies in Economics,ECON 4361,"Provides an in-depth analysis of a special economics topic selected by the instructor. The topic will be established a priori, such that interested students should contact the instructor or department chair before registration. This course will have variable content and may be repeated for credit with consent of instructor.",3
EDBE - Education Bilingual Education,Foundations of Bilingual Education and ESL,EDBE 3322,"The study of cultural, psychological, socioeconomic, linguistic, cognitive and curricular factors affecting the academic achievement of emergent bilingual students. This course also will investigate the philosophical, legal and sociological aspects of ESL and bilingual education. National, state and local guidelines designed to meet the needs of multilingual and multicultural student populations will be reviewed. Course is taught in Spanish. Field experience may be required.",3
EDBE - Education Bilingual Education,The Development of Bilingualism,EDBE 3323,"This course is designed to investigate the nature of dual language development in a bilingual setting, beginning with early childhood through the sixth grade. Special emphasis is placed on first and second language development and transference of skills and concepts resulting in balanced bilingualism. Course is taught in Spanish. Field experience may be required.",3
EDBE - Education Bilingual Education,Early Biliteracy and Young Bilingual Children,EDBE 3324,"This course focuses on early biliteracy and assessment, specifically in conjunction with early childhood development and how children learn to read and write in Spanish and English. This course will focus on how to provide meaningful biliteracy experiences in the EC to second grade bilingual classrooms. The course is taught in Spanish. Field experience may be required.",3
EDBE - Education Bilingual Education,Language Arts in the Bilingual Classroom,EDBE 4305,"This course focuses on the teaching and assessment of language arts in the 3rd through 6th Spanish/English bilingual classroom, including topics such as writing development and instruction, academic language and vocabulary development, reading fluency, and comprehension of texts in Spanish. The course is taught in Spanish. Field experience may be required.",3
EDBE - Education Bilingual Education,The Bilingual Curriculum in the Content Areas,EDBE 4306,"This course focuses on the current methods and theories of planning, teaching, and assessing math, science and social studies in the bilingual classroom. Students will become familiar with the Texas Essential Knowledge and Skills. Emphasis will be given to thematic planning, language and content objectives, and teaching language through content. Technological tools and resources to facilitate student learning will be explored. Course is taught in Spanish. Field experience may be required.",3
EDBE - Education Bilingual Education,Bilingual Education and the Adolescent Learner,EDBE 4310,"Participants learn about the cognitive, social, family and community characteristics of the adolescent bilingual learner, including recent immigrants, transnational student, and students from heritage language communities. The focus will be on understanding these learners from an asset perspective and examining their linguistic knowledge and needs. This course will be taught in Spanish.",3
EDCI - EdC and IElem and Sec,Human Development and Student Learning,EDCI 3331,This course focuses on applications of human from birth to preadolescence in children from culturally and linguistically-diverse populations including students with exceptionalities. Topics include major learning and motivational theories as they apply to the teaching and learning process in learner-centered environments. This course integrates educational technology and may require field experiences.,3
EDCI - EdC and IElem and Sec,Designing and Implementing Instruction and Assessment,EDCI 3332,"This course focuses on applications of instructional, management and assessment methods for effective teaching in learner-centered environments and appropriate for culturally and linguistically-diverse populations, including students with exceptionalities. Topics include principles of curriculum, instruction, assessment, classroom climate, practices for managing student behavior, conflict resolution, and classroom management models. This course integrates educational technology and may require field experiences.",3
EDCI - EdC and IElem and Sec,Teaching Science to Elementary Students,EDCI 3333,"This course focuses on the current research and practice of teaching, learning and assessment of science in the elementary school curriculum and appropriate for culturally and linguistically-diverse populations, including students with exceptionalities. Topics include how children learn science, procedures to plan, implement instruction appropriate to teach and assess the EC-6 science statewide curriculum, the process of scientific inquiry and its role in science instruction. This course integrates educational technology and may require field experiences.",3
EDCI - EdC and IElem and Sec,Teaching Mathematics to Elementary Students,EDCI 3334,"This course focuses on the current research and practice of teaching, learning and assessmentof mathematics in the elementary school curriculum for culturally and linguistically-diverse populations, including students with exceptionalities. Topics include how children learn and develop mathematical skills, procedures to plan, implement and assess instruction appropriate to teach the EC-6 mathematics statewide curriculum. This course integrates educational technology and may require field experiences.",3
EDCI - EdC and IElem and Sec,Teaching Social Studies to Elementary Students,EDCI 3335,"This course focuses on the current research and practice of teaching, learning and assessmentof social studies in the elementary school curriculum for culturally and linguistically-diverse populations, including students with exceptionalities. Topics include effective instructional strategies to integrate the various social science disciplines and procedures to plan and implement effective instruction and assessment of the EC-6 social studies statewide curriculum. This course integrates educational technology and may require field experiences.",3
EDCI - EdC and IElem and Sec,Teaching English Language Arts and Reading to Elementary Students,EDCI 3336,"This course focuses on the study and implementation of English Language Arts and Reading (ELA/R) methods and strategies for effective elementary teaching of culturally and linguistically-diverse populations, including students with exceptionalities. Topics include promoting student learning with appropriate assessments, effective use of classroom management skills, and the study of relationships between reading, writing, listening, speaking, viewing and representing. This course integrates educational technology and may require field experiences.",3
EDCI - EdC and IElem and Sec,Senior Seminar,EDCI 4225,This course engages teacher candidates in problem based learning inquiry. Students will examine an existing data set and apply data-decision making skills to develop a set of recommendations and subsequent action plan.,2
EDCI - EdC and IElem and Sec,Professional Development,EDCI 4320,This course focuses on reflective practice in the teaching profession. Teacher candidates will analyze and reflect on his or her instruction and student learning in order to improve teaching practice. Students will identify areas of needed improvement in his or her teaching practice and complete professional development modules.,3
EDCI - EdC and IElem and Sec,Clinical Teaching Residency I for Elementary Teachers (EC-6),EDCI 4331,"This is the first of two courses designed for students seeking elementary (EC-6) teacher certification under the clinical teacher residency model. Clinical teacher residents will be placed in a state-accredited public school all day under the guidance of an experienced classroom teacher (mentor) and a university supervisor for two semesters. The focus will be on the integration of pedagogical-content knowledge, development of critical reflection, and well-informed decision-making for improvement of professional practice with an emphasis on the implementation of effective instruction, assessment, technology integration, and classroom management.",3
EDCI - EdC and IElem and Sec,Clinical Teaching Residency II for Elementary Teachers (EC-6),EDCI 4332,"This is the second of two courses designed for students seeking elementary (EC-6) teacher certification under the clinical teacher residency model. Clinical teacher residents will be placed in a state-accredited public school all day under the guidance of an experienced classroom teacher (mentor) and a university supervisor for two semesters. The focus will be on the integration of pedagogical-content knowledge, development of critical reflection, and well-informed decision-making for improvement of professional practice with an emphasis on the implementation of effective instruction, assessment, technology integration, and classroom management.",3
EDCI - EdC and IElem and Sec,Student Teaching for Elementary Teachers (EC-6),EDCI 4637,"This course is designed for students seeking elementary (EC-6) teacher certification. Interns/student teachers will be placed in a state-accredited public school all day under the guidance of an experienced classroom teacher (mentor) and a university supervisor for a semester. Focus will be on the integration of pedagogical-content knowledge, development of critical reflection, and well-informed decision-making for improvement of professional practice with emphasis on the implementation of effective instruction, assessment, technology integration, and classroom management.",6
EDFR - Educational Foundations Research,Intercultural Context of Schooling,EDFR 2301,"This education course introduces students to issues related to equity, diversity, and social justice for culturally and linguistically diverse students and exceptional learners as well as classroom strategies for engaging diverse learners.",3
EDFR - Educational Foundations Research,Special Topics in Educational Foundations,EDFR 3340,Extensive study in topics related to educational foundations. May be repeated for credit when topic varies.,3
EDSL - English as Second Language,Emergent Bilingual Students in Schools,EDSL 3310,"Students will be introduced to linguistic diversity in schools, basic second language acquisition theories, and ESL and bilingual education programs. Language learning strategies and advocacy for emergent bilingual students will be emphasized. Advocacy for emergent bilinguals and family and community involvement will be stressed. Field experience may be required.",3
EDSL - English as Second Language,Language Acquisition and Development in the ESL Classroom,EDSL 3320,"This course addresses the nature of language, basic concepts of language systems, and functions and registers of language to promote ESL students' learning and English language development. Students will understand theories of first and second language acquisition and their implications for teaching in ESL classrooms. Field experience may be required.",3
EDSL - English as Second Language,Foundations of Bilingual Education and ESL,EDSL 3322,"The study of cultural, psychological, socioeconomic, linguistic, cognitive and curricular factors affecting the academic achievement of emergent bilingual students. This course also will investigate the philosophical, legal and sociological aspects of ESL and bilingual education. National, state and local guidelines designed to meet the needs of multilingual and multicultural student populations will be reviewed. Field experience may be required.",3
EDSL - English as Second Language,English as a Second Language,EDSL 3326,This course focuses on the teaching of language arts and reading curriculum in the ESL classroom.  Students will become familiar with the Texas Essential Knowledge and Skills. Special emphasis will be given to strategies for fostering ESL students' communicative competence and academic language. Field experience may be required.,3
EDSL - English as Second Language,Content Area Methods in the ESL Classroom,EDSL 4306,"This course focuses on the current methods and theories of planning and teaching math, science and social studies in the ESL classroom. Students will become familiar with the Texas Essential Knowledge and Skills. Emphasis will be given to thematic planning, language and content objectives, teaching language through content, and academic language development. Technological tools and resources to facilitate student learning will be explored. Field experience may be required.",3
EDSL - English as Second Language,Assessment in the ESL Classroom,EDSL 4308,"This course focuses on formal and informal assessments and instruments used in ESL programs. Students will learn to use assessment results to plan and adapt instruction in the ESL classroom. Students will become familiar with standardized tests commonly used in Texas. Relationships among state-mandated standards, instruction, and assessment in the ESL classroom will be emphasized. Field experience may be required.",3
EDTC - Educational Technology,Introduction to Educational Technology,EDTC 3310,"This course provides an introduction to the field of educational technology and its impact on teaching and learning. Historical and current perspectives are examined, as well as emerging trends and issues. The application of innovative instructional technologies is introduced in this project-based course.",3
EDTC - Educational Technology,Instructional Design for the Corporate Trainer,EDTC 3320,This train-the-trainer course introduces the learner to the principles of instructional design. Students will explore the complexities of designing instruction in the context of corporate training environments. Students will learn classic ID theory and models and apply these theories in a real context through a major design project.,3
EDTC - Educational Technology,Computer/Web-Based Training,EDTC 3321,This course provides with the skills necessary to create effective computer/web-based training programs based on proven instructional design concepts.,3
EDTC - Educational Technology,Designing Instructional Multimedia,EDTC 3323,"This course focuses on the development of skills using the latest multimedia tools for instructional technology training. Significant attention is made to interface design, message design, and the appropriate matching of media tools with specific goals and contexts.",3
EDTC - Educational Technology,Computer Mediated Communication and Collaboration,EDTC 3325,"The course focuses on the use of computer-mediated communication (CMC) and computer-supported collaboration learning (CSCL) in online learning environment. Students will explore, asses, and utilize a variety of current and emerging Web 2.0 technologies to collaborate, share and deliver effective instructional resources and instruction to virtual learners.",3
EDTC - Educational Technology,Personal Learning Networks for Professional Development and Informal Learning,EDTC 3327,"This course explores the role of networked learning for virtual professional development and informal learning.  Focusing on developing self-directed and lifelong learning skills, students will identify, assess, and use a variety of technologies and resources to contribute to, and derive knowledge from personal learning networks.",3
EDTC - Educational Technology,Application of Instructional Technology,EDTC 3332,Students will combine skills and concepts to generate a web/computer-based training solution. Guided observation and practice in the applications of instructional technology to a specified training/ educational setting are emphasized.,3
EDUC - Education,Introduction to the Teaching Profession,EDUC 1301,"This course introduces students to education in society by analyzing historical, social, political, economic, cultural, global and legal issues in education.",3
EDUC - Education,The Teaching Profession and Student Learning in Contemporary Schools,EDUC 3301,"This course describes the changing field of education and the teaching profession. Past, present, and future developments and issues in curriculum, instruction, management, governance, ethics, and philosophy are critically examined. Other course topics include teacher quality, the development of professional culturally competent teachers, and teachers as change agents. This course integrates educational technology and requires services learning.",3
EDUC - Education,Knowledge of Student Development and Learning,EDUC 3302,"This course surveys human growth and development theories and emphasizes the implications and applications of research on the learning process, motivation, teaching, and assessment. Emerging changes, issues, and trends in the field of education such as student diversity, inclusive classrooms, educational policies, and technology are critically examined. This course integrates educational technology and requires field experiences.",3
EDUC - Education,Instructional Planning and Assessment in Culturally Sustaining Classrooms,EDUC 3304,"This course engages pre-service teachers in culturally sustaining pedagogy and the principles of instruction and assessment as they relate to teaching in secondary schools. Pre-service teachers engage in culturally relevant and sustainable lesson and unit planning, teaching evidence-based instructional strategies for secondary schools, and effective assessment of student learning. This course integrates educational technology and requires field experiences.",3
EDUC - Education,Evidence-Based Teaching in Positive Learning Environments,EDUC 3306,"This course introduces teacher candidates to principles and theories for creating positive classroom learning environments that respond to and sustain the diversity of backgrounds and needs of diverse learners. Topics include understanding communities, school-community relations, adjusting and differentiating instruction for culturally and linguistically diverse learners, and developing reflective teaching practices. This course integrates educational technology and requires field experiences.",3
EDUC - Education,Implementing and Assessing Effective Secondary Content Pedagogy,EDUC 4306,"This course introduces teacher candidates to principles of instructional design that enable diverse learners to inquire into and construct subject-specific meanings at the secondary level (7-12). Specifically, teacher candidates will learn to adapt subject matter to learner diversity, explore multiple ways diverse learners make sense of the curriculum, and gather data on learners to inform content and instructional decisions. Additionally, teacher candidates will explore multiple roles and their professional, intellectual, sociopolitical, and communal responsibilities.",3
EDUC - Education,ACP Internship I,EDUC 4325,The course satisfies licensure requirements for the internship pathway. This is a clinical course that emphasizes the application of curriculum and pedagogy within the school setting. This course is for semester 1 of the internship.,3
EDUC - Education,ACP Internship II,EDUC 4326,The course satisfies licensure requirements for the internship pathway. This is a clinical course that emphasizes the application of curriculum and pedagogy within the school setting. This course is for semester 2 of the internship.,3
EDUC - Education,Student Teaching Secondary or All-Level,EDUC 4611,"This course is designed for students seeking all-level/secondary (EC-12/4-8/7-12) teacher certification. Interns/student teachers will be placed in a state-accredited public school all day under the guidance of an experienced classroom teacher (mentor) and a university supervisor for a semester. Focus will be on the integration of pedagogical-content knowledge, development of critical reflection, and well-informed decision-making for improvement of professional practice with emphasis on the implementation of effective instruction, assessment, technology integration, and classroom management.",6
EECE - Electrical and Computer Engineering,Introduction to Electrical and Computer Engineering,EECE 1101,"This course is an introduction to electrical and computer engineering as a career. It includes fundamentals of analysis and design, the graphical representation of data using software tools, approaches to problem solving, and a basic design project.",1
EECE - Electrical and Computer Engineering,Electric Circuits Lab I,EECE 2105,"This course covers fundamental circuit measurement techniques and reinforces concepts fromEECE 2305Electrical Circuits I. Topics include: basic instrumentation; measurement of voltage, current, resistance, power, frequency and phase; analysis of experimental data; and reporting of technical results.",1
EECE - Electrical and Computer Engineering,Digital Systems Engineering Lab I,EECE 2106,"This course covers the basics of digital logic and hardware combinational circuits, flip-flops, resistors, sequential circuits, and state machines.",1
EECE - Electrical and Computer Engineering,Practicum of Mathematics for Electrical and Computer Engineering,EECE 2146,"This course is an additional practicum toMATH 2346. It provides practice on the topics covered byMATH 2346: matrix operations, inversion, determinants, graph theory, root-finding algorithms, numerical differentiation, numerical integration, numerical matrix methods, and practice of complex number operations, conversion between polar and rectangular forms, solving of real and complex linear equations by Cramer's rule, Gauss-Jordan elimination, and inverse matrix ways. The course will involve the application problems for majors in Electrical and Computer Engineering.",1
EECE - Electrical and Computer Engineering,Electric Circuits I,EECE 2305,"This course covers fundamentals of electrical circuits, including basic definitions, Kirchoffs laws, nodal and loop analysis, superposition, Thevenin and Norton equivalents, time-varying circuits, simple transient response, sinusoidal steady-state analysis using phasors, and power in sinusoidal steady-state circuits.",3
EECE - Electrical and Computer Engineering,Digital Systems Engineering I,EECE 2306,This course is an introduction to Boolean algebra; analysis and synthesis of combinational and sequential switching network; applications to computer design.,3
