Course Code,Course Title
CHEM 4994,Undergraduate Research
CHEM 4994H,Undergraduate Research
CHEM 5004,Orientation to Graduate Research
CHEM 5094,Grant Writing and Ethics
CHEM 5114,Advanced Electrochemistry
CHEM 5124,Analytical Spectroscopy
CHEM 5134,Introduction to Single-Crystal X-ray Diffraction
CHEM 5174,Polymer Viscoelasticity
CHEM 5404,Advanced Inorganic Chemistry
CHEM 5414,Methods &amp; Appl of Inorg Chem
CHEM 5424G,Adv Polysaccharide Chemistry
CHEM 5505,Advanced Organic Chemistry
CHEM 5506,Advanced Organic Chemistry
CHEM 5514G,Advanced Green Chemistry
CHEM 5524G,Advanced Identification of Organic Compounds
CHEM 5525,X-ray Crystallography
CHEM 5526,X-Ray Crystallography
CHEM 5535,Synthetic Organic Chemistry
CHEM 5564,Chemical Biology
CHEM 5614,Nuclear Magnetic Resonance Methods in Chemistry and Polymer Science
CHEM 5644,Colloid and Surface Chemistry
CHEM 5664,Chemical Kinetics
CHEM 5705,Macromolecular Chemistry
CHEM 5706,Macromolecular Chemistry
CHEM 5894,Final Examination
CHEM 5904,Project and Report
CHEM 5914,Literature Review and Research Plan
CHEM 5944,Graduate Seminar
CHEM 5974,Independent Study
CHEM 5984,Special Study
CHEM 5994,Research and Thesis
CHEM 6004,Career Preparation for Chemists
CHEM 6434,Organometallic Chemistry
CHEM 6464,Current Topics in Inorganic Chemistry
CHEM 6564,Current Topics in Organic Chemistry
CHEM 6624,Chemical Thermodynamics
CHEM 6634,Quantum Chemistry and Spectroscopy
CHEM 6664,Current Topics in Physical Chemistry
CHEM 6904,Generating Research Ideas
CHEM 6914,Original Research Proposal
CHEM 6984,Special Study
CHEM 7994,Research and Dissertation
CHN 1105,Elementary Chinese
CHN 1106,Elementary Chinese
CHN 1114,Accelerated Elementary Chinese
CHN 2105,Intermediate Chinese
CHN 2106,Intermediate Chinese
CHN 2734,Chinese Culture and Civilization
CHN 2964,Field Study
CHN 2974,Independent Study
CHN 2974H,Independent Study
CHN 2984,Special Study
CHN 3105,Advanced Chinese
CHN 3106,Advanced Chinese
CHN 3124,Chinese for Oral Proficiency
CHN 3304,Chinese Literature in Translation
CHN 3474,Topics in Chinese Cinema
CHN 3514,Modern China through the Media
CHN 3524,Introduction to Chinese Translation
CHN 3534,Business Chinese
CHN 3544,Introduction to Classical Chinese
CHN 3604,Chinese Language and Society
CHN 3954,Study Abroad
CHN 3984,Special Study
CHN 4614,Teaching Chinese
CHN 4964,Field Study
CHN 4974,Independent Study
CHN 4974H,Independent Study
CHN 4984,Special Study
CHN 4994,Undergraduate Research
CHN 4994H,Undergraduate Research
CINE 2054,Introduction to Cinema
CINE 2064,Introduction to Cinema Production
CINE 3184,Cinema Production Topics
CINE 3214,Fiction Cinema Production
CINE 3224,Documentary Cinema Production
CINE 3444,African American Images in Film
CINE 3514,American Cinema Genres
CINE 3524,The Cinema Director
CINE 3534,Avant-Garde Cinema
CINE 3544,Literature and Cinema
CINE 4084,Cinema History
CINE 4144,Topics in Cinema Studies
CINE 4534,Underground Cinema and Culture
CL 1234,Testing Crosslisting Capabilities in Courseleaf CIM
CL 5004,Climate Science and Policy for Leaders
CL 5024,Climate Leadership
CL 5034,Risk and Rationality in Climate Change
CL 5104,Climate and the Human Experience
CL 5114,Environmental and Climate Decision Science in the Anthropocene
CL 5124,Climate One Health
CL 5204,Greenhouse Gas Accounting and Climate Solutions Design
CL 5214,Dynamic Integrated Climate-Economy Modeling
CL 5224,Financing Climate Adaptation and Mitigation
CL 5304,Climate Models for Decision-making
CL 5314,Ecological Models for Climate Decision-making
CL 5324,"Energy, Economy, and Climate"
CL 5334,Climate Information and Visualization Tools
CL 5414,Leadership in Climate Advocacy and Coalition Building
CL 5424,"Climate Communications: Politics, People, and Connection"
CL 5434,Case Studies and Current Debates in Climate Change
CL 5444,Scenario Planning for Climate Change
CLA 1134,The Ancient Mediterranean World
CLA 2224,Ancient Greek and Roman Women
CLA 2234,Classics in the Modern World
CLA 2244,Cities of Rome
CLA 2434,"Fairytale, Folklore, and Magic: Popular Literature in Ancient Greece  and  Rome"
CLA 2444,Ancient Greek and Roman Mythology
CLA 2454,Topics in Ancient Greek and Latin Literature
CLA 2464,"Mythology, Philosophy and Video Games"
CLA 2964,Field Study
CLA 2974,Independent Study
CLA 2984,Special Study
CLA 3954,Study Abroad
CLA 3984,Special Study
CLA 4964,Field Study
CLA 4974,Independent Study
CLA 4974H,Independent Study
CLA 4984,Special Study
CLA 4994,Undergraduate Research
CLA 4994H,Undergraduate Research
CMDA 1634,Discovering Computational Modeling and Data Analytics
CMDA 1984,Special Study
CMDA 2005,Integrated Quantitative Sciences
CMDA 2006,Integrated Quantitative Sciences
CMDA 2014,Data Matter
CMDA 2974,Independent Study
CMDA 2984,Special Study
CMDA 2984E,Special Study
CMDA 2994,Undergraduate Research
CMDA 3274,Introduction Sports Analytics
CMDA 3605,Mathematical Modeling: Methods and Tools
CMDA 3606,Mathematical Modeling: Methods and Tools
CMDA 3634,Computer Science Foundations for Computational Modeling &amp; Data Analytics
CMDA 3654,Introductory Data Analytics  and  Visualization
CMDA 4274,Sports Analytics Statistical Research
CMDA 4314,Big Data Economics
CMDA 4604,Intermediate Topics in Mathematical Modeling
CMDA 4634,Scalable Computing for Computational Modeling and Data Analytics
CMDA 4654,Intermediate Data Analytics and Machine Learning
CMDA 4664,Computational Intensive Stochastic Modeling
CMDA 4864,Computational Modeling and Data Analytics Capstone Project
CMDA 4964,Field Study
CMDA 4974,Independent Study
CMDA 4984,Special Study
CMDA 4994,Undergraduate Research
CMDA 5984,Special Study
CMST 2034,Visual Media
CMST 2064,The Tradition of Rhetoric and Societal Change
CMST 3024,Digital Publishing
CMST 3044,Oral Communication Center Practicum
CMST 3064,Persuasion
CMST 3074,Persuasive Public Speaking
CMST 3124,Interpersonal Communication
CMST 3134,Public Advocacy
CMST 3164,Group Processes and Presentations
CMST 3214,Professional Communication
CMST 3264,Communication and Gender
CMST 3274,"Social Dimensions of Games, Simulations, and Virtual Environments"
CMST 4174,Digital Advocacy Campaigns
CMST 4214,Web Content Management Strategies
CMST 4224,Topics in Media Criticism
CMST 4244,Topics in Communication
CMST 4284,Communication for Training and Development
CMST 4714,Senior Seminar in Communication
CMST 5814,Seminar in Communication Studies
CNST 5034,Wireless Sensing in Construction Management
CNST 5074,Construction Professional Competencies
CNST 5084,Methods in Construction Research
CNST 5114,"Leadership for Architecture, Engineering, and Construction"
CNST 5124,Integrated Construction Leadership Studio
CNST 5214,Construction Company Management
CNST 5424,Construction Research Present
CNST 5624,Advanced Construction Robotics and Automation
CNST 5634,Advanced Data Analysis and Visualization for C and FM
CNST 5904,Project and Report
CNST 5974,Independent Study
CNST 5984,Special Study
CNST 5994,Research and Thesis
COMM 1004,First-Semester Experience in Communication
COMM 1014,Introduction to Communication
COMM 1015,Communication Skills
COMM 1016,Communication Skills
COMM 2004,Public Speaking
COMM 2014,Communication Principles of Teamwork
COMM 2024,Media Writing
COMM 2084,Media and Society
COMM 2094,Communication and Issues of Diversity
COMM 2124,Introduction to Communication Research
COMM 2754H,Topics in Single Medium Communication About Technology Innovation
COMM 2764H,Topics in Multimedia Communication About Technology Innovation
COMM 2964,Field Study
COMM 2974,Independent Study
COMM 2974H,Independent Study
COMM 2984,Special Study
COMM 3954,Study Abroad
COMM 3984,Special Study
COMM 4024,Communication Law
COMM 4204,Communication Internship
COMM 4964,Field Study
COMM 4974,Independent Study
COMM 4974H,Independent Study
COMM 4984,Special Study
COMM 4994,Undergraduate Research
COMM 4994H,Undergraduate Research
COMM 5014,Communication Theory
COMM 5024,Quantitative Methods in Communication
COMM 5034,Teaching Practicum
COMM 5044,Prospectus Practicum
COMM 5054,Qualitative Methods in Communication
COMM 5894,Final Examination
COMM 5904,Project and Report
COMM 5974,Independent Study
COMM 5984,Special Study
COMM 5994,Research and Thesis
CONS 2304,Consumer and Family Finances
CONS 2964,Field Work/Practicum
CONS 2974,Independent Study
CONS 2974H,Indepdendent Study
CONS 2984,Special Study
CONS 3404,Consumer Education Strategies
CONS 3504,Resource Management for Individuals  and  Families
CONS 3954,Study Abroad
CONS 3984,Special Study
CONS 4304,Advanced Consumer Family Finances
CONS 4314,Debtor-Creditor Relationships
CONS 4324,Financial Counseling
CONS 4404,Consumer Protection
CONS 4414,Professionalism in Consumer Affairs
CONS 4964,Field Work/Practicum
CONS 4964H,Field Work/Practicum
CONS 4974,Independent Study
CONS 4974H,Independent Study
CONS 4984,Special Study
CONS 4984H,Special Study
CONS 4994,Undergraduate Research
CONS 4994H,Undergraduate Research
COS 1004,Explore Science Seminar
COS 1015,Successful Starts in Science: Curie  and  Da Vinci Living Learning Communities
COS 1016,Successful Starts in Science: Curie  and  Da Vinci Living Learning Communities
COS 1984,Special Study
COS 2015,Professional Leadership in Science: Curie  and  Da Vinci LLC Leadership Course
COS 2016,Professional Leadership in Science: Curie  and  Da Vinci LLC Leadership Course
COS 2164,Introduction to Scieneering
COS 2964,Field Study
COS 2974,Independent Study
COS 2984,Special Study
COS 3015,Applications of Leadership in the Orion Science Living Learning Community
COS 3016,Applications of Leadership in the Orion Science Living Learning Community
COS 4015,Supervision in Science: Orion Living Learning Community
COS 4016,Supervision in Science: Orion Living Learning Community
COS 4064,Scieneering Capstone
COS 4964,Field Study
COS 4974,Independent Study
COS 4984,Special Study
COS 4994,Undergraduate Research
COS 5974,Independent Study
COS 5984,Special Study
CRIM 1054,Virginia Tech Prison Book Project
CRIM 2504,Crime and Punishment in American History
CRIM 2754,Internship
CRIM 2964,Field Work/Practicum
CRIM 2974,Independent Study
CRIM 2984,Special Study
CRIM 3124,Murder in American History
CRIM 3414,Criminology
CRIM 3434,Systems of Justice
CRIM 3474,Women and Crime
CRIM 4224,Victimology
CRIM 4424,Juvenile Delinquency
CRIM 4454,Topics in Criminology
CRIM 4474,Cyber Criminology
CRIM 4484,Hate Crimes
CRIM 4504,Family and Crime
CRIM 4754,Internship
CRIM 4964,Field Study
CRIM 4974,Independent Study
CRIM 4984,Special Study
CRIM 4994,Undergraduate Research
CS 1014,Introduction to Computational Thinking
CS 1044,Introduction to Programming in C
CS 1054,Introduction to Programming in Java
CS 1064,Introduction to Programming in Python
CS 1114,Introduction to Software Design
CS 1944,Computer Science First Year Seminar
CS 2064,Intermediate Programming in Python
CS 2104,Introduction to Problem Solving in Computer Science
CS 2114,Software Design and Data Structures
CS 2144,Competitive Problem Solving I
CS 2164,Foundations of Contemporary Security Environments
CS 2304,Topics in Programming Systems
CS 2505,Introduction to Computer Organization
CS 2506,Introduction to Computer Organization
CS 2964,Field Study
CS 2974,Independent Study
CS 2984,Special Study
CS 2984E,Special Study
CS 3114,Data Structures and Algorithms
CS 3214,Computer Systems
CS 3274,Software Reverse Engineering
CS 3304,Comparative Languages
CS 3314,Programming Language Theory  and  Practice
CS 3414,Numerical Methods
CS 3604,Professionalism in Computing
CS 3634,Computer Science Foundations for Computational Modeling &amp; Data Analytics
CS 3654,Introductory Data Analytics  and  Visualization
CS 3704,Intermediate Software Design and Engineering
CS 3714,Mobile Software Development
CS 3724,Introduction to Human-Computer Interaction
CS 3744,Introduction to GUI Programming and Graphics
CS 3754,Cloud Software Development
CS 3824,Introduction to Computational Biology and Bioinformatics
CS 3900,Bridge Experience
CS 3984,Special Study
CS 4014,Algorithms &amp; Society
CS 4104,Data and Algorithm Analysis
CS 4114,Introduction to Formal Languages and Automata Theory
CS 4124,Theory of Computation
CS 4134,Quantum Computation and Information Processing
CS 4144,Competitive Problem Solving II
CS 4164,Future of Security: Integrative Solutions for Complex Security Systems
CS 4204,Computer Graphics
CS 4214,Simulation and Modeling
CS 4224,Linux Kernel Programming
CS 4234,Parallel Computation
CS 4244,Internet Software Development
CS 4254,Computer Network Architecture and Programming
CS 4264,Principles of Computer Security
CS 4274,Secure Computing Capstone
CS 4284,Systems &amp; Networking Capstone
CS 4304,Compiler Design and Implementation
CS 4414,Issues in Scientific Computing
CS 4504,Computer Organization
CS 4570,Wireless Networks and Mobile Systems
CS 4604,Introduction to Data Base Management Systems
CS 4624,"Multimedia, Hypertext and Information Access"
CS 4634,Design Of Information
CS 4644,Creative Computing Studio
CS 4654,Intermediate Data Analytics and Machine Learning
CS 4664,Data-Centric Computing Capstone
CS 4704,Software Engineering Capstone
CS 4774,Human-Computer Interaction Design Experience
CS 4784,Human-Computer Interaction Capstone
CS 4804,Introduction to Artificial Intelligence
CS 4824,Machine Learning
CS 4884,Computational Biology  and  Bioinformatics Capstone
CS 4894,Special Topics in Computer Science
CS 4944,Seminar
CS 4964,Field Study
CS 4974,Independent Study
CS 4984,Special Study
CS 4994,Undergraduate Research
CS 5014,Research Methods in Computer Science
CS 5020,Software Design and Data Structures
CS 5024,Ethics and Professionalism in Computer Science
CS 5040,Intermediate Data Structures and Algorithm Analysis
CS 5044,Object-Oriented Programming with Java
CS 5045,Computation for the Data Sciences
CS 5046,Computation for the Data Sciences
CS 5054,Programming Models for Big Data
CS 5104,Computability and Formal Languages
CS 5114,Theory of Algorithms
CS 5124,Algorithms in Bioinformatics
CS 5134,Introduction to Quantum Computer Science
CS 5204,Operating Systems
CS 5214,Modeling and Evaluation of Computer Systems
CS 5234,Advanced Parallel Computation
CS 5244,Web Application Development
CS 5254,Mobile Application Development
CS 5264,Advanced Linux Kernel Programming
CS 5304,Translator Design and Construction
CS 5314,Programming Languages
CS 5424,Computational Cell Biology
CS 5474,Finite Difference Methods for Partial Differential Equations
CS 5484,Finite Element Methods for Partial Differential Equations
CS 5485,Numerical Analysis and Software
CS 5486,Numerical Analysis and Software
CS 5504,Computer Architecture
CS 5510,Multiprocessor Programming
CS 5544,Compiler Optimizations
CS 5560,Fundamentals of Info Security
CS 5565,Network Architecture and Protocols
CS 5566,Network Architecture and Protocols
CS 5580,Cryptographic Engineering
CS 5584,Network Security
CS 5590,System and Software Security
CS 5594,Blockchain Technologies
CS 5604,Information Storage and Retrieval
CS 5614,Database Management Systems
CS 5624,Natural Language Processing
CS 5644,Machine Learning with Big Data
CS 5664,Social Media Analytics
CS 5704,Software Engineering
CS 5714,Usability Engineering
CS 5724,Models and Theories of Human-computer Interaction
CS 5734,Social Computing and Computer-Supported Cooperative Work
CS 5744,Software Design and Quality
CS 5754,Virtual Environments
CS 5764,Information Visualization
CS 5774,User Interface Software
CS 5784,Software Project Management
CS 5794,Introduction to Human-Centered Technology Design
CS 5804,Introduction to Artificial Intelligence
CS 5805,Machine Learning
CS 5806,Machine Learning
CS 5814,Introduction to Deep Learning
CS 5834,Introduction to Urban Computing
CS 5844,Algorithmic Human-Robot Interaction
CS 5854,Computational Systems Biology
CS 5864,Learning-based Computer Vision
CS 5894,Final Examination
CS 5904,Project and Report
CS 5914,Emerging Topics in Computer Science
CS 5925,Integrated Project Design
CS 5926,Integrated Project Design
CS 5934,Capstone Project
CS 5944,Graduate Seminar
CS 5974,Independent Study
CS 5984,Special Study
CS 5994,Research and Thesis
CS 6104,Advanced Topics in Theory of Computation
CS 6204,Advanced Topics in Systems
CS 6304,Advanced Topics in Languages and Translation
CS 6404,Advanced Topics in Mathematical Software
CS 6444,Verification and Validation in Scientific Computing
CS 6564,Multimedia Networking
CS 6604,Advanced Topics in Data and Information
CS 6704,Advanced Topics in Software Engineering
CS 6724,Advanced Topics in Human-computer Interaction
CS 6804,Advanced Topics in Intelligent Systems
CS 6814,Science-Guided Machine Learning
CS 6824,Adv Topics Comp Biol &amp; Bioinf
CS 7994,Research and Dissertation
CSES 2224,Foundations of Precision Agriculture
CSES 2244,"Agriculture, Global Food Security and Health"
CSES 2434,Crop Evaluation
CSES 2444,Agronomic Crops
CSES 2564,Turfgrass Management
CSES 2964,Field Study
CSES 2974,Independent Study
CSES 2984,Special Study
CSES 2994,Undergraduate Research
CSES 3114,Soils
CSES 3124,Soils Laboratory
CSES 3144,Soil Description and Interpretation
CSES 3304,Geomorphology
CSES 3564,Golf and Sports Turf Management
CSES 3614,Soil Physical and Hydrological Properties
CSES 3954,Study Abroad
CSES 3984,Special Study
CSES 4064,Soil Microbiology
CSES 4134,Soil Genesis and Classification
CSES 4144,Plant Breeding and Genetics
CSES 4174,Soil Evaluation and Sampling
CSES 4214,Soil Fertility and Management
CSES 4224,Applied Concepts in Precision Agriculture
CSES 4234,Agro Data Integration
CSES 4324,Water Quality Laboratory
CSES 4334,Principles and Practice of Agroforestry
CSES 4344,Crop Physiology and Ecology
CSES 4354,Advanced Agronomic Crops
CSES 4444,"Managed Ecosystems, Ecosystem Services, and Sustainability"
CSES 4524,Drone Applications in Ag Systems
CSES 4534,Internet of Things (IoT) for Smart Farming
CSES 4544,Forage Crop Ecology
CSES 4644,Land-based Systems for Waste Treatment
CSES 4854,Wetland Soils and Mitigation
CSES 4864,Capstone: Crop &amp; Soil Sciences
CSES 4964,Field Study
CSES 4974,Independent Study
CSES 4984,Special Study
CSES 4994,Undergraduate Research
CSES 5064G,Advanced Soil Microbiology
CSES 5114,Soils for Professionals
CSES 5124,Topics in Soil Genesis
CSES 5144,Watershed Hydrology
CSES 5224,Advanced Concepts in Precision Agriculture
CSES 5304,Advanced Plant Genetics and Breeding
CSES 5314,Water Quality for Professionals
CSES 5344,Advanced Crop Physiology
CSES 5444,Applied Agronomic Topics for the Mid-Atlantic
CSES 5524,Advanced Drone Applications in Ag Systems
CSES 5544,Soil-plant-animal Interrelationships in Grasslands
CSES 5554,Ecology of Grazing Land Systems
CSES 5604,Environmental Science Concepts for Professionals
CSES 5634,Soil Chemistry
CSES 5744G,Adv Managed Ecosys Serv &amp; Sust
CSES 5844,Plant Genomics
CSES 5854,Advanced Wetland Soils
CSES 5864,Advanced Wetland Soils and Mitigation
CSES 5874,Reclamation of Disturbed Lands
CSES 5904,Project and Report
CSES 5954,Study Abroad
CSES 5974,Independent Study
CSES 5984,Special Study
CSES 5994,Research and Thesis
CSES 7994,Research and Dissertation
DANC 2004,Anatomy for Performers
DANC 2014,Introduction to Dance History
DANC 2024,Introduction to Dance Techniques
DANC 2104,"Moving Body, Moving Mind"
DANC 3024, Intermediate/Advanced Dance Techniques
DASC 1464,Dairy Cattle Handling
DASC 1574,Dairy Science First Year Experience
DASC 2204,Entrepreneurship in Animal Agriculture
DASC 2474,Dairy Science and Industry
DASC 2484,Dairy Cattle Evaluation
DASC 2664,Professional Discourse and Career Development
DASC 2964,Field Study
DASC 2974,Independent Study
DASC 2984,Special Study
DASC 3134,Animal Agriculture and the Environment
DASC 3274,Applied Dairy Cattle Nutrition
DASC 3474,Dairy Information Systems
DASC 3984,Special Study
DASC 4174,Applied Dairy Cattle Genetics
DASC 4274,Dairy Ration Formulation
DASC 4304,Principles  and  Practices of Bovine Reproduction
DASC 4374,Physiology of Lactation
DASC 4384,Mammary Immunology
DASC 4474,Advanced Dairy Management Evaluation
DASC 4475,Dairy Enterprise Management
DASC 4476,Dairy Enterprise Management
DASC 4664,Translating Dairy Science
DASC 4964,Field Study
DASC 4974,Independent Study
DASC 4984,Special Study
DASC 4994,Undergraduate Research
DASC 5004,Seminar
DASC 5904,Project and Report
DASC 5974,Independent Study
DASC 5984,Special Study
DASC 5994,Research and Thesis
DASC 6274,Critical Thinking in Bovine Physiology and Metabolism
ECE 1004,Introduction to ECE Concepts
ECE 2024,Circuits and Devices
ECE 2054,Applied Electrical Theory
ECE 2164,Exploration of the Space Environment
ECE 2214,Physical Electronics
ECE 2274,Electronic Networks Laboratory I
ECE 2514,Computational Engineering
ECE 2544,Fundamentals of Digital Systems
ECE 2564,Embedded Systems
ECE 2714,Signals and Systems
ECE 2804,Integrated Design Project
ECE 2964,Field Study
ECE 2974,Independent Study
ECE 2984,Special Study
ECE 2994,Undergraduate Research
ECE 3004,AC Circuit Analysis
ECE 3054,Electrical Theory
ECE 3074,AC Circuit Analysis Laboratory
ECE 3104,Introduction to Space Systems and Technologies
ECE 3105,Electromagnetic Fields
ECE 3106,Electromagnetic Fields
ECE 3134,Introduction to Optoelectronics
ECE 3154,Space Systems - Design and Validation
ECE 3174,Optoelectronics Laboratory
ECE 3204,Analog Electronics
ECE 3214,Semiconductor Device Fundamentals
ECE 3254,Industrial Electronics
ECE 3274,Electronic Circuits Laboratory II
ECE 3304,Introduction to Power Systems
ECE 3354,Electric Power Engineering Laboratory
ECE 3504,Principles of Computer Architecture
ECE 3514,Data Structures &amp; Algorithms
ECE 3524,Introduction to Unix for ECE
ECE 3544,Digital Design I
ECE 3564,Introduction to Computer Networking
ECE 3574,Applied Software Design
ECE 3604,Introduction to RF  and  Microwave Engineering
ECE 3614,Introduction to Communication Systems
ECE 3704,Continuous and Discrete System Theory
ECE 3714,Introduction to Control Systems
ECE 3964,Field Study
ECE 3974,Independent Study
ECE 3984,Special Study
ECE 4104,Microwave and RF Engineering
ECE 4114,Antennas
ECE 4124,Radio Wave Propagation
ECE 4134,Photonics
ECE 4144,Optical Systems
ECE 4154,Space Weather: The Solar Wind and Magnetosphere
ECE 4164,Introduction to Global Positioning System (GPS) Theory and Design
ECE 4174,Upper Atmosphere/Ionosphere Space Weather
ECE 4184,Applied Quantum Mechanics for Engineers
ECE 4194,Engineering Principles of Remote Sensing
ECE 4205,Electronic Circuit Design
ECE 4206,Electronic Circuit Design
ECE 4220,Analog Integrated Circuit Design
ECE 4224,Power Electronics
ECE 4234,Semiconductor Processing
ECE 4244,Intermediate Semiconductor Processing Laboratory
ECE 4254,Principles of Electronics Packaging
ECE 4284,Power Electronics Laboratory
ECE 4314,Electric Energy Distribution Systems
ECE 4324,Microgrids
ECE 4334,Power System Analysis and Control
ECE 4354,Power System Protection
ECE 4364,Alternate Energy Systems
ECE 4414,Linux Kernel Programming
ECE 4424,Machine Learning
ECE 4444,Technological Singularity
ECE 4454,Multimedia Signal Processing
ECE 4504,Computer Organization
ECE 4514,Digital Design II
ECE 4520,Digital and Mixed-Signal System Testing and Testable Design
ECE 4524,Artificial Intelligence and Engineering Applications
ECE 4525,Video Game Design and Engineering
ECE 4526,Video Game Design and Engineering
ECE 4530,Hardware-Software Codesign
ECE 4534,Embedded System Design
ECE 4540,VLSI Circuit Design
ECE 4550,Real-Time Systems
ECE 4554,Introduction to Computer Vision
ECE 4560,Computer and Network Security Fundamentals
ECE 4564,Network Application Design
ECE 4570,Wireless Networks and Mobile Systems
ECE 4574,Large-Scale Software Development for Engineering Systems
ECE 4580,Digital Image Processing
ECE 4584,Robotics Laboratory
ECE 4605,Radio Engineering
ECE 4606,Radio Engineering
ECE 4624,Digital Signal Processing And Filter Design
ECE 4634,Digital Communications
ECE 4644,Satellite Communications
ECE 4664,Analog  and  Digital Communications Laboratory
ECE 4675,Radio Engineering Laboratory
ECE 4684,Network Science
ECE 4704,Principles of Robotics Systems
ECE 4805,Senior Design Project
ECE 4806,Senior Design Project
ECE 4944,Cybersecurity Seminar
ECE 4964,Field Study
ECE 4974,Independent Study
ECE 4984,Special Study
ECE 4984A,Special Study
ECE 4994,Undergraduate Research
ECE 5014,Research and Development Methods for Engineers
ECE 5104G,Advanced Microwave and RF Engineering
ECE 5105,Electromagnetic Waves
ECE 5106,Electromagnetic Waves
ECE 5134G,Advanced Fiber Optics and Applications
ECE 5144,Introduction to Electro-Optics
ECE 5154,Optical Fiber Sensors
ECE 5164,Introduction to Space Science I: The Solar Wind and Magnetosphere
ECE 5174,Introduction to Plasma Science
ECE 5194,Remote Sensing: Principles and Techniques
ECE 5200,Semiconductor Alloys and Heterstructures
ECE 5204,Power Semiconductor Devices
ECE 5205,Basic Semiconductor Devices
ECE 5210,MicroElectroMechanical Systems: From Fabrication to Application
ECE 5224,Principles of Electronics Packaging
ECE 5234,Emi and Noise Reduction Techniques and Filter Design
ECE 5244,Advanced Power Conversion Techniques
ECE 5254,Power Converter Modeling and Control
ECE 5264,Embedded Power Management
ECE 5274,Modeling and Control of Three-Phase PWM Converters
ECE 5284,Energy Harvest Circuit Design
ECE 5314,Power System Operation and Control
ECE 5324,Power System Planning
ECE 5334,Transients in Power Systems
ECE 5344,"Grid-Forming Inverters for HVDC, FACTS, and Renewables"
ECE 5374G,Adv Alternate Energy Systems
ECE 5404,Advanced Analog Integrated Circuit Design
ECE 5414,Advanced Linux Kernel Programming
ECE 5424,Advanced Machine Learning
ECE 5434,Cyber-Physical Systems
ECE 5444,Advanced Technological Singularity
ECE 5454,Optimization Techniques for Electrical and Computer Engineering
ECE 5464,Applications of Machine Learning
ECE 5474,Mathematical Foundation of Reinforcement Learning
ECE 5480,Cybersecurity and the Internet of Things
ECE 5484,Fundamentals of Computer Systems
ECE 5485,Networks and Protocols
ECE 5486,Networks and Protocols
ECE 5494,Innovation Pathways in Artificial Intelligence and Machine Learning
ECE 5504,Computer Architecture
ECE 5505,Testing and Verification of Digital Systems
ECE 5506,Testing and Verification of Digital Systems
ECE 5510,Multiprocessor Programming
ECE 5514,Design of Systems on a Chip
ECE 5544,Compiler Optimizations
ECE 5545,Advanced VLSI Design
ECE 5550G,Advanced Real-Time Systems
ECE 5554,Computer Vision
ECE 5560,Fundamentals of Info Security
ECE 5564,Wearable and Ubiquitous Computing
ECE 5565,Network Architecture and Protocols
ECE 5566,Network Architecture and Protocols
ECE 5580,Cryptographic Engineering
ECE 5584,Network Security
ECE 5585,IT Security and Trust
ECE 5586,IT Security and Trust
ECE 5590,System and Software Security
ECE 5605,Stochastic Signals and Systems
ECE 5606,Stochastic Signals and Systems
ECE 5620,Advanced DSP and Filter Design
ECE 5634,Information Theory
ECE 5635,Radar Systems Analysis and Design
ECE 5636,Radar Systems Analysis and Design
ECE 5644,Game Theory for Communication Networks
ECE 5654,Digital Communications II:  Advanced Theory and Analysis
ECE 5660,Spread Spectrum Communications
ECE 5664,Cellular Communication Systems
ECE 5674,Software Radios: Modern Radio Engineering
ECE 5694,Nonlinearity &amp; Predictability in the Real-World
ECE 5704,Robotics and Automation
ECE 5714,Robust Estimation and Filtering
ECE 5734,Convex Optimization
ECE 5744,Linear Systems Theory
ECE 5754,Applied Linear Systems
ECE 5764,Applied Linear Control
ECE 5774,Nonlinear Systems Theory
ECE 5805,Graduate Design Project and Report
ECE 5806,Graduate Design Project and Report
ECE 5894,Final Examination
ECE 5904,Project and Report
ECE 5944,Seminar
ECE 5964,Field Study
ECE 5974,Independent Study
ECE 5984,Special Study
ECE 5994,Research and Thesis
ECE 6104,Advanced Topics in Electromagnetics
ECE 6115,"Antenna Theory and Design I,II"
ECE 6116,"Antenna Theory and Design I,II"
ECE 6154,Photonic Devices and Systems
ECE 6174,Computational Plasma Dynamics
ECE 6204,Advanced Topics in Electronics
ECE 6214,Optoelectronic Devices
ECE 6304,Advanced Topics in Power
ECE 6314,Advanced Instrumentation in Power Systems
ECE 6334,Computational Methods in Power Engineering
ECE 6354,Power System Dynamics and Control
ECE 6504,Advanced Topics in Computer Engineering
ECE 6514,Trustworthy Machine Learning
ECE 6524,Deep Learning
ECE 6554,Advanced Computer Vision
ECE 6564,Multimedia Networking
ECE 6604,Advanded Topics in Communications
ECE 6634,Multi-Channel Communications
ECE 6744,Linear Control Theory
ECE 6774,Adaptive Control Systems
ECE 6984,Special Study
ECE 7994,Research and Dissertation
ECON 1004,First Year Experience Seminar
ECON 1104,Economics of Gender
ECON 1204,Economics of Race
ECON 1214,Economic History of Diversity and Inclusion
ECON 2005,Principles of Economics
ECON 2006,Principles of Economics
ECON 2025H,Honors Principles of Economics
ECON 2026H,Honors Principles of Economics
ECON 2974,Independent Study
ECON 2974H,Independent Study
ECON 2984,Special Study
ECON 2994,Undergraduate Research
ECON 2994H,Undergraduate Research
ECON 3004,Contemporary Economic Issues
ECON 3024,Economic Justice
ECON 3034,Economics of Poverty and Discrimination
ECON 3054,Introduction to Forecasting
ECON 3104,Microeconomic Theory
ECON 3134,Choice and Behavior
