"course_code","course_name","course_level","course_hours","course_description"
"DSGN 220","Design Thinking","Undergraduate","3 Hours","This course establishes the value of design thinking, identifies the components of the design thinking process, and helps students develop proficiency by using the process in multiple contexts."
"DSGN 270","Product Design Foundations","Undergraduate","3 Hours","This course concentrates on materials/manufacturing technology, visualization techniques and observational techniques of people as well as to design better consumer products. Sketching and digital prototyping techniques will be introduced and practiced to display and analyze possible effectiveness of the design solution. In-class lecture, discussion and design work is augmented by out-of-class work towards presentations to the group."
"DSGN 280","Sustainable Design and Development","Undergraduate","3 Hours","An overview of social, environmental and economic aspects of the built environment. Site considerations, infrastructure, green buildings, marketing, financing, community. (Local field trips possible.)."
"DSGN 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"DSGN 300","Product Design","Undergraduate","3 Hours","This course follows observational techniques of people as well as materials/manufacturing technology to design better consumer products. Sketching, model making, and prototyping techniques will be introduced and practiced to display and analyze possible effectiveness of the design solution. In-class lecture, discussion and studio work is augmented by out-of-class work towards presentations to the group."
"DSGN 310","Product Design-Footwear","Undergraduate","3 Hours","This course will explore the R&D processes associated with footwear design from concept to market. Discussions, lectures and projects will provide a complete understanding of how designers work within the constraints of economics, manufacturing and consumer culture in a collective effort to get a shoe on the shelf in stores."
"DSGN 315","Survey of Non-Western Design","Undergraduate","3 Hours","This course examines design from beyond the tradition of Western civilization. Students will study interior design, architecture, and art as shaped by religious beliefs, political systems, and geographical context."
"DSGN 320","Design Ethics and Social Responsibility","Undergraduate","3 Hours","PR:DSGN 220with a minimum grade of C-. This course will introduce students to the study of both philosophical and applied ethics as they relate to daily life and design. Additionally, the course will address and define components of personal and corporate social responsibility, and explore their relationship to ethics and design at the micro and macro levels."
"DSGN 340","Design for Energy Efficiency","Undergraduate","3 Hours","An overview of energy efficiency in residential and small commercial settings. Energy, building shell, air leakage, insulation, hvac, lighting, appliances, water heating, indoor air quality. (Local field trips possible.)."
"DSGN 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"DSGN 420","Professional Preparation","Undergraduate","1 Hour","PR:DSGN 220andDSGN 320with a minimum grade of C- in each. This course challenges students to utilize the design process to identify personal skills and characteristics relevant to their job goals, and create a coherent branded professional identity based on the expectations of their industry. Students will also analyze and synthesize business trends and forecasting predictions, applying that information to future expectations in their field of study."
"DSGN 470","Leadership in Energy and Environmental Design Green Building Systems","Undergraduate","3 Hours","PR:DSGN 280.   A detailed study of the LEED green building certification systems, including the various green systems, codes and standards referenced by LEED."
"DSGN 480","Designing Innovative Futures","Undergraduate","3 Hours","PR:DSGN 320andDSGN 491with a minimum grade of C- in both. This capstone course provides an opportunity to analyze and synthesize information from previous coursework and internship experiences to develop professional proficiency levels in integrated design approaches."
"DSGN 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent.  Teaching practice as a tutor or assistant."
"DSGN 491","Professional Field Experience: Capstone","Undergraduate","1-18 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"DSGN 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"DSGN 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"DSGN 495","Independent Study","Undergraduate","1-6 Hours","Faculty-supervised study of topics not available through regular course offerings."
"DSM 101","Introduction to Design and Merchandising","Undergraduate","1 Hour","Provides an introduction to the educational culture in the Division of Design and Merchandising."
"DSM 130","Introduction to Design","Undergraduate","3 Hours","Introduction to design as a process of improving quality of life and a method of problem-solving using design thinking, design theory, and design applications in interdisciplinary contexts."
"DSM 199","Orientation to Design and Merchandising","Undergraduate","1,2 Hour","Orientation to degree programs and requirements, departmental resources, curriculum options, student responsibilities and opportunities."
"DSM 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"DSM 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"DSM 410","The Global Context for Design","Undergraduate","3 Hours","Develops students' abilities to weigh design decisions and engage in design practice in a globalized economy within the parameters of ecological, socio-economic, and western and non-western cultural contexts."
"DSM 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent. Teaching practice as a tutor or assistant."
"DSM 491","Professional Field Experience","Undergraduate","1-18 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"DSM 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"DSM 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"DSM 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"DSM 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"DSM 498","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director.  Independent reading, study or research."
"DTHY 100","Health Care Terminology","Undergraduate","1 Hour","This course provides the foundation for understanding common terminology used in health care. The components, pronunciation, proper use, and abbreviations of medical terminology will be discussed. Emphasis will be placed on dental terminology."
"DTHY 101","Introduction to Dental Hygiene","Undergraduate","2 Hours","PR: Consent.  Historical evolution of the profession, the professional association, specialties of dentistry and the various roles of a dental hygienist will be emphasized. This course incorporates the University's required first-year experience objectives."
"DTHY 185","Oral Anatomy","Undergraduate","2 Hours","PR: Acceptance into dental hygiene.  The human neck bones, muscles, nerves, blood supply, lymphatics, glandular tissue, fascia/spaces, TMJ, and spread of dental infection are the focus of this course."
"DTHY 186","Dental Anatomy","Undergraduate","2 Hours","PR:DTHY 100andDTHY 185and NBAN 301.  Classroom and laboratory study of normal human dental morphology, tooth anomalies, pulp function, eruption patterns and occlusal relationships."
"DTHY 191","First-Year Seminar","Undergraduate","1-3 Hours","Engages students in active learning strategies that enable effective transition to college life at WVU. Students will explore school, college and university programs, policies and services relevant to academic success. Provides active learning activities that enable effective transition to the academic environment. Students examine school, college and university programs, policies and services."
"DTHY 205","Theory and Practice of Prevention","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Philosophy and techniques of preventive dentistry."
"DTHY 210","Dental Radiology","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Basic principles and procedure in oral radiology techniques and interpretation."
"DTHY 211","Dental Radiology","Undergraduate","1 Hour","PR:DTHY 210. The application of radiology principles and techniques. Clinical integration and case presentations will be emphasized."
"DTHY 220","Dental Nursing Techniques","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Emergency first aid and principles of nursing applicable to the dental office."
"DTHY 225","Dental Hygiene Techniques","Undergraduate","4 Hours","PR: Enrollment in dental hygiene.  Fundamental principles and techniques of dental hygiene are presented through lectures, laboratory, and clinical participation."
"DTHY 226","Clinical Dental Hygiene","Undergraduate","1 Hour","PR:DTHY 225. This course enables the sophomore dental hygiene student to gain proficiency in the treatment of patients."
"DTHY 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"DTHY 300","Anesthesia for Dental Hygiene","Undergraduate","1 Hour","Application of neuroanatomy, physiology, and pharmacology to the administration of regional anesthesia using local anesthetic agents. Management of complications encountered and the techniques of administering these agents will be presented."
"DTHY 301","Public Health","Undergraduate","1 Hour","PR: Enrollment in dental hygiene.  Theory and practice of preventive dentistry and community."
"DTHY 320","Dental Radiology","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Basic principles and procedures in oral radiology techniques and interpretation."
"DTHY 322","Dental Radiology","Undergraduate","1 Hour","PR:DTHY 320.  The application of radiology principles and techniques. Clinical integration and case presentations will be emphasized."
"DTHY 350","Public Health","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Theory and practice of preventive dentistry and community. Methods and techniques utilized in dental hygiene research."
"DTHY 351","Dental Health Education","Undergraduate","3 Hours","PR: Enrollment in dental hygiene.  Methods, materials, and resources used in teaching dental health to various population groups."
"DTHY 360","Dental Materials","Undergraduate","3 Hours","PR: Enrollment in dental hygiene.  Lecture and laboratory covering the science and manipulation of dental materials."
"DTHY 361","Expanded Functions","Undergraduate","2 Hours","PR:DTHY 360. Lecture and laboratory covering specialty topics in dentistry and four-handed dental assisting. Assisting, and the placing and carving of amalgam and resin restorations in dentiform teeth. (1 hr. lec., 4 hr. lab.)."
"DTHY 363","Periodontics 1","Undergraduate","1 Hour","PR: Enrollment in dental hygiene.  Tissues of the periodontium, histopathology of periodontal disease with emphasis on etiology, assessment, diagnosis, treatment, and prevention within the scope of dental hygiene."
"DTHY 364","Periodontics 2","Undergraduate","2 Hours","PR:DTHY 363.  A sequential course toDTHY 363."
"DTHY 366","Technical Expression and Dental Literature","Undergraduate","1 Hour","PR: Dental hygiene major.  Preparation and analysis of professional communications."
"DTHY 370","Dental Hygiene Clinical Methods","Undergraduate","2 Hours","PR:DTHY 225.  Principles of oral debridement, instruction in the care of special patients, use of diagnostic aids, and nutritional counseling."
"DTHY 372","Clinical Dental Hygiene 1","Undergraduate","2 Hours","PR:DTHY 225. Clinical application of dental hygiene principles and techniques."
"DTHY 374","Clinical Dental Hygiene 2","Undergraduate","3 Hours","PR:DTHY 370, CoReq:DTHY 372.  Clinical application of dental hygiene principles and techniques."
"DTHY 378","Dental Hygiene Teaching Methods","Undergraduate","2 Hours","PR: Enrollment in dental hygiene.  Concepts and principles of administration, curriculum, and clinical teaching unique to dental auxiliary education. Emphasis on overall role of the dental hygiene educator."
"DTHY 380","Interdisciplinary Approach to Rural Health","Undergraduate","1 Hour","Fundamental principles of and background information on Appalachian history, poverty, and cultural diversity for the assessment of rural health needs. Assess the delivery of health care services and community development in rural settings."
"DTHY 402","Dental Hygiene Ethics and Practice","Undergraduate","1 Hour","PR: Enrollment in Dental Hygiene.  Scope of practice for the dental hygienist including ethical and legal considerations. Public and professional relations as well as practice management are discussed."
"DTHY 405","Advanced Clinical Dental Hygiene 1","Undergraduate","4 Hours","PR: Fourth year in dental hygiene.  Principles of advanced clinical dental hygiene and practice in non-traditional settings. Clinical experience in traditional and expanded duties; pre- and post-operative care of surgical patients, and radiology."
"DTHY 406","Advanced Clinical Dental Hygiene 2","Undergraduate","3,4 Hours","PR: Fourth year in dental hygiene.  Continuation of clinical practice experience in dental hygiene procedures."
"DTHY 407","Advanced Dental Hygiene Methods 2","Undergraduate","2 Hours","PR: Fourth year in dental hygiene.  Principles of advanced clinical dental hygiene and practice in non-traditional settings."
"DTHY 409","Clinical Dental Hygiene","Undergraduate","1 Hour","PR:DTHY 374. This course enables senior dental hygiene student to gain proficiency in the treatment of patients."
"DTHY 410","Clinical Dental Hygiene 3","Undergraduate","1-4 Hours","This course enables the senior dental hygiene degree completion student to maintain proficiency in the treatment of patients."
"DTHY 411","Clinical Dental Hygiene 4","Undergraduate","1-4 Hours","This course enables the senior dental hygiene degree completion student to maintain proficiency in the treatment of patients."
"DTHY 440","Senior Integration Seminar","Undergraduate","1 Hour","PR: Consent. A thorough analysis and integration of didactic, laboratory and clinical content via lectures, discussions and cases in preparation for licensure."
"DTHY 445","Applied Pharmacology","Undergraduate","1 Hour","PR:PCOL 260. Case studies encountered in dental hygiene practice that require critical thinking and decision-making to manage the dental treatment needs and potential complications of patients taking multiple pharmacologic agents."
"DTHY 450","Dental Health Education 2","Undergraduate","2 Hours","PR: DTHY 302. Advanced dental health education with a research component. A problem-based learning experience."
"DTHY 451","Dental Health Education 3","Undergraduate","2 Hours","PR:DTHY 450. Advanced dental health education with field experiences in three settings.  Case histories developed and research study completed."
"DTHY 478","Clinical Evaluation","Undergraduate","1 Hour","PR:DTHY 378. Preparation for clinical instruction and evaluation. Emphasis is placed on clinical evaluation procedures, proper instrumentation and the skills/strategies utilized to promote affective and psychomotor skill development in students."
"DTHY 482","Intra-Oral Photography","Undergraduate","1 Hour","PR:DTHY 405. Intra-oral photography is a one-semester course which deals with the principles and techniques of photography and its application to dentistry."
"DTHY 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent.  Teaching practice as a tutor or assistant."
"DTHY 491","Professional Field Experience","Undergraduate","1-18 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"DTHY 492","Directed Study","Undergraduate","1-3 Hours","Directed study, reading, and/or research."
"DTHY 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"DTHY 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"DTHY 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"DTHY 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"DTHY 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"DTHY 498","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director.  Independent reading, study or research."
"ECON 200","Survey of Economics","Undergraduate","3 Hours","Introduction to the analysis of the economic system, pricing system, monetary system, determination of all national income and employment.ECON 200is equivalent to BUSA 201. Credit cannot be received for both."
"ECON 201","Principles of Microeconomics","Undergraduate","3 Hours","Introductory microeconomics analysis. Competitive behavior of firms, price determination, efficiency in production and equity in distribution. Pre-requisite(s) and/or co-requisite(s) may differ on regional campuses."
"ECON 202","Principles of Macroeconomics","Undergraduate","3 Hours","PR: WVU sections requireECON 201orARE 150with a minimum grade of C-, WVUIT sections requireECON 201with a minimum grade of C-. Introductory macroeconomics analysis, prerequisites are not enforced at WVUIT and Potomac State campuses. Aggregate demand and supply, saving, investment, the level of employment and national income determination, monetary and fiscal policy."
"ECON 225","Elementary Business and Economics Statistics","Undergraduate","3 Hours","PR:MATH 122or MATH 123 orMATH 124orMATH 126orMATH 129orMATH 153with  a minimum grade of C- orMATH 150orMATH 154orMATH 155orMATH 156with a minimum grade of D-. Basic concepts of statistical models, distributions, probability, random variables, tests of hypotheses, confidence intervals, regression and correlation with emphasis on business and economics examples. (Not open to students who have completedSTAT 215.)."
"ECON 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ECON 297","Research","Undergraduate","1-6 Hours","Independent research projects."
"ECON 301","Intermediate Micro-Economic Theory","Undergraduate","3 Hours","PR:ARE 150orECON 201with a minimum grade of C-. Consumer choice and demand; price and output determination of the firm, and resource allocation, under different market structures; welfare economics, externalities, public goods, and market failure; general equilibrium; other topics."
"ECON 302","Intermediate Macro-Economic Theory","Undergraduate","3 Hours","PR: (ECON 201orARE 150) andECON 202with a minimum grade of C- in all. Forces which determine the level of income, employment, output, the inflation rate, and the balance of trade. Particular attention to consumer behavior, investment determination, and government fiscal and monetary policy."
"ECON 306","History of Economic Thought","Undergraduate","3 Hours","PR:ECON 202with minimum grade of C-. Economic ideas in perspective of historic development."
"ECON 331","Money and Banking","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. The U.S. monetary and banking system and its functional relationship to the economic system; monetary theory and policy."
"ECON 411","Moral Foundations of Capitalism","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Introduction to the moral foundations of capitalism. Compare and contrast alternative ethical systems using economic analysis when relevant."
"ECON 421","Introduction to Mathematical Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C- and (MATH 150with a minimum grade of C- orMATH 155orMATH 156with a minimum grade of D-). Principal mathematical techniques including set operation, matrix algebra, differential and integral calculus employed in economic analysis. Particular attention given to static (or equilibrium) analysis, comparative-static analysis and optimization problems in economics."
"ECON 425","Introductory Econometrics","Undergraduate","3 Hours","PR:ECON 202and (ECON 225orSTAT 211orSTAT 215) with a minimum grade of C- in all. Analysis of economic models using basic econometric methods. Specification, computation, and interpretation of linear regression."
"ECON 441","Public Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Economic roles of the public sector. Particular attention to market failure, redistributing income, the financing of public sector activities, relationships between federal, state, and local governments, and public choice."
"ECON 443","Law and Economics","Undergraduate","3 Hours","PR:ECON 201with a minimum grade of C-. We will use the tools and reasoning of economics to study the legal system. Legal institutions have been developed to govern our lives. A formal analysis of the outcomes these institutions create is essential to construct policy and institutional changes to promote a prosperous society. We conduct this institutional analysis applying the tools of economics."
"ECON 445","Government and Business","Undergraduate","3 Hours","PR: WVU sections requireECON 202with a minimum grade of C-, WVUIT sections requireECON 201orECON 202. Examination of market structure, conduct, and performance. Analysis of market regulation including antitrust laws and regulation of monopolies."
"ECON 451","International Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Development of trade among nations;  theories of trade; policies, physical factors, trends, barriers to trade. Determination of exchange rates. Open economy macroeconomics."
"ECON 454","Comparative Economic Systems","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Structure and processes of existing economic systems including capitalism, planned socialism, and market socialism. Problems encountered by economies in transition from planned socialism to capitalism."
"ECON 455","Economic Development","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. The problems, changes, and principal policy issues faced by non-industrialized countries."
"ECON 461","Regional Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Analysis of the regional economy's spatial dimension, emphasizing interregional capital and labor mobility, the role of cities, objectives and issues of regional policy, lagging regions and Appalachia, growth poles, and regional growth and income distribution."
"ECON 462","Urban Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Analyzes growth, decline, and socioeconomic problems of cities. Topics include the development of cities, urban spatial structure and land-use patterns, poverty and discrimination, housing, urban transportation and congestion, local government structure, and urban fiscal problems."
"ECON 463","Applied Regional Economics Research","Undergraduate","3 Hours","PR:ECON 202andECON 225with a minimum grade of B- in each. This course offers a unique experiential learning opportunity in economics in which students will ultimately conduct, package, and publicly present the type of research that is regularly underway in the BBER. In particular, after learning the basics of econometrics and economic forecasting, students will compile and present an economic outlook report for a particular region in West Virginia."
"ECON 465","Health Economics","Undergraduate","3 Hours","PR: WVU sections requireECON 201and (ECON 225orSTAT 211) with minimum grade of C-, WVUIT sections requireECON 201and (ECON 225orSTAT 211). Health economics applies the tools of economics and econometrics to issues of the organization, delivery and financing of health care."
"ECON 471","Labor Economics","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Labor market analysis. Topics include wage and employment determination, human capital theory, discrimination, unemployment, migration, effects of unions and government regulation, and life-cycle patterns of work."
"ECON 472","Economics of Education","Undergraduate","3 Hours","PR:ECON 201with a minimum grade of C-. Economic analysis of education policy, including education production function, markets for schools and teachers, and education. Explores the resultant externalities and internalities on society and within respective educational systems."
"ECON 481","American Economic History","Undergraduate","3 Hours","PR:ECON 202with a minimum grade of C-. Central issues in the development of the American economy."
"ECON 482","Applied Economic Research","Undergraduate","3 Hours","PR: Senior standing andECON 425with a minimum grade of C-. Capstone course that introduces students to applied economic research. Completion and presentation of major research project required."
"ECON 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent.  Teaching practice as a tutor or assistant."
"ECON 491","Professional Field Experience","Undergraduate","1-18 Hours","PR:Consent. (May be repeated up to a maximum of 6 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"ECON 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ECON 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"ECON 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"ECON 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"ECON 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"ECON 498","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director.  Independent reading, study or research."
"ECSE 311","Developmental Assessment for Young Children with Special Needs","Undergraduate","3 Hours","PR: SPED 304. Biological and environmental factors associated with developmental disabilities, delays and at risk conditions in young children, their impact across developmental domains, and assessment procedures to identify needs and plan interventions in the early childhood years."
"ECSE 312","Differentiated Instruction for Young Children with Special Needs","Undergraduate","3 Hours","PR: SPED 304. This course is designed to prepare future general and special education teachers to differentiate instruction for students with exceptional learning needs. The course emphasizes the utilization of an individualized, data based decision-making process in the organization, adaptation, and implementation of methods, materials, and curriculum."
"ECSE 314","Center-Based Programs Early Intervention","Undergraduate","3 Hours","PR: SPED 304 andECSE 312and passing scores on all components of Core Praxis. This course is designed to examine policies and practices for center-based early childhood special education for young children from ages 3-6, and individual education plans and intervention programs to promote early learning and child-peer interactions in preschool settings."
"ECSE 315","Home-Based Programs for Early Intervention","Undergraduate","3 Hours","PR: SPED 304. This course is designed to show policies and practices for home-based early intervention for young children with special needs from ages 0-3; individual family service plans and intervention programs to support early development and parent-child interactions in the home setting."
"ECSE 316","Behavior Support Young Children Special Needs","Undergraduate","3 Hours","PR: SPED 304 andECSE 312. Emotional and social development in young children; causes and characteristics of problem behaviors in early childhood; assessment of behavior; and positive behavior supports for individuals and groups in- home and center- based preschool settings."
"ECSE 317","Technology for Young Children with/without Special Needs","Undergraduate","3 Hours","PR: SPED 304. This course is designed to prepare future general and special education teachers to differentiate instruction for students with exceptional learning needs. The course emphasizes the utilization of an individualized, data based decision-making process in the organization, adaptation, and implementation of methods, materials, and curriculum."
"EDHS 100","Orientation to Multidisciplinary Studies in Education and Human Services","Undergraduate","1 Hour","Introduction to the Bachelor's degree in Multidisciplinary Studies in Education and Human Services, including information about education and human services fields, identification of post-graduation career opportunities, selection of minors to develop knowledge and skills, analysis of problems and issues in education and human services, participation in community service activities, and planning to meet program and university requirements for graduation."
"EDHS 191","First-Year Seminar","Undergraduate","1-3 Hours","Engages students in active learning strategies that enable effective transition to college life at WVU. Students will explore school, college and university programs, policies and services relevant to academic success. Provides active learning activities that enable effective transition to the academic environment. Students examine school, college and university programs, policies and services."
"EDHS 200","Professional Inquiry in Education and Human Services","Undergraduate","3 Hours","PR: ((ENGL 101andENGL 102) orENGL 103) andEDHS 100. Examination of issues across the fields of education and human services; practical experience in and critical reflection on activities conducted in education and human services settings and their implications for personal and professional growth; development of higher level skills for written communication through submission, revision and resubmission of formal written professional products."
"EDHS 489","Capstone Project: Multidisciplinary Studies in Education and Human Services","Undergraduate","3 Hours","PR: Consent. Integration and application of knowledge and skills acquired in multiple disciplines to understand and respond to problems of professional practice in education and human services through researching information, communicating and collaborating with others, planning, preparing and delivering presentations and written products, giving and receiving performance feedback, and planning and preparing for a future professional career."
"EDHS 493","Special Topics","Undergraduate","1-6 Hours",""
"EDP 101","Learning Strategies for Academic Success","Undergraduate","3 Hours","The purpose of the course is to help students develop active learning strategies that are research-based and appropriate for the college curriculum that will enable them to achieve academic success."
"EDP 102","Orientation to the Regents Bachelor of Arts","Undergraduate","1 Hour","PR: Consent. An introduction to the Regents Bachelor of Arts Program (RBA), including the degree structure, benefits of the program, academic success plans, standardized awards, portfolio petitions, Areas of Emphasis, and RBA graduate pathways."
"EDP 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"EDP 301","Learning in PreK-Adult Educational Settings","Undergraduate","3 Hours","Examination and utilization of behavioral and cognitive learning models; consideration of learner characteristics and other factors affecting student learning."
"EDP 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"EDP 401","RBA Portfolio Development","Undergraduate","2 Hours","This course will assist RBA students with professional work experience to prepare and submit portfolios for College Equivalent Credits (CECs)."
"EDP 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent. Teaching practice as a tutor or assistant."
"EDP 491","Professional Field Experience","Undergraduate","1-18 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"EDP 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"EDP 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"EDP 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"EDP 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"EDP 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"EDP 498","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director.  Independent reading, study or research."
"EDUC 100","Education Colloquium","Undergraduate","1 Hour","Components of and requirements for the teacher preparation program, including specializations, professional organizations, requirements for admission to the major, avenues to program completion, and requirements for work with children or youth."
"EDUC 191","First-Year Seminar","Undergraduate","1-3 Hours","Engages students in active learning strategies that enable effective transition to college life at WVU. Students will explore school, college and university programs, policies and services relevant to academic success. Provides active learning activities that enable effective transition to the academic environment. Students examine school, college and university programs, policies and services."
"EDUC 200","Professional Inquiry in Education","Undergraduate","3 Hours","PR:ENGL 101andENGL 102. The course provides an  examination of issues that cut across the field of teaching and the institution of public education. This course also focuses on developing higher-level skills in written communication."
"EDUC 220","Creative Thinking: Strategies and Techniques","Undergraduate","3 Hours","Creativity is an essential human talent. Organizations increasingly need people that understand the creative process, know how to apply creative strategies to problem solve, and develop climates that foster innovation. Through interactive engagement and discussion, students in this course will learn about major theories and paradigms in creativity and explore tools and techniques for fostering creativity in classrooms and organizations."
"EDUC 232","Data Literacy: Strategies and Applications","Undergraduate","3 Hours","This course is intended to provide students with the skills necessary to think critically about and with data. Students will analyze and critique data-based claims, consider the representation and use of data in a variety of contexts, interpret and produce methods of describing and visualizing data, and engage in data-informed decision making."
"EDUC 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"EDUC 301","Learning in Educational Settings","Undergraduate","3 Hours","Examination and utilization of behavioral and cognitive learning models; consideration of learner characteristics and other factors affecting student learning."
"EDUC 311","Practicum 1/Technology Application","Undergraduate","1 Hour","PR or CONC:EDUC 200.  Application of models and paradigms of learning in content area and instructional technologies through tutoring of individuals and small groups in an assigned public school site."
"EDUC 312","Practicum 2/Technology Application","Undergraduate","1 Hour","PR:EDUC 311with a minimum grade of C-. Application of paradigms of learning in content area and instructional technologies through tutoring of individuals and small groups in an assigned public school site."
"EDUC 330","Mathematics for Elementary Teachers 1","Undergraduate","3 Hours","PR:MATH 124orMATH 126. This course focuses on topics of mathematics in the elementary grades, how these concepts connect to mathematics on the horizon (grades 6-8 and beyond), and how teachers need to know the mathematical content they teach in specialized ways. The course includes topics in the domains of counting and cardinality, numbers and operations, algebraic thinking, and connections among mathematical concepts."
"EDUC 331","Mathematics for Elementary Teachers 2","Undergraduate","3 Hours","PR:EDUC 330. This course focuses on topics of mathematics in the elementary grades, how these concepts connect to mathematics on the horizon (grades 6-8 and beyond), and how teachers need to know the mathematical content they teach in specialized ways. The course includes topics in the domains of rational numbers, ratios, and proportional reasoning; geometry; measurement; statistics; and connections among mathematical concepts."
"EDUC 400","Instructional Design and Evaluation","Undergraduate","3 Hours","PR: Admission to the major and a grade of a C or better inEDUC 301.  Examination and demonstration of teacher behaviors required to plan classroom instruction, assess student learning, and evaluate instruction; emphasis on instruction, assessment, and evaluation to accommodate a wide range of student needs."
