"code","title","credits","department","campus","description"
"ARTV1343","Digital Sound","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Digitizing sound and incorporating it into video games, multimedia or web projects for various delivery systems.  Emphasizes compression issues, sampling, synchronizing, and resource management."
"ARTV1345","3-D Modeling and Rendering I","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, ","Techniques of three-dimensional (3-D) modeling utilizing industry standard software.  Includes the creation and modification of 3-D geometric shapes, use of a variety of rendering techniques, camera, light sources, texture, and surface mapping."
"ARTV1351","Digital Video","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Producing and editing video and sound for multimedia or web productions. Emphasizes capture, editing, and outputting of video using a digital video workstation."
"ARTV2341","Advanced Digital Video","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Advanced digital video techniques for post-production. Emphasizes integration of special effects and animation for film, video, and the Internet. Exploration of new and emerging compression and video streaming technologies."
"ARTV2345","3-D Modeling and Rendering II","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, ","A studio course focused on advanced 3-D modeling and rendering techniques using industry standard software, modeling techniques, camera settings, lighting, and surfacing to develop detailed environments."
"ARTV2351","3-D Animation II","3","ARTV - Visual and Performing Arts","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, ","Advanced level 3-D course utilizing animation tools and techniques used to develop movement. Emphasis on advanced animation techniques. This is a studio course focused on advanced 3-D modeling and rendering techniques using industry standard software, modeling techniques, camera settings, lighting, and surfacing to develop detailed environments."
"AUMT1345","Automotive Climate Control Systems","3","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Diagnosis and repair of manual/electronic climate control systems. Includes the refrigeration cycle and EPA guidelines for refrigerant handling. May be taught manufacturer specific."
"AUMT1405","Introduction to Automotive Technology","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","An introduction to the automotive industry including automotive history, safety practices, shop equipment and tools, vehicle subsystems, service publications, professional responsibilities, and basic automotive maintenance. May be taught manufacturer specific."
"AUMT1407","Automotive Electrical Systems","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","An overview of automotive electrical systems including topics in operational theory, testing, diagnosis, and repair of, charging and starting systems, and electrical accessories. Emphasis on electrical principles, schematic diagrams, and service publications. May be taught manufacturer specific."
"AUMT1410","Automotive Brake Systems","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Operation and repair of drum/disc type brake systems. Topics include brake theory, diagnosis, and repair of power, manual, anti-lock brake systems, and parking brakes. May be taught manufacturer specific."
"AUMT1416","Automotive Suspension and Steering Systems","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Diagnosis and repair of automotive suspension and steering systems including electronically controlled systems. Includes component repair, alignment procedures and tire and wheel service. May be taught manufacturer specific."
"AUMT1419","Automotive Engine Repair","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Fundamentals of engine operation, diagnosis and repair. Emphasis on identification, inspection, measurements, disassembly, repair, and reassembly of the engine. May be taught manufacturer specific."
"AUMT2313","Automotive Drive Train & Axles","3","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","A study of automotive clutches, clutch operation devices, manual transmissions/ transaxles, and differentials with emphasis on diagnosis and repair. May be taught manufacturer specific."
"AUMT2380","Auto Co-op Work Experience I","3","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
"AUMT2381","Auto Co-op Work Experience II","3","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
"AUMT2417","Automotive Engine Performance Analysis I","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Theory, operation, diagnosis of drivability concerns, and repair of ignition and fuel delivery systems. Use of current engine performance diagnostic equipment. May be taught manufacturer specific."
"AUMT2425","Automatic Transmission and Transaxle","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","A study of the operation, hydraulic circuits and electronic controls of modern automatic transmissions and automatic transaxles. Diagnosis, disassembly, and assembly procedures with emphasis on the use of special tools and repair techniques. May be taught manufacturer specific."
"AUMT2434","Automotive Engine Performance Analysis II","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Diagnosis and repair of emission systems, computerized engine performance systems, and advanced ignition and fuel systems. Includes use of advanced engine performance diagnostic equipment. May be taught manufacturer specific."
"AUMT2437","Automotive Electronics","4","AUMT - Auto/Automotive Mechanic/Technician","Montgomery, North Harris, ","Study of electronic principles applied to microcomputers and communication systems. Includes digital fundamentals, and use of electronic test equipment. May be taught manufacturer specific."
"AVIM2337","Aviation Law","3","AVIM - Aviation Management","Montgomery, North Harris, ","A study of domestic and international aviation law."
"AVTS1271","Project Management for Entertainment Technology","2","AVTS - Audio/Visual Technology","Montgomery, ","An introduction to the methods and problems of running a professional shop and managing projects. Subjects to be covered include contracts, bidding, estimates, procurement, government regulations (OSHA-10), wage/time studies, work flow, staffing of a show for performance, budgeting, scheduling, and problem-solving."
"AVTS1370","Fundamentals of Design for Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","The purpose of this course is to introduce students to the fundamentals of Entertainment design through design terminology, style, and aesthetics. Students will achieve this by examining and interpreting realized scenic, lighting and production designs."
"AVTS1371","Intro to Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","An introduction to the live entertainment technology industry, including working methods, processes, equipment, and facilities for theatre, opera, dance, concert productions, theme parks, themed-retail, cruise ship venues, houses of worship and corporate special events.  "
"AVTS1372","Cooperative Education in Live Entertainment Technology ","3","AVTS - Audio/Visual Technology","Montgomery, ","Intermediate career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student.  Under the supervision of the college and the employer, the student combines classroom learning with work experience.  Includes a lecture component."
"AVTS1373","Video Systems for Live Production","3","AVTS - Audio/Visual Technology","Montgomery, ","The course will examine how video & media content is presented during live events & productions. This will include industry standards, techniques, and resources that are available to video technicians for live productions such as concerts, theatre productions, corporate events, and art installations. Topics include projections, projection surfaces, LED Walls, content integration and various media servers and software required to present video content."
"AVTS1374","Drafting for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","An introduction to computer assisted drafting using industry-standard applications. Emphasizes creating standard working drawings used in the entertainment industry."
"AVTS1375","Rigging and Electricity for LET","3","AVTS - Audio/Visual Technology","Montgomery, ","This course is an introduction to theatrical rigging and electrical practices and technologies in the entertainment industry. Emphases are on the development of basic knowledge, awareness of safe techniques and introduction to practical skills. This course is focused on both mathematical and hands on understanding. This course aims to develop both mathematical concepts and practical hands on experience in the areas of rigging and electricity as it applies to the entertainment industry. This course will not prepare a student to solve every rigging/electrical problem they may encounter, but seeks to lay a groundwork of safe practices so that safe solutions can be extrapolated from these concepts."
"AVTS1376","Media Design for Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","An introduction to multimedia technology with a focus on interdisciplinary, project-based, cooperative learning. Students will learn the development, production and distribution elements of the design process through practice in industry-specific media applications. Students will explore standard concepts of audio and visual design through creative projects."
"AVTS1378","Video Production II for Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","An overview of the techniques and components used in commercial video production. Students will work with actors from the drama department in teams and individually to explore principles of production. Students will learn preproduction process, shooting, camera work (both handheld and stationary), directing of live multi cam productions, shading of cameras for live production, web-streaming and archiving."
"AVTS2370","Video Production Capstone for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","This course serves as the capstone project for the Live Entertainment Video AAS. All projects must be approved by the instructor and should demonstrate proficiency in management, technical and presentational skills."
"AVTS2371","Troubleshooting for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","Active integration of knowledge of audio/video/lighting systems into a working environment which focuses on specific challenges encountered in the audio/video/lighting industry."
"AVTS2372","Professional Development in Entertainment Production","3","AVTS - Audio/Visual Technology","Montgomery, ","Students will gain the skills needed to get a job in the entertainment industry. Students will produce resumes, portfolios, cover letters and marketing materials based on their individual goals in the industry."
"AVTS2373","Advanced Live Entertainment Technology Cooperative Education","3","AVTS - Audio/Visual Technology","Montgomery, ","Advanced career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student.  Under the supervision of the college and the employer, the student combines classroom learning with work experience.  Includes a lecture component."
"AVTS2374","Audio for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","Basic principles of live sound reinforcement. Emphasis on signal flow, acoustic, sound reinforcement set-ups and installation, signal processing, microphone selections and placement. Includes setting up sound systems and mixing live music. Topics include microphones, control consoles, reproduction techniques, amplification, distribution, loudspeaker systems, frequency response, decibels, and dynamic range."
"AVTS2375","Lighting for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","Lighting for Live Entertainment Technology teaches the basic principles of lighting systems and design for live productions. Students will learn about the design process for a variety of events such as concerts and theatrical productions. Students will also learn how to program moving and conventional lighting fixtures, manage a lighting crew, and troubleshoot the lighting system."
"AVTS2376","Camera Work for Live Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","This course will teach students the effective use of camera in video production. Students will learn the fundamentals of aesthetics, content, and technology as it applies to camerawork and composition. These ideas will be learned from both class work and practical work in the field and studio."
"AVTS2377","Video Editing for Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","Explore the fundamental features of industry-standard video editing software and gain knowledge of the essentials of effective editing."
"AVTS2379","Video Production for Entertainment Technology","3","AVTS - Audio/Visual Technology","Montgomery, ","An overview of the techniques and components used in commercial video production. Students will work in teams and individually to explore principles of production. Students will learn preproduction process, shooting schedules, camera, lighting, and audio operation, and post-production techniques.  Students will work in production teams while gaining an understanding of multi camera techniques, design, graphics functions and control booth operations.  Students will learn how to convey information and messages to a target audience."
"BARB1307","Introduction to Hair Design","3","BARB - Barbering/Barber","North Harris, ","Introduction to hair styling with emphasis on the fundamentals of haircutting and related skills.
"
"BARB1402","Barber Styling I","4","BARB - Barbering/Barber","North Harris, ","Continued development in haircutting techniques and implementation of basic styling. Introduction to chemical reformation."
"BARB1404","Introduction to Barber Styling","4","BARB - Barbering/Barber","North Harris, ","Basic techniques for hair cutting. Introduction to the related skills of shampooing and treatments, and of trimming beards and mustaches."
"BARB1442","Barber Styling II","4","BARB - Barbering/Barber","North Harris, ","Haircutting techniques with emphasis on intermediate hands-on application of skills."
"BARB1491","Special Topics in Barber/Hairstylist","4","BARB - Barbering/Barber","North Harris, ","Topics address recently identified current events, skills, knowledge, and/or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student. This course was designed to be repeated multiple times to improve student proficiency."
"BARB2402","Barber Styling III","4","BARB - Barbering/Barber","North Harris, ","Continued skill development in haircutting and styling. Emphasizes advanced techniques in chemical procedures. Introduction to hairpieces and facials."
"BARB2431","Advanced Barber Styling I","4","BARB - Barbering/Barber","North Harris, ","Advanced skills in all areas of haircutting hairstyling and skincare. Introduction to haircoloring techniques.
"
"BARB2432","Barber Law Shop Management I","4","BARB - Barbering/Barber","North Harris, "," Introduction to Texas barber law and business management."
"BARB2441","Advanced Barber Styling II","4","BARB - Barbering/Barber","North Harris, ","Continuation of Barber styling  with further refinement of all skills and theory for licensure."
"BARB2444","Barber Law and Shop Management II","4","BARB - Barbering/Barber","North Harris, ","Continuation of barber law and shop management. Includes advanced business management and preparation for the State Board Examination for a barber license.
"
"BCIS1305","Business Computer Applications","3","BCIS - Business Computer Information Systems","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Introduces and develops foundational skills in applying essential and emerging business productivity information technology tools. The focus of this course is on business productivity software applications, including word processing, spreadsheets, databases, presentation graphics, data analytics, and business-oriented utilization of the internet. (BCIS 1305 is included in the Business Field of Study.)"
"BCISA1305","Business Computer Applications I","2","BCIS - Business Computer Information Systems - OLSA","Montgomery, Tomball, ","This is part one of a two-part course and requires completion of both BCISA 1305 and BCISB 1305 to receive full credit. Semester I introduces and develops foundational skills in applying essential and emerging business productivity information technology tools. The focus of this course is on business productivity software applications, including word processing, spreadsheets, databases, presentation graphics, data analytics, and business-oriented utilization of the internet. (BCIS 1305 is included in the Business Field of Study.)"
"BCISB1305","Business Computer Applications II","1","BCIS - Business Computer Information Systems - OLSA","Montgomery, Tomball, ","This is part two of a two-part course and requires completion of both BCISA 1305 and BCISB 1305 to receive full credit. Semester II will expand upon concepts taught in semester one: Introducing and developing foundational skills in applying essential and emerging business productivity information technology tools. The focus of this course is on business productivity software applications, including word processing, spreadsheets, databases, presentation graphics, data analytics, and business-oriented utilization of the internet. (BCIS 1305 is included in the Business Field of Study.)"
"BIOL1322","Nutrition","3","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Fundamental principles of normal nutrition and the importance of nutrition in promoting growth and health. Emphasis will be given to the basic food constituents and their physiological relationships within the body. Consideration will also be given to community needs. This course will not fulfill a laboratory science requirement."
"BIOL1406","Biology I for Science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A contemporary course including applications of the scientific method, cellular and molecular biology, biochemistry, classical and human genetics, virology and mechanisms of evolution."
"BIOL1407","Biology II for Science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is a continuation of introductory Biology I for majors. It includes a detailed survey of the major phylogenetic lineages. This includes a comparison of the systems of different organisms. Ecological roles and relationships, as well as behavior of organisms, will be integrated throughout."
"BIOL1408","Biology I for Non-science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A conceptual approach for students not majoring in science. An introduction to the nature of science, the characteristics of life, the molecular and cellular basis of life, viruses, energetics, genetics, reproduction and development. An emphasis will be placed on how these topics are related to issues facing modern society."
"BIOL1409","Biology II - Non-Science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course for a student not majoring in the biological or health sciences is a continuation of Introductory Biology I for Nonmajors. It includes a detailed phylogenetic survey of Whittaker's five kingdoms. This includes a comparison of the systems of different organisms. Ecological roles and relationships, as well as behavior of organisms, will be integrated throughout."
"BIOL1414","Introduction to Biotechnology","4","BIOL - Biology","Houston North, Montgomery, Online, CyFair, Kingwood, North Harris, Tomball, University Park, ","An introduction to biotechnology including career exploration, history and applications of DNA/RNA technology, molecular biology, bioethics, and laboratory safety practices."
"BIOL1415","Introduction to Biotechnology II","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Biology course that focuses on an integrative approach to studying biomolecules with an emphasis on protein structures, functions and uses in the modern bioscience laboratory. Students will investigate the mechanisms involved in the transfer of information from DNA sequences to proteins to biochemical functions. The course will integrate biological and chemical concepts with techniques that are used in research and industry. Critical thinking will be applied in laboratory exercises using inquiry-based approaches, troubleshooting, and analyzing experimental data.   	"
"BIOL2389","Academic Biological Sciences","3","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, Online, University Park, ","An instructional program designed to integrate on-campus study with practical hands-on work experience in the biological sciences/life sciences. In conjunction with class seminars, the individual student will set specific goals and objectives in the study of living organisms and their systems. Students will work in conjunction with the faculty coordinator and the sponsor in the development of their goals and objectives. The external learning experiences must have faculty approval."
"BIOL2401","Human Anatomy & Physiology I","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of the structure and function of the human body. Emphasis will be given to the study of cells and tissues and anatomical and physiological interrelationships of the integumentary, skeletal, muscular, and nervous systems. Designed primarily for students entering health careers.
Completion of BIOL 1408 Biology I for Non-science Majors or BIOL 2404 Intro to Anatomy and Physiology is strongly recommended for success in the course."
"BIOL2402","Human Anatomy & Physiology II","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A continuation of BIOL 2401 Human Anatomy & Physiology I. 
Emphasis will be given to the study of the anatomical and physiological interrelationships of the endocrine, circulatory, immune, respiratory, digestive, reproductive and urinary systems. Designed primarily for students entering health careers."
"BIOL2404","Intro to Anatomy and Physiology","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A general survey of the structure and function of human anatomy and physiology, including the neuroendocrine, integumentary, musculoskeletal, digestive, urinary, reproductive, respiratory, lymphatic, and circulatory systems."
"BIOL2406","Environmental Biology","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, Online, University Park, ","A one-semester survey of the interrelationships between the biotic and abiotic parts of the environment and how man affects them. Topics include: basic ecological principles; energy; human influences on ecosystems; and pollution and policy making. Laboratory experiences will reinforce these topics. Field trips required."
"BIOL2416","Genetics","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of the principles of genetics with an emphasis on molecular aspects. Course content will also include genetic engineering principles, population genetics, and the function and transmission of hereditary material."
"BIOL2420","Microbiology for Non-Science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is designed for allied health students. It is a study of microorganisms including a description of basic cell structure, biochemistry, metabolism, nutrition, reproduction and genetics. Mechanisms of transmission, microbial entry, pathogenesis, prophylaxis, epidemiology and microbial control of selected human pathogens will be explored. Basic body defense mechanisms and immunological responses to pathological conditions will be examined. Laboratory exercises will include  aseptic techniques, microscopy, culture techniques, determination of bacterial morphology, staining, and biochemical differentiation. "
"BIOL2421","Microbiology for Science Majors","4","BIOL - Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Principles of microbiology, including metabolism, structure, function, genetics, and phylogeny of microbes. The course will also examine the interactions of microbes with each other, hosts, and the environment. This course is designed for science majors.  A study of the morphology, biochemistry, physiology, genetic and taxonomy of microorganisms with an emphasis on bacteria.  The biological principles and relationships of microorganisms to man in agriculture, sanitation, industry, medicine, and the environment will also be emphasized. Laboratory exercises will include aseptic techniques, microscopy, culture techniques, determination of bacterial morphology, staining, and biochemical differentiation."
"BIOLH1406","Honors Biology I for Science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A contemporary course including applications of the scientific method, cellular and molecular biology, biochemistry, classical and human genetics, virology and mechanisms of evolution."
"BIOLH1407","Honors Biology II for Science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is a continuation of introductory Biology I for majors. It includes a detailed survey of the major phylogenetic lineages. This includes a comparison of the systems of different organisms. Ecological roles and relationships, as well as behavior of organisms, will be integrated throughout."
"BIOLH1408","Honors Biology I for Non-science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A conceptual approach for students not majoring in science.  An introduction to the nature of science, the characteristics of life, the molecular and cellular basis of life, viruses, energetics, genetics, reproduction and development. An emphasis will be placed on how these topics are related to issues facing modern society."
"BIOLH1409","Honors Biology II for Non-Science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course for a student not majoring in the biological or health sciences is a continuation of Introductory Biology I for Nonmajors.  It includes a detailed phylogenetic survey of Whittaker's five kingdoms.  This includes a comparison of the systems of different organisms.  Ecological roles and relationships, as well as behavior of organisms, will be integrated throughout."
"BIOLH2389","Honors Academic Co-op Biological Sciences","3","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Instructional program designed to integrate on-campus study with practical hands-on work experience in the biological sciences/life sciences. In conjunction with class seminars, the individual student will set specific goals and objectives in the study of living organisms and their systems. Students will work in conjunction with the faculty coordinator and the sponsor in the development of their goals and objectives. The external learning experiences must have faculty approval."
"BIOLH2401","Honors Human Anatomy & Physiology I","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of the structure and function of the human body. Emphasis will be given to the study of cells and tissues and anatomical and physiological interrelationships of the integumentary, skeletal, muscular, and nervous systems. Designed primarily for students entering health careers.
Completion of BIOL 1408 Biology I for Non-Science Majors or BIOL 2404 Intro to Anatomy & Physiology is strongly recommended for success in the course."
"BIOLH2402","Honors Human Anatomy & Physiology II","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A continuation of BIOL 2401, Human Anatomy & Physiology I. 
Emphasis will be given to the study of the anatomical and physiological interrelationships of the endocrine, circulatory, immune, respiratory, digestive, reproductive and urinary systems. Designed primarily for students entering health careers."
"BIOLH2404","Honors Intro to Anatomy & Physiology","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A general survey of the structure and function of human anatomy and physiology, including the neuroendocrine, integumentary, musculoskeletal, digestive, urinary, reproductive, respiratory, lymphatic, and circulatory systems."
"BIOLH2406","Honors Environmental Biology","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A one-semester survey of the interrelationships between the biotic and abiotic parts of the environment and how man affects them. Topics include: basic ecological principles; energy; human influences on ecosystems; and pollution and policy making.  Laboratory experiences will reinforce these topics.  Field trips required."
"BIOLH2420","Honors Microbiology for Non-Science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is designed for allied health students. It is a study of microorganisms including a description of basic cell structure, biochemistry, metabolism, nutrition, reproduction and genetics.  Mechanisms of transmission, microbial entry, pathogenesis, prophylaxis, epidemiology and microbial control of selected human pathogens will be explored.  Basic body defense mechanisms and immunological responses to pathological conditions will be examined.  Laboratory exercises will include aseptic techniques, microscopy, culture techniques, determination of bacterial morphology, staining, and biochemical differentiation.  "
"BIOLH2421","Honors Microbiology for Science Majors","4","BIOLH - Honors Biology","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is designed for science majors.  A study of the morphology, biochemistry, physiology, genetic and taxonomy of microorganisms with an emphasis on bacteria.  The biological principles and relationships of microorganisms to man in agriculture, sanitation, industry, medicine, and the environment will also be emphasized.  Laboratory exercises will include aseptic techniques, microscopy, culture techniques, determination of bacterial morphology, staining, and biochemical differentiation."
"BITC1191","Special Topics in Biotechnology","1","BITC - Biological Technology/Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Topics address recently identified current events, skills, knowledge, and / or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student. This course was designed to be repeated multiple times to improve student proficiency."
"BITC1240","Quality Assurance for the Biosciences","2","BITC - Biological Technology/Technician","Montgomery, ","Quality assurance principles and applications. Includes quality control and Federal Drug Administration (FDA) regulations to the biotechnology, biopharmaceutical, and biomedical device industries."
"BITC1250","Special Studies and Bioethical Issues of Biotechnology","2","BITC - Biological Technology/Technician","Montgomery, ","Current events, skills, attitudes, and behaviors pertinent to biotechnology and relevant to the professional development of the student. Includes exploration of ethical and legal behaviors in the context of the biotechnology industry."
"BITC1391"," Special Topics in Biological Technology/Technician","3","BITC - Biological Technology/Technician","Montgomery, ","Topics address recently identified current events, skills, knowledge, and/or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student. This course was designed to be repeated multiple times to improve student proficiency."
"BITC1402","Biotechnology Laboratory Methods and Techniques","4","BITC - Biological Technology/Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Laboratory operations, management, equipment, instrumentation, quality control techniques, and safety procedures. Includes laboratory practice in using pH meters, spectrophotometers, preparing buffers and solutions, and performing measurements and separatory techniques."
"BITC1403","Principles of Biochemistry","4","BITC - Biological Technology/Technician","Montgomery, ","Structure, function, and cellular metabolism of various bio-molecules. Concentrates on the intra- and intermolecular conversion of bio-molecules. Knowledge in this area is directly applicable to analysis and processing of bio-molecules and their pertinence to biotechnology as it relates to biopharmaceuticals, biodiagnostics, fermentation, and bio-manufacturing."
"BITC1491","Introduction to Biomanufacturing","4","BITC - Biological Technology/Technician","Montgomery, ","This course will provide students with the necessary training in basic Biomanufacturing such as R&D, Manufacturing/Production with cGMP compliance, Quality Control/Quality Assurance, Regulatory Affairs, and bulk fill techniques. It also provides a Biomanufacturing career overview. The course will cover manufacturing of biologics, biofuels and nutraceuticals."
"BITC2286","Internship - Biology Technician/Biotechnology Laboratory Technician","2","BITC - Biological Technology/Technician","Montgomery, ","A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer."
"BITC2287","Internship - Biology Technician/Biotechnology Laboratory Technician","2","BITC - Biological Technology/Technician","Montgomery, ","A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer."
"BITC2350","Bioinformatics","3","BITC - Biological Technology/Technician","Montgomery, ","Current topics in bioinformatics, proteomics, and computational biology. Includes methods for high-throughput data collection, storing, and accessing biological data. Covers programs and algorithms used to analyze data."
"BITC2377","Product Development to Commercialization","3","BITC - Biological Technology/Technician","Montgomery, ","The course will provide students with an overview of drug discovery to commercialization of biologics-based therapeutics. The course covers drug discovery and development, scale-up, production, and FDA regulations that govern clinical trials through commercialization."
"BITC2386","Internship - Biological Technology/Technician","3","BITC - Biological Technology/Technician","Kingwood, Montgomery, Tomball, ","A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer. Requires LSC liability insurance."
"BITC2387"," Internship - Biology Technician/Biotechnology Laboratory Technician","3","BITC - Biological Technology/Technician","Montgomery, ","A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer."
"BITC2411","Biotechnology Laboratory Instrumentation","4","BITC - Biological Technology/Technician","Montgomery, ","Theory, applications, and safe operation of various biotechnology-related analytical instruments. Addresses separation and identification techniques including electrophoresis, spectrophotometry, and chromatography."
"BITC2431","Cell Culture Techniques","4","BITC - Biological Technology/Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Theory and applications of cell culture techniques. Laboratory emphasis on the principles and practices of applications such as initiation, cultivation, maintenance, and preservation of cell lines."
"BITC2441","Molecular Biology Techniques","4","BITC - Biological Technology/Technician","Montgomery, ","In-depth coverage of the theory and laboratory techniques in molecular biology with an emphasis on gene expression and regulation, recombinant DNA, and nucleic acids."
"BITC2445","Medical Biotechnology","4","BITC - Biological Technology/Technician","Montgomery, ","Biotechnology as it applies to medicine and medical research. Includes molecular mechanisms underlying diseases such as cancer, diabetes, heart disease, and AIDS. Covers the applications of biotechnology to the diagnosis and treatment of disease as well as the development of drugs and therapeutic agents. Emphasizes research and medical-related biotechnology methods and laboratory procedures."
"BITC2475","Upstream and Downstream Manufacturing of Biologics","4","BITC - Biological Technology/Technician","Montgomery, ","This course includes provides lab-based instruction and training in upstream and downstream manufacturing processes used in the production of a biologics-based therapeutic product."
"BITC2486","Internship - Biological Technology/Technician","4","BITC - Biological Technology/Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","A work-based learning experience that enables the student to apply specialized occupational theory, skills and concepts. A learning plan is developed by the college and the employer. Requires LSC liability insurance."
