"school","subject","course_code","course_name","credits","description"
"School of Business","Public Administration and Health Management","PAHM-V 378","Policy Processes in the United States","3 cr.","Course content includes analytical perspectives of the policy process, the centers of policy, and the public interest. Selected cases involving problem analysis and decision making on public issues are included, as well as discussion of current policy issues."
"School of Business","Public Administration and Health Management","PAHM-V 379","Performance Measurement and Program Evaluation","3 cr.","This course provides an overview of program evaluation as it relates to public affairs, criminal justice, health policy, and environmental science with particular emphasis on measuring program outcomes. The course is designed for students who envision themselves working in management, policy-making, or research roles."
"School of Business","Public Administration and Health Management","PAHM-V 380","Internship in Public and Environmental Affairs","1-9 cr.","P: Consent of instructor. Open to interested majors upon approval of the faculty. Students are placed with public agencies or governmental units for assignment to a defined task relevant to their educational interests in public affairs. Tasks may involve staff work or research. This course is graded S/F (satisfactory or fail)."
"School of Business","Public Administration and Health Management","PAHM-V 386","Case Studies for Policy Analysis","3 cr.","This course focuses on analyzing case studies of public policies using a variety of disciplinary perspectives, including application of the principles and concepts of intermediate microeconomic theory."
"School of Business","Public Administration and Health Management","PAHM-V 387","Public Administration and Emergency Management","3 cr.","An examination of the American federal system and how it affects policy making and emergency management. Topics include government programs, participation of agencies and actors from all three levels of government, the nonprofit sector, and the private sector. Administrative processes involved in managing major hazards and disasters will be presented."
"School of Business","Public Administration and Health Management","PAHM-V 405","Public Law and the Legislative Process","3 cr.","This course focuses on Congress as a policy-making body in the U.S. public law system. It covers the constitutional framework for congressional operations, as well as technical aspects of the legislative process such as bill drafting and analysis, the role of leadership, and the prerogatives of individual members."
"School of Business","Public Administration and Health Management","PAHM-V 412","Leadership and Ethics","3 cr.","This course is designed to examine the complex leadership issues and challenges facing communities and to explore how citizens and government can work together to address these challenges. This includes exploration of how the problems, conflicts, and dilemmas encountered by leaders when making decisions must be considered within an ethical framework."
"School of Business","Public Administration and Health Management","PAHM-V 443","Managing Workforce Diversity","3 cr.","The composition and nature of the workforce is changing. Managers must decide how to accommodate real differences among the members of their organizations. This course seeks to provide information for practitioners who hope to integrate an understanding of workforce diversity into their management style and professional behavior."
"School of Business","Public Administration and Health Management","PAHM-V 444","Public Administrative Organization","3 cr.","A review of research findings and analysis of the operation of public agencies and their performance."
"School of Business","Public Administration and Health Management","PAHM-V 460","Intergovernmental Relations","3 cr.","Overview of the dynamics of multi-organizational governance in the United States. Examination of federal and other systems. Structure and operations of intergovernmental programs and the role of managers within these systems."
"School of Business","Public Administration and Health Management","PAHM-V 473","Management, Leadership, and Policy","3 cr.","This course seeks to integrate learning across the public affairs curriculum. Students will review and reflect about their learning in management, leadership, and policy. Experiential methods service learning, projects, cases, and exercises â will be used to help students apply theory, concepts, and skills."
"School of Business","Public Administration and Health Management","PAHM-W 314","Ethical Practices for Allied Health Professionals","3 cr.","Ethics for HealthÂ Professionals provides a thorough grounding in ethical theories and principles as reflected in current health care issues and policies.Â  Students are introduced to a variety of frameworks for ethical decision-making and policy analysis.Â  Current trends in the political, economic, and legal spheres of the contemporary health care arena are analyzed through the use of case studies, articles and video presentations."
"School of Business","Sport and Recreational Management","SRM-P 211","Introduction to Sport Management","3 cr.","An examination of the broad spectrum of career opportunities available in the sport management profession. Special emphasis on career planning, sport management terminology, and an overview of specific skills and courses required for professional preparation in sport management."
"School of Business","Sport and Recreational Management","SRM-P 328","Issues in Intercollegiate Athletics","3 cr.","P: 30 + hours of credits. Examination of current issues in intercollegiate sport in America. This course presents the historical foundation of current issues and solutions, and examines current positions and arguments."
"School of Business","Sport and Recreational Management","SRM-P 333","Sports in America: Historical Perspectives","3 cr.","P: 30 + credit hours. Study of the evolution of sport in the United States within the larger context of historical developments in society; women's sport experiences in relation to the development of sport; examination of sport as a reflection of American culture from the founding of the colonies to the present."
"School of Business","Sport and Recreational Management","SRM-P 402","Ethics in Sport","3 cr.","P: 30 + credit hours. (Required for minor in Coaching)Â  This course will help students develop their abilities to reason morally through an examination within competitive sports of ethical theories, moral values, intimidation, gamesmanship, and violence, eligibility, elimination, winning, commercialization, racial equity, performance-enhancing drugs, and technology. Students will develop a personal philosophy of sport and learn how to apply a principled decision-making process to issues in sport."
"School of Business","Sport and Recreational Management","SRM-P 411","Legal Issues in Sport Settings","3 cr.","P: 30 + credit hours. An introduction to legal principles involved in sport. Tort liability including intentional tort, negligence, and product liability. Covers constitutional law issues, particularly as they relate to athletic eligibility, athletes' rights, sex discrimination, and drug testing. Discussion of sport contracts."
"School of Business","Sport and Recreational Management","SRM-P 415","Sport Promotions and Public Relations","3 cr.","P: 30 + credit hours. An introduction to the theories and techniques of sport promotions, public relations and fund raising."
"School of Business","Sport and Recreational Management","SRM-R 213","Introduction to Sport Information","3 cr.","AnÂ introduction to the area of sport information. Emphasis is placed on the fields within sport Information, including, but not limited to: sport information, public relations, media relations, player relations, radio and TV sports production, marketing and research, interactive media, media trends, production competencies, and employment options and trends."
"School of Business","Sport and Recreational Management","SRM-R 319","Sport Facility Management","3 cr.","P: SRM-P 211; HTM-M 219 or BUS-Z 302. Management of sport and recreation facilities in the public and private sector including design, development, utilization, resources and auxiliary operation considerations. The course focuses on the facility manager's responsibilities including ticket sales, crowd control, security, customer satisfaction, human resources management, and revenue generation. The course requires site visits and analysis of various recreation facilities."
"School of Business","Sport and Recreational Management","SRM-R 418","Sport and Recreation Marketing","3 cr.","P: SRM-P 211 and BUS-M 300, BUS-M 301, or BUS-D 301. This course will examine the processes and principles involved with sport and recreation marketing and sales. Focuses on development, promotion, sponsorship, advertising, merchandising and distribution of goods and services. Also includes the decision making and planning from the sports manager's perspective in branding products and entities."
"School of Business","Sport and Recreational Management","SRM-R 432","Leadership and Management in Sport","3 cr.","P: SRM-P 211 Introduction to Sport Management. An introduction to the fundamental concepts, theories, and techniques for management in sport industry. Emphasizing scientific approaches of creating efficient sport business organizations, the course will cover organizational behavior related topics such as problem-solving, decision making, strategic and operational planning, organizational culture, diversity, leadership, and teamwork."
"School of Business","Sport and Recreational Management","SRM-R 445","Special Topics in Sport and Recreation Management","3-6 cr.","Special Topics in Sport and Recreation Management. May be repeated with different topic for a total of 6 credit hours.Â  Topics may vary each semester. Topics will include Olympics, international governance in sport, and sport as social events."
"School of Business","Sport and Recreational Management","SRM-R 472","Youth Sport Management","3 cr.","P: junior or senior standing. Exploration and examination of youth sport history, philosophy, development stages of youth sport management and programming; current issues and events necessary to deliver youth sports programming within a variety of settings, agencies and organizations."
"School of Business","Sport and Recreational Management","SRM-R 491","Internship in Sport and Recreation Management","1-6 cr.","Under the advisement of an Allied Health Sciences faculty member and supervision of an assigned specialist at the placement site, the student will work or otherwise participate in activities associated with sport and recreation management.Â  This is a variable credit course. One credit hour will consist of 40 hours of participation in activities associated with an internship assignment"
"School of Business","Sport and Recreational Management","SRM-R 492","Independent Study in Sport & Recreation Management","1-6 cr.","Students will immerse themselves in a new or ongoing research project conducted by Sport & Recreation Management faculty. In this context, students will be given opportunities to learn practical, hands-on research skills. These skills could include but are not limited to data collection, data analysis, scientific writing, and scientific presentations."
"School of Business","Sport and Recreational Management","SRM-S 320","Economics of Sport","3 cr.","P: Sophomore standing. A study of contemporary sports using an economic approach. Issues include the wages of professional athletes, the impact of competitive balance on team profits, the alleged exploitation of student-athletes and the pricing of television rights are subjected to economic analysis.Â  Public policy issues such as antitrust legislation and public financing of arenas and stadiums are also examined."
"School of Business","Sport and Recreational Management","HPER-S 320","Economics of Sport","3 cr.","P: Sophomore standing. A study of contemporary sports using an economic approach. Issues include the wages of professional athletes, the impact of competitive balance on team profits, the alleged exploitation of student-athletes and the pricing of television rights are subjected to economic analysis.Â  Public policy issues such as antitrust legislation and public financing of arenas and stadiums are also examined.Â Â"
"School of Business","Sport and Recreational Management","HPER-P 328","Issues in Intercollegiate Athletics","3 cr.","P: 30 + hours of credits. Examination of current issues in intercollegiate sport in America. This course presents the historical foundation of current issues and solutions, and examines current positions and arguments.Â"
"School of Business","Sport and Recreational Management","HPER-P 333","Sports in America","3 cr.","P: 30 + credit hours. Study of the evolution of sport in the United States within the larger context of historical developments in society; women's sport experiences in relation to the development of sport; examination of sport as a reflection of American culture from the founding of the colonies to the present."
"School of Business","Sport and Recreational Management","HPER-P 402","Ethics in Sport","3 cr.","P: 30 + credit hours. (Required for minor in Coaching)Â  This course will help students develop their abilities to reason morally through an examination within competitive sports of ethical theories, moral values, intimidation, gamesmanship, and violence, eligibility, elimination, winning, commercialization, racial equity, performance-enhancing drugs, and technology. Students will develop a personal philosophy of sport and learn how to apply a principled decision-making process to issues in sport.Â Â"
"School of Business","Sport and Recreational Management","HPER-P 411","Legal Issues in Sport Settings","3 cr.","P: 30 + credit hours. An introduction to legal principles involved in sport. Tort liability including intentional tort, negligence, and product liability. Covers constitutional law issues, particularly as they relate to athletic eligibility, athletes' rights, sex discrimination, and drug testing. Discussion of sport contracts.Â"
"School of Business","Sport and Recreational Management","HPER-P 415","Sport Promotions and Public Relations","3 cr.","P: 30 + credit hours. An introduction to the theories and techniques of sport promotions, public relations and fund raising.Â"
"School of Business","Sport and Recreational Management","HPER-R 491","Internship in Sport and Recreation Management","1-6 cr.","Under the advisement of an Allied Health Sciences faculty member and supervision of an assigned specialist at the placement site, the student will work or otherwise participate in activities associated with sport and recreation management.Â  This is a variable credit course. One credit hour will consist of 40 hours of participation in activities associated with an internship assignment"
"School of Business","Sport and Recreational Management","HPER-R 472","Youth Sport Management","3 cr.","P: junior or senior standing. Exploration and examination of youth sport history, philosophy, development stages of youth sport management and programming; current issues and events necessary to deliver youth sports programming within a variety of settings, agencies and organizations."
"School of Business","Sport and Recreational Management","HPER-R 319","Sport Facility Management","3 cr.","P: HPER-P 211; HTM-M 219 or BUS-Z 302. Management of sport and recreation facilities in the public and private sector including design, development, utilization, resources and auxiliary operation considerations. The course focuses on the facility manager's responsibilities including ticket sales, crowd control, security, customer satisfaction, human resources management, and revenue generation. The course requires site visits and analysis of various recreation facilities.Â"
"School of Business","Sport and Recreational Management","HPER-R 213","Introduction to Sport Information","3 cr.","AnÂ introduction to the area of sport information. Emphasis is placed on the fields within sport Information, including, but not limited to: sport information, public relations, media relations, player relations, radio and TV sports production, marketing and research, interactive media, media trends, production competencies, and employment options and trends.Â Â"
"School of Business","Sport and Recreational Management","HPER-R 418","Sport and Recreation Marketing","3 cr.","P: HPER-P 211 and BUS-M 300, BUS-M 301, or BUS-D 301. This course will examine the processes and principles involved with sport and recreation marketing and sales. Focuses on development, promotion, sponsorship, advertising, merchandising and distribution of goods and services. Also includes the decision making and planning from the sports manager's perspective in branding products and entities.Â Â"
"School of Business","Sport and Recreational Management","HPER-R 432","Leadership and Management in Sport","3 cr.","P: HPER-P 211 Introduction to Sport Management. An introduction to the fundamental concepts, theories, and techniques for management in sport industry. Emphasizing scientific approaches of creating efficient sport business organizations, the course will cover organizational behavior related topics such as problem-solving, decision making, strategic and operational planning, organizational culture, diversity, leadership, and teamwork."
"School of Business","Sport and Recreational Management","HPER-R 445","Special Topics in Sport and Recreation Management","3-6 cr.","Special Topics in Sport and Recreation Management. May be repeated with different topic for a total of 6 credit hours.Â  Topics may vary each semester. Topics will include Olympics, international governance in sport, and sport as social events."
"School of Business","Graduate Business Courses","BUKO-F 543","Financial Modeling","3 cr.","P: BUS-F 301 or equivalent, and permission of MBA Director This course involves the development and application of computer-based financial models. Models from corporate finance and investments use Microsoft Excel. Course helps students develop advanced spreadsheet skills for financial analysis. These skills include not only ""number crunching"" techniques, but also ""best practices"" in constructing models for investment and corporate decisions."
"School of Business","Graduate Business Courses","BUKO-J 554","Leadership in a Global Context","3 cr.","This course prepares students to navigate the opportunities and challenges for organizational leaders operating in a global context. Emphasis is placed on developing self-and cultural awareness, working effectively with people from different backgrounds, and identifying cross-cultural similarities and differences that influence corporate strategy and organizational policies and procedures."
"School of Business","Graduate Business Courses","BUKO-J 556","Leadership Skills","3 cr.","Students learn and apply key theories and frameworks that guide systematic thinking to understand how leadership skills are essential to organizational success via job market analysis and leadership skill development plan. To apply their knowledge, students must complete a minimum of 10 hours of leadership activities within an organization."
"School of Business","Graduate Business Courses","BUKO-K 543","Predictive Analytics for Business","3 cr.","P: BUKO-K 542 This course will focus primarily on data mining for prediction, classification, and clustering tasks for business, including both supervised and unsupervised learning models.Â  Possible course topics include predictive performance, linear regression, nearest neighbor estimation, naive Bayes classifier, classification and regression trees; logistic regression, neural nets, cluster analysis, and machine learning."
"School of Education","Undergraduate","EDUC-E 325","Social Studies in the Elementary Schools","3 cr.","Emphasizes the development of objectives, teaching strategies, and evaluation procedures that facilitate the social learning of young children. Special attention given to concept learning, inquiry, decision making and value analysis."
"School of Education","Undergraduate","EDUC-E 328","Science in the Elementary Schools","3 cr.","Objectives, philosophy, selection, and organization of science materials and methods. Concept development and use of the multidimensional materials in science experiments. Analysis of assessment techniques and bibliographical materials. Field experience arranged in public schools."
"School of Education","Undergraduate","EDUC-E 335","Introduction to Early Childhood Education","3 cr.","This course has a dual focus. First, is an overview of the field including an historic perspective, program models, goals of early childhood education and professional organizations. The second focus emphasizes learning observation skills, understanding the characteristics of young children, teacher-child interaction and classroom management skills."
"School of Education","Undergraduate","EDUC-E 336","Play as Development","3 cr.","Includes theories and development of play and how it can be guided. Shows how children use play to develop individually, understand the physical, social and cognitive environment, and develop physical and motor skill and creative ability. Includes a section on the selection and construction of play materials."
"School of Education","Undergraduate","EDUC-E 337","Classroom Learning Environments","3 cr.","This course focuses on the curriculum aspects of early childhood programs designed to meet ethnic and cultural differences and on planning, utilizing, and evaluating learning environments. Selection of materials and activities and the acquisition of skills for using these to stimulate children's development are major focuses."
"School of Education","Undergraduate","EDUC-E 338","The Early Childhood Educator","3 cr.","Includes the role of the teacher as a professional educator including professional responsibilities, legal rights and responsibilities of teachers and students, school and community relations, and involvement in professional organizations. A major emphasis is on parent involvement and parent education."
"School of Education","Undergraduate","EDUC-E 339","Methods of Teaching Language Arts in the Elementary Schools I","3 cr.","Describes the methods, materials, and techniques employed in the elementary language arts program."
"School of Education","Undergraduate","EDUC-E 340","Methods of Teaching Reading I","3 cr.","This course describes and appraises the methods, materials and techniques employed in diagnosing learning problems in elementary language arts and reading program.Â"
"School of Education","Undergraduate","EDUC-E 341","Methods of Teaching Reading in the Elementary Schools II","3 cr.","Focuses on classroom procedures and materials used to provide diagnostic and corrective instruction for learning needs in reading."
"School of Education","Undergraduate","EDUC-E 343","Mathematics in the Elementary Schools","3 cr.","Emphasizes the developmental nature of the arithmetic process and its place as an effective tool in the experiences of the elementary school child. Field experience arranged in public schools."
"School of Education","Undergraduate","EDUC-E 349","Teaching and Learning for all Young Children 1: Focus on Birth to Age 3","3 cr.","Students will connect theory with typcially and atypically pedagogical skills in real-life settings with typically and atypically developing young children, birth to age three.Â  They will learn how to become keen observers of children and will acquire proficiency in designing, implementing, and assessing environments that are developmentally appropriate and literacy-rich."
"School of Education","Undergraduate","EDUC-E 352","Teaching and Learning in Preschool/Kindergarten","3 cr.","This course engages students in the development, implementation, and assessment of curricula for all children ages 3-5 years. Content areas of mathematics, social studies, sciences, literacy, and art will be emphasized. Field experience required."
"School of Education","Undergraduate","EDUC-F 205","Study of Education and the Practice of Teaching","3 cr.","A review of the literature on various approaches to education as a discipline and a field of inquiry, and an exploration of several approaches to teacher education. Integrates scholarship and inquiry with the development of educational possibilities. Students will begin the process of constructing a set of personal and social commitments that will guide their future teaching activities."
"School of Education","Undergraduate","EDUC-F 401","Topical Exploration in Education","0-3 cr.","This course will explore various topics of relevance to education, both in the United States and abroad."
"School of Education","Undergraduate","EDUC-H 340","Education and the American Culture","3 cr.","The present educational system - its social impact and future implications - viewed in historical, philosophical, and sociological perspectives. Special attention is given to ethnic, minority, and cultural aspects."
"School of Education","Undergraduate","EDUC-K 205","Introduction to Exceptional Children","3 cr.","An overview of the characteristics and the identification of exceptional children. The course presents the issues in serving exceptional children and the educational, recreational, and social aspects of their lives."
"School of Education","Undergraduate","EDUC-K 305","Teaching Students with Special Needs in the Elementary Classroom","3 cr.","Knowledge, attitudes, and skills basic to the education of exceptional learners (students who are handicapped as well as gifted and talented in the regular elementary classroom. Topics include historical and international perspectives, the law and public policy, profiling the exceptional learner, a responsive curriculum, teaching and management strategies, teachers as persons and professionals."
"School of Education","Undergraduate","EDUC-K 306","Teaching Students with Special Needs in the Secondary Classroom","3 cr.","This course includes an overview of the skills and knowledge necessary for effective instruction of students with disabilities in inclusive secondary programs."
"School of Education","Undergraduate","EDUC-K 308","Teaching Infants/Toddlers and Young Children with Special Needs","3 cr.","P: Admission to the Teacher Education Program. 


Prepares future teachers to plan and implement programs for infants/toddlers and preschoolers with special needs.Â  Preservice teachers learn the principles of differentiated, adaptive, and individualized instruction.Â  Preservice teachers also develop an understanding of consultation and interdisciplinary techniques, integrative programming, and interagency cooperation."
"School of Education","Undergraduate","EDUC-K 343","Emotional and Behavioral Disorders I","3 cr.","A basic survey of the field of emotional disturbance and social maladjustment. Definitions, classifications, characteristics, and diagnostic and treatment procedures are discussed from a psycho-educational point of view."
"School of Education","Undergraduate","EDUC-K 344","Emotional and Behavioral Disorders II","3 cr.","A survey of educational curricula, procedures, and materials for socially and emotionally disturbed children. Development of teaching skills is emphasized."
"School of Education","Undergraduate","EDUC-K 352","Learning Disability Methods","3 cr.","Educational programs for optimum growth and development of educable mentally retarded and learning disabled children. Study and observation of curriculum content, organization of special schools and classes, and teaching methods and materials."
"School of Education","Undergraduate","EDUC-K 361","Assistive Technology","2 cr.","Prepares future teachers with the knowledge required to integrate assistive technology into curricula for students with mild to moderate disabilities."
"School of Education","Undergraduate","EDUC-K 362","Team Approaches to Educating Students with Disabilities","3 cr.","Students will learn techniques related to effective collaboration and interactive teaming in educational settings. Focus will be the development of skills necessary to serve as consultant or co-teacher in school environments."
"School of Education","Undergraduate","EDUC-K 370","Language and Learning Disorder","3 cr.","Survey of historical development and current status of definitions, classifications, assessment, and treatment procedures for learning-disabled students."
"School of Education","Undergraduate","EDUC-K 371","Assessment and Individualized Instruction in Reading and Math","3 cr.","Emphasizes assessment and remediation procedures that address reading and math problems of mildly handicapped students."
"School of Education","Undergraduate","EDUC-K 490","Topical Seminar: Assessment 1","3 cr.","Assessment and Instruction This seminar assists students in gaining knowledge of formal and informal assessment techniques; how to link assessment to curriculum and instruction; and how to effectively choose, construct, deliver, and evaluate curriculum and instruction to students with diverse learning needs"
"School of Education","Undergraduate","EDUC-K 495","Special Education Field Experience","1 cr.","Part A - Provides the student with a field-based, supervised experience with individuals with severe handicaps. It allows the opportunity to interact within school/ work/community settings on a daily basis (three hours/day, five days/week). Specific assignments, which are mutually agreed upon between student, cooperating teacher, and practicum supervisor, are also required."
"School of Education","Undergraduate","EDUC-K 495","Special Education Field Experience","2 cr.","Part B - P: EDUC-K 495A. Provides the student with a field-based, supervised experience with individuals with severe handicaps. It allows the opportunity to interact within school/ work/community settings on a daily basis (three hours/day, five days/week). Specific assignments, which are mutually agreed upon between student, cooperating teacher, and practicum supervisor, are also required."
"School of Education","Undergraduate","EDUC-L 436","Methods and Materials for Teaching English as a Second Language","3 cr.","Emphasizes practices, strategies, and materials needed by teachers in English as a second language setting. Whole language approaches, including developing comprehension, speaking, writing and reading will be utilized via hands on experiences with a variety of materials."
"School of Education","Undergraduate","EDUC-L 442","Teaching English Language Learners: Bilingual and English as a New Language Instruction","3 cr.","This course introduces undergraduate students to the theory-based instructional methods and activities that are used in bilingual and English as a new language education program.Â  In addition, they are introduced to second language development, theoretical applications, and the sociocultural issues involved in teaching language minority students.Â"
"School of Education","Undergraduate","EDUC-M 299","Admission to Teacher Education Program","0 cr.",""
"School of Education","Undergraduate","EDUC-M 300","Teaching in a Pluralistic Society","3 cr.","These courses are designed to introduce the students to teaching as a profession. Students focus upon the self as teacher, learning styles, cultural pluralism, and classroom teaching strategies that respond positively to the personal and ethnic diversity of the learner."
"School of Education","Undergraduate","EDUC-M 311","General Methods for Kindergarten/Elementary Teachers","1 cr.","Explores individualized and interdisciplinary learning methods, measurement and evaluation, teaching process and curriculum development, and organization of the elementary schools."
"School of Education","Undergraduate","EDUC-M 313","General Methods for Secondary Education","1 cr.","P: Sophomore or Junior standing.  Explores individualized and interdisciplinary learning methods, measurement and evaluation, teaching process and curriculum development, and organization of the secondary schools."
"School of Education","Undergraduate","EDUC-M 324","Teaching About the Arts","1-3 cr.","Introduction to the importance of the arts in elementary school curriculum. Students are given a foundation of methods and materials in art and music that will enable them to integrate the arts into the general curriculum, supplement art lessons given by school art specialists, and encourage student discussion and understanding of art and music in the world today."
"School of Education","Undergraduate","","","","A detailed study of curriculum, practices, and procedures that attend the teaching of general music K-12. Includes methods and materials for teaching music theory, history, and literature in high school."
"School of Education","Undergraduate","EDUC-M 423","Student Teaching: Early Childhood","6 cr.","Full time supervised student teaching for a minimum of ten weeks in a preschool identified by the university. The experience is directed by a qualified supervising teacher and has university provided supervision."
"School of Education","Undergraduate","EDUC-M 425","Student Teaching in the Elementary Schools","6-12 cr.","Classroom teaching and other activities associated with the work of the full-time elementary classroom teacher. Minimum of 14 weeks."
"School of Education","Undergraduate","EDUC-M 430","Foundations of Art Education and Methods II","3 cr.","Advanced study of curriculum developments in art education. Special attention is given to art teaching in secondary schools."
"School of Education","Undergraduate","EDUC-M 440","Teaching Problems and Issues","3 cr.","Seminar taught as a co-requisite with early childhood (EDUC-M 423), kindergarten/primary (EDUC-M 424), elementary (EDUC-M 425), and/or middle/junior high school (EDUC-M 470) student teaching experiences. This seminar will address several issues related to the process of becoming a teacher."
"School of Education","Undergraduate","EDUC-M 441","Methods of Teaching Senior High/Junior High/Middle School Social Studies","3 cr.","Develops concepts and theories from social science, humanities, and education into practices of successful social studies instruction. Integrates social issues and reflective thinking skills into the social studies curriculum. Emphasis on curriculum development skills and building a repertoire of teaching strategies appropriate for middle/secondary school learners."
"School of Education","Undergraduate","EDUC-M 446","Methods of Teaching Senior High/Junior High/Middle School Science","3 cr.","Designed for students who plan to teach biology, chemistry, earth science, general science, or physics in junior high/middle school or secondary school."
"School of Education","Undergraduate","EDUC-M 452","Methods of Teaching Senior High/Junior High/Middle School English","3 cr.","Methods, techniques, content, and materials applicable to the teaching of English in the secondary school. Field experiences with secondary students and teachers provided to assess ongoing programs in public schools and to study materials appropriate for these programs."
"School of Education","Undergraduate","EDUC-M 457","Methods of Teaching Senior High/Junior High/Middle School Mathematics","3 cr.","Study of methodology, heuristics of problem solving, curriculum design, instructional computing, professional affiliations, and teaching of daily lessons in the domain of secondary and/or junior high/middle school mathematics."
"School of Education","Undergraduate","EDUC-M 464","Methods of Teaching Reading","3 cr.","Focuses on middle, junior high, and senior high school. Curriculum, methods, and materials for teaching students to read more effectively."
"School of Education","Undergraduate","EDUC-M 480","Student Teaching: Secondary","1-14 cr.","Grade: S or F. Full-time supervised student teaching in the studentâs major certification area and in the grades included within a high school, or at another level if the major area permits; within the state of Indiana unless the integral program includes student teaching in an approved and accredited out-of state site. Each student assumes, under the direction of the selected supervising teacher and with university-provided supervision, responsibility for teaching in the cooperating school.Â"
"School of Education","Undergraduate","EDUC-N 102","Teaching and Learning Elementary Math","3 cr.","This course will help pre-service teachers develop an understanding of mathematics content and pedagogy relevant to be a successful elementary school teacher. Focus is on content and methods that are consistent with recent recommendations about mathematics learning and teaching and the State of Indiana Academic Standards."
"School of Education","Undergraduate","EDUC-P 214","Life Span Development","1-3 cr.","This course introduces students to psychological development across the lifespan. Students will learn trends in normal psychological development from infancy through adulthood. Case studies and classroom examples will be used to provide context to apply theories of psychological development. Students will begin to understand the application of developmental psychology to teaching."
"School of Education","Undergraduate","EDUC-P 251","Educational Psychology for Elementary Teachers","2 cr.","P: EDUC-F 205. The application of psychological concepts to school learning and teaching using the perspective of development from childhood through preadolescence. Special attention is devoted to the needs of the handicapped."
"School of Education","Undergraduate","EDUC-P 255","Educational Psychology for Middle and Secondary School Teachers","2 cr.","P: EDUC-F 205. The application of psychological concepts to school learning and teaching in the perspective of development from the beginning of preadolescence adolescence. Special attention is devoted to the needs of the handicapped."
"School of Education","Undergraduate","EDUC-P 290","Professional Practices: Education","2 cr.","Provides students with knowledge of basic concepts in physical education and potential outcomes of preschool and elementary school motor development programs. Further, the implementation and evaluation of such programs and appropriate movement experiences for young children will be provided. Emphasis will be placed on curriculum planning and design that is developmentally appropriate."
"School of Education","Undergraduate","EDUC-P 320","Classroom Assessment","1-3 cr.","The purpose of this course is to build a foundation for understanding the nature, purpose, and philosophies that drive assessment in schools. The predominant goal of Classroom Assessment is to ensure careful, introspective, analytical thought concerning best practices in this area of education."
"School of Education","Undergraduate","EDUC-W 200","Computers in Education: An Introduction","3 cr.","Required of all students pursuing teacher certification. Introduction to instructional computing, educational computing literature, and BASIC programming. Review of and applied experience with educational software packages and commonly used microcomputer hardware. For education majors only."
"School of Education","Undergraduate","EDUC-X 460","Books for Reading Instruction","3 cr.","Examines use of trade books and non-text materials for teaching Language Arts and Reading K-8. Special sessions may focus on specific student populations."
"School of Education","Graduate Education Courses","EDUC-P 604","Roles and Functions of the School Psychologist","3 cr.","P: Admission to a school psychology graduate program. [Plans SCHPSYMSED, SCHPYEDS, SCPSYPHD, SCHPYEDSP] 


This course is intended as an overview of the major roles and functions of the practice of the profession of school psychology.Â"
"School of Humanities and Social Sciences","comm","COMM-C 429","Public Relations Campaigns","3 cr.","Public Relations cases and campaigns are examined from a theoretical perspective as well as the process of implementation.Â  Research and evaluation concepts are central to the course."
"School of Humanities and Social Sciences","Humanities","HUMA-U 102","Introduction to Modern Humanities: The Live Performances","3 cr.","This course examines the approach to attending live performances including opera, symphony, theatre, and dance. Topics include protocol and traditions of the audience, criteria for critical listening, and discrimination of basic elements of performance. Students will attend live performances, engage in discussions of performances by genre, and develop critical listening skills."
"School of Humanities and Social Sciences","Humanities","HUMA-U 103","Introduction to Creative Arts","3 cr.","An interdisciplinary course that brings together music, art, dance, theatre, cinema, and storytelling into a cohesive, comprehensive, and thematic study of the interrelationships of the fine arts."
"School of Humanities and Social Sciences","Humanities","HUMA-U 201","Interdisciplinary Seminar in the Humanities","3 cr.","The study of how societies express their values through art, literature, music, and philosophy, and the investigation of the underlying assumptions and structures that govern these modes of expression."
"School of Humanities and Social Sciences","Humanities","HUMA-U 401","Senior Seminar in Humanities","3 cr.","Capstone seminar for the summarizing and synthesizing of course work in various humanities disciplines, culminating in a significant research project or creative work."
"School of Humanities and Social Sciences","Journalism","JOUR-C 200","Introduction to Mass Communications","3 cr.","Survey of functions, responsibilities, and influence of various mass communications media. Directed toward the consumer and critic of mass media in modern society."
"School of Humanities and Social Sciences","Journalism","JOUR-J 200","Reporting, Writing, & Editing I","3 cr.","Working seminar stressing the creation of journalistic stories for diverse audiences. Students will learn to develop story ideas, gather information, combine visual and verbal messages, and to write and edit news."
"School of Humanities and Social Sciences","Journalism","JOUR-J 201","Reporting, Writing, & Editing II","3 cr.","P: JOUR-J 200. Working seminar focused on the strengthening of basic journalism skills, including in-depth reporting, editing, and multimedia presentations. Creativity, cooperation and critical thinking are used to shape effective messages for diverse audiences."
"School of Humanities and Social Sciences","Journalism","JOUR-J 343","Broadcast News","3 cr.","Techniques of gathering, analyzing, and writing news and features for broadcast. Practice in interviewing, observation, and use of documentary references that include computer information retrieval and analysis skills."
"School of Humanities and Social Sciences","Journalism","JOUR-J 344","Photojournalism Reporting","3 cr.","This is an intermediate photojournalism course focusing on the basics of light, camera operation, and the use of the digital darkroom. It includes instruction in spot news and feature photography as well as instruction in ethics, privacy, and law."
"School of Humanities and Social Sciences","Speech-Communication","SPCH-C 205","Introduction to Oral Interpretation","3 cr.","Basic principles and practice in analysis and reading of selections from prose, poetry, and drama. Public presentation of programs. Lecture and recitation."
