Course Code,Title,Credits
ITE469,Project and Portfolio VI: Information Technology,"Credit Hours
3.0"
ITE479,Project and Portfolio VII: Information Technology,"Credit Hours
3.0"
ITE3111,Professional Development Seminar I: Information Technology,"Credit Hours
1.0"
ITE3222,Professional Development Seminar II: Information Technology,"Credit Hours
1.0"
MAD1100,Discrete Mathematics,"Credit Hours
4.0"
MAN603,Project and Team Management,"Credit Hours
3.5"
MAN630,Executive Leadership,"Credit Hours
3.5"
MAN2021,Business Management,"Credit Hours
4.0"
MAN3152,Leadership and Organizational Behavior,"Credit Hours
4.0"
MAN6224,Sports Management and Operations,"Credit Hours
3.5"
MAN6447,Negotiation and Deal-Making,"Credit Hours
3.5"
MAR239,Project and Portfolio III: Marketing,"Credit Hours
3.0"
MAR512,Digital Marketing Fundamentals,"Credit Hours
3.5"
MAR630,Business Storytelling and Brand Development,"Credit Hours
3.5"
MAR632,Digital Storytelling and Branding,"Credit Hours
3.5"
MAR681,Digital Marketing,"Credit Hours
3.5"
MAR3111,Principles of Digital Marketing,"Credit Hours
4.0"
MAR6112,Sports Marketing and Sponsorship Sales,"Credit Hours
3.5"
MAT1033,Algebra and Coordinate Geometry,"Credit Hours
4.0"
MCB229,Project and Portfolio II: Media Communications,"Credit Hours
3.0"
MCB239,Project and Portfolio III: Media Communications,"Credit Hours
3.0"
MCM1002,Introduction to Media Communications and Technologies,"Credit Hours
3.0"
MCM1203,New Media Tools,"Credit Hours
4.0"
MCM1401,Aesthetics and Theory of Communications,"Credit Hours
4.0"
MCM2416,Digital Video and Audio Production,"Credit Hours
4.0"
MCM2429,Editing for the Web,"Credit Hours
4.0"
MCM2651,Research in Media Communications,"Credit Hours
4.0"
MCM3111,Professional Development Seminar I: Media Communications,"Credit Hours
1.0"
MCM3222,Professional Development Seminar II: Media Communications,"Credit Hours
1.0"
MCM3313,Advanced Video,"Credit Hours
4.0"
MCM3323,Advanced Audio,"Credit Hours
3.0"
MCM3334,Gaming and Transmedia Storytelling,"Credit Hours
3.0"
MCM3425,Integrated Marketing,"Credit Hours
3.0"
MCM3855,Graphic Design and Communications,"Credit Hours
4.0"
MCM4319,Media Sociology,"Credit Hours
3.0"
MCM4429,New Media Formats,"Credit Hours
4.0"
MCM4441,Media Entrepreneurship,"Credit Hours
4.0"
MCMC311,Professional Development Seminar I: Media Communications,"Credit Hours
1.0"
MCMC322,Professional Development Seminar II: Media Communications,"Credit Hours
1.0"
MDL501,Mastery: Personal Development and Leadership,"Credit Hours
3.0"
MDM525,Defining Client Needs,"Credit Hours
5.0"
MDM530,Brand Development,"Credit Hours
5.0"
MDM555,Effective Copywriting,"Credit Hours
5.0"
MDM565,Design Research,"Credit Hours
5.0"
MDM570,Organizational Structures,"Credit Hours
5.0"
MDM615,Design Strategies and Motivation,"Credit Hours
5.0"
MDM620,Design Integration,"Credit Hours
5.0"
MDM640,Measuring Design Effectiveness,"Credit Hours
5.0"
MDM650,Multi-Platform Delivery,"Credit Hours
5.0"
MDM690,Thesis: Presentation of Design Solution,"Credit Hours
5.0"
MDM691,Professional Practice,"Credit Hours
5.0"
MDV347,Project and Portfolio IV: Mobile Development,"Credit Hours
3.0"
MDV357,Project and Portfolio V: Mobile Development,"Credit Hours
3.0"
MDV467,Project and Portfolio VI: Mobile Development,"Credit Hours
3.0"
MDV3632,iOS Development I,"Credit Hours
3.0"
MDV3732,iOS Development II,"Credit Hours
3.0"
MDV3799,iOS Development III,"Credit Hours
3.0"
MDV3800,Android Interface Design,"Credit Hours
3.0"
MDV3832,Android Development I,"Credit Hours
4.0"
MDV3853,Android Development II,"Credit Hours
3.0"
MDV4201,Advanced iOS Development,"Credit Hours
4.0"
MDV4301,Android Development III,"Credit Hours
4.0"
MDV4501,Advanced Mobile Development,"Credit Hours
3.0"
MDV4909,Mobile Business and Marketing,"Credit Hours
3.0"
MDV4911,Integrated Product Development,"Credit Hours
3.0"
MED119,Project and Portfolio I: Media Strategy,"Credit Hours
3.0"
MGF1213,College Mathematics,"Credit Hours
4.0"
MKT163,Storytelling for Marketing,"Credit Hours
3.0"
MKT210,Introduction to Marketing,"Credit Hours
4.0"
MKT1414,Marketing Research,"Credit Hours
4.0"
MKT2418,Fundamentals of Public Relations,"Credit Hours
4.0"
MKT3014,Marketing Law and Contracts,"Credit Hours
4.0"
MMC6257,Entertainment Media Publishing and Distribution,"Credit Hours
3.5"
MPB229,Project and Portfolio II: Music Production,"Credit Hours
3.0"
MPB239,Project and Portfolio III: Music Production,"Credit Hours
3.0"
MPR1202,Musicianship,"Credit Hours
4.0"
MPR3111,Professional Development Seminar I: Music Production,"Credit Hours
1.0"
MPR3113,Music Genres,"Credit Hours
4.0"
MPR3222,Professional Development Seminar II: Music Production,"Credit Hours
1.0"
MPR3223,Engineering Skills for the Music Producer,"Credit Hours
4.0"
MPR3311,Musical Arrangement,"Credit Hours
4.0"
MPR3452,Game Music Composition,"Credit Hours
3.0"
MPR3701,Music Production for Media,"Credit Hours
4.0"
MPR3925,Topics in Music Theory,"Credit Hours
3.0"
MPR4416,Audio Engineering Techniques,"Credit Hours
4.0"
MPRC311,Professional Development Seminar I: Music Production,"Credit Hours
1.0"
MPRC322,Professional Development Seminar II: Music Production,"Credit Hours
1.0"
MST155,Project I: Media Strategy,"Credit Hours
2.0"
MST156,Portfolio I: Media Strategy,"Credit Hours
1.0"
MUB461,Concert Management and Touring,"Credit Hours
4.0"
MUB481,Artist Management,"Credit Hours
4.0"
MUB3311,Music Business Models,"Credit Hours
3.0"
MUB3513,Music Evaluation for Artists and Repertoire,"Credit Hours
3.0"
MUB4361,Music Retail and Distribution,"Credit Hours
3.0"
MUB4716,Music Supervision,"Credit Hours
3.0"
MUH2429,History of Popular Music,"Credit Hours
4.0"
MUM3308,Music Copyright and Publishing,"Credit Hours
4.0"
MUM3733,Music Business Marketing,"Credit Hours
4.0"
MUS6018,Music and Audio for Instructional Design,"Credit Hours
3.0"
NMJ510,New Media and Communications,"Credit Hours
4.0"
NMJ520,Writing for Interactive Media,"Credit Hours
4.0"
NMJ540,Research and Investigation Skills Development,"Credit Hours
4.0"
NMJ550,Multimedia Development and Editing,"Credit Hours
4.0"
NMJ570,Digital News Production,"Credit Hours
4.0"
NMJ590,Multimedia Reporting,"Credit Hours
4.0"
NMJ620,Social Media and Online Community Engagement,"Credit Hours
4.0"
NMJ642,Legal Aspects of Media,"Credit Hours
4.0"
NMJ650,Public Relations and Reputation Management,"Credit Hours
4.0"
NMJ670,New Media Publishing and Distribution,"Credit Hours
4.0"
NMJ690,New Media Journalism Final Project,"Credit Hours
4.0"
PBR510,Public Relations in a Digital World,"Credit Hours
3.0"
PBR540,Innovative Public Relations Tools and Resources,"Credit Hours
3.0"
PBR550,Social Media Metrics and ROI,"Credit Hours
3.0"
PBR560,Market and Consumer Research Analysis,"Credit Hours
3.0"
PBR610,Media Relations,"Credit Hours
3.0"
PBR620,Events Marketing and Production,"Credit Hours
3.0"
PBR640,The Online Media Room,"Credit Hours
3.0"
PBR650,Reputation Management Strategies,"Credit Hours
3.0"
PBR697,Public Relations Presentation and Portfolio,"Credit Hours
3.0"
PHY3020,Physical Science,"Credit Hours
4.0"
RAB239,Project and Portfolio III: Recording Arts,"Credit Hours
3.0"
RAR3111,Professional Development Seminar I: Audio Arts,"Credit Hours
1.0"
RARC111,Professional Development Seminar I: Audio Arts,"Credit Hours
1.0"
RARC222,Professional Development Seminar II: Recording Arts,"Credit Hours
1.0"
RARC311,Professional Development Seminar I: Audio Arts,"Credit Hours
1.0"
RARC322,Professional Development Seminar II: Recording Arts,"Credit Hours
1.0"
REC1732,Sequencing Technology,"Credit Hours
4.0"
REC2132,Principles of Electronics,"Credit Hours
4.0"
REC3125,Vocal Production,"Credit Hours
3.0"
REC3133,Principles of Electronics,"Credit Hours
3.0"
REC3304,Modern Production Techniques,"Credit Hours
4.0"
REC3414,Audio Workstations,"Credit Hours
4.0"
REC3514,Critical Listening,"Credit Hours
3.0"
REC3515,Critical Listening,"Credit Hours
4.0"
REC3805,Audio Postproduction,"Credit Hours
4.0"
REC3901,Session Recording,"Credit Hours
4.0"
REC4414,Advanced Audio Workstations,"Credit Hours
4.0"
REC4735,Advanced Session Recording,"Credit Hours
4.0"
SCB228,Project and Portfolio II: Sportscasting,"Credit Hours
3.0"
SCB239,Project and Portfolio III: Sportscasting,"Credit Hours
3.0"
SCB348,Project and Portfolio IV: Sportscasting,"Credit Hours
3.0"
SCB359,Project and Portfolio V: Sportscasting,"Credit Hours
3.0"
SCB469,Project and Portfolio VI: Sportscasting,"Credit Hours
3.0"
SCB479,Project and Portfolio VII: Sportscasting,"Credit Hours
3.0"
SCS1101,Introduction to Sportscasting,"Credit Hours
3.0"
SCS2501,Broadcast Writing,"Credit Hours
4.0"
SCS3111,Professional Development Seminar I: Sportscasting,"Credit Hours
1.0"
SCS3201,Vocal Training for Sportscasting I,"Credit Hours
4.0"
SCS3222,Professional Development Seminar II: Sportscasting,"Credit Hours
1.0"
SCS3351,Diversity in Modern Media,"Credit Hours
3.0"
SCS3401,Vocal Training for Sportscasting II,"Credit Hours
3.0"
SCS3521,Advanced Interviewing for Sportscasting,"Credit Hours
4.0"
SCS4111,Advanced Reporting and Practice,"Credit Hours
4.0"
SCS4621,Broadcast for Advanced Technology I,"Credit Hours
3.0"
SCS4761,Broadcast for Advanced Technology II,"Credit Hours
4.0"
SCSC311,Professional Development Seminar I: Sportscasting,"Credit Hours
1.0"
SCSC322,Professional Development Seminar II: Sportscasting,"Credit Hours
1.0"
SDV2213,Data Structures and Algorithms,"Credit Hours
4.0"
SDV3012,Applied Human-Computer Interaction,"Credit Hours
3.0"
SDV3111,Systems Programming,"Credit Hours
4.0"
SDV4102,Machine Intelligence Systems,"Credit Hours
4.0"
SDV4116,Wearable Computing,"Credit Hours
3.0"
SDV4327,Software Architecture,"Credit Hours
3.0"
SDV4719,Software Integration,"Credit Hours
3.0"
SDV4733,Software Test and Quality Assurance,"Credit Hours
4.0"
SHP2033,Introduction to Show Production Systems,"Credit Hours
4.0"
SHP3215,Audio and Visual Technologies,"Credit Hours
4.0"
SHP3426,Show Production Systems,"Credit Hours
4.0"
SHP3635,Automated Lighting Technology,"Credit Hours
3.0"
SHP3713,Live Production Management,"Credit Hours
4.0"
SHP4125,Advanced Show Production Systems,"Credit Hours
4.0"
SHP4201,Event Production and Design,"Credit Hours
2.0"
SHP4565,Audio Measurement Systems,"Credit Hours
3.0"
SHP4785,Advanced Video Production,"Credit Hours
4.0"
SHP4822,Sports Broadcast Production,"Credit Hours
3.0"
SIM313,Microcontrollers,"Credit Hours
4.0"
SIM3032,Data Visualization and Modeling,"Credit Hours
3.0"
SIM3073,Simulation and Visualization Software,"Credit Hours
3.0"
SIM3321,Digital Fabrication,"Credit Hours
4.0"
SIM4175,Simulation and Visualization Environments,"Credit Hours
3.0"
SIM4319,Virtual and Augmented Reality,"Credit Hours
3.0"
SIM4819,Simulation Production,"Credit Hours
3.0"
SIMC111,Professional Development Seminar I: Simulation and Visualization,"Credit Hours
1.0"
SIMC222,Professional Development Seminar II: Simulation and Visualization,"Credit Hours
1.0"
SMM3112,Sports Business Models,"Credit Hours
3.0"
SMM3411,Sports Digital Production,"Credit Hours
4.0"
SMM3563,Social Media Methods,"Credit Hours
3.0"
SMM3622,Sports Events and Entertainment,"Credit Hours
3.0"
SMM3934,Mobility Technology and Marketing,"Credit Hours
3.0"
SMM4111,Business Project Management,"Credit Hours
4.0"
SMM4561,Sports Sales and Sponsorship,"Credit Hours
4.0"
SMM4833,Marketing Plans and Campaign Development,"Credit Hours
4.0"
SPB239,Project and Portfolio III: Show Production,"Credit Hours
3.0"
SPO3111,Professional Development Seminar I: Sports Marketing and Media,"Credit Hours
1.0"
SPO3222,Professional Development Seminar II: Sports Marketing and Media,"Credit Hours
1.0"
SPRC322,Professional Development Seminar II: Show Production,"Credit Hours
1.0"
STA3001,Statistics,"Credit Hours
4.0"
STA3026,Statistics,"Credit Hours
4.0"
STA3300,Data Visualization,"Credit Hours
4.0"
SVB229,Project and Portfolio II: Simulation and Visualization,"Credit Hours
3.0"
SVB239,Project and Portfolio III: Simulation and Visualization,"Credit Hours
3.0"
SVB349,Project and Portfolio IV: Simulation and Visualization,"Credit Hours
3.0"
SVB359,Project and Portfolio V: Simulation and Visualization,"Credit Hours
3.0"
SVB469,Project and Portfolio VI: Simulation and Visualization,"Credit Hours
3.0"
SVB479,Project and Portfolio VII: Simulation and Visualization,"Credit Hours
3.0"
TEM1001,Technology in the Entertainment and Media Industries,"Credit Hours
4.0"
TPA3013,Lighting Concepts and Design,"Credit Hours
3.0"
UEX3111,Professional Development Seminar I: User Experience,"Credit Hours
1.0"
UEX3222,Professional Development Seminar II: User Experience,"Credit Hours
1.0"
UXP119,Project and Portfolio I: User Experience,"Credit Hours
3.0"
UXP155,Project I: User Experience,"Credit Hours
2.0"
UXP156,Portfolio I: User Experience,"Credit Hours
1.0"
UXP229,Project and Portfolio II: User Experience,"Credit Hours
3.0"
UXP339,Project and Portfolio III: User Experience,"Credit Hours
3.0"
UXP349,Project and Portfolio IV: User Experience,"Credit Hours
3.0"
UXP359,Project and Portfolio V: User Experience,"Credit Hours
3.0"
UXP469,Project and Portfolio VI: User Experience,"Credit Hours
3.0"
UXP1001,Introduction to User Experience,"Credit Hours
4.0"
UXP2301,UI Visual Design and Prototyping,"Credit Hours
4.0"
UXP2601,User Experience Design,"Credit Hours
3.0"
UXP2801,Information Visualization,"Credit Hours
3.0"
UXP3111,Physiology of Sensation in UX,"Credit Hours
4.0"
UXP3222,Psychology of Perception in UX,"Credit Hours
3.0"
UXP3541,UX Research Approaches,"Credit Hours
4.0"
UXP3801,UX/UI for Gaming Platforms,"Credit Hours
4.0"
UXP4111,UX Design for Platform Standards,"Credit Hours
3.0"
UXP4401,UX Research Analytics,"Credit Hours
3.0"
UXP4901,UX Production,"Credit Hours
3.0"
VIC3003,History of Visual Communications,"Credit Hours
4.0"
VID1555,Video-Sharing Platforms,"Credit Hours
4.0"
VSA349,Project and Portfolio IV: Visual Arts,"Credit Hours
3.0"
VSA359,Project and Portfolio V: Visual Arts,"Credit Hours
3.0"
VSA469,Project and Portfolio VI: Visual Arts,"Credit Hours
3.0"
VSA4444,Visual Realization,"Credit Hours
3.0"
VSD119,Project and Portfolio I: Visual Design,"Credit Hours
3.0"
VSD155,Project I: Visual Design,"Credit Hours
2.0"
VSD156,Portfolio I: Visual Design,"Credit Hours
1.0"
VSD229,Project and Portfolio II: Visual Design,"Credit Hours
3.0"
WDV119,Project and Portfolio I: Web Development,"Credit Hours
3.0"
WDV229,Project and Portfolio II: Web Development,"Credit Hours
3.0"
WDV339,Project and Portfolio III: Web Development,"Credit Hours
3.0"
WDV349,Project and Portfolio IV: Web Development,"Credit Hours
3.0"
WDV353,Server-Side Languages,"Credit Hours
4.0"
WDV359,Project and Portfolio V: Web Development,"Credit Hours
3.0"
WDV442,Advanced Server-Side Languages,"Credit Hours
4.0"
WDV463,Deployment of Web Applications,"Credit Hours
4.0"
WDV469,Project and Portfolio VI: Web Development,"Credit Hours
3.0"
WDV1100,Introduction to Web Architecture,"Credit Hours
4.0"
WDV3111,Professional Development Seminar I: Web Development,"Credit Hours
1.0"
WDV3222,Professional Development Seminar II: Web Development,"Credit Hours
1.0"
WDV3300,Cloud Application Development,"Credit Hours
3.0"
WDV3322,Programming for Web Applications,"Credit Hours
4.0"
WDV3400,Content Management System Development,"Credit Hours
3.0"
WDV3421,Connected Devices and Applications,"Credit Hours
3.0"
WDV4200,Secure Application Development,"Credit Hours
3.0"
WDV4416,Web Application Integration,"Credit Hours
4.0"
WDV4424,Application Integration and Security,"Credit Hours
4.0"
WEB4550,Web Design,"Credit Hours
4.0"
